t_s,victim,c_obs,rampart_full,ratio,violation
0.76,fir2dim,13221.5,14991.022,0.882,False
1.52,fmref,741136.0,727400.933,1.0189,True
2.43,cosf,44427.0,59951.826,0.741,False
28.18,test3,884214174.5,877025267.452,1.0082,True
28.85,jfdctint,26507.0,25117.031,1.0553,True
29.54,fac,1702.5,2439.197,0.698,False
30.25,fir2dim,43291.0,14991.022,2.8878,True
31.0,fmref,749828.5,727400.933,1.0308,True
31.7,cosf,54533.5,59951.826,0.9096,False
60.11,test3,874734394.5,877025267.452,0.9974,False
60.58,jfdctint,9928.0,25117.031,0.3953,False
61.38,fac,7443.0,2439.197,3.0514,True
62.02,fir2dim,22630.5,14991.022,1.5096,True
62.74,fmref,750035.0,727400.933,1.0311,True
63.44,cosf,34144.5,59951.826,0.5695,False
92.5,test3,0,877025267.452,0.0,False
92.87,jfdctint,13025.0,25117.031,0.5186,False
93.27,fac,1274.5,2439.197,0.5225,False
93.62,fir2dim,18496.0,14991.022,1.2338,True
94.03,fmref,733984.5,727400.933,1.0091,True
94.43,cosf,34495.0,59951.826,0.5754,False
110.16,test3,909114651.0,877025267.452,1.0366,True
110.57,jfdctint,25840.0,25117.031,1.0288,True
110.94,fac,9144.0,2439.197,3.7488,True
111.33,fir2dim,24733.5,14991.022,1.6499,True
111.73,fmref,751509.0,727400.933,1.0331,True
112.09,cosf,52743.5,59951.826,0.8798,False
125.9,test3,886276940.0,877025267.452,1.0105,True
126.28,jfdctint,17962.0,25117.031,0.7151,False
126.63,fac,1210.5,2439.197,0.4963,False
127.0,fir2dim,17110.5,14991.022,1.1414,True
127.4,fmref,753765.0,727400.933,1.0362,True
127.76,cosf,50638.5,59951.826,0.8447,False
141.13,test3,909301650.5,877025267.452,1.0368,True
141.48,jfdctint,11820.5,25117.031,0.4706,False
141.84,fac,1332.5,2439.197,0.5463,False
142.21,fir2dim,35891.5,14991.022,2.3942,True
142.59,fmref,744261.5,727400.933,1.0232,True
142.95,cosf,32102.5,59951.826,0.5355,False
156.55,test3,894557095.5,877025267.452,1.02,True
156.95,jfdctint,38653.5,25117.031,1.5389,True
157.3,fac,1171.0,2439.197,0.4801,False
157.71,fir2dim,36929.0,14991.022,2.4634,True
158.1,fmref,742617.0,727400.933,1.0209,True
158.46,cosf,32347.5,59951.826,0.5396,False
172.72,test3,878816123.5,877025267.452,1.002,True
173.08,jfdctint,8651.5,25117.031,0.3444,False
173.46,fac,11191.5,2439.197,4.5882,True
173.82,fir2dim,20832.0,14991.022,1.3896,True
174.2,fmref,732864.0,727400.933,1.0075,True
174.6,cosf,54923.5,59951.826,0.9161,False
188.79,test3,927187586.5,877025267.452,1.0572,True
189.16,jfdctint,20254.0,25117.031,0.8064,False
189.54,fac,8128.0,2439.197,3.3322,True
189.91,fir2dim,26587.5,14991.022,1.7736,True
190.3,fmref,742633.5,727400.933,1.0209,True
