# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=2400000
# cpu0=ndes (measured)  cpu1=PR_CACHE  cpu2=MTH_BUS  cpu3=PR_ROWBUF
[sample=0] cpu=0 bench=ndes cycles=45803 instructions=83531 cache-misses=55
[sample=1] cpu=0 bench=ndes cycles=33515 instructions=83082 cache-misses=42
[sample=2] cpu=0 bench=ndes cycles=30059 instructions=83082 cache-misses=10
[sample=3] cpu=0 bench=ndes cycles=28856 instructions=83082 cache-misses=5
[sample=4] cpu=0 bench=ndes cycles=28949 instructions=83082 cache-misses=5
[sample=5] cpu=0 bench=ndes cycles=29414 instructions=83082 cache-misses=7
[sample=6] cpu=0 bench=ndes cycles=28969 instructions=83082 cache-misses=4
[sample=7] cpu=0 bench=ndes cycles=29480 instructions=83082 cache-misses=14
[sample=8] cpu=0 bench=ndes cycles=29141 instructions=83082 cache-misses=8
[sample=9] cpu=0 bench=ndes cycles=28935 instructions=83082 cache-misses=2
[sample=10] cpu=0 bench=ndes cycles=28977 instructions=83082 cache-misses=3
[sample=11] cpu=0 bench=ndes cycles=29155 instructions=83082 cache-misses=7
[sample=12] cpu=0 bench=ndes cycles=29247 instructions=83082 cache-misses=8
[sample=13] cpu=0 bench=ndes cycles=29617 instructions=83082 cache-misses=7
[sample=14] cpu=0 bench=ndes cycles=28954 instructions=83082 cache-misses=7
[sample=15] cpu=0 bench=ndes cycles=28923 instructions=83082 cache-misses=6
[sample=16] cpu=0 bench=ndes cycles=29101 instructions=83082 cache-misses=4
[sample=17] cpu=0 bench=ndes cycles=29442 instructions=83082 cache-misses=1
[sample=18] cpu=0 bench=ndes cycles=28932 instructions=83082 cache-misses=3
[sample=19] cpu=0 bench=ndes cycles=29004 instructions=83082 cache-misses=3
[sample=20] cpu=0 bench=ndes cycles=29056 instructions=83082 cache-misses=2
[sample=21] cpu=0 bench=ndes cycles=29241 instructions=83082 cache-misses=4
[sample=22] cpu=0 bench=ndes cycles=29227 instructions=83082 cache-misses=4
[sample=23] cpu=0 bench=ndes cycles=29316 instructions=83082 cache-misses=3
[sample=24] cpu=0 bench=ndes cycles=29187 instructions=83082 cache-misses=5
[sample=25] cpu=0 bench=ndes cycles=29260 instructions=83082 cache-misses=2
[sample=26] cpu=0 bench=ndes cycles=28944 instructions=83082 cache-misses=5
[sample=27] cpu=0 bench=ndes cycles=28840 instructions=83082 cache-misses=3
[sample=28] cpu=0 bench=ndes cycles=28774 instructions=83082 cache-misses=3
[sample=29] cpu=0 bench=ndes cycles=29260 instructions=83082 cache-misses=4
[sample=30] cpu=0 bench=ndes cycles=29152 instructions=83082 cache-misses=4
[sample=31] cpu=0 bench=ndes cycles=29135 instructions=83082 cache-misses=4
[sample=32] cpu=0 bench=ndes cycles=29032 instructions=83082 cache-misses=5
[sample=33] cpu=0 bench=ndes cycles=28890 instructions=83082 cache-misses=8
[sample=34] cpu=0 bench=ndes cycles=29195 instructions=83082 cache-misses=2
[sample=35] cpu=0 bench=ndes cycles=29288 instructions=83082 cache-misses=13
[sample=36] cpu=0 bench=ndes cycles=29148 instructions=83082 cache-misses=2
[sample=37] cpu=0 bench=ndes cycles=29346 instructions=83082 cache-misses=5
[sample=38] cpu=0 bench=ndes cycles=29586 instructions=83082 cache-misses=3
[sample=39] cpu=0 bench=ndes cycles=29184 instructions=83082 cache-misses=3
[sample=40] cpu=0 bench=ndes cycles=28630 instructions=83082 cache-misses=1
[sample=41] cpu=0 bench=ndes cycles=29115 instructions=83082 cache-misses=5
[sample=42] cpu=0 bench=ndes cycles=29200 instructions=83082 cache-misses=5
[sample=43] cpu=0 bench=ndes cycles=29358 instructions=83082 cache-misses=4
[sample=44] cpu=0 bench=ndes cycles=29572 instructions=83082 cache-misses=4
[sample=45] cpu=0 bench=ndes cycles=29942 instructions=83082 cache-misses=3
[sample=46] cpu=0 bench=ndes cycles=32232 instructions=83082 cache-misses=5
[sample=47] cpu=0 bench=ndes cycles=30847 instructions=83082 cache-misses=4
[sample=48] cpu=0 bench=ndes cycles=32041 instructions=83082 cache-misses=9
[sample=49] cpu=0 bench=ndes cycles=35393 instructions=83082 cache-misses=6
[sample=50] cpu=0 bench=ndes cycles=29038 instructions=83082 cache-misses=3
[sample=51] cpu=0 bench=ndes cycles=30076 instructions=83082 cache-misses=5
[sample=52] cpu=0 bench=ndes cycles=29548 instructions=83082 cache-misses=4
[sample=53] cpu=0 bench=ndes cycles=31623 instructions=83082 cache-misses=7
[sample=54] cpu=0 bench=ndes cycles=30243 instructions=83082 cache-misses=6
[sample=55] cpu=0 bench=ndes cycles=39155 instructions=83082 cache-misses=10
[sample=56] cpu=0 bench=ndes cycles=36823 instructions=83082 cache-misses=12
[sample=57] cpu=0 bench=ndes cycles=28972 instructions=83082 cache-misses=5
[sample=58] cpu=0 bench=ndes cycles=36289 instructions=83082 cache-misses=42
[sample=59] cpu=0 bench=ndes cycles=38676 instructions=83082 cache-misses=37
[sample=60] cpu=0 bench=ndes cycles=37113 instructions=83082 cache-misses=32
[sample=61] cpu=0 bench=ndes cycles=31536 instructions=83082 cache-misses=35
[sample=62] cpu=0 bench=ndes cycles=30254 instructions=83082 cache-misses=25
[sample=63] cpu=0 bench=ndes cycles=30890 instructions=83082 cache-misses=23
[sample=64] cpu=0 bench=ndes cycles=30684 instructions=83082 cache-misses=24
[sample=65] cpu=0 bench=ndes cycles=30234 instructions=83082 cache-misses=25
[sample=66] cpu=0 bench=ndes cycles=30942 instructions=83082 cache-misses=26
[sample=67] cpu=0 bench=ndes cycles=30860 instructions=83082 cache-misses=28
[sample=68] cpu=0 bench=ndes cycles=30418 instructions=83082 cache-misses=23
[sample=69] cpu=0 bench=ndes cycles=30348 instructions=83082 cache-misses=26
[sample=70] cpu=0 bench=ndes cycles=30537 instructions=83082 cache-misses=30
[sample=71] cpu=0 bench=ndes cycles=30845 instructions=83082 cache-misses=38
[sample=72] cpu=0 bench=ndes cycles=31040 instructions=83082 cache-misses=35
[sample=73] cpu=0 bench=ndes cycles=29853 instructions=83082 cache-misses=24
[sample=74] cpu=0 bench=ndes cycles=30578 instructions=83082 cache-misses=24
[sample=75] cpu=0 bench=ndes cycles=31085 instructions=83082 cache-misses=26
[sample=76] cpu=0 bench=ndes cycles=32689 instructions=83082 cache-misses=26
[sample=77] cpu=0 bench=ndes cycles=31490 instructions=83082 cache-misses=23
[sample=78] cpu=0 bench=ndes cycles=32185 instructions=83082 cache-misses=20
[sample=79] cpu=0 bench=ndes cycles=36173 instructions=83082 cache-misses=31
[sample=80] cpu=0 bench=ndes cycles=37030 instructions=83082 cache-misses=30
[sample=81] cpu=0 bench=ndes cycles=40232 instructions=83082 cache-misses=23
[sample=82] cpu=0 bench=ndes cycles=39458 instructions=83082 cache-misses=26
[sample=83] cpu=0 bench=ndes cycles=33504 instructions=83082 cache-misses=33
[sample=84] cpu=0 bench=ndes cycles=30875 instructions=83082 cache-misses=7
[sample=85] cpu=0 bench=ndes cycles=28916 instructions=83082 cache-misses=3
[sample=86] cpu=0 bench=ndes cycles=29745 instructions=83082 cache-misses=5
[sample=87] cpu=0 bench=ndes cycles=29185 instructions=83082 cache-misses=3
[sample=88] cpu=0 bench=ndes cycles=33459 instructions=83082 cache-misses=4
[sample=89] cpu=0 bench=ndes cycles=29025 instructions=83082 cache-misses=3
[sample=90] cpu=0 bench=ndes cycles=29608 instructions=83082 cache-misses=4
[sample=91] cpu=0 bench=ndes cycles=28945 instructions=83082 cache-misses=2
[sample=92] cpu=0 bench=ndes cycles=30728 instructions=83082 cache-misses=5
[sample=93] cpu=0 bench=ndes cycles=29090 instructions=83082 cache-misses=5
[sample=94] cpu=0 bench=ndes cycles=29649 instructions=83082 cache-misses=4
[sample=95] cpu=0 bench=ndes cycles=29407 instructions=83082 cache-misses=5
[sample=96] cpu=0 bench=ndes cycles=29013 instructions=83082 cache-misses=3
[sample=97] cpu=0 bench=ndes cycles=28974 instructions=83082 cache-misses=4
[sample=98] cpu=0 bench=ndes cycles=30224 instructions=83082 cache-misses=4
[sample=99] cpu=0 bench=ndes cycles=28993 instructions=83082 cache-misses=4

# Statistics over 100 samples on cpu0 bench=ndes (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
