sample,checkpoint_ns,predicate_ns,signal_ns,yield_ns,budget_update_ns,total_ns
0,375,500,49750,12250,86375,149250
1,125,500,11250,2375,1750,16000
2,125,375,6125,1875,1750,10250
3,0,375,5500,1750,1625,9250
4,125,500,5625,1750,1500,9500
5,125,375,5500,1750,1625,9375
6,125,375,5375,1750,1500,9125
7,125,375,5625,1625,1500,9250
8,125,375,5375,1625,1500,9000
9,125,375,5500,1750,1500,9250
10,125,375,5250,1625,1500,8875
11,125,375,5500,1750,1500,9250
12,125,500,5375,1750,1625,9375
13,125,375,5375,1750,1500,9125
14,125,375,5375,1750,1625,9250
15,125,375,5375,1750,1500,9125
16,0,375,5375,1750,1500,9000
17,125,375,5250,1625,1500,8875
18,125,375,5250,1625,1500,8875
19,125,500,5375,1625,1500,9125
20,0,375,5500,1750,1500,9125
21,125,375,5375,1750,1625,9250
22,125,375,5250,1625,1500,8875
23,125,375,5375,1750,1500,9125
24,0,375,5500,1750,1500,9125
25,125,375,5375,1750,1625,9250
26,125,375,5375,1625,1500,9000
27,125,375,5375,1750,1500,9125
28,125,375,5375,1625,1500,9000
29,125,500,5375,1750,1500,9250
30,125,375,5375,1625,1500,9000
31,125,375,5250,1625,1500,8875
32,125,375,5375,1625,1500,9000
33,0,375,5375,1625,1500,8875
34,0,375,5375,1625,1500,8875
35,125,375,5250,1750,1500,9000
36,125,375,5250,1625,1500,8875
37,125,500,5375,1625,1500,9125
38,125,375,5375,1750,1500,9125
39,125,375,5375,1625,1500,9000
40,125,375,5250,1625,1500,8875
41,125,375,5375,1625,1500,9000
42,125,375,5375,1750,1625,9250
43,125,375,5500,1625,1500,9125
44,125,375,5375,1750,1625,9250
45,125,375,5250,1625,1625,9000
46,0,375,5375,1625,1500,8875
47,125,375,5250,1750,1500,9000
48,125,375,5250,1750,1625,9125
49,125,375,5375,1750,1625,9250
50,125,375,59250,2250,1750,63750
51,125,375,5750,1875,1500,9625
52,125,375,5500,1625,1500,9125
53,125,500,5375,1750,1500,9250
54,0,375,5375,1625,1500,8875
55,125,375,5500,1750,1500,9250
56,125,375,5375,1625,1500,9000
57,125,375,5250,1750,1500,9000
58,125,500,5375,1625,1500,9125
59,125,375,5250,1625,1500,8875
60,125,375,5250,1625,1500,8875
61,0,375,5375,1625,1625,9000
62,125,500,5250,1625,1500,9000
63,125,375,5250,1625,1500,8875
64,125,375,5250,1750,1500,9000
65,0,375,5500,1625,1500,9000
66,0,375,5250,1625,1500,8750
67,125,375,5250,1625,1500,8875
68,125,375,5500,1625,1625,9250
69,125,375,5375,1625,1500,9000
70,125,375,5375,1750,1500,9125
71,0,375,5375,1750,1625,9125
72,125,375,5375,1750,1625,9250
73,0,375,5500,1625,1500,9000
74,125,375,5250,1625,1500,8875
75,0,375,5250,1625,1500,8750
76,125,375,5250,1750,1500,9000
77,125,375,5375,1625,1500,9000
78,0,375,5500,1750,1500,9125
79,125,375,5250,1625,1500,8875
80,125,375,5375,1625,1500,9000
81,125,500,5250,1625,1500,9000
82,125,500,5375,1625,1625,9250
83,125,375,5375,1750,1500,9125
84,125,375,5375,1750,1500,9125
85,125,375,5375,1625,1500,9000
86,125,375,5250,1750,1500,9000
87,125,375,5500,1750,1625,9375
88,125,375,5250,1625,1500,8875
89,125,375,5375,1625,1500,9000
90,125,375,5375,1625,1500,9000
91,125,375,5375,1750,1625,9250
92,125,375,5375,1750,1500,9125
93,125,375,5375,1625,1500,9000
94,125,375,5375,1625,1500,9000
95,125,375,5375,1750,1500,9125
96,125,375,5375,1625,1500,9000
97,125,375,5375,1750,1500,9125
98,125,375,5250,1625,1500,8875
99,0,375,5375,1750,1500,9000
100,125,375,5375,1750,1500,9125
101,0,375,5375,1750,1500,9000
102,125,375,5375,1750,1500,9125
103,125,500,5375,1750,1500,9250
104,125,375,5500,1625,1500,9125
105,0,375,5500,1750,1500,9125
106,125,500,5250,1625,1500,9000
107,125,375,5375,1750,1500,9125
108,125,375,5250,1750,1625,9125
109,0,375,5500,1750,1500,9125
