# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_enc (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=0] cpu=0 bench=adpcm_enc cycles=443337 instructions=223684 cache-misses=61
[sample=1] cpu=0 bench=adpcm_enc cycles=416423 instructions=223679 cache-misses=62
[sample=2] cpu=0 bench=adpcm_enc cycles=408888 instructions=223672 cache-misses=32
[sample=3] cpu=0 bench=adpcm_enc cycles=373764 instructions=223672 cache-misses=20
[sample=4] cpu=0 bench=adpcm_enc cycles=345562 instructions=223674 cache-misses=13
[sample=5] cpu=0 bench=adpcm_enc cycles=332016 instructions=223674 cache-misses=14
[sample=6] cpu=0 bench=adpcm_enc cycles=315091 instructions=223673 cache-misses=13
[sample=7] cpu=0 bench=adpcm_enc cycles=315101 instructions=223673 cache-misses=17
[sample=8] cpu=0 bench=adpcm_enc cycles=332193 instructions=223674 cache-misses=20
[sample=9] cpu=0 bench=adpcm_enc cycles=629840 instructions=223672 cache-misses=20
[sample=10] cpu=0 bench=adpcm_enc cycles=372227 instructions=223672 cache-misses=19
[sample=11] cpu=0 bench=adpcm_enc cycles=324373 instructions=223673 cache-misses=12
[sample=12] cpu=0 bench=adpcm_enc cycles=335161 instructions=223672 cache-misses=14
[sample=13] cpu=0 bench=adpcm_enc cycles=318422 instructions=223672 cache-misses=17
[sample=14] cpu=0 bench=adpcm_enc cycles=319067 instructions=223673 cache-misses=17
[sample=15] cpu=0 bench=adpcm_enc cycles=323928 instructions=223673 cache-misses=16
[sample=16] cpu=0 bench=adpcm_enc cycles=311454 instructions=223674 cache-misses=14
[sample=17] cpu=0 bench=adpcm_enc cycles=315711 instructions=223673 cache-misses=19
[sample=18] cpu=0 bench=adpcm_enc cycles=313519 instructions=223673 cache-misses=14
[sample=19] cpu=0 bench=adpcm_enc cycles=329973 instructions=223673 cache-misses=22
[sample=20] cpu=0 bench=adpcm_enc cycles=334718 instructions=223673 cache-misses=22
[sample=21] cpu=0 bench=adpcm_enc cycles=319693 instructions=223673 cache-misses=21
[sample=22] cpu=0 bench=adpcm_enc cycles=311829 instructions=223673 cache-misses=15
[sample=23] cpu=0 bench=adpcm_enc cycles=314775 instructions=223674 cache-misses=21
[sample=24] cpu=0 bench=adpcm_enc cycles=311193 instructions=223673 cache-misses=19
[sample=25] cpu=0 bench=adpcm_enc cycles=318667 instructions=223674 cache-misses=15
[sample=26] cpu=0 bench=adpcm_enc cycles=312610 instructions=223673 cache-misses=19
[sample=27] cpu=0 bench=adpcm_enc cycles=315205 instructions=223674 cache-misses=15
[sample=28] cpu=0 bench=adpcm_enc cycles=340770 instructions=223673 cache-misses=26
[sample=29] cpu=0 bench=adpcm_enc cycles=332897 instructions=223677 cache-misses=30
[sample=30] cpu=0 bench=adpcm_enc cycles=325800 instructions=223674 cache-misses=19
[sample=31] cpu=0 bench=adpcm_enc cycles=325417 instructions=223675 cache-misses=16
[sample=32] cpu=0 bench=adpcm_enc cycles=321593 instructions=223673 cache-misses=14
[sample=33] cpu=0 bench=adpcm_enc cycles=314320 instructions=223675 cache-misses=15
[sample=34] cpu=0 bench=adpcm_enc cycles=321745 instructions=223674 cache-misses=15
[sample=35] cpu=0 bench=adpcm_enc cycles=311877 instructions=223673 cache-misses=18
[sample=36] cpu=0 bench=adpcm_enc cycles=318702 instructions=223674 cache-misses=12
[sample=37] cpu=0 bench=adpcm_enc cycles=319690 instructions=223674 cache-misses=18
[sample=38] cpu=0 bench=adpcm_enc cycles=313488 instructions=223673 cache-misses=13
[sample=39] cpu=0 bench=adpcm_enc cycles=316605 instructions=223675 cache-misses=15
[sample=40] cpu=0 bench=adpcm_enc cycles=316649 instructions=223679 cache-misses=20
[sample=41] cpu=0 bench=adpcm_enc cycles=338606 instructions=223674 cache-misses=27
[sample=42] cpu=0 bench=adpcm_enc cycles=327326 instructions=223673 cache-misses=16
[sample=43] cpu=0 bench=adpcm_enc cycles=326557 instructions=223672 cache-misses=20
[sample=44] cpu=0 bench=adpcm_enc cycles=319160 instructions=223672 cache-misses=15
[sample=45] cpu=0 bench=adpcm_enc cycles=320690 instructions=223673 cache-misses=22
[sample=46] cpu=0 bench=adpcm_enc cycles=311135 instructions=223672 cache-misses=23
[sample=47] cpu=0 bench=adpcm_enc cycles=309435 instructions=223673 cache-misses=15
[sample=48] cpu=0 bench=adpcm_enc cycles=309989 instructions=223673 cache-misses=16
[sample=49] cpu=0 bench=adpcm_enc cycles=335284 instructions=223673 cache-misses=25
[sample=50] cpu=0 bench=adpcm_enc cycles=335513 instructions=223673 cache-misses=23
[sample=51] cpu=0 bench=adpcm_enc cycles=337449 instructions=223674 cache-misses=22
[sample=52] cpu=0 bench=adpcm_enc cycles=337533 instructions=223674 cache-misses=19
[sample=53] cpu=0 bench=adpcm_enc cycles=328965 instructions=223673 cache-misses=16
[sample=54] cpu=0 bench=adpcm_enc cycles=326297 instructions=223673 cache-misses=19
[sample=55] cpu=0 bench=adpcm_enc cycles=547184 instructions=223675 cache-misses=15
[sample=56] cpu=0 bench=adpcm_enc cycles=319774 instructions=223674 cache-misses=17
[sample=57] cpu=0 bench=adpcm_enc cycles=331782 instructions=223675 cache-misses=32
[sample=58] cpu=0 bench=adpcm_enc cycles=329312 instructions=223674 cache-misses=29
[sample=59] cpu=0 bench=adpcm_enc cycles=311209 instructions=223673 cache-misses=25
[sample=60] cpu=0 bench=adpcm_enc cycles=313207 instructions=223674 cache-misses=23
[sample=61] cpu=0 bench=adpcm_enc cycles=309790 instructions=223672 cache-misses=19
[sample=62] cpu=0 bench=adpcm_enc cycles=311548 instructions=223673 cache-misses=19
[sample=63] cpu=0 bench=adpcm_enc cycles=311423 instructions=223673 cache-misses=20
[sample=64] cpu=0 bench=adpcm_enc cycles=319025 instructions=223673 cache-misses=11
[sample=65] cpu=0 bench=adpcm_enc cycles=313366 instructions=223674 cache-misses=17
[sample=66] cpu=0 bench=adpcm_enc cycles=319428 instructions=223674 cache-misses=16
[sample=67] cpu=0 bench=adpcm_enc cycles=319781 instructions=223676 cache-misses=14
[sample=68] cpu=0 bench=adpcm_enc cycles=309964 instructions=223674 cache-misses=15
[sample=69] cpu=0 bench=adpcm_enc cycles=333007 instructions=223674 cache-misses=23
[sample=70] cpu=0 bench=adpcm_enc cycles=318960 instructions=223674 cache-misses=18
[sample=71] cpu=0 bench=adpcm_enc cycles=316145 instructions=223672 cache-misses=13
[sample=72] cpu=0 bench=adpcm_enc cycles=322783 instructions=223673 cache-misses=17
[sample=73] cpu=0 bench=adpcm_enc cycles=316203 instructions=223674 cache-misses=19
[sample=74] cpu=0 bench=adpcm_enc cycles=312710 instructions=223673 cache-misses=21
[sample=75] cpu=0 bench=adpcm_enc cycles=314555 instructions=223673 cache-misses=13
[sample=76] cpu=0 bench=adpcm_enc cycles=309593 instructions=223673 cache-misses=14
[sample=77] cpu=0 bench=adpcm_enc cycles=331359 instructions=223673 cache-misses=18
[sample=78] cpu=0 bench=adpcm_enc cycles=325919 instructions=223673 cache-misses=18
[sample=79] cpu=0 bench=adpcm_enc cycles=326288 instructions=223676 cache-misses=29
[sample=80] cpu=0 bench=adpcm_enc cycles=331552 instructions=223672 cache-misses=23
[sample=81] cpu=0 bench=adpcm_enc cycles=323801 instructions=223675 cache-misses=19
[sample=82] cpu=0 bench=adpcm_enc cycles=313666 instructions=223673 cache-misses=13
[sample=83] cpu=0 bench=adpcm_enc cycles=308434 instructions=223673 cache-misses=14
[sample=84] cpu=0 bench=adpcm_enc cycles=314776 instructions=223675 cache-misses=17
[sample=85] cpu=0 bench=adpcm_enc cycles=312730 instructions=223673 cache-misses=14
[sample=86] cpu=0 bench=adpcm_enc cycles=308139 instructions=223673 cache-misses=17
[sample=87] cpu=0 bench=adpcm_enc cycles=315590 instructions=223673 cache-misses=13
[sample=88] cpu=0 bench=adpcm_enc cycles=319863 instructions=223673 cache-misses=13
[sample=89] cpu=0 bench=adpcm_enc cycles=317056 instructions=223673 cache-misses=20
[sample=90] cpu=0 bench=adpcm_enc cycles=310370 instructions=223674 cache-misses=15
[sample=91] cpu=0 bench=adpcm_enc cycles=321707 instructions=223674 cache-misses=23
[sample=92] cpu=0 bench=adpcm_enc cycles=323655 instructions=223673 cache-misses=23
[sample=93] cpu=0 bench=adpcm_enc cycles=319222 instructions=223673 cache-misses=13
[sample=94] cpu=0 bench=adpcm_enc cycles=331212 instructions=223672 cache-misses=19
[sample=95] cpu=0 bench=adpcm_enc cycles=324236 instructions=223672 cache-misses=15
[sample=96] cpu=0 bench=adpcm_enc cycles=319062 instructions=223673 cache-misses=15
[sample=97] cpu=0 bench=adpcm_enc cycles=327798 instructions=223672 cache-misses=16
