# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=bitcount (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=0] cpu=0 bench=bitcount cycles=106275 instructions=24593 cache-misses=37
[sample=1] cpu=0 bench=bitcount cycles=52805 instructions=24582 cache-misses=24
[sample=2] cpu=0 bench=bitcount cycles=36509 instructions=24586 cache-misses=17
[sample=3] cpu=0 bench=bitcount cycles=37989 instructions=24582 cache-misses=13
[sample=4] cpu=0 bench=bitcount cycles=31308 instructions=24585 cache-misses=11
[sample=5] cpu=0 bench=bitcount cycles=31334 instructions=24585 cache-misses=12
[sample=6] cpu=0 bench=bitcount cycles=36372 instructions=24582 cache-misses=12
[sample=7] cpu=0 bench=bitcount cycles=30308 instructions=24583 cache-misses=14
[sample=8] cpu=0 bench=bitcount cycles=30406 instructions=24582 cache-misses=11
[sample=9] cpu=0 bench=bitcount cycles=33360 instructions=24580 cache-misses=11
[sample=10] cpu=0 bench=bitcount cycles=31323 instructions=24582 cache-misses=12
[sample=11] cpu=0 bench=bitcount cycles=31553 instructions=24582 cache-misses=16
[sample=12] cpu=0 bench=bitcount cycles=35297 instructions=24581 cache-misses=12
[sample=13] cpu=0 bench=bitcount cycles=30324 instructions=24584 cache-misses=10
[sample=14] cpu=0 bench=bitcount cycles=30310 instructions=24583 cache-misses=10
[sample=15] cpu=0 bench=bitcount cycles=32136 instructions=24586 cache-misses=19
[sample=16] cpu=0 bench=bitcount cycles=32619 instructions=24584 cache-misses=14
[sample=17] cpu=0 bench=bitcount cycles=31542 instructions=24582 cache-misses=12
[sample=18] cpu=0 bench=bitcount cycles=31673 instructions=24581 cache-misses=13
[sample=19] cpu=0 bench=bitcount cycles=30376 instructions=24583 cache-misses=10
[sample=20] cpu=0 bench=bitcount cycles=30304 instructions=24582 cache-misses=10
[sample=21] cpu=0 bench=bitcount cycles=30503 instructions=24583 cache-misses=11
[sample=22] cpu=0 bench=bitcount cycles=30350 instructions=24581 cache-misses=14
[sample=23] cpu=0 bench=bitcount cycles=30304 instructions=24582 cache-misses=10
[sample=24] cpu=0 bench=bitcount cycles=30367 instructions=24584 cache-misses=11
[sample=25] cpu=0 bench=bitcount cycles=30334 instructions=24583 cache-misses=15
[sample=26] cpu=0 bench=bitcount cycles=30342 instructions=24583 cache-misses=11
[sample=27] cpu=0 bench=bitcount cycles=30898 instructions=24583 cache-misses=13
[sample=28] cpu=0 bench=bitcount cycles=31507 instructions=24583 cache-misses=12
[sample=29] cpu=0 bench=bitcount cycles=35097 instructions=24583 cache-misses=11
[sample=30] cpu=0 bench=bitcount cycles=31529 instructions=24583 cache-misses=10
[sample=31] cpu=0 bench=bitcount cycles=30311 instructions=24581 cache-misses=15
[sample=32] cpu=0 bench=bitcount cycles=36479 instructions=24581 cache-misses=18
[sample=33] cpu=0 bench=bitcount cycles=34201 instructions=24581 cache-misses=11
[sample=34] cpu=0 bench=bitcount cycles=31252 instructions=24582 cache-misses=13
[sample=35] cpu=0 bench=bitcount cycles=30316 instructions=24583 cache-misses=11
[sample=36] cpu=0 bench=bitcount cycles=30193 instructions=24584 cache-misses=9
[sample=37] cpu=0 bench=bitcount cycles=31455 instructions=24580 cache-misses=10
[sample=38] cpu=0 bench=bitcount cycles=35275 instructions=24582 cache-misses=11
[sample=39] cpu=0 bench=bitcount cycles=31582 instructions=24582 cache-misses=6
[sample=40] cpu=0 bench=bitcount cycles=31653 instructions=24583 cache-misses=13
[sample=41] cpu=0 bench=bitcount cycles=30435 instructions=24582 cache-misses=12
[sample=42] cpu=0 bench=bitcount cycles=30291 instructions=24583 cache-misses=10
[sample=43] cpu=0 bench=bitcount cycles=30315 instructions=24583 cache-misses=12
[sample=44] cpu=0 bench=bitcount cycles=31779 instructions=24582 cache-misses=11
[sample=45] cpu=0 bench=bitcount cycles=31269 instructions=24582 cache-misses=8
[sample=46] cpu=0 bench=bitcount cycles=37278 instructions=24583 cache-misses=9
[sample=47] cpu=0 bench=bitcount cycles=39132 instructions=24581 cache-misses=16
[sample=48] cpu=0 bench=bitcount cycles=33739 instructions=24582 cache-misses=13
[sample=49] cpu=0 bench=bitcount cycles=36201 instructions=24584 cache-misses=14
[sample=50] cpu=0 bench=bitcount cycles=30378 instructions=24582 cache-misses=15
[sample=51] cpu=0 bench=bitcount cycles=30290 instructions=24583 cache-misses=12
[sample=52] cpu=0 bench=bitcount cycles=34146 instructions=24583 cache-misses=12
[sample=53] cpu=0 bench=bitcount cycles=31634 instructions=24582 cache-misses=13
[sample=54] cpu=0 bench=bitcount cycles=31513 instructions=24583 cache-misses=10
[sample=55] cpu=0 bench=bitcount cycles=30332 instructions=24583 cache-misses=13
[sample=56] cpu=0 bench=bitcount cycles=30456 instructions=24583 cache-misses=14
[sample=57] cpu=0 bench=bitcount cycles=30273 instructions=24582 cache-misses=10
[sample=58] cpu=0 bench=bitcount cycles=30573 instructions=24583 cache-misses=11
[sample=59] cpu=0 bench=bitcount cycles=31059 instructions=24582 cache-misses=12
[sample=60] cpu=0 bench=bitcount cycles=30885 instructions=24583 cache-misses=11
[sample=61] cpu=0 bench=bitcount cycles=30308 instructions=24583 cache-misses=13
[sample=62] cpu=0 bench=bitcount cycles=30283 instructions=24582 cache-misses=12
[sample=63] cpu=0 bench=bitcount cycles=30542 instructions=24582 cache-misses=12
[sample=64] cpu=0 bench=bitcount cycles=31665 instructions=24584 cache-misses=12
[sample=65] cpu=0 bench=bitcount cycles=31728 instructions=24582 cache-misses=12
[sample=66] cpu=0 bench=bitcount cycles=30788 instructions=24584 cache-misses=12
[sample=67] cpu=0 bench=bitcount cycles=30448 instructions=24583 cache-misses=13
[sample=68] cpu=0 bench=bitcount cycles=30371 instructions=24583 cache-misses=11
[sample=69] cpu=0 bench=bitcount cycles=31131 instructions=24583 cache-misses=11
[sample=70] cpu=0 bench=bitcount cycles=31132 instructions=24583 cache-misses=10
[sample=71] cpu=0 bench=bitcount cycles=32391 instructions=24582 cache-misses=16
[sample=72] cpu=0 bench=bitcount cycles=30293 instructions=24581 cache-misses=15
[sample=73] cpu=0 bench=bitcount cycles=30289 instructions=24584 cache-misses=10
[sample=74] cpu=0 bench=bitcount cycles=30568 instructions=24583 cache-misses=11
[sample=75] cpu=0 bench=bitcount cycles=31095 instructions=24583 cache-misses=13
[sample=76] cpu=0 bench=bitcount cycles=34397 instructions=24584 cache-misses=13
[sample=77] cpu=0 bench=bitcount cycles=30830 instructions=24585 cache-misses=12
[sample=78] cpu=0 bench=bitcount cycles=30259 instructions=24584 cache-misses=10
[sample=79] cpu=0 bench=bitcount cycles=30300 instructions=24583 cache-misses=12
[sample=80] cpu=0 bench=bitcount cycles=32134 instructions=24583 cache-misses=12
[sample=81] cpu=0 bench=bitcount cycles=35504 instructions=24584 cache-misses=12
[sample=82] cpu=0 bench=bitcount cycles=32922 instructions=24581 cache-misses=15
[sample=83] cpu=0 bench=bitcount cycles=35263 instructions=24584 cache-misses=14
[sample=84] cpu=0 bench=bitcount cycles=31110 instructions=24580 cache-misses=11
[sample=85] cpu=0 bench=bitcount cycles=31099 instructions=24582 cache-misses=12
[sample=86] cpu=0 bench=bitcount cycles=30330 instructions=24581 cache-misses=14
[sample=87] cpu=0 bench=bitcount cycles=31499 instructions=24581 cache-misses=10
[sample=88] cpu=0 bench=bitcount cycles=30455 instructions=24583 cache-misses=12
[sample=89] cpu=0 bench=bitcount cycles=31798 instructions=24582 cache-misses=14
[sample=90] cpu=0 bench=bitcount cycles=31584 instructions=24581 cache-misses=14
[sample=91] cpu=0 bench=bitcount cycles=31940 instructions=24581 cache-misses=13
[sample=92] cpu=0 bench=bitcount cycles=31015 instructions=24581 cache-misses=15
[sample=93] cpu=0 bench=bitcount cycles=30379 instructions=24582 cache-misses=14
[sample=94] cpu=0 bench=bitcount cycles=35769 instructions=24582 cache-misses=11
[sample=95] cpu=0 bench=bitcount cycles=31122 instructions=24582 cache-misses=9
[sample=96] cpu=0 bench=bitcount cycles=30650 instructions=24581 cache-misses=11
[sample=97] cpu=0 bench=bitcount cycles=32003 instructions=24579 cache-misses=12
[sample=98] cpu=0 bench=bitcount cycles=30939 instructions=24581 cache-misses=11
