# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=complex_updates (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=0] cpu=0 bench=complex_updates cycles=26442 instructions=2558 cache-misses=25
[sample=1] cpu=0 bench=complex_updates cycles=17130 instructions=2555 cache-misses=16
[sample=2] cpu=0 bench=complex_updates cycles=21488 instructions=2555 cache-misses=13
[sample=3] cpu=0 bench=complex_updates cycles=28417 instructions=2554 cache-misses=6
[sample=4] cpu=0 bench=complex_updates cycles=5507 instructions=2554 cache-misses=5
[sample=5] cpu=0 bench=complex_updates cycles=3578 instructions=2553 cache-misses=7
[sample=6] cpu=0 bench=complex_updates cycles=3618 instructions=2553 cache-misses=7
[sample=7] cpu=0 bench=complex_updates cycles=3615 instructions=2553 cache-misses=4
[sample=8] cpu=0 bench=complex_updates cycles=3907 instructions=2553 cache-misses=3
[sample=9] cpu=0 bench=complex_updates cycles=4055 instructions=2553 cache-misses=4
[sample=10] cpu=0 bench=complex_updates cycles=3936 instructions=2553 cache-misses=5
[sample=11] cpu=0 bench=complex_updates cycles=3647 instructions=2553 cache-misses=1
[sample=12] cpu=0 bench=complex_updates cycles=3609 instructions=2553 cache-misses=4
[sample=13] cpu=0 bench=complex_updates cycles=3638 instructions=2553 cache-misses=3
[sample=14] cpu=0 bench=complex_updates cycles=3721 instructions=2553 cache-misses=7
[sample=15] cpu=0 bench=complex_updates cycles=9184 instructions=2553 cache-misses=5
[sample=16] cpu=0 bench=complex_updates cycles=3753 instructions=2553 cache-misses=5
[sample=17] cpu=0 bench=complex_updates cycles=3609 instructions=2554 cache-misses=0
[sample=18] cpu=0 bench=complex_updates cycles=3582 instructions=2553 cache-misses=2
[sample=19] cpu=0 bench=complex_updates cycles=3593 instructions=2553 cache-misses=4
[sample=20] cpu=0 bench=complex_updates cycles=3616 instructions=2553 cache-misses=5
[sample=21] cpu=0 bench=complex_updates cycles=3674 instructions=2553 cache-misses=4
[sample=22] cpu=0 bench=complex_updates cycles=3732 instructions=2553 cache-misses=1
[sample=23] cpu=0 bench=complex_updates cycles=3682 instructions=2553 cache-misses=3
[sample=24] cpu=0 bench=complex_updates cycles=4110 instructions=2553 cache-misses=1
[sample=25] cpu=0 bench=complex_updates cycles=3575 instructions=2553 cache-misses=2
[sample=26] cpu=0 bench=complex_updates cycles=3586 instructions=2553 cache-misses=7
[sample=27] cpu=0 bench=complex_updates cycles=3621 instructions=2553 cache-misses=3
[sample=28] cpu=0 bench=complex_updates cycles=4067 instructions=2553 cache-misses=1
[sample=29] cpu=0 bench=complex_updates cycles=3738 instructions=2553 cache-misses=6
[sample=30] cpu=0 bench=complex_updates cycles=3782 instructions=2553 cache-misses=3
[sample=31] cpu=0 bench=complex_updates cycles=4029 instructions=2553 cache-misses=3
[sample=32] cpu=0 bench=complex_updates cycles=3650 instructions=2553 cache-misses=9
[sample=33] cpu=0 bench=complex_updates cycles=3615 instructions=2553 cache-misses=7
[sample=34] cpu=0 bench=complex_updates cycles=3575 instructions=2553 cache-misses=4
[sample=35] cpu=0 bench=complex_updates cycles=3614 instructions=2553 cache-misses=3
[sample=36] cpu=0 bench=complex_updates cycles=4231 instructions=2553 cache-misses=5
[sample=37] cpu=0 bench=complex_updates cycles=8111 instructions=2553 cache-misses=4
[sample=38] cpu=0 bench=complex_updates cycles=3851 instructions=2553 cache-misses=3
[sample=39] cpu=0 bench=complex_updates cycles=3645 instructions=2553 cache-misses=4
[sample=40] cpu=0 bench=complex_updates cycles=3578 instructions=2553 cache-misses=5
[sample=41] cpu=0 bench=complex_updates cycles=3610 instructions=2553 cache-misses=6
[sample=42] cpu=0 bench=complex_updates cycles=3623 instructions=2553 cache-misses=3
[sample=43] cpu=0 bench=complex_updates cycles=4094 instructions=2554 cache-misses=2
[sample=44] cpu=0 bench=complex_updates cycles=4237 instructions=2553 cache-misses=4
[sample=45] cpu=0 bench=complex_updates cycles=4117 instructions=2554 cache-misses=5
[sample=46] cpu=0 bench=complex_updates cycles=3599 instructions=2553 cache-misses=5
