# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=0] cpu=0 bench=fir2dim cycles=54143 instructions=10132 cache-misses=20
[sample=1] cpu=0 bench=fir2dim cycles=15047 instructions=10117 cache-misses=9
[sample=2] cpu=0 bench=fir2dim cycles=15180 instructions=10110 cache-misses=5
[sample=3] cpu=0 bench=fir2dim cycles=15170 instructions=10107 cache-misses=7
[sample=4] cpu=0 bench=fir2dim cycles=13577 instructions=10108 cache-misses=7
[sample=5] cpu=0 bench=fir2dim cycles=13059 instructions=10108 cache-misses=5
[sample=6] cpu=0 bench=fir2dim cycles=13309 instructions=10106 cache-misses=7
[sample=7] cpu=0 bench=fir2dim cycles=13300 instructions=10107 cache-misses=4
[sample=8] cpu=0 bench=fir2dim cycles=13974 instructions=10105 cache-misses=4
[sample=9] cpu=0 bench=fir2dim cycles=13714 instructions=10109 cache-misses=4
[sample=10] cpu=0 bench=fir2dim cycles=13006 instructions=10109 cache-misses=7
[sample=11] cpu=0 bench=fir2dim cycles=13011 instructions=10107 cache-misses=4
[sample=12] cpu=0 bench=fir2dim cycles=13061 instructions=10108 cache-misses=5
[sample=13] cpu=0 bench=fir2dim cycles=13834 instructions=10110 cache-misses=8
[sample=14] cpu=0 bench=fir2dim cycles=13884 instructions=10112 cache-misses=7
[sample=15] cpu=0 bench=fir2dim cycles=14187 instructions=10107 cache-misses=6
[sample=16] cpu=0 bench=fir2dim cycles=13057 instructions=10109 cache-misses=4
[sample=17] cpu=0 bench=fir2dim cycles=13024 instructions=10110 cache-misses=5
[sample=18] cpu=0 bench=fir2dim cycles=13055 instructions=10108 cache-misses=4
[sample=19] cpu=0 bench=fir2dim cycles=13356 instructions=10109 cache-misses=7
[sample=20] cpu=0 bench=fir2dim cycles=13713 instructions=10111 cache-misses=5
[sample=21] cpu=0 bench=fir2dim cycles=13523 instructions=10108 cache-misses=5
[sample=22] cpu=0 bench=fir2dim cycles=13079 instructions=10104 cache-misses=8
[sample=23] cpu=0 bench=fir2dim cycles=13036 instructions=10106 cache-misses=6
[sample=24] cpu=0 bench=fir2dim cycles=13032 instructions=10105 cache-misses=7
[sample=25] cpu=0 bench=fir2dim cycles=13085 instructions=10105 cache-misses=7
[sample=26] cpu=0 bench=fir2dim cycles=17195 instructions=10104 cache-misses=4
[sample=27] cpu=0 bench=fir2dim cycles=13426 instructions=10105 cache-misses=6
[sample=28] cpu=0 bench=fir2dim cycles=13445 instructions=10106 cache-misses=8
[sample=29] cpu=0 bench=fir2dim cycles=13018 instructions=10108 cache-misses=8
[sample=30] cpu=0 bench=fir2dim cycles=13077 instructions=10108 cache-misses=4
[sample=31] cpu=0 bench=fir2dim cycles=13015 instructions=10105 cache-misses=5
[sample=32] cpu=0 bench=fir2dim cycles=13350 instructions=10105 cache-misses=7
[sample=33] cpu=0 bench=fir2dim cycles=13466 instructions=10106 cache-misses=9
[sample=34] cpu=0 bench=fir2dim cycles=13435 instructions=10108 cache-misses=6
[sample=35] cpu=0 bench=fir2dim cycles=13072 instructions=10105 cache-misses=6
[sample=36] cpu=0 bench=fir2dim cycles=13077 instructions=10107 cache-misses=4
[sample=37] cpu=0 bench=fir2dim cycles=13013 instructions=10107 cache-misses=6
[sample=38] cpu=0 bench=fir2dim cycles=13230 instructions=10104 cache-misses=6
[sample=39] cpu=0 bench=fir2dim cycles=13075 instructions=10106 cache-misses=4
[sample=40] cpu=0 bench=fir2dim cycles=13163 instructions=10113 cache-misses=7
[sample=41] cpu=0 bench=fir2dim cycles=13176 instructions=10112 cache-misses=6
[sample=42] cpu=0 bench=fir2dim cycles=13643 instructions=10109 cache-misses=6
[sample=43] cpu=0 bench=fir2dim cycles=13470 instructions=10111 cache-misses=7
[sample=44] cpu=0 bench=fir2dim cycles=13111 instructions=10113 cache-misses=8
[sample=45] cpu=0 bench=fir2dim cycles=13073 instructions=10109 cache-misses=6
[sample=46] cpu=0 bench=fir2dim cycles=13056 instructions=10109 cache-misses=5
[sample=47] cpu=0 bench=fir2dim cycles=17308 instructions=10109 cache-misses=6
[sample=48] cpu=0 bench=fir2dim cycles=13068 instructions=10109 cache-misses=7
[sample=49] cpu=0 bench=fir2dim cycles=13062 instructions=10105 cache-misses=10
[sample=50] cpu=0 bench=fir2dim cycles=13572 instructions=10107 cache-misses=5
[sample=51] cpu=0 bench=fir2dim cycles=13377 instructions=10104 cache-misses=5
[sample=52] cpu=0 bench=fir2dim cycles=13363 instructions=10106 cache-misses=5
[sample=53] cpu=0 bench=fir2dim cycles=13106 instructions=10108 cache-misses=8
[sample=54] cpu=0 bench=fir2dim cycles=13030 instructions=10109 cache-misses=7
