# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=0] cpu=0 bench=iir cycles=23070 instructions=2592 cache-misses=15
[sample=1] cpu=0 bench=iir cycles=11087 instructions=2588 cache-misses=7
[sample=2] cpu=0 bench=iir cycles=9543 instructions=2588 cache-misses=7
[sample=3] cpu=0 bench=iir cycles=4288 instructions=2588 cache-misses=4
[sample=4] cpu=0 bench=iir cycles=3783 instructions=2588 cache-misses=5
[sample=5] cpu=0 bench=iir cycles=3594 instructions=2588 cache-misses=4
[sample=6] cpu=0 bench=iir cycles=8766 instructions=2588 cache-misses=4
[sample=7] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=3
[sample=8] cpu=0 bench=iir cycles=3524 instructions=2588 cache-misses=6
[sample=9] cpu=0 bench=iir cycles=3562 instructions=2588 cache-misses=4
[sample=10] cpu=0 bench=iir cycles=3514 instructions=2588 cache-misses=3
[sample=11] cpu=0 bench=iir cycles=3801 instructions=2588 cache-misses=3
[sample=12] cpu=0 bench=iir cycles=3674 instructions=2588 cache-misses=4
[sample=13] cpu=0 bench=iir cycles=3894 instructions=2588 cache-misses=5
[sample=14] cpu=0 bench=iir cycles=3766 instructions=2588 cache-misses=3
[sample=15] cpu=0 bench=iir cycles=3516 instructions=2588 cache-misses=6
[sample=16] cpu=0 bench=iir cycles=3497 instructions=2588 cache-misses=5
[sample=17] cpu=0 bench=iir cycles=3513 instructions=2588 cache-misses=7
[sample=18] cpu=0 bench=iir cycles=3838 instructions=2588 cache-misses=4
[sample=19] cpu=0 bench=iir cycles=9764 instructions=2588 cache-misses=5
[sample=20] cpu=0 bench=iir cycles=3526 instructions=2588 cache-misses=3
[sample=21] cpu=0 bench=iir cycles=3733 instructions=2588 cache-misses=5
[sample=22] cpu=0 bench=iir cycles=3520 instructions=2588 cache-misses=5
[sample=23] cpu=0 bench=iir cycles=3486 instructions=2588 cache-misses=4
[sample=24] cpu=0 bench=iir cycles=3482 instructions=2588 cache-misses=4
[sample=25] cpu=0 bench=iir cycles=3705 instructions=2588 cache-misses=4
[sample=26] cpu=0 bench=iir cycles=3727 instructions=2588 cache-misses=5
[sample=27] cpu=0 bench=iir cycles=3982 instructions=2588 cache-misses=5
[sample=28] cpu=0 bench=iir cycles=3531 instructions=2588 cache-misses=3
[sample=29] cpu=0 bench=iir cycles=3495 instructions=2588 cache-misses=4
[sample=30] cpu=0 bench=iir cycles=3491 instructions=2588 cache-misses=4
[sample=31] cpu=0 bench=iir cycles=3474 instructions=2588 cache-misses=3
[sample=32] cpu=0 bench=iir cycles=3804 instructions=2588 cache-misses=5
[sample=33] cpu=0 bench=iir cycles=3795 instructions=2588 cache-misses=5
[sample=34] cpu=0 bench=iir cycles=3517 instructions=2588 cache-misses=5
[sample=35] cpu=0 bench=iir cycles=3496 instructions=2588 cache-misses=4
[sample=36] cpu=0 bench=iir cycles=3851 instructions=2588 cache-misses=3
[sample=37] cpu=0 bench=iir cycles=3513 instructions=2588 cache-misses=5
[sample=38] cpu=0 bench=iir cycles=3865 instructions=2588 cache-misses=4
[sample=39] cpu=0 bench=iir cycles=3634 instructions=2588 cache-misses=5
[sample=40] cpu=0 bench=iir cycles=3505 instructions=2588 cache-misses=4
[sample=41] cpu=0 bench=iir cycles=3573 instructions=2588 cache-misses=4
[sample=42] cpu=0 bench=iir cycles=3477 instructions=2588 cache-misses=5
[sample=43] cpu=0 bench=iir cycles=3899 instructions=2588 cache-misses=4
[sample=44] cpu=0 bench=iir cycles=3709 instructions=2588 cache-misses=5
[sample=45] cpu=0 bench=iir cycles=3747 instructions=2588 cache-misses=5
[sample=46] cpu=0 bench=iir cycles=3741 instructions=2588 cache-misses=4
[sample=47] cpu=0 bench=iir cycles=3542 instructions=2588 cache-misses=5
[sample=48] cpu=0 bench=iir cycles=3514 instructions=2588 cache-misses=6
[sample=49] cpu=0 bench=iir cycles=3504 instructions=2588 cache-misses=4
[sample=50] cpu=0 bench=iir cycles=3512 instructions=2588 cache-misses=6
[sample=51] cpu=0 bench=iir cycles=3640 instructions=2588 cache-misses=3
[sample=52] cpu=0 bench=iir cycles=4701 instructions=2588 cache-misses=6
[sample=53] cpu=0 bench=iir cycles=3496 instructions=2588 cache-misses=3
[sample=54] cpu=0 bench=iir cycles=3955 instructions=2588 cache-misses=5
[sample=55] cpu=0 bench=iir cycles=7984 instructions=2588 cache-misses=5
[sample=56] cpu=0 bench=iir cycles=3546 instructions=2588 cache-misses=5
[sample=57] cpu=0 bench=iir cycles=3476 instructions=2588 cache-misses=5
[sample=58] cpu=0 bench=iir cycles=3533 instructions=2588 cache-misses=7
[sample=59] cpu=0 bench=iir cycles=3508 instructions=2588 cache-misses=6
[sample=60] cpu=0 bench=iir cycles=3486 instructions=2588 cache-misses=4
[sample=61] cpu=0 bench=iir cycles=3562 instructions=2588 cache-misses=4
[sample=62] cpu=0 bench=iir cycles=3716 instructions=2588 cache-misses=7
[sample=63] cpu=0 bench=iir cycles=3657 instructions=2588 cache-misses=5
[sample=64] cpu=0 bench=iir cycles=3500 instructions=2588 cache-misses=8
[sample=65] cpu=0 bench=iir cycles=3471 instructions=2588 cache-misses=5
[sample=66] cpu=0 bench=iir cycles=3458 instructions=2588 cache-misses=4
[sample=67] cpu=0 bench=iir cycles=3518 instructions=2588 cache-misses=5
[sample=68] cpu=0 bench=iir cycles=3824 instructions=2588 cache-misses=6
[sample=69] cpu=0 bench=iir cycles=4437 instructions=2588 cache-misses=5
[sample=70] cpu=0 bench=iir cycles=3731 instructions=2588 cache-misses=5
[sample=71] cpu=0 bench=iir cycles=3685 instructions=2588 cache-misses=3
[sample=72] cpu=0 bench=iir cycles=3478 instructions=2588 cache-misses=3
[sample=73] cpu=0 bench=iir cycles=3480 instructions=2588 cache-misses=3
[sample=74] cpu=0 bench=iir cycles=3468 instructions=2588 cache-misses=4
[sample=75] cpu=0 bench=iir cycles=3842 instructions=2588 cache-misses=6
[sample=76] cpu=0 bench=iir cycles=3673 instructions=2588 cache-misses=4
[sample=77] cpu=0 bench=iir cycles=3670 instructions=2588 cache-misses=4
[sample=78] cpu=0 bench=iir cycles=3794 instructions=2588 cache-misses=6
[sample=79] cpu=0 bench=iir cycles=3466 instructions=2588 cache-misses=5
[sample=80] cpu=0 bench=iir cycles=3506 instructions=2588 cache-misses=7
[sample=81] cpu=0 bench=iir cycles=3509 instructions=2588 cache-misses=3
[sample=82] cpu=0 bench=iir cycles=3805 instructions=2588 cache-misses=7
[sample=83] cpu=0 bench=iir cycles=3662 instructions=2588 cache-misses=5
[sample=84] cpu=0 bench=iir cycles=3771 instructions=2588 cache-misses=6
[sample=85] cpu=0 bench=iir cycles=3742 instructions=2588 cache-misses=5
[sample=86] cpu=0 bench=iir cycles=3495 instructions=2588 cache-misses=4
[sample=87] cpu=0 bench=iir cycles=3507 instructions=2588 cache-misses=4
[sample=88] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=3
[sample=89] cpu=0 bench=iir cycles=3477 instructions=2588 cache-misses=3
[sample=90] cpu=0 bench=iir cycles=3540 instructions=2588 cache-misses=4
[sample=91] cpu=0 bench=iir cycles=3515 instructions=2588 cache-misses=7
[sample=92] cpu=0 bench=iir cycles=3551 instructions=2588 cache-misses=5
[sample=93] cpu=0 bench=iir cycles=3667 instructions=2588 cache-misses=5
[sample=94] cpu=0 bench=iir cycles=3866 instructions=2588 cache-misses=4
[sample=95] cpu=0 bench=iir cycles=4059 instructions=2588 cache-misses=6
[sample=96] cpu=0 bench=iir cycles=3584 instructions=2588 cache-misses=4
[sample=97] cpu=0 bench=iir cycles=3499 instructions=2588 cache-misses=5
[sample=98] cpu=0 bench=iir cycles=3483 instructions=2588 cache-misses=3
[sample=99] cpu=0 bench=iir cycles=3529 instructions=2588 cache-misses=5
[sample=100] cpu=0 bench=iir cycles=7207 instructions=2588 cache-misses=5
[sample=101] cpu=0 bench=iir cycles=3622 instructions=2588 cache-misses=5
[sample=102] cpu=0 bench=iir cycles=3663 instructions=2588 cache-misses=5
[sample=103] cpu=0 bench=iir cycles=3932 instructions=2588 cache-misses=6
[sample=104] cpu=0 bench=iir cycles=3521 instructions=2588 cache-misses=4
[sample=105] cpu=0 bench=iir cycles=3469 instructions=2588 cache-misses=6
[sample=106] cpu=0 bench=iir cycles=3528 instructions=2588 cache-misses=7
[sample=107] cpu=0 bench=iir cycles=3596 instructions=2588 cache-misses=6
[sample=108] cpu=0 bench=iir cycles=3521 instructions=2588 cache-misses=5
[sample=109] cpu=0 bench=iir cycles=3520 instructions=2588 cache-misses=6
[sample=110] cpu=0 bench=iir cycles=3518 instructions=2588 cache-misses=5
[sample=111] cpu=0 bench=iir cycles=3493 instructions=2588 cache-misses=5
[sample=112] cpu=0 bench=iir cycles=3711 instructions=2588 cache-misses=5
[sample=113] cpu=0 bench=iir cycles=3670 instructions=2588 cache-misses=3
[sample=114] cpu=0 bench=iir cycles=3592 instructions=2588 cache-misses=4
[sample=115] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=3
[sample=116] cpu=0 bench=iir cycles=3517 instructions=2588 cache-misses=5
[sample=117] cpu=0 bench=iir cycles=3504 instructions=2588 cache-misses=6
[sample=118] cpu=0 bench=iir cycles=3493 instructions=2588 cache-misses=5
[sample=119] cpu=0 bench=iir cycles=3622 instructions=2588 cache-misses=6
[sample=120] cpu=0 bench=iir cycles=3667 instructions=2588 cache-misses=5
[sample=121] cpu=0 bench=iir cycles=3558 instructions=2588 cache-misses=4
[sample=122] cpu=0 bench=iir cycles=3493 instructions=2588 cache-misses=4
[sample=123] cpu=0 bench=iir cycles=3439 instructions=2588 cache-misses=3
[sample=124] cpu=0 bench=iir cycles=3484 instructions=2588 cache-misses=5
[sample=125] cpu=0 bench=iir cycles=3500 instructions=2588 cache-misses=5
[sample=126] cpu=0 bench=iir cycles=7760 instructions=2588 cache-misses=6
[sample=127] cpu=0 bench=iir cycles=4035 instructions=2588 cache-misses=5
[sample=128] cpu=0 bench=iir cycles=3583 instructions=2588 cache-misses=4
[sample=129] cpu=0 bench=iir cycles=3700 instructions=2588 cache-misses=3
[sample=130] cpu=0 bench=iir cycles=3491 instructions=2588 cache-misses=5
[sample=131] cpu=0 bench=iir cycles=3516 instructions=2588 cache-misses=5
[sample=132] cpu=0 bench=iir cycles=3515 instructions=2588 cache-misses=4
[sample=133] cpu=0 bench=iir cycles=3698 instructions=2588 cache-misses=6
[sample=134] cpu=0 bench=iir cycles=3718 instructions=2588 cache-misses=3
[sample=135] cpu=0 bench=iir cycles=3599 instructions=2588 cache-misses=5
[sample=136] cpu=0 bench=iir cycles=4092 instructions=2588 cache-misses=5
[sample=137] cpu=0 bench=iir cycles=3498 instructions=2588 cache-misses=3
[sample=138] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=4
