# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=bitcount (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=0] cpu=0 bench=bitcount cycles=58512 instructions=24593 cache-misses=36
[sample=1] cpu=0 bench=bitcount cycles=100233 instructions=24584 cache-misses=28
[sample=2] cpu=0 bench=bitcount cycles=39867 instructions=24582 cache-misses=10
[sample=3] cpu=0 bench=bitcount cycles=30247 instructions=24583 cache-misses=1
[sample=4] cpu=0 bench=bitcount cycles=30142 instructions=24582 cache-misses=2
[sample=5] cpu=0 bench=bitcount cycles=30105 instructions=24585 cache-misses=0
[sample=6] cpu=0 bench=bitcount cycles=30085 instructions=24582 cache-misses=0
[sample=7] cpu=0 bench=bitcount cycles=30688 instructions=24583 cache-misses=0
[sample=8] cpu=0 bench=bitcount cycles=60019 instructions=24584 cache-misses=13
[sample=9] cpu=0 bench=bitcount cycles=62740 instructions=24584 cache-misses=23
[sample=10] cpu=0 bench=bitcount cycles=67726 instructions=24584 cache-misses=17
[sample=11] cpu=0 bench=bitcount cycles=38793 instructions=24582 cache-misses=14
[sample=12] cpu=0 bench=bitcount cycles=31086 instructions=24584 cache-misses=12
[sample=13] cpu=0 bench=bitcount cycles=33827 instructions=24583 cache-misses=16
[sample=14] cpu=0 bench=bitcount cycles=37322 instructions=24583 cache-misses=13
[sample=15] cpu=0 bench=bitcount cycles=30368 instructions=24581 cache-misses=14
[sample=16] cpu=0 bench=bitcount cycles=30318 instructions=24583 cache-misses=10
[sample=17] cpu=0 bench=bitcount cycles=31949 instructions=24584 cache-misses=14
[sample=18] cpu=0 bench=bitcount cycles=31841 instructions=24581 cache-misses=12
[sample=19] cpu=0 bench=bitcount cycles=32084 instructions=24585 cache-misses=18
