# board=imx8mm
# config=LLC+BUS
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=duff (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_BUS
[sample=0] cpu=0 bench=duff cycles=29651 instructions=3912 cache-misses=12
[sample=1] cpu=0 bench=duff cycles=19358 instructions=3909 cache-misses=9
[sample=2] cpu=0 bench=duff cycles=20896 instructions=3909 cache-misses=2
[sample=3] cpu=0 bench=duff cycles=9198 instructions=3909 cache-misses=1
[sample=4] cpu=0 bench=duff cycles=5514 instructions=3909 cache-misses=2
[sample=5] cpu=0 bench=duff cycles=5129 instructions=3909 cache-misses=1
[sample=6] cpu=0 bench=duff cycles=5865 instructions=3909 cache-misses=1
[sample=7] cpu=0 bench=duff cycles=5457 instructions=3909 cache-misses=1
[sample=8] cpu=0 bench=duff cycles=5616 instructions=3909 cache-misses=2
[sample=9] cpu=0 bench=duff cycles=5376 instructions=3909 cache-misses=1
[sample=10] cpu=0 bench=duff cycles=4770 instructions=3909 cache-misses=0
[sample=11] cpu=0 bench=duff cycles=4792 instructions=3909 cache-misses=2
[sample=12] cpu=0 bench=duff cycles=4785 instructions=3909 cache-misses=1
[sample=13] cpu=0 bench=duff cycles=5733 instructions=3909 cache-misses=1
[sample=14] cpu=0 bench=duff cycles=5722 instructions=3909 cache-misses=1
[sample=15] cpu=0 bench=duff cycles=7474 instructions=3909 cache-misses=2
[sample=16] cpu=0 bench=duff cycles=5582 instructions=3909 cache-misses=1
[sample=17] cpu=0 bench=duff cycles=5853 instructions=3909 cache-misses=1
[sample=18] cpu=0 bench=duff cycles=6318 instructions=3909 cache-misses=1
[sample=19] cpu=0 bench=duff cycles=4775 instructions=3909 cache-misses=1
[sample=20] cpu=0 bench=duff cycles=4773 instructions=3909 cache-misses=1
[sample=21] cpu=0 bench=duff cycles=5046 instructions=3909 cache-misses=0
[sample=22] cpu=0 bench=duff cycles=5489 instructions=3909 cache-misses=0
[sample=23] cpu=0 bench=duff cycles=5600 instructions=3909 cache-misses=1
[sample=24] cpu=0 bench=duff cycles=5090 instructions=3909 cache-misses=1
[sample=25] cpu=0 bench=duff cycles=5457 instructions=3909 cache-misses=3
[sample=26] cpu=0 bench=duff cycles=9541 instructions=3909 cache-misses=2
[sample=27] cpu=0 bench=duff cycles=4840 instructions=3909 cache-misses=2
[sample=28] cpu=0 bench=duff cycles=4797 instructions=3909 cache-misses=3
[sample=29] cpu=0 bench=duff cycles=5166 instructions=3909 cache-misses=2
[sample=30] cpu=0 bench=duff cycles=5303 instructions=3909 cache-misses=2
[sample=31] cpu=0 bench=duff cycles=6238 instructions=3909 cache-misses=2
[sample=32] cpu=0 bench=duff cycles=5138 instructions=3909 cache-misses=1
[sample=33] cpu=0 bench=duff cycles=4963 instructions=3909 cache-misses=2
[sample=34] cpu=0 bench=duff cycles=4830 instructions=3909 cache-misses=0
[sample=35] cpu=0 bench=duff cycles=7179 instructions=3909 cache-misses=2
[sample=36] cpu=0 bench=duff cycles=6622 instructions=3909 cache-misses=2
[sample=37] cpu=0 bench=duff cycles=5321 instructions=3909 cache-misses=1
[sample=38] cpu=0 bench=duff cycles=5501 instructions=3909 cache-misses=1
[sample=39] cpu=0 bench=duff cycles=5677 instructions=3909 cache-misses=2
[sample=40] cpu=0 bench=duff cycles=5406 instructions=3909 cache-misses=1
[sample=41] cpu=0 bench=duff cycles=4906 instructions=3909 cache-misses=0
[sample=42] cpu=0 bench=duff cycles=4822 instructions=3909 cache-misses=1
[sample=43] cpu=0 bench=duff cycles=4833 instructions=3909 cache-misses=1
[sample=44] cpu=0 bench=duff cycles=5523 instructions=3909 cache-misses=1
[sample=45] cpu=0 bench=duff cycles=5510 instructions=3909 cache-misses=1
[sample=46] cpu=0 bench=duff cycles=5579 instructions=3909 cache-misses=0
[sample=47] cpu=0 bench=duff cycles=5705 instructions=3909 cache-misses=1
[sample=48] cpu=0 bench=duff cycles=5915 instructions=3909 cache-misses=2
[sample=49] cpu=0 bench=duff cycles=6459 instructions=3909 cache-misses=2
[sample=50] cpu=0 bench=duff cycles=4978 instructions=3909 cache-misses=1
[sample=51] cpu=0 bench=duff cycles=6245 instructions=3909 cache-misses=1
[sample=52] cpu=0 bench=duff cycles=5264 instructions=3909 cache-misses=0
[sample=53] cpu=0 bench=duff cycles=6040 instructions=3909 cache-misses=1
[sample=54] cpu=0 bench=duff cycles=7402 instructions=3909 cache-misses=1
[sample=55] cpu=0 bench=duff cycles=5275 instructions=3909 cache-misses=2
[sample=56] cpu=0 bench=duff cycles=4838 instructions=3909 cache-misses=1
[sample=57] cpu=0 bench=duff cycles=4797 instructions=3909 cache-misses=1
[sample=58] cpu=0 bench=duff cycles=5113 instructions=3909 cache-misses=1
[sample=59] cpu=0 bench=duff cycles=4966 instructions=3909 cache-misses=1
[sample=60] cpu=0 bench=duff cycles=5354 instructions=3909 cache-misses=1
[sample=61] cpu=0 bench=duff cycles=5147 instructions=3909 cache-misses=2
[sample=62] cpu=0 bench=duff cycles=5100 instructions=3909 cache-misses=1
[sample=63] cpu=0 bench=duff cycles=4965 instructions=3909 cache-misses=4
[sample=64] cpu=0 bench=duff cycles=4784 instructions=3909 cache-misses=2
[sample=65] cpu=0 bench=duff cycles=4793 instructions=3909 cache-misses=2
[sample=66] cpu=0 bench=duff cycles=4956 instructions=3909 cache-misses=1
[sample=67] cpu=0 bench=duff cycles=5374 instructions=3909 cache-misses=2
[sample=68] cpu=0 bench=duff cycles=5181 instructions=3909 cache-misses=0
[sample=69] cpu=0 bench=duff cycles=5619 instructions=3909 cache-misses=1
[sample=70] cpu=0 bench=duff cycles=5787 instructions=3909 cache-misses=1
[sample=71] cpu=0 bench=duff cycles=5402 instructions=3909 cache-misses=1
[sample=72] cpu=0 bench=duff cycles=6698 instructions=3909 cache-misses=1
[sample=73] cpu=0 bench=duff cycles=4830 instructions=3909 cache-misses=1
[sample=74] cpu=0 bench=duff cycles=4839 instructions=3909 cache-misses=1
[sample=75] cpu=0 bench=duff cycles=4974 instructions=3909 cache-misses=1
[sample=76] cpu=0 bench=duff cycles=5250 instructions=3909 cache-misses=2
[sample=77] cpu=0 bench=duff cycles=5120 instructions=3909 cache-misses=2
[sample=78] cpu=0 bench=duff cycles=5397 instructions=3909 cache-misses=0
[sample=79] cpu=0 bench=duff cycles=5119 instructions=3909 cache-misses=2
[sample=80] cpu=0 bench=duff cycles=4973 instructions=3909 cache-misses=2
[sample=81] cpu=0 bench=duff cycles=6051 instructions=3909 cache-misses=1
[sample=82] cpu=0 bench=duff cycles=4778 instructions=3909 cache-misses=0
[sample=83] cpu=0 bench=duff cycles=4814 instructions=3909 cache-misses=1
[sample=84] cpu=0 bench=duff cycles=5031 instructions=3909 cache-misses=1
[sample=85] cpu=0 bench=duff cycles=5006 instructions=3909 cache-misses=1
[sample=86] cpu=0 bench=duff cycles=5783 instructions=3909 cache-misses=2
[sample=87] cpu=0 bench=duff cycles=5313 instructions=3909 cache-misses=2
[sample=88] cpu=0 bench=duff cycles=4766 instructions=3909 cache-misses=0
[sample=89] cpu=0 bench=duff cycles=5032 instructions=3909 cache-misses=1
[sample=90] cpu=0 bench=duff cycles=5181 instructions=3909 cache-misses=2
[sample=91] cpu=0 bench=duff cycles=5232 instructions=3909 cache-misses=2
[sample=92] cpu=0 bench=duff cycles=5343 instructions=3909 cache-misses=1
[sample=93] cpu=0 bench=duff cycles=5154 instructions=3909 cache-misses=1
[sample=94] cpu=0 bench=duff cycles=5409 instructions=3909 cache-misses=1
[sample=95] cpu=0 bench=duff cycles=5149 instructions=3909 cache-misses=2
[sample=96] cpu=0 bench=duff cycles=4772 instructions=3909 cache-misses=2
[sample=97] cpu=0 bench=duff cycles=4809 instructions=3909 cache-misses=1
[sample=98] cpu=0 bench=duff cycles=4780 instructions=3909 cache-misses=1
[sample=99] cpu=0 bench=duff cycles=10726 instructions=3909 cache-misses=3
[sample=100] cpu=0 bench=duff cycles=5729 instructions=3909 cache-misses=1
[sample=101] cpu=0 bench=duff cycles=5129 instructions=3909 cache-misses=0
[sample=102] cpu=0 bench=duff cycles=5295 instructions=3909 cache-misses=1
[sample=103] cpu=0 bench=duff cycles=5380 instructions=3909 cache-misses=2
[sample=104] cpu=0 bench=duff cycles=5158 instructions=3909 cache-misses=3
[sample=105] cpu=0 bench=duff cycles=4770 instructions=3909 cache-misses=2
[sample=106] cpu=0 bench=duff cycles=6130 instructions=3909 cache-misses=1
[sample=107] cpu=0 bench=duff cycles=5176 instructions=3909 cache-misses=2
[sample=108] cpu=0 bench=duff cycles=5212 instructions=3909 cache-misses=1
[sample=109] cpu=0 bench=duff cycles=4959 instructions=3909 cache-misses=2
[sample=110] cpu=0 bench=duff cycles=5051 instructions=3909 cache-misses=0
[sample=111] cpu=0 bench=duff cycles=5485 instructions=3909 cache-misses=1
[sample=112] cpu=0 bench=duff cycles=4770 instructions=3909 cache-misses=0
[sample=113] cpu=0 bench=duff cycles=4766 instructions=3909 cache-misses=1
[sample=114] cpu=0 bench=duff cycles=5167 instructions=3909 cache-misses=1
[sample=115] cpu=0 bench=duff cycles=5169 instructions=3909 cache-misses=1
[sample=116] cpu=0 bench=duff cycles=5522 instructions=3909 cache-misses=1
[sample=117] cpu=0 bench=duff cycles=5787 instructions=3909 cache-misses=2
[sample=118] cpu=0 bench=duff cycles=4966 instructions=3909 cache-misses=1
[sample=119] cpu=0 bench=duff cycles=5484 instructions=3909 cache-misses=2
[sample=120] cpu=0 bench=duff cycles=4778 instructions=3909 cache-misses=1
[sample=121] cpu=0 bench=duff cycles=5728 instructions=3909 cache-misses=1
[sample=122] cpu=0 bench=duff cycles=4742 instructions=3909 cache-misses=1
[sample=123] cpu=0 bench=duff cycles=5145 instructions=3909 cache-misses=1
[sample=124] cpu=0 bench=duff cycles=5787 instructions=3909 cache-misses=1
[sample=125] cpu=0 bench=duff cycles=5274 instructions=3909 cache-misses=1
[sample=126] cpu=0 bench=duff cycles=5805 instructions=3909 cache-misses=1
[sample=127] cpu=0 bench=duff cycles=5566 instructions=3909 cache-misses=0
[sample=128] cpu=0 bench=duff cycles=5370 instructions=3909 cache-misses=0
[sample=129] cpu=0 bench=duff cycles=5172 instructions=3909 cache-misses=1
[sample=130] cpu=0 bench=duff cycles=4797 instructions=3909 cache-misses=1
[sample=131] cpu=0 bench=duff cycles=4795 instructions=3909 cache-misses=1
[sample=132] cpu=0 bench=duff cycles=5655 instructions=3909 cache-misses=2
[sample=133] cpu=0 bench=duff cycles=5448 instructions=3909 cache-misses=2
[sample=134] cpu=0 bench=duff cycles=5600 instructions=3909 cache-misses=1
[sample=135] cpu=0 bench=duff cycles=5837 instructions=3909 cache-misses=1
[sample=136] cpu=0 bench=duff cycles=8847 instructions=3909 cache-misses=5
[sample=137] cpu=0 bench=duff cycles=8256 instructions=3909 cache-misses=5
[sample=138] cpu=0 bench=duff cycles=4807 instructions=3909 cache-misses=2
[sample=139] cpu=0 bench=duff cycles=4776 instructions=3909 cache-misses=2
[sample=140] cpu=0 bench=duff cycles=4794 instructions=3909 cache-misses=1
[sample=141] cpu=0 bench=duff cycles=5127 instructions=3909 cache-misses=1
[sample=142] cpu=0 bench=duff cycles=5100 instructions=3909 cache-misses=1
[sample=143] cpu=0 bench=duff cycles=5412 instructions=3909 cache-misses=2
[sample=144] cpu=0 bench=duff cycles=4778 instructions=3909 cache-misses=2
[sample=145] cpu=0 bench=duff cycles=4729 instructions=3909 cache-misses=1
[sample=146] cpu=0 bench=duff cycles=4908 instructions=3909 cache-misses=0
[sample=147] cpu=0 bench=duff cycles=5150 instructions=3909 cache-misses=0
[sample=148] cpu=0 bench=duff cycles=5227 instructions=3909 cache-misses=1
[sample=149] cpu=0 bench=duff cycles=4990 instructions=3909 cache-misses=1
[sample=150] cpu=0 bench=duff cycles=5153 instructions=3909 cache-misses=1
[sample=151] cpu=0 bench=duff cycles=4995 instructions=3909 cache-misses=1
[sample=152] cpu=0 bench=duff cycles=4765 instructions=3909 cache-misses=0
[sample=153] cpu=0 bench=duff cycles=4784 instructions=3909 cache-misses=1
[sample=154] cpu=0 bench=duff cycles=4834 instructions=3909 cache-misses=1
[sample=155] cpu=0 bench=duff cycles=5023 instructions=3909 cache-misses=1
[sample=156] cpu=0 bench=duff cycles=5038 instructions=3909 cache-misses=2
[sample=157] cpu=0 bench=duff cycles=5759 instructions=3909 cache-misses=2
