# board=imx8mm
# config=LLC+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MAX_LLC  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=0] cpu=0 bench=fir2dim cycles=28367 instructions=10135 cache-misses=21
[sample=1] cpu=0 bench=fir2dim cycles=16312 instructions=10113 cache-misses=10
[sample=2] cpu=0 bench=fir2dim cycles=13153 instructions=10113 cache-misses=9
[sample=3] cpu=0 bench=fir2dim cycles=13112 instructions=10109 cache-misses=9
[sample=4] cpu=0 bench=fir2dim cycles=13043 instructions=10105 cache-misses=6
[sample=5] cpu=0 bench=fir2dim cycles=13131 instructions=10109 cache-misses=5
[sample=6] cpu=0 bench=fir2dim cycles=13107 instructions=10108 cache-misses=5
[sample=7] cpu=0 bench=fir2dim cycles=13118 instructions=10107 cache-misses=7
[sample=8] cpu=0 bench=fir2dim cycles=13118 instructions=10111 cache-misses=8
[sample=9] cpu=0 bench=fir2dim cycles=13089 instructions=10106 cache-misses=7
[sample=10] cpu=0 bench=fir2dim cycles=13124 instructions=10107 cache-misses=7
[sample=11] cpu=0 bench=fir2dim cycles=13097 instructions=10109 cache-misses=8
[sample=12] cpu=0 bench=fir2dim cycles=13058 instructions=10108 cache-misses=5
[sample=13] cpu=0 bench=fir2dim cycles=13006 instructions=10108 cache-misses=7
[sample=14] cpu=0 bench=fir2dim cycles=13085 instructions=10104 cache-misses=9
[sample=15] cpu=0 bench=fir2dim cycles=13045 instructions=10107 cache-misses=6
[sample=16] cpu=0 bench=fir2dim cycles=13053 instructions=10105 cache-misses=5
[sample=17] cpu=0 bench=fir2dim cycles=13056 instructions=10106 cache-misses=6
[sample=18] cpu=0 bench=fir2dim cycles=13060 instructions=10108 cache-misses=5
[sample=19] cpu=0 bench=fir2dim cycles=13148 instructions=10107 cache-misses=7
[sample=20] cpu=0 bench=fir2dim cycles=13015 instructions=10105 cache-misses=5
[sample=21] cpu=0 bench=fir2dim cycles=13082 instructions=10107 cache-misses=6
[sample=22] cpu=0 bench=fir2dim cycles=13108 instructions=10108 cache-misses=7
[sample=23] cpu=0 bench=fir2dim cycles=13077 instructions=10109 cache-misses=8
[sample=24] cpu=0 bench=fir2dim cycles=13090 instructions=10108 cache-misses=9
[sample=25] cpu=0 bench=fir2dim cycles=13090 instructions=10108 cache-misses=9
[sample=26] cpu=0 bench=fir2dim cycles=13735 instructions=10108 cache-misses=8
[sample=27] cpu=0 bench=fir2dim cycles=13060 instructions=10106 cache-misses=6
[sample=28] cpu=0 bench=fir2dim cycles=13042 instructions=10111 cache-misses=5
[sample=29] cpu=0 bench=fir2dim cycles=13072 instructions=10107 cache-misses=5
[sample=30] cpu=0 bench=fir2dim cycles=13087 instructions=10110 cache-misses=5
[sample=31] cpu=0 bench=fir2dim cycles=13122 instructions=10108 cache-misses=7
[sample=32] cpu=0 bench=fir2dim cycles=13095 instructions=10101 cache-misses=6
