# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=0] cpu=0 bench=fmref cycles=887020 instructions=454819 cache-misses=134
[sample=1] cpu=0 bench=fmref cycles=736149 instructions=417305 cache-misses=76
[sample=2] cpu=0 bench=fmref cycles=734603 instructions=417303 cache-misses=73
[sample=3] cpu=0 bench=fmref cycles=743623 instructions=417305 cache-misses=64
[sample=4] cpu=0 bench=fmref cycles=724878 instructions=417301 cache-misses=52
[sample=5] cpu=0 bench=fmref cycles=742681 instructions=417306 cache-misses=50
[sample=6] cpu=0 bench=fmref cycles=737301 instructions=417301 cache-misses=72
[sample=7] cpu=0 bench=fmref cycles=742566 instructions=417302 cache-misses=72
[sample=8] cpu=0 bench=fmref cycles=733357 instructions=417304 cache-misses=41
[sample=9] cpu=0 bench=fmref cycles=730597 instructions=417301 cache-misses=67
[sample=10] cpu=0 bench=fmref cycles=718488 instructions=417302 cache-misses=53
[sample=11] cpu=0 bench=fmref cycles=728411 instructions=417300 cache-misses=54
[sample=12] cpu=0 bench=fmref cycles=717854 instructions=417293 cache-misses=39
[sample=13] cpu=0 bench=fmref cycles=745047 instructions=417296 cache-misses=58
[sample=14] cpu=0 bench=fmref cycles=759559 instructions=417299 cache-misses=51
[sample=15] cpu=0 bench=fmref cycles=739298 instructions=417299 cache-misses=60
[sample=16] cpu=0 bench=fmref cycles=925341 instructions=417302 cache-misses=57
[sample=17] cpu=0 bench=fmref cycles=708002 instructions=417296 cache-misses=40
[sample=18] cpu=0 bench=fmref cycles=761202 instructions=417296 cache-misses=53
[sample=19] cpu=0 bench=fmref cycles=741205 instructions=417297 cache-misses=45
[sample=20] cpu=0 bench=fmref cycles=671282 instructions=417297 cache-misses=46
