# board=imx8mm
# config=BUS
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MAX_BUS  cpu2=MAX_BUS  cpu3=MAX_BUS
[sample=0] cpu=0 bench=fmref cycles=900787 instructions=454820 cache-misses=135
[sample=1] cpu=0 bench=fmref cycles=764937 instructions=417302 cache-misses=74
[sample=2] cpu=0 bench=fmref cycles=770849 instructions=417299 cache-misses=72
[sample=3] cpu=0 bench=fmref cycles=780280 instructions=417299 cache-misses=58
[sample=4] cpu=0 bench=fmref cycles=769132 instructions=417296 cache-misses=66
[sample=5] cpu=0 bench=fmref cycles=761856 instructions=417301 cache-misses=53
[sample=6] cpu=0 bench=fmref cycles=768075 instructions=417297 cache-misses=53
[sample=7] cpu=0 bench=fmref cycles=762900 instructions=417294 cache-misses=54
[sample=8] cpu=0 bench=fmref cycles=744551 instructions=417296 cache-misses=41
[sample=9] cpu=0 bench=fmref cycles=753651 instructions=417303 cache-misses=54
[sample=10] cpu=0 bench=fmref cycles=769798 instructions=417297 cache-misses=75
[sample=11] cpu=0 bench=fmref cycles=776927 instructions=417294 cache-misses=50
[sample=12] cpu=0 bench=fmref cycles=772223 instructions=417302 cache-misses=70
[sample=13] cpu=0 bench=fmref cycles=734782 instructions=417298 cache-misses=67
[sample=14] cpu=0 bench=fmref cycles=775846 instructions=417297 cache-misses=44
[sample=15] cpu=0 bench=fmref cycles=784564 instructions=417297 cache-misses=56
[sample=16] cpu=0 bench=fmref cycles=744061 instructions=417300 cache-misses=48
[sample=17] cpu=0 bench=fmref cycles=749885 instructions=417297 cache-misses=47
[sample=18] cpu=0 bench=fmref cycles=782249 instructions=417295 cache-misses=71
[sample=19] cpu=0 bench=fmref cycles=764667 instructions=417301 cache-misses=48
[sample=20] cpu=0 bench=fmref cycles=750983 instructions=417299 cache-misses=52
[sample=21] cpu=0 bench=fmref cycles=778104 instructions=417300 cache-misses=56
[sample=22] cpu=0 bench=fmref cycles=771269 instructions=417298 cache-misses=47
[sample=23] cpu=0 bench=fmref cycles=773490 instructions=417301 cache-misses=62
[sample=24] cpu=0 bench=fmref cycles=745917 instructions=417307 cache-misses=56
[sample=25] cpu=0 bench=fmref cycles=744063 instructions=417296 cache-misses=53
[sample=26] cpu=0 bench=fmref cycles=763749 instructions=417295 cache-misses=49
[sample=27] cpu=0 bench=fmref cycles=778038 instructions=417301 cache-misses=53
[sample=28] cpu=0 bench=fmref cycles=759135 instructions=417296 cache-misses=49
[sample=29] cpu=0 bench=fmref cycles=739702 instructions=417291 cache-misses=56
[sample=30] cpu=0 bench=fmref cycles=749014 instructions=417294 cache-misses=53
[sample=31] cpu=0 bench=fmref cycles=765401 instructions=417300 cache-misses=65
[sample=32] cpu=0 bench=fmref cycles=776827 instructions=417292 cache-misses=54
[sample=33] cpu=0 bench=fmref cycles=757414 instructions=417297 cache-misses=55
[sample=34] cpu=0 bench=fmref cycles=773684 instructions=417296 cache-misses=78
[sample=35] cpu=0 bench=fmref cycles=759611 instructions=417296 cache-misses=54
[sample=36] cpu=0 bench=fmref cycles=753626 instructions=417290 cache-misses=44
[sample=37] cpu=0 bench=fmref cycles=771324 instructions=417298 cache-misses=87
[sample=38] cpu=0 bench=fmref cycles=759833 instructions=417307 cache-misses=62
[sample=39] cpu=0 bench=fmref cycles=804561 instructions=417295 cache-misses=48
[sample=40] cpu=0 bench=fmref cycles=765543 instructions=417294 cache-misses=74
[sample=41] cpu=0 bench=fmref cycles=748152 instructions=417298 cache-misses=53
[sample=42] cpu=0 bench=fmref cycles=735413 instructions=417296 cache-misses=56
[sample=43] cpu=0 bench=fmref cycles=772845 instructions=417299 cache-misses=58
[sample=44] cpu=0 bench=fmref cycles=763639 instructions=417294 cache-misses=74
[sample=45] cpu=0 bench=fmref cycles=766496 instructions=417292 cache-misses=39
[sample=46] cpu=0 bench=fmref cycles=766481 instructions=417300 cache-misses=54
[sample=47] cpu=0 bench=fmref cycles=765126 instructions=417293 cache-misses=55
[sample=48] cpu=0 bench=fmref cycles=762726 instructions=417297 cache-misses=52
[sample=49] cpu=0 bench=fmref cycles=755270 instructions=417296 cache-misses=68
[sample=50] cpu=0 bench=fmref cycles=760011 instructions=417296 cache-misses=47
[sample=51] cpu=0 bench=fmref cycles=773855 instructions=417297 cache-misses=54
[sample=52] cpu=0 bench=fmref cycles=789062 instructions=417294 cache-misses=55
[sample=53] cpu=0 bench=fmref cycles=774629 instructions=417298 cache-misses=71
[sample=54] cpu=0 bench=fmref cycles=760749 instructions=417298 cache-misses=53
[sample=55] cpu=0 bench=fmref cycles=770944 instructions=417296 cache-misses=65
[sample=56] cpu=0 bench=fmref cycles=789564 instructions=417300 cache-misses=46
[sample=57] cpu=0 bench=fmref cycles=739729 instructions=417298 cache-misses=61
[sample=58] cpu=0 bench=fmref cycles=758056 instructions=417301 cache-misses=75
[sample=59] cpu=0 bench=fmref cycles=774635 instructions=417296 cache-misses=59
[sample=60] cpu=0 bench=fmref cycles=753535 instructions=417290 cache-misses=59
[sample=61] cpu=0 bench=fmref cycles=768353 instructions=417298 cache-misses=76
[sample=62] cpu=0 bench=fmref cycles=758853 instructions=417294 cache-misses=53
[sample=63] cpu=0 bench=fmref cycles=769066 instructions=417296 cache-misses=41
[sample=64] cpu=0 bench=fmref cycles=1070344 instructions=417299 cache-misses=91
[sample=65] cpu=0 bench=fmref cycles=743672 instructions=417302 cache-misses=57
[sample=66] cpu=0 bench=fmref cycles=732144 instructions=417291 cache-misses=55
[sample=67] cpu=0 bench=fmref cycles=790428 instructions=417296 cache-misses=74
[sample=68] cpu=0 bench=fmref cycles=777345 instructions=417295 cache-misses=48
[sample=69] cpu=0 bench=fmref cycles=788827 instructions=417295 cache-misses=81
[sample=70] cpu=0 bench=fmref cycles=769435 instructions=417296 cache-misses=51
[sample=71] cpu=0 bench=fmref cycles=762590 instructions=417294 cache-misses=44
[sample=72] cpu=0 bench=fmref cycles=786357 instructions=417301 cache-misses=61
[sample=73] cpu=0 bench=fmref cycles=754846 instructions=417300 cache-misses=46
[sample=74] cpu=0 bench=fmref cycles=762078 instructions=417294 cache-misses=48
[sample=75] cpu=0 bench=fmref cycles=820904 instructions=417299 cache-misses=103
[sample=76] cpu=0 bench=fmref cycles=711494 instructions=417297 cache-misses=59
[sample=77] cpu=0 bench=fmref cycles=751093 instructions=417299 cache-misses=56
[sample=78] cpu=0 bench=fmref cycles=759638 instructions=417299 cache-misses=52
[sample=79] cpu=0 bench=fmref cycles=761662 instructions=417301 cache-misses=54
[sample=80] cpu=0 bench=fmref cycles=761264 instructions=417305 cache-misses=55
[sample=81] cpu=0 bench=fmref cycles=736158 instructions=417295 cache-misses=49
[sample=82] cpu=0 bench=fmref cycles=777262 instructions=417296 cache-misses=72
[sample=83] cpu=0 bench=fmref cycles=763413 instructions=417299 cache-misses=43
[sample=84] cpu=0 bench=fmref cycles=764351 instructions=417301 cache-misses=43
[sample=85] cpu=0 bench=fmref cycles=785476 instructions=417300 cache-misses=61
[sample=86] cpu=0 bench=fmref cycles=758377 instructions=417301 cache-misses=47
[sample=87] cpu=0 bench=fmref cycles=754558 instructions=417300 cache-misses=47
[sample=88] cpu=0 bench=fmref cycles=760297 instructions=417294 cache-misses=65
[sample=89] cpu=0 bench=fmref cycles=1057097 instructions=417295 cache-misses=56
[sample=90] cpu=0 bench=fmref cycles=764278 instructions=417296 cache-misses=46
[sample=91] cpu=0 bench=fmref cycles=768897 instructions=417296 cache-misses=76
[sample=92] cpu=0 bench=fmref cycles=762013 instructions=417291 cache-misses=43
[sample=93] cpu=0 bench=fmref cycles=762942 instructions=417295 cache-misses=66
[sample=94] cpu=0 bench=fmref cycles=779888 instructions=417296 cache-misses=72
[sample=95] cpu=0 bench=fmref cycles=769449 instructions=417295 cache-misses=47
[sample=96] cpu=0 bench=fmref cycles=763883 instructions=417296 cache-misses=51
[sample=97] cpu=0 bench=fmref cycles=768655 instructions=417296 cache-misses=53
[sample=98] cpu=0 bench=fmref cycles=753621 instructions=417294 cache-misses=44
[sample=99] cpu=0 bench=fmref cycles=773305 instructions=417299 cache-misses=49
[sample=100] cpu=0 bench=fmref cycles=757643 instructions=417299 cache-misses=55
[sample=101] cpu=0 bench=fmref cycles=756980 instructions=417295 cache-misses=60
[sample=102] cpu=0 bench=fmref cycles=782836 instructions=417301 cache-misses=54
[sample=103] cpu=0 bench=fmref cycles=765081 instructions=417304 cache-misses=59
[sample=104] cpu=0 bench=fmref cycles=769566 instructions=417296 cache-misses=51
[sample=105] cpu=0 bench=fmref cycles=770060 instructions=417293 cache-misses=42
[sample=106] cpu=0 bench=fmref cycles=752849 instructions=417301 cache-misses=60
[sample=107] cpu=0 bench=fmref cycles=765509 instructions=417302 cache-misses=68
[sample=108] cpu=0 bench=fmref cycles=763648 instructions=417299 cache-misses=42
[sample=109] cpu=0 bench=fmref cycles=767314 instructions=417292 cache-misses=45
[sample=110] cpu=0 bench=fmref cycles=784610 instructions=417296 cache-misses=55
[sample=111] cpu=0 bench=fmref cycles=768517 instructions=417298 cache-misses=71
[sample=112] cpu=0 bench=fmref cycles=756773 instructions=417300 cache-misses=54
[sample=113] cpu=0 bench=fmref cycles=762706 instructions=417297 cache-misses=79
[sample=114] cpu=0 bench=fmref cycles=767062 instructions=417293 cache-misses=49
[sample=115] cpu=0 bench=fmref cycles=786383 instructions=417303 cache-misses=51
[sample=116] cpu=0 bench=fmref cycles=776864 instructions=417295 cache-misses=44
[sample=117] cpu=0 bench=fmref cycles=778485 instructions=417300 cache-misses=60
[sample=118] cpu=0 bench=fmref cycles=778582 instructions=417299 cache-misses=59
[sample=119] cpu=0 bench=fmref cycles=735997 instructions=417298 cache-misses=60
[sample=120] cpu=0 bench=fmref cycles=784274 instructions=417300 cache-misses=66
[sample=121] cpu=0 bench=fmref cycles=768028 instructions=417296 cache-misses=52
[sample=122] cpu=0 bench=fmref cycles=762379 instructions=417296 cache-misses=50
[sample=123] cpu=0 bench=fmref cycles=754843 instructions=417294 cache-misses=64
[sample=124] cpu=0 bench=fmref cycles=758811 instructions=417294 cache-misses=52
[sample=125] cpu=0 bench=fmref cycles=773513 instructions=417296 cache-misses=52
[sample=126] cpu=0 bench=fmref cycles=771747 instructions=417297 cache-misses=57
[sample=127] cpu=0 bench=fmref cycles=964975 instructions=417295 cache-misses=75
[sample=128] cpu=0 bench=fmref cycles=750949 instructions=417298 cache-misses=43
[sample=129] cpu=0 bench=fmref cycles=759428 instructions=417293 cache-misses=61
[sample=130] cpu=0 bench=fmref cycles=765815 instructions=417294 cache-misses=54
[sample=131] cpu=0 bench=fmref cycles=789306 instructions=417298 cache-misses=76
[sample=132] cpu=0 bench=fmref cycles=753252 instructions=417296 cache-misses=50
[sample=133] cpu=0 bench=fmref cycles=757886 instructions=417293 cache-misses=46
[sample=134] cpu=0 bench=fmref cycles=772718 instructions=417295 cache-misses=70
[sample=135] cpu=0 bench=fmref cycles=756614 instructions=417297 cache-misses=58
[sample=136] cpu=0 bench=fmref cycles=756459 instructions=417296 cache-misses=64
[sample=137] cpu=0 bench=fmref cycles=721942 instructions=417295 cache-misses=46
[sample=138] cpu=0 bench=fmref cycles=754123 instructions=417297 cache-misses=46
[sample=139] cpu=0 bench=fmref cycles=751752 instructions=417300 cache-misses=61
[sample=140] cpu=0 bench=fmref cycles=745492 instructions=417293 cache-misses=41
[sample=141] cpu=0 bench=fmref cycles=765532 instructions=417297 cache-misses=60
[sample=142] cpu=0 bench=fmref cycles=752719 instructions=417294 cache-misses=62
[sample=143] cpu=0 bench=fmref cycles=777669 instructions=417292 cache-misses=58
[sample=144] cpu=0 bench=fmref cycles=737353 instructions=417293 cache-misses=61
[sample=145] cpu=0 bench=fmref cycles=742349 instructions=417298 cache-misses=53
[sample=146] cpu=0 bench=fmref cycles=756232 instructions=417296 cache-misses=53
[sample=147] cpu=0 bench=fmref cycles=761355 instructions=417302 cache-misses=55
[sample=148] cpu=0 bench=fmref cycles=774376 instructions=417294 cache-misses=53
[sample=149] cpu=0 bench=fmref cycles=784064 instructions=417301 cache-misses=67
[sample=150] cpu=0 bench=fmref cycles=750221 instructions=417298 cache-misses=59
[sample=151] cpu=0 bench=fmref cycles=771575 instructions=417303 cache-misses=73
[sample=152] cpu=0 bench=fmref cycles=769672 instructions=417293 cache-misses=53
[sample=153] cpu=0 bench=fmref cycles=752880 instructions=417295 cache-misses=45
[sample=154] cpu=0 bench=fmref cycles=774831 instructions=417299 cache-misses=70
[sample=155] cpu=0 bench=fmref cycles=767277 instructions=417301 cache-misses=52
[sample=156] cpu=0 bench=fmref cycles=751606 instructions=417293 cache-misses=66
[sample=157] cpu=0 bench=fmref cycles=773932 instructions=417298 cache-misses=59
[sample=158] cpu=0 bench=fmref cycles=753226 instructions=417294 cache-misses=64
[sample=159] cpu=0 bench=fmref cycles=774160 instructions=417300 cache-misses=54
[sample=160] cpu=0 bench=fmref cycles=750274 instructions=417295 cache-misses=42
[sample=161] cpu=0 bench=fmref cycles=739331 instructions=417297 cache-misses=46
[sample=162] cpu=0 bench=fmref cycles=762296 instructions=417298 cache-misses=56
[sample=163] cpu=0 bench=fmref cycles=761951 instructions=417300 cache-misses=56
[sample=164] cpu=0 bench=fmref cycles=755885 instructions=417295 cache-misses=42
[sample=165] cpu=0 bench=fmref cycles=748485 instructions=417296 cache-misses=53
[sample=166] cpu=0 bench=fmref cycles=762043 instructions=417302 cache-misses=52
[sample=167] cpu=0 bench=fmref cycles=763347 instructions=417296 cache-misses=46
[sample=168] cpu=0 bench=fmref cycles=762388 instructions=417296 cache-misses=57
[sample=169] cpu=0 bench=fmref cycles=746919 instructions=417296 cache-misses=52
[sample=170] cpu=0 bench=fmref cycles=776919 instructions=417299 cache-misses=70
[sample=171] cpu=0 bench=fmref cycles=768414 instructions=417293 cache-misses=67
[sample=172] cpu=0 bench=fmref cycles=756233 instructions=417297 cache-misses=45
[sample=173] cpu=0 bench=fmref cycles=759859 instructions=417301 cache-misses=55
[sample=174] cpu=0 bench=fmref cycles=748898 instructions=417304 cache-misses=47
[sample=175] cpu=0 bench=fmref cycles=750325 instructions=417292 cache-misses=52
[sample=176] cpu=0 bench=fmref cycles=794135 instructions=417296 cache-misses=78
[sample=177] cpu=0 bench=fmref cycles=757748 instructions=417292 cache-misses=69
[sample=178] cpu=0 bench=fmref cycles=761909 instructions=417298 cache-misses=66
[sample=179] cpu=0 bench=fmref cycles=766600 instructions=417298 cache-misses=47
[sample=180] cpu=0 bench=fmref cycles=760089 instructions=417295 cache-misses=46
[sample=181] cpu=0 bench=fmref cycles=780896 instructions=417298 cache-misses=56
[sample=182] cpu=0 bench=fmref cycles=753094 instructions=417294 cache-misses=53
[sample=183] cpu=0 bench=fmref cycles=758401 instructions=417298 cache-misses=59
[sample=184] cpu=0 bench=fmref cycles=758396 instructions=417295 cache-misses=48
[sample=185] cpu=0 bench=fmref cycles=756694 instructions=417295 cache-misses=49
[sample=186] cpu=0 bench=fmref cycles=756705 instructions=417300 cache-misses=58
[sample=187] cpu=0 bench=fmref cycles=773124 instructions=417296 cache-misses=41
[sample=188] cpu=0 bench=fmref cycles=772265 instructions=417294 cache-misses=62
[sample=189] cpu=0 bench=fmref cycles=786854 instructions=417295 cache-misses=64
[sample=190] cpu=0 bench=fmref cycles=754243 instructions=417302 cache-misses=54
[sample=191] cpu=0 bench=fmref cycles=768779 instructions=417296 cache-misses=45
[sample=192] cpu=0 bench=fmref cycles=768928 instructions=417297 cache-misses=54
[sample=193] cpu=0 bench=fmref cycles=774130 instructions=417296 cache-misses=57
[sample=194] cpu=0 bench=fmref cycles=792782 instructions=417295 cache-misses=87
[sample=195] cpu=0 bench=fmref cycles=757761 instructions=417292 cache-misses=41
[sample=196] cpu=0 bench=fmref cycles=763684 instructions=417298 cache-misses=51
[sample=197] cpu=0 bench=fmref cycles=771822 instructions=417297 cache-misses=63
[sample=198] cpu=0 bench=fmref cycles=773922 instructions=417297 cache-misses=59
[sample=199] cpu=0 bench=fmref cycles=774719 instructions=417297 cache-misses=58
[sample=200] cpu=0 bench=fmref cycles=764721 instructions=417296 cache-misses=51
