# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=0] cpu=0 bench=iir cycles=25567 instructions=2592 cache-misses=19
[sample=1] cpu=0 bench=iir cycles=25418 instructions=2589 cache-misses=8
[sample=2] cpu=0 bench=iir cycles=19291 instructions=2588 cache-misses=6
[sample=3] cpu=0 bench=iir cycles=9959 instructions=2588 cache-misses=6
[sample=4] cpu=0 bench=iir cycles=6034 instructions=2588 cache-misses=5
[sample=5] cpu=0 bench=iir cycles=3583 instructions=2588 cache-misses=4
[sample=6] cpu=0 bench=iir cycles=4121 instructions=2588 cache-misses=5
[sample=7] cpu=0 bench=iir cycles=3568 instructions=2588 cache-misses=4
[sample=8] cpu=0 bench=iir cycles=3478 instructions=2588 cache-misses=3
[sample=9] cpu=0 bench=iir cycles=3533 instructions=2588 cache-misses=4
[sample=10] cpu=0 bench=iir cycles=3526 instructions=2588 cache-misses=4
[sample=11] cpu=0 bench=iir cycles=3975 instructions=2588 cache-misses=6
[sample=12] cpu=0 bench=iir cycles=4137 instructions=2588 cache-misses=5
[sample=13] cpu=0 bench=iir cycles=3894 instructions=2588 cache-misses=3
[sample=14] cpu=0 bench=iir cycles=4358 instructions=2588 cache-misses=5
[sample=15] cpu=0 bench=iir cycles=4098 instructions=2588 cache-misses=5
[sample=16] cpu=0 bench=iir cycles=3476 instructions=2588 cache-misses=4
[sample=17] cpu=0 bench=iir cycles=3504 instructions=2588 cache-misses=5
[sample=18] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=4
[sample=19] cpu=0 bench=iir cycles=3831 instructions=2588 cache-misses=6
[sample=20] cpu=0 bench=iir cycles=4177 instructions=2588 cache-misses=6
[sample=21] cpu=0 bench=iir cycles=3615 instructions=2588 cache-misses=6
[sample=22] cpu=0 bench=iir cycles=3764 instructions=2588 cache-misses=5
[sample=23] cpu=0 bench=iir cycles=3539 instructions=2588 cache-misses=6
[sample=24] cpu=0 bench=iir cycles=3524 instructions=2588 cache-misses=6
[sample=25] cpu=0 bench=iir cycles=3512 instructions=2588 cache-misses=6
[sample=26] cpu=0 bench=iir cycles=3544 instructions=2588 cache-misses=4
[sample=27] cpu=0 bench=iir cycles=4092 instructions=2588 cache-misses=6
