# board=imx8mm
# config=LLC+BUS
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=jfdctint (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_BUS
[sample=0] cpu=0 bench=jfdctint cycles=57053 instructions=6385 cache-misses=14
[sample=1] cpu=0 bench=jfdctint cycles=46927 instructions=6381 cache-misses=9
[sample=2] cpu=0 bench=jfdctint cycles=43157 instructions=6381 cache-misses=6
[sample=3] cpu=0 bench=jfdctint cycles=28012 instructions=6381 cache-misses=7
[sample=4] cpu=0 bench=jfdctint cycles=27071 instructions=6381 cache-misses=5
[sample=5] cpu=0 bench=jfdctint cycles=13534 instructions=6381 cache-misses=5
[sample=6] cpu=0 bench=jfdctint cycles=9428 instructions=6381 cache-misses=4
[sample=7] cpu=0 bench=jfdctint cycles=13931 instructions=6381 cache-misses=4
[sample=8] cpu=0 bench=jfdctint cycles=8530 instructions=6381 cache-misses=3
[sample=9] cpu=0 bench=jfdctint cycles=9653 instructions=6381 cache-misses=4
[sample=10] cpu=0 bench=jfdctint cycles=10820 instructions=6381 cache-misses=2
[sample=11] cpu=0 bench=jfdctint cycles=9649 instructions=6381 cache-misses=2
[sample=12] cpu=0 bench=jfdctint cycles=9817 instructions=6381 cache-misses=2
[sample=13] cpu=0 bench=jfdctint cycles=9847 instructions=6381 cache-misses=3
[sample=14] cpu=0 bench=jfdctint cycles=10384 instructions=6381 cache-misses=3
[sample=15] cpu=0 bench=jfdctint cycles=10211 instructions=6381 cache-misses=3
[sample=16] cpu=0 bench=jfdctint cycles=8524 instructions=6381 cache-misses=3
[sample=17] cpu=0 bench=jfdctint cycles=8491 instructions=6381 cache-misses=3
[sample=18] cpu=0 bench=jfdctint cycles=13845 instructions=6381 cache-misses=3
[sample=19] cpu=0 bench=jfdctint cycles=9438 instructions=6381 cache-misses=3
[sample=20] cpu=0 bench=jfdctint cycles=9865 instructions=6381 cache-misses=3
[sample=21] cpu=0 bench=jfdctint cycles=10560 instructions=6381 cache-misses=5
[sample=22] cpu=0 bench=jfdctint cycles=10148 instructions=6381 cache-misses=4
[sample=23] cpu=0 bench=jfdctint cycles=9790 instructions=6381 cache-misses=3
[sample=24] cpu=0 bench=jfdctint cycles=8761 instructions=6381 cache-misses=4
[sample=25] cpu=0 bench=jfdctint cycles=8500 instructions=6381 cache-misses=3
[sample=26] cpu=0 bench=jfdctint cycles=8503 instructions=6381 cache-misses=3
[sample=27] cpu=0 bench=jfdctint cycles=8714 instructions=6381 cache-misses=4
[sample=28] cpu=0 bench=jfdctint cycles=19839 instructions=6381 cache-misses=5
[sample=29] cpu=0 bench=jfdctint cycles=8847 instructions=6381 cache-misses=4
[sample=30] cpu=0 bench=jfdctint cycles=8973 instructions=6381 cache-misses=3
[sample=31] cpu=0 bench=jfdctint cycles=10096 instructions=6381 cache-misses=3
[sample=32] cpu=0 bench=jfdctint cycles=11834 instructions=6381 cache-misses=4
[sample=33] cpu=0 bench=jfdctint cycles=9502 instructions=6381 cache-misses=3
[sample=34] cpu=0 bench=jfdctint cycles=10298 instructions=6381 cache-misses=2
[sample=35] cpu=0 bench=jfdctint cycles=10905 instructions=6381 cache-misses=3
[sample=36] cpu=0 bench=jfdctint cycles=9423 instructions=6381 cache-misses=4
[sample=37] cpu=0 bench=jfdctint cycles=8494 instructions=6381 cache-misses=4
[sample=38] cpu=0 bench=jfdctint cycles=9300 instructions=6381 cache-misses=5
[sample=39] cpu=0 bench=jfdctint cycles=14206 instructions=6381 cache-misses=1
[sample=40] cpu=0 bench=jfdctint cycles=9457 instructions=6381 cache-misses=3
[sample=41] cpu=0 bench=jfdctint cycles=9586 instructions=6381 cache-misses=4
[sample=42] cpu=0 bench=jfdctint cycles=12547 instructions=6381 cache-misses=5
[sample=43] cpu=0 bench=jfdctint cycles=11604 instructions=6381 cache-misses=4
[sample=44] cpu=0 bench=jfdctint cycles=8503 instructions=6381 cache-misses=2
[sample=45] cpu=0 bench=jfdctint cycles=8499 instructions=6381 cache-misses=4
[sample=46] cpu=0 bench=jfdctint cycles=9182 instructions=6381 cache-misses=3
[sample=47] cpu=0 bench=jfdctint cycles=10049 instructions=6381 cache-misses=3
[sample=48] cpu=0 bench=jfdctint cycles=11074 instructions=6381 cache-misses=6
[sample=49] cpu=0 bench=jfdctint cycles=8512 instructions=6381 cache-misses=3
[sample=50] cpu=0 bench=jfdctint cycles=9519 instructions=6381 cache-misses=3
[sample=51] cpu=0 bench=jfdctint cycles=16698 instructions=6381 cache-misses=3
[sample=52] cpu=0 bench=jfdctint cycles=10692 instructions=6381 cache-misses=5
[sample=53] cpu=0 bench=jfdctint cycles=11301 instructions=6381 cache-misses=4
[sample=54] cpu=0 bench=jfdctint cycles=9204 instructions=6381 cache-misses=6
[sample=55] cpu=0 bench=jfdctint cycles=8492 instructions=6381 cache-misses=5
[sample=56] cpu=0 bench=jfdctint cycles=10671 instructions=6381 cache-misses=4
[sample=57] cpu=0 bench=jfdctint cycles=8884 instructions=6381 cache-misses=5
[sample=58] cpu=0 bench=jfdctint cycles=9294 instructions=6381 cache-misses=3
[sample=59] cpu=0 bench=jfdctint cycles=9352 instructions=6381 cache-misses=5
[sample=60] cpu=0 bench=jfdctint cycles=9427 instructions=6381 cache-misses=5
[sample=61] cpu=0 bench=jfdctint cycles=9838 instructions=6381 cache-misses=4
[sample=62] cpu=0 bench=jfdctint cycles=8526 instructions=6381 cache-misses=5
[sample=63] cpu=0 bench=jfdctint cycles=8525 instructions=6381 cache-misses=4
[sample=64] cpu=0 bench=jfdctint cycles=9272 instructions=6381 cache-misses=3
[sample=65] cpu=0 bench=jfdctint cycles=9006 instructions=6381 cache-misses=3
[sample=66] cpu=0 bench=jfdctint cycles=9801 instructions=6381 cache-misses=5
[sample=67] cpu=0 bench=jfdctint cycles=9864 instructions=6381 cache-misses=4
[sample=68] cpu=0 bench=jfdctint cycles=9636 instructions=6381 cache-misses=5
[sample=69] cpu=0 bench=jfdctint cycles=9220 instructions=6381 cache-misses=3
[sample=70] cpu=0 bench=jfdctint cycles=12628 instructions=6381 cache-misses=2
[sample=71] cpu=0 bench=jfdctint cycles=9505 instructions=6381 cache-misses=3
[sample=72] cpu=0 bench=jfdctint cycles=14696 instructions=6381 cache-misses=5
[sample=73] cpu=0 bench=jfdctint cycles=8960 instructions=6381 cache-misses=5
[sample=74] cpu=0 bench=jfdctint cycles=10164 instructions=6381 cache-misses=4
[sample=75] cpu=0 bench=jfdctint cycles=14152 instructions=6381 cache-misses=4
[sample=76] cpu=0 bench=jfdctint cycles=9073 instructions=6381 cache-misses=4
[sample=77] cpu=0 bench=jfdctint cycles=9415 instructions=6381 cache-misses=4
[sample=78] cpu=0 bench=jfdctint cycles=9246 instructions=6381 cache-misses=2
[sample=79] cpu=0 bench=jfdctint cycles=8497 instructions=6381 cache-misses=4
[sample=80] cpu=0 bench=jfdctint cycles=9572 instructions=6381 cache-misses=3
[sample=81] cpu=0 bench=jfdctint cycles=10174 instructions=6381 cache-misses=2
[sample=82] cpu=0 bench=jfdctint cycles=9714 instructions=6381 cache-misses=4
[sample=83] cpu=0 bench=jfdctint cycles=9898 instructions=6381 cache-misses=3
[sample=84] cpu=0 bench=jfdctint cycles=10975 instructions=6381 cache-misses=3
[sample=85] cpu=0 bench=jfdctint cycles=8984 instructions=6381 cache-misses=2
[sample=86] cpu=0 bench=jfdctint cycles=8618 instructions=6381 cache-misses=5
[sample=87] cpu=0 bench=jfdctint cycles=9309 instructions=6381 cache-misses=4
[sample=88] cpu=0 bench=jfdctint cycles=9323 instructions=6381 cache-misses=3
[sample=89] cpu=0 bench=jfdctint cycles=10037 instructions=6381 cache-misses=6
[sample=90] cpu=0 bench=jfdctint cycles=9847 instructions=6381 cache-misses=5
[sample=91] cpu=0 bench=jfdctint cycles=9317 instructions=6381 cache-misses=5
[sample=92] cpu=0 bench=jfdctint cycles=9394 instructions=6381 cache-misses=3
[sample=93] cpu=0 bench=jfdctint cycles=9170 instructions=6381 cache-misses=3
[sample=94] cpu=0 bench=jfdctint cycles=8505 instructions=6381 cache-misses=5
[sample=95] cpu=0 bench=jfdctint cycles=9394 instructions=6381 cache-misses=4
[sample=96] cpu=0 bench=jfdctint cycles=9536 instructions=6381 cache-misses=3
[sample=97] cpu=0 bench=jfdctint cycles=9663 instructions=6381 cache-misses=6
[sample=98] cpu=0 bench=jfdctint cycles=9440 instructions=6381 cache-misses=4
[sample=99] cpu=0 bench=jfdctint cycles=13526 instructions=6381 cache-misses=7
[sample=100] cpu=0 bench=jfdctint cycles=8534 instructions=6381 cache-misses=5
[sample=101] cpu=0 bench=jfdctint cycles=9866 instructions=6381 cache-misses=6
[sample=102] cpu=0 bench=jfdctint cycles=9531 instructions=6381 cache-misses=3
[sample=103] cpu=0 bench=jfdctint cycles=8869 instructions=6381 cache-misses=4
[sample=104] cpu=0 bench=jfdctint cycles=9112 instructions=6381 cache-misses=3
[sample=105] cpu=0 bench=jfdctint cycles=12840 instructions=6381 cache-misses=5
[sample=106] cpu=0 bench=jfdctint cycles=10057 instructions=6381 cache-misses=4
[sample=107] cpu=0 bench=jfdctint cycles=10001 instructions=6381 cache-misses=4
[sample=108] cpu=0 bench=jfdctint cycles=9510 instructions=6381 cache-misses=3
[sample=109] cpu=0 bench=jfdctint cycles=8851 instructions=6381 cache-misses=4
[sample=110] cpu=0 bench=jfdctint cycles=10446 instructions=6381 cache-misses=4
[sample=111] cpu=0 bench=jfdctint cycles=8517 instructions=6381 cache-misses=3
[sample=112] cpu=0 bench=jfdctint cycles=9377 instructions=6381 cache-misses=4
[sample=113] cpu=0 bench=jfdctint cycles=9684 instructions=6381 cache-misses=4
[sample=114] cpu=0 bench=jfdctint cycles=9336 instructions=6381 cache-misses=3
[sample=115] cpu=0 bench=jfdctint cycles=9835 instructions=6381 cache-misses=4
[sample=116] cpu=0 bench=jfdctint cycles=9132 instructions=6381 cache-misses=3
[sample=117] cpu=0 bench=jfdctint cycles=9049 instructions=6381 cache-misses=2
[sample=118] cpu=0 bench=jfdctint cycles=8499 instructions=6381 cache-misses=2
[sample=119] cpu=0 bench=jfdctint cycles=9311 instructions=6381 cache-misses=3
[sample=120] cpu=0 bench=jfdctint cycles=9439 instructions=6381 cache-misses=4
[sample=121] cpu=0 bench=jfdctint cycles=9719 instructions=6381 cache-misses=3
[sample=122] cpu=0 bench=jfdctint cycles=9408 instructions=6381 cache-misses=3
[sample=123] cpu=0 bench=jfdctint cycles=9092 instructions=6381 cache-misses=3
[sample=124] cpu=0 bench=jfdctint cycles=9314 instructions=6381 cache-misses=5
[sample=125] cpu=0 bench=jfdctint cycles=9569 instructions=6381 cache-misses=3
