# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=ndes (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=0] cpu=0 bench=ndes cycles=175243 instructions=83516 cache-misses=81
[sample=1] cpu=0 bench=ndes cycles=229409 instructions=83054 cache-misses=66
[sample=2] cpu=0 bench=ndes cycles=193199 instructions=83053 cache-misses=39
[sample=3] cpu=0 bench=ndes cycles=196254 instructions=83051 cache-misses=41
[sample=4] cpu=0 bench=ndes cycles=162600 instructions=83050 cache-misses=41
[sample=5] cpu=0 bench=ndes cycles=112175 instructions=83050 cache-misses=45
[sample=6] cpu=0 bench=ndes cycles=128436 instructions=83052 cache-misses=37
[sample=7] cpu=0 bench=ndes cycles=108080 instructions=83051 cache-misses=36
[sample=8] cpu=0 bench=ndes cycles=105408 instructions=83050 cache-misses=37
[sample=9] cpu=0 bench=ndes cycles=110052 instructions=83049 cache-misses=51
[sample=10] cpu=0 bench=ndes cycles=109451 instructions=83050 cache-misses=39
[sample=11] cpu=0 bench=ndes cycles=108776 instructions=83050 cache-misses=49
[sample=12] cpu=0 bench=ndes cycles=105625 instructions=83050 cache-misses=42
[sample=13] cpu=0 bench=ndes cycles=111400 instructions=83051 cache-misses=39
[sample=14] cpu=0 bench=ndes cycles=111273 instructions=83050 cache-misses=37
[sample=15] cpu=0 bench=ndes cycles=106972 instructions=83050 cache-misses=39
[sample=16] cpu=0 bench=ndes cycles=123827 instructions=83051 cache-misses=43
[sample=17] cpu=0 bench=ndes cycles=110939 instructions=83049 cache-misses=26
[sample=18] cpu=0 bench=ndes cycles=105514 instructions=83050 cache-misses=37
[sample=19] cpu=0 bench=ndes cycles=112446 instructions=83050 cache-misses=39
[sample=20] cpu=0 bench=ndes cycles=112074 instructions=83049 cache-misses=43
[sample=21] cpu=0 bench=ndes cycles=105562 instructions=83049 cache-misses=43
[sample=22] cpu=0 bench=ndes cycles=105489 instructions=83050 cache-misses=39
[sample=23] cpu=0 bench=ndes cycles=112416 instructions=83050 cache-misses=39
[sample=24] cpu=0 bench=ndes cycles=112562 instructions=83050 cache-misses=48
[sample=25] cpu=0 bench=ndes cycles=105587 instructions=83052 cache-misses=39
[sample=26] cpu=0 bench=ndes cycles=106697 instructions=83051 cache-misses=36
[sample=27] cpu=0 bench=ndes cycles=106519 instructions=83050 cache-misses=34
[sample=28] cpu=0 bench=ndes cycles=107838 instructions=83051 cache-misses=38
[sample=29] cpu=0 bench=ndes cycles=105728 instructions=83051 cache-misses=33
[sample=30] cpu=0 bench=ndes cycles=107842 instructions=83052 cache-misses=32
[sample=31] cpu=0 bench=ndes cycles=107710 instructions=83051 cache-misses=42
[sample=32] cpu=0 bench=ndes cycles=105575 instructions=83050 cache-misses=40
[sample=33] cpu=0 bench=ndes cycles=106925 instructions=83050 cache-misses=39
[sample=34] cpu=0 bench=ndes cycles=112327 instructions=83050 cache-misses=38
[sample=35] cpu=0 bench=ndes cycles=108077 instructions=83049 cache-misses=41
[sample=36] cpu=0 bench=ndes cycles=105485 instructions=83050 cache-misses=28
[sample=37] cpu=0 bench=ndes cycles=117280 instructions=83049 cache-misses=39
[sample=38] cpu=0 bench=ndes cycles=107004 instructions=83051 cache-misses=38
[sample=39] cpu=0 bench=ndes cycles=105292 instructions=83050 cache-misses=38
[sample=40] cpu=0 bench=ndes cycles=106036 instructions=83050 cache-misses=39
[sample=41] cpu=0 bench=ndes cycles=108327 instructions=83050 cache-misses=29
[sample=42] cpu=0 bench=ndes cycles=107872 instructions=83050 cache-misses=36
[sample=43] cpu=0 bench=ndes cycles=105463 instructions=83049 cache-misses=33
[sample=44] cpu=0 bench=ndes cycles=107398 instructions=83052 cache-misses=32
[sample=45] cpu=0 bench=ndes cycles=109212 instructions=83049 cache-misses=41
[sample=46] cpu=0 bench=ndes cycles=106105 instructions=83052 cache-misses=43
[sample=47] cpu=0 bench=ndes cycles=106961 instructions=83052 cache-misses=36
[sample=48] cpu=0 bench=ndes cycles=113277 instructions=83051 cache-misses=36
[sample=49] cpu=0 bench=ndes cycles=119899 instructions=83051 cache-misses=43
[sample=50] cpu=0 bench=ndes cycles=110101 instructions=83050 cache-misses=40
[sample=51] cpu=0 bench=ndes cycles=105539 instructions=83050 cache-misses=40
[sample=52] cpu=0 bench=ndes cycles=105827 instructions=83052 cache-misses=34
[sample=53] cpu=0 bench=ndes cycles=112542 instructions=83050 cache-misses=40
[sample=54] cpu=0 bench=ndes cycles=107788 instructions=83050 cache-misses=39
