# board=imx8mm
# config=BUS
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=prime (measured)  cpu1=MAX_BUS  cpu2=MAX_BUS  cpu3=MAX_BUS
[sample=0] cpu=0 bench=prime cycles=184730 instructions=682 cache-misses=19
[sample=1] cpu=0 bench=prime cycles=27842 instructions=672 cache-misses=9
[sample=2] cpu=0 bench=prime cycles=3190 instructions=673 cache-misses=7
[sample=3] cpu=0 bench=prime cycles=2458 instructions=673 cache-misses=6
[sample=4] cpu=0 bench=prime cycles=2400 instructions=673 cache-misses=4
[sample=5] cpu=0 bench=prime cycles=1535 instructions=673 cache-misses=6
[sample=6] cpu=0 bench=prime cycles=3101 instructions=673 cache-misses=6
[sample=7] cpu=0 bench=prime cycles=3891 instructions=673 cache-misses=5
[sample=8] cpu=0 bench=prime cycles=1776 instructions=672 cache-misses=3
[sample=9] cpu=0 bench=prime cycles=1989 instructions=673 cache-misses=6
[sample=10] cpu=0 bench=prime cycles=3688 instructions=673 cache-misses=6
[sample=11] cpu=0 bench=prime cycles=2221 instructions=673 cache-misses=6
[sample=12] cpu=0 bench=prime cycles=2051 instructions=672 cache-misses=6
[sample=13] cpu=0 bench=prime cycles=15906 instructions=671 cache-misses=6
[sample=14] cpu=0 bench=prime cycles=2951 instructions=672 cache-misses=6
[sample=15] cpu=0 bench=prime cycles=2938 instructions=671 cache-misses=6
[sample=16] cpu=0 bench=prime cycles=1734 instructions=672 cache-misses=5
[sample=17] cpu=0 bench=prime cycles=2904 instructions=671 cache-misses=6
[sample=18] cpu=0 bench=prime cycles=2346 instructions=671 cache-misses=5
[sample=19] cpu=0 bench=prime cycles=1789 instructions=671 cache-misses=6
[sample=20] cpu=0 bench=prime cycles=2423 instructions=671 cache-misses=5
[sample=21] cpu=0 bench=prime cycles=2771 instructions=671 cache-misses=6
[sample=22] cpu=0 bench=prime cycles=1820 instructions=673 cache-misses=5
[sample=23] cpu=0 bench=prime cycles=2486 instructions=671 cache-misses=4
[sample=24] cpu=0 bench=prime cycles=2002 instructions=671 cache-misses=4
[sample=25] cpu=0 bench=prime cycles=3009 instructions=672 cache-misses=6
[sample=26] cpu=0 bench=prime cycles=2670 instructions=671 cache-misses=6
[sample=27] cpu=0 bench=prime cycles=2351 instructions=671 cache-misses=5
[sample=28] cpu=0 bench=prime cycles=3487 instructions=671 cache-misses=5
[sample=29] cpu=0 bench=prime cycles=2198 instructions=673 cache-misses=7
[sample=30] cpu=0 bench=prime cycles=1871 instructions=673 cache-misses=7
[sample=31] cpu=0 bench=prime cycles=1565 instructions=672 cache-misses=6
[sample=32] cpu=0 bench=prime cycles=2100 instructions=673 cache-misses=7
[sample=33] cpu=0 bench=prime cycles=2341 instructions=673 cache-misses=5
[sample=34] cpu=0 bench=prime cycles=1328 instructions=673 cache-misses=5
[sample=35] cpu=0 bench=prime cycles=1636 instructions=673 cache-misses=5
[sample=36] cpu=0 bench=prime cycles=3004 instructions=672 cache-misses=5
[sample=37] cpu=0 bench=prime cycles=1398 instructions=672 cache-misses=6
[sample=38] cpu=0 bench=prime cycles=2931 instructions=672 cache-misses=5
[sample=39] cpu=0 bench=prime cycles=1643 instructions=672 cache-misses=5
[sample=40] cpu=0 bench=prime cycles=3519 instructions=670 cache-misses=6
[sample=41] cpu=0 bench=prime cycles=1937 instructions=670 cache-misses=5
[sample=42] cpu=0 bench=prime cycles=2018 instructions=672 cache-misses=6
[sample=43] cpu=0 bench=prime cycles=3806 instructions=673 cache-misses=6
[sample=44] cpu=0 bench=prime cycles=2296 instructions=672 cache-misses=5
[sample=45] cpu=0 bench=prime cycles=2973 instructions=672 cache-misses=6
[sample=46] cpu=0 bench=prime cycles=1896 instructions=672 cache-misses=6
[sample=47] cpu=0 bench=prime cycles=3337 instructions=670 cache-misses=7
[sample=48] cpu=0 bench=prime cycles=2729 instructions=671 cache-misses=5
[sample=49] cpu=0 bench=prime cycles=2362 instructions=673 cache-misses=6
[sample=50] cpu=0 bench=prime cycles=2281 instructions=673 cache-misses=5
[sample=51] cpu=0 bench=prime cycles=6365 instructions=673 cache-misses=5
[sample=52] cpu=0 bench=prime cycles=2220 instructions=673 cache-misses=4
[sample=53] cpu=0 bench=prime cycles=2720 instructions=673 cache-misses=4
[sample=54] cpu=0 bench=prime cycles=2489 instructions=674 cache-misses=6
[sample=55] cpu=0 bench=prime cycles=2293 instructions=673 cache-misses=5
[sample=56] cpu=0 bench=prime cycles=7256 instructions=673 cache-misses=10
[sample=57] cpu=0 bench=prime cycles=3545 instructions=672 cache-misses=5
[sample=58] cpu=0 bench=prime cycles=3058 instructions=672 cache-misses=6
[sample=59] cpu=0 bench=prime cycles=2261 instructions=672 cache-misses=5
[sample=60] cpu=0 bench=prime cycles=3122 instructions=673 cache-misses=6
[sample=61] cpu=0 bench=prime cycles=2305 instructions=673 cache-misses=5
[sample=62] cpu=0 bench=prime cycles=2380 instructions=673 cache-misses=6
[sample=63] cpu=0 bench=prime cycles=1974 instructions=673 cache-misses=4
[sample=64] cpu=0 bench=prime cycles=1472 instructions=673 cache-misses=5
[sample=65] cpu=0 bench=prime cycles=1523 instructions=672 cache-misses=4
[sample=66] cpu=0 bench=prime cycles=2267 instructions=672 cache-misses=5
[sample=67] cpu=0 bench=prime cycles=2391 instructions=672 cache-misses=7
[sample=68] cpu=0 bench=prime cycles=9583 instructions=673 cache-misses=6
[sample=69] cpu=0 bench=prime cycles=3376 instructions=673 cache-misses=4
[sample=70] cpu=0 bench=prime cycles=3254 instructions=672 cache-misses=5
[sample=71] cpu=0 bench=prime cycles=1727 instructions=673 cache-misses=5
[sample=72] cpu=0 bench=prime cycles=2103 instructions=673 cache-misses=6
[sample=73] cpu=0 bench=prime cycles=2179 instructions=673 cache-misses=6
[sample=74] cpu=0 bench=prime cycles=2602 instructions=673 cache-misses=7
[sample=75] cpu=0 bench=prime cycles=1226 instructions=673 cache-misses=4
[sample=76] cpu=0 bench=prime cycles=2886 instructions=673 cache-misses=6
[sample=77] cpu=0 bench=prime cycles=3163 instructions=672 cache-misses=5
[sample=78] cpu=0 bench=prime cycles=2969 instructions=672 cache-misses=6
[sample=79] cpu=0 bench=prime cycles=1853 instructions=672 cache-misses=4
[sample=80] cpu=0 bench=prime cycles=2687 instructions=672 cache-misses=6
[sample=81] cpu=0 bench=prime cycles=2512 instructions=673 cache-misses=5
[sample=82] cpu=0 bench=prime cycles=1983 instructions=674 cache-misses=6
[sample=83] cpu=0 bench=prime cycles=2561 instructions=672 cache-misses=6
[sample=84] cpu=0 bench=prime cycles=1048 instructions=670 cache-misses=6
[sample=85] cpu=0 bench=prime cycles=1069 instructions=670 cache-misses=7
[sample=86] cpu=0 bench=prime cycles=1044 instructions=670 cache-misses=5
[sample=87] cpu=0 bench=prime cycles=1833 instructions=672 cache-misses=6
[sample=88] cpu=0 bench=prime cycles=7455 instructions=673 cache-misses=7
[sample=89] cpu=0 bench=prime cycles=3522 instructions=671 cache-misses=5
[sample=90] cpu=0 bench=prime cycles=2202 instructions=672 cache-misses=6
[sample=91] cpu=0 bench=prime cycles=1952 instructions=672 cache-misses=6
[sample=92] cpu=0 bench=prime cycles=2455 instructions=670 cache-misses=5
[sample=93] cpu=0 bench=prime cycles=2499 instructions=670 cache-misses=5
[sample=94] cpu=0 bench=prime cycles=2806 instructions=672 cache-misses=5
[sample=95] cpu=0 bench=prime cycles=1892 instructions=673 cache-misses=6
[sample=96] cpu=0 bench=prime cycles=2972 instructions=672 cache-misses=6
[sample=97] cpu=0 bench=prime cycles=1692 instructions=670 cache-misses=6
[sample=98] cpu=0 bench=prime cycles=2558 instructions=672 cache-misses=6
[sample=99] cpu=0 bench=prime cycles=1969 instructions=673 cache-misses=6
[sample=100] cpu=0 bench=prime cycles=17692 instructions=672 cache-misses=5
[sample=101] cpu=0 bench=prime cycles=2258 instructions=674 cache-misses=5
[sample=102] cpu=0 bench=prime cycles=1937 instructions=672 cache-misses=6
[sample=103] cpu=0 bench=prime cycles=2551 instructions=673 cache-misses=6
[sample=104] cpu=0 bench=prime cycles=1465 instructions=673 cache-misses=4
[sample=105] cpu=0 bench=prime cycles=1791 instructions=674 cache-misses=5
[sample=106] cpu=0 bench=prime cycles=17251 instructions=673 cache-misses=5
[sample=107] cpu=0 bench=prime cycles=2935 instructions=672 cache-misses=6
[sample=108] cpu=0 bench=prime cycles=2945 instructions=673 cache-misses=6
[sample=109] cpu=0 bench=prime cycles=1670 instructions=674 cache-misses=5
[sample=110] cpu=0 bench=prime cycles=2224 instructions=672 cache-misses=7
