board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,binarysearch,LLC,0,4,1600000,0,1..3,7739,1262,12
imx8mm,binarysearch,LLC,1,4,1600000,0,1..3,4836,1257,6
imx8mm,binarysearch,LLC,2,4,1600000,0,1..3,1924,1257,6
imx8mm,binarysearch,LLC,3,4,1600000,0,1..3,1902,1258,5
imx8mm,binarysearch,LLC,4,4,1600000,0,1..3,1924,1257,3
imx8mm,binarysearch,LLC,5,4,1600000,0,1..3,1875,1257,2
imx8mm,binarysearch,LLC,6,4,1600000,0,1..3,1901,1257,1
imx8mm,binarysearch,LLC,7,4,1600000,0,1..3,1879,1257,1
imx8mm,binarysearch,LLC,8,4,1600000,0,1..3,1910,1257,4
imx8mm,binarysearch,LLC,9,4,1600000,0,1..3,1913,1257,2
imx8mm,binarysearch,LLC,10,4,1600000,0,1..3,1903,1257,3
imx8mm,binarysearch,LLC,11,4,1600000,0,1..3,1907,1257,3
imx8mm,binarysearch,LLC,12,4,1600000,0,1..3,1907,1257,0
imx8mm,binarysearch,LLC,13,4,1600000,0,1..3,1895,1257,2
imx8mm,binarysearch,LLC,14,4,1600000,0,1..3,2464,1257,6
imx8mm,binarysearch,LLC,15,4,1600000,0,1..3,1877,1257,1
imx8mm,binarysearch,LLC,16,4,1600000,0,1..3,1843,1257,1
imx8mm,binarysearch,LLC,17,4,1600000,0,1..3,1875,1257,3
imx8mm,binarysearch,LLC,18,4,1600000,0,1..3,1848,1257,1
imx8mm,binarysearch,LLC,19,4,1600000,0,1..3,1895,1257,3
imx8mm,binarysearch,LLC,20,4,1600000,0,1..3,1878,1257,1
imx8mm,binarysearch,LLC,21,4,1600000,0,1..3,1874,1257,3
imx8mm,binarysearch,LLC,22,4,1600000,0,1..3,1898,1257,4
imx8mm,binarysearch,LLC,23,4,1600000,0,1..3,1836,1257,1
imx8mm,binarysearch,LLC,24,4,1600000,0,1..3,1884,1257,1
imx8mm,binarysearch,LLC,25,4,1600000,0,1..3,1852,1257,2
imx8mm,binarysearch,LLC,26,4,1600000,0,1..3,1871,1257,1
imx8mm,binarysearch,LLC,27,4,1600000,0,1..3,1887,1258,3
imx8mm,binarysearch,LLC,28,4,1600000,0,1..3,1842,1258,1
imx8mm,binarysearch,LLC,29,4,1600000,0,1..3,1877,1257,2
imx8mm,binarysearch,LLC,30,4,1600000,0,1..3,1873,1257,6
imx8mm,binarysearch,LLC,31,4,1600000,0,1..3,1922,1257,5
imx8mm,binarysearch,LLC,32,4,1600000,0,1..3,1966,1257,4
imx8mm,binarysearch,LLC,33,4,1600000,0,1..3,1896,1257,4
imx8mm,binarysearch,LLC,34,4,1600000,0,1..3,1866,1257,2
imx8mm,binarysearch,LLC,35,4,1600000,0,1..3,1911,1257,5
imx8mm,binarysearch,LLC,36,4,1600000,0,1..3,1876,1257,1
imx8mm,binarysearch,LLC,37,4,1600000,0,1..3,1871,1257,1
imx8mm,binarysearch,LLC,38,4,1600000,0,1..3,1868,1257,2
imx8mm,binarysearch,LLC,39,4,1600000,0,1..3,1930,1257,3
imx8mm,binarysearch,LLC,40,4,1600000,0,1..3,1898,1257,3
imx8mm,binarysearch,LLC,41,4,1600000,0,1..3,1872,1257,2
imx8mm,binarysearch,LLC,42,4,1600000,0,1..3,1852,1257,1
imx8mm,binarysearch,LLC,43,4,1600000,0,1..3,1857,1257,1
imx8mm,binarysearch,LLC,44,4,1600000,0,1..3,1877,1258,4
imx8mm,binarysearch,LLC,45,4,1600000,0,1..3,1868,1258,2
imx8mm,binarysearch,LLC,46,4,1600000,0,1..3,1910,1257,3
imx8mm,binarysearch,LLC,47,4,1600000,0,1..3,1905,1257,3
imx8mm,binarysearch,LLC,48,4,1600000,0,1..3,1896,1258,3
imx8mm,binarysearch,LLC,49,4,1600000,0,1..3,1887,1257,3
imx8mm,binarysearch,LLC,50,4,1600000,0,1..3,1885,1257,2
imx8mm,binarysearch,LLC,51,4,1600000,0,1..3,1887,1257,4
imx8mm,binarysearch,LLC,52,4,1600000,0,1..3,1896,1257,3
imx8mm,binarysearch,LLC,53,4,1600000,0,1..3,1861,1258,2
imx8mm,binarysearch,LLC,54,4,1600000,0,1..3,1878,1257,3
imx8mm,binarysearch,LLC,55,4,1600000,0,1..3,1885,1257,1
imx8mm,binarysearch,LLC,56,4,1600000,0,1..3,1892,1257,1
imx8mm,binarysearch,LLC,57,4,1600000,0,1..3,1898,1257,4
imx8mm,binarysearch,LLC,58,4,1600000,0,1..3,1872,1258,5
imx8mm,binarysearch,LLC,59,4,1600000,0,1..3,1838,1257,3
imx8mm,binarysearch,LLC,60,4,1600000,0,1..3,1879,1257,4
imx8mm,binarysearch,LLC,61,4,1600000,0,1..3,1876,1258,2
imx8mm,binarysearch,LLC,62,4,1600000,0,1..3,1883,1257,5
imx8mm,binarysearch,LLC,63,4,1600000,0,1..3,1892,1257,4
imx8mm,binarysearch,LLC,64,4,1600000,0,1..3,1930,1257,7
imx8mm,binarysearch,LLC,65,4,1600000,0,1..3,1878,1257,3
imx8mm,binarysearch,LLC,66,4,1600000,0,1..3,1896,1257,1
imx8mm,binarysearch,LLC,67,4,1600000,0,1..3,1880,1257,3
imx8mm,binarysearch,LLC,68,4,1600000,0,1..3,1879,1257,4
imx8mm,binarysearch,LLC,69,4,1600000,0,1..3,1893,1257,5
imx8mm,binarysearch,LLC,70,4,1600000,0,1..3,1891,1257,3
imx8mm,binarysearch,LLC,71,4,1600000,0,1..3,1892,1257,2
imx8mm,binarysearch,LLC,72,4,1600000,0,1..3,1892,1257,2
imx8mm,binarysearch,LLC,73,4,1600000,0,1..3,1894,1257,3
imx8mm,binarysearch,LLC,74,4,1600000,0,1..3,1869,1258,4
imx8mm,binarysearch,LLC,75,4,1600000,0,1..3,1878,1257,2
imx8mm,binarysearch,LLC,76,4,1600000,0,1..3,1869,1257,2
imx8mm,binarysearch,LLC,77,4,1600000,0,1..3,1869,1257,3
imx8mm,binarysearch,LLC,78,4,1600000,0,1..3,1922,1257,5
imx8mm,binarysearch,LLC,79,4,1600000,0,1..3,1898,1257,5
imx8mm,binarysearch,LLC,80,4,1600000,0,1..3,1907,1257,6
imx8mm,binarysearch,LLC,81,4,1600000,0,1..3,1898,1257,4
imx8mm,binarysearch,LLC,82,4,1600000,0,1..3,1874,1257,2
