board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,bitonic,BUS+MEM,0,4,1600000,0,1..3,35694,18403,15
imx8mm,bitonic,BUS+MEM,1,4,1600000,0,1..3,36976,18391,8
imx8mm,bitonic,BUS+MEM,2,4,1600000,0,1..3,34749,18392,5
imx8mm,bitonic,BUS+MEM,3,4,1600000,0,1..3,26468,18392,6
imx8mm,bitonic,BUS+MEM,4,4,1600000,0,1..3,27496,18392,4
imx8mm,bitonic,BUS+MEM,5,4,1600000,0,1..3,23545,18393,4
imx8mm,bitonic,BUS+MEM,6,4,1600000,0,1..3,22796,18392,4
imx8mm,bitonic,BUS+MEM,7,4,1600000,0,1..3,27080,18391,1
imx8mm,bitonic,BUS+MEM,8,4,1600000,0,1..3,22719,18392,2
imx8mm,bitonic,BUS+MEM,9,4,1600000,0,1..3,21897,18392,3
imx8mm,bitonic,BUS+MEM,10,4,1600000,0,1..3,21991,18391,3
imx8mm,bitonic,BUS+MEM,11,4,1600000,0,1..3,22124,18391,3
imx8mm,bitonic,BUS+MEM,12,4,1600000,0,1..3,22564,18392,2
imx8mm,bitonic,BUS+MEM,13,4,1600000,0,1..3,22506,18391,4
imx8mm,bitonic,BUS+MEM,14,4,1600000,0,1..3,22272,18392,4
imx8mm,bitonic,BUS+MEM,15,4,1600000,0,1..3,22044,18392,3
imx8mm,bitonic,BUS+MEM,16,4,1600000,0,1..3,22016,18393,2
imx8mm,bitonic,BUS+MEM,17,4,1600000,0,1..3,21912,18391,1
imx8mm,bitonic,BUS+MEM,18,4,1600000,0,1..3,22346,18394,4
imx8mm,bitonic,BUS+MEM,19,4,1600000,0,1..3,22504,18392,2
imx8mm,bitonic,BUS+MEM,20,4,1600000,0,1..3,22388,18391,3
imx8mm,bitonic,BUS+MEM,21,4,1600000,0,1..3,21846,18392,3
imx8mm,bitonic,BUS+MEM,22,4,1600000,0,1..3,21919,18391,2
imx8mm,bitonic,BUS+MEM,23,4,1600000,0,1..3,22020,18391,2
imx8mm,bitonic,BUS+MEM,24,4,1600000,0,1..3,22578,18393,4
imx8mm,bitonic,BUS+MEM,25,4,1600000,0,1..3,22230,18392,3
imx8mm,bitonic,BUS+MEM,26,4,1600000,0,1..3,22577,18396,6
imx8mm,bitonic,BUS+MEM,27,4,1600000,0,1..3,21975,18392,2
imx8mm,bitonic,BUS+MEM,28,4,1600000,0,1..3,21988,18392,3
imx8mm,bitonic,BUS+MEM,29,4,1600000,0,1..3,22001,18392,3
imx8mm,bitonic,BUS+MEM,30,4,1600000,0,1..3,22700,18392,6
imx8mm,bitonic,BUS+MEM,31,4,1600000,0,1..3,22158,18392,5
imx8mm,bitonic,BUS+MEM,32,4,1600000,0,1..3,22592,18392,4
imx8mm,bitonic,BUS+MEM,33,4,1600000,0,1..3,22158,18394,5
imx8mm,bitonic,BUS+MEM,34,4,1600000,0,1..3,22042,18393,4
imx8mm,bitonic,BUS+MEM,35,4,1600000,0,1..3,22067,18392,1
imx8mm,bitonic,BUS+MEM,36,4,1600000,0,1..3,22131,18392,2
imx8mm,bitonic,BUS+MEM,37,4,1600000,0,1..3,22448,18393,3
imx8mm,bitonic,BUS+MEM,38,4,1600000,0,1..3,22438,18392,3
imx8mm,bitonic,BUS+MEM,39,4,1600000,0,1..3,21985,18392,4
imx8mm,bitonic,BUS+MEM,40,4,1600000,0,1..3,21974,18392,2
imx8mm,bitonic,BUS+MEM,41,4,1600000,0,1..3,21990,18392,5
imx8mm,bitonic,BUS+MEM,42,4,1600000,0,1..3,22206,18393,4
imx8mm,bitonic,BUS+MEM,43,4,1600000,0,1..3,22496,18392,2
imx8mm,bitonic,BUS+MEM,44,4,1600000,0,1..3,22448,18391,4
imx8mm,bitonic,BUS+MEM,45,4,1600000,0,1..3,21884,18391,1
imx8mm,bitonic,BUS+MEM,46,4,1600000,0,1..3,21936,18391,3
imx8mm,bitonic,BUS+MEM,47,4,1600000,0,1..3,21974,18391,2
imx8mm,bitonic,BUS+MEM,48,4,1600000,0,1..3,23122,18392,8
imx8mm,bitonic,BUS+MEM,49,4,1600000,0,1..3,21933,18392,3
imx8mm,bitonic,BUS+MEM,50,4,1600000,0,1..3,25504,18393,7
imx8mm,bitonic,BUS+MEM,51,4,1600000,0,1..3,22413,18392,2
imx8mm,bitonic,BUS+MEM,52,4,1600000,0,1..3,22142,18391,4
imx8mm,bitonic,BUS+MEM,53,4,1600000,0,1..3,22581,18391,0
imx8mm,bitonic,BUS+MEM,54,4,1600000,0,1..3,22409,18392,3
imx8mm,bitonic,BUS+MEM,55,4,1600000,0,1..3,21964,18393,4
imx8mm,bitonic,BUS+MEM,56,4,1600000,0,1..3,22934,18392,2
imx8mm,bitonic,BUS+MEM,57,4,1600000,0,1..3,22157,18392,7
imx8mm,bitonic,BUS+MEM,58,4,1600000,0,1..3,27549,18395,5
imx8mm,bitonic,BUS+MEM,59,4,1600000,0,1..3,21930,18393,3
imx8mm,bitonic,BUS+MEM,60,4,1600000,0,1..3,21987,18391,3
imx8mm,bitonic,BUS+MEM,61,4,1600000,0,1..3,22871,18391,3
imx8mm,bitonic,BUS+MEM,62,4,1600000,0,1..3,22424,18391,3
imx8mm,bitonic,BUS+MEM,63,4,1600000,0,1..3,22112,18391,6
imx8mm,bitonic,BUS+MEM,64,4,1600000,0,1..3,22548,18391,3
