board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,bitonic,LLC+BUS,0,4,1600000,0,1..3,44639,18398,18
imx8mm,bitonic,LLC+BUS,1,4,1600000,0,1..3,44447,18393,12
imx8mm,bitonic,LLC+BUS,2,4,1600000,0,1..3,33413,18392,10
imx8mm,bitonic,LLC+BUS,3,4,1600000,0,1..3,31546,18391,8
imx8mm,bitonic,LLC+BUS,4,4,1600000,0,1..3,24722,18392,7
imx8mm,bitonic,LLC+BUS,5,4,1600000,0,1..3,21957,18392,8
imx8mm,bitonic,LLC+BUS,6,4,1600000,0,1..3,23131,18392,5
imx8mm,bitonic,LLC+BUS,7,4,1600000,0,1..3,22678,18392,6
imx8mm,bitonic,LLC+BUS,8,4,1600000,0,1..3,22674,18391,6
imx8mm,bitonic,LLC+BUS,9,4,1600000,0,1..3,22621,18393,3
imx8mm,bitonic,LLC+BUS,10,4,1600000,0,1..3,22705,18392,7
imx8mm,bitonic,LLC+BUS,11,4,1600000,0,1..3,22129,18392,7
imx8mm,bitonic,LLC+BUS,12,4,1600000,0,1..3,21999,18393,7
imx8mm,bitonic,LLC+BUS,13,4,1600000,0,1..3,22684,18392,5
imx8mm,bitonic,LLC+BUS,14,4,1600000,0,1..3,23353,18392,7
imx8mm,bitonic,LLC+BUS,15,4,1600000,0,1..3,22590,18391,3
imx8mm,bitonic,LLC+BUS,16,4,1600000,0,1..3,22711,18391,6
imx8mm,bitonic,LLC+BUS,17,4,1600000,0,1..3,22989,18391,3
imx8mm,bitonic,LLC+BUS,18,4,1600000,0,1..3,22204,18391,6
imx8mm,bitonic,LLC+BUS,19,4,1600000,0,1..3,23073,18395,6
imx8mm,bitonic,LLC+BUS,20,4,1600000,0,1..3,22631,18391,6
imx8mm,bitonic,LLC+BUS,21,4,1600000,0,1..3,23730,18392,8
imx8mm,bitonic,LLC+BUS,22,4,1600000,0,1..3,23330,18391,4
imx8mm,bitonic,LLC+BUS,23,4,1600000,0,1..3,22715,18391,5
imx8mm,bitonic,LLC+BUS,24,4,1600000,0,1..3,22364,18392,6
imx8mm,bitonic,LLC+BUS,25,4,1600000,0,1..3,23240,18391,3
imx8mm,bitonic,LLC+BUS,26,4,1600000,0,1..3,21977,18391,4
imx8mm,bitonic,LLC+BUS,27,4,1600000,0,1..3,21999,18391,7
imx8mm,bitonic,LLC+BUS,28,4,1600000,0,1..3,23935,18392,10
imx8mm,bitonic,LLC+BUS,29,4,1600000,0,1..3,22557,18391,4
imx8mm,bitonic,LLC+BUS,30,4,1600000,0,1..3,22394,18391,5
imx8mm,bitonic,LLC+BUS,31,4,1600000,0,1..3,22080,18392,5
imx8mm,bitonic,LLC+BUS,32,4,1600000,0,1..3,21929,18393,8
imx8mm,bitonic,LLC+BUS,33,4,1600000,0,1..3,23507,18391,7
imx8mm,bitonic,LLC+BUS,34,4,1600000,0,1..3,22298,18391,7
imx8mm,bitonic,LLC+BUS,35,4,1600000,0,1..3,22921,18391,5
imx8mm,bitonic,LLC+BUS,36,4,1600000,0,1..3,22360,18391,6
imx8mm,bitonic,LLC+BUS,37,4,1600000,0,1..3,22639,18391,8
