board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,bitonic,LLC+MEM,0,4,1600000,0,1..3,39447,18397,15
imx8mm,bitonic,LLC+MEM,1,4,1600000,0,1..3,35625,18392,10
imx8mm,bitonic,LLC+MEM,2,4,1600000,0,1..3,22068,18392,5
imx8mm,bitonic,LLC+MEM,3,4,1600000,0,1..3,21920,18392,3
imx8mm,bitonic,LLC+MEM,4,4,1600000,0,1..3,22067,18392,3
imx8mm,bitonic,LLC+MEM,5,4,1600000,0,1..3,22066,18391,4
imx8mm,bitonic,LLC+MEM,6,4,1600000,0,1..3,22122,18392,3
imx8mm,bitonic,LLC+MEM,7,4,1600000,0,1..3,22078,18392,5
imx8mm,bitonic,LLC+MEM,8,4,1600000,0,1..3,22026,18391,4
imx8mm,bitonic,LLC+MEM,9,4,1600000,0,1..3,22083,18391,3
imx8mm,bitonic,LLC+MEM,10,4,1600000,0,1..3,21936,18391,3
imx8mm,bitonic,LLC+MEM,11,4,1600000,0,1..3,22031,18391,5
imx8mm,bitonic,LLC+MEM,12,4,1600000,0,1..3,21999,18392,5
imx8mm,bitonic,LLC+MEM,13,4,1600000,0,1..3,22046,18391,3
imx8mm,bitonic,LLC+MEM,14,4,1600000,0,1..3,22044,18391,2
imx8mm,bitonic,LLC+MEM,15,4,1600000,0,1..3,21924,18391,2
imx8mm,bitonic,LLC+MEM,16,4,1600000,0,1..3,22120,18391,2
imx8mm,bitonic,LLC+MEM,17,4,1600000,0,1..3,22036,18391,3
imx8mm,bitonic,LLC+MEM,18,4,1600000,0,1..3,22106,18391,2
imx8mm,bitonic,LLC+MEM,19,4,1600000,0,1..3,22007,18391,3
imx8mm,bitonic,LLC+MEM,20,4,1600000,0,1..3,21932,18391,0
imx8mm,bitonic,LLC+MEM,21,4,1600000,0,1..3,21905,18391,3
imx8mm,bitonic,LLC+MEM,22,4,1600000,0,1..3,22140,18391,5
imx8mm,bitonic,LLC+MEM,23,4,1600000,0,1..3,22045,18391,4
imx8mm,bitonic,LLC+MEM,24,4,1600000,0,1..3,22007,18391,3
imx8mm,bitonic,LLC+MEM,25,4,1600000,0,1..3,22059,18391,2
imx8mm,bitonic,LLC+MEM,26,4,1600000,0,1..3,21920,18392,1
imx8mm,bitonic,LLC+MEM,27,4,1600000,0,1..3,22010,18391,2
imx8mm,bitonic,LLC+MEM,28,4,1600000,0,1..3,21938,18391,2
imx8mm,bitonic,LLC+MEM,29,4,1600000,0,1..3,21993,18391,4
imx8mm,bitonic,LLC+MEM,30,4,1600000,0,1..3,22181,18391,4
imx8mm,bitonic,LLC+MEM,31,4,1600000,0,1..3,22081,18391,1
imx8mm,bitonic,LLC+MEM,32,4,1600000,0,1..3,22029,18391,2
imx8mm,bitonic,LLC+MEM,33,4,1600000,0,1..3,22079,18391,1
imx8mm,bitonic,LLC+MEM,34,4,1600000,0,1..3,22041,18392,2
imx8mm,bitonic,LLC+MEM,35,4,1600000,0,1..3,22077,18391,4
imx8mm,bitonic,LLC+MEM,36,4,1600000,0,1..3,21995,18391,1
imx8mm,bitonic,LLC+MEM,37,4,1600000,0,1..3,22011,18391,2
imx8mm,bitonic,LLC+MEM,38,4,1600000,0,1..3,21945,18391,1
imx8mm,bitonic,LLC+MEM,39,4,1600000,0,1..3,22232,18392,6
imx8mm,bitonic,LLC+MEM,40,4,1600000,0,1..3,22241,18392,5
imx8mm,bitonic,LLC+MEM,41,4,1600000,0,1..3,22102,18391,2
imx8mm,bitonic,LLC+MEM,42,4,1600000,0,1..3,22104,18391,6
imx8mm,bitonic,LLC+MEM,43,4,1600000,0,1..3,22153,18392,3
imx8mm,bitonic,LLC+MEM,44,4,1600000,0,1..3,21974,18391,3
imx8mm,bitonic,LLC+MEM,45,4,1600000,0,1..3,22020,18391,2
imx8mm,bitonic,LLC+MEM,46,4,1600000,0,1..3,22090,18392,1
imx8mm,bitonic,LLC+MEM,47,4,1600000,0,1..3,22079,18392,3
imx8mm,bitonic,LLC+MEM,48,4,1600000,0,1..3,22162,18391,5
imx8mm,bitonic,LLC+MEM,49,4,1600000,0,1..3,22131,18391,6
imx8mm,bitonic,LLC+MEM,50,4,1600000,0,1..3,22062,18391,2
imx8mm,bitonic,LLC+MEM,51,4,1600000,0,1..3,21935,18392,4
imx8mm,bitonic,LLC+MEM,52,4,1600000,0,1..3,21987,18392,2
imx8mm,bitonic,LLC+MEM,53,4,1600000,0,1..3,22028,18393,1
imx8mm,bitonic,LLC+MEM,54,4,1600000,0,1..3,21997,18391,4
imx8mm,bitonic,LLC+MEM,55,4,1600000,0,1..3,22137,18391,4
imx8mm,bitonic,LLC+MEM,56,4,1600000,0,1..3,22014,18391,1
imx8mm,bitonic,LLC+MEM,57,4,1600000,0,1..3,21953,18391,3
imx8mm,bitonic,LLC+MEM,58,4,1600000,0,1..3,21922,18391,3
imx8mm,bitonic,LLC+MEM,59,4,1600000,0,1..3,22027,18391,4
imx8mm,bitonic,LLC+MEM,60,4,1600000,0,1..3,22060,18391,3
imx8mm,bitonic,LLC+MEM,61,4,1600000,0,1..3,21952,18391,3
imx8mm,bitonic,LLC+MEM,62,4,1600000,0,1..3,22084,18392,2
imx8mm,bitonic,LLC+MEM,63,4,1600000,0,1..3,21961,18393,2
imx8mm,bitonic,LLC+MEM,64,4,1600000,0,1..3,22006,18392,6
imx8mm,bitonic,LLC+MEM,65,4,1600000,0,1..3,21997,18392,2
imx8mm,bitonic,LLC+MEM,66,4,1600000,0,1..3,22118,18393,2
imx8mm,bitonic,LLC+MEM,67,4,1600000,0,1..3,22044,18391,1
imx8mm,bitonic,LLC+MEM,68,4,1600000,0,1..3,22024,18393,1
imx8mm,bitonic,LLC+MEM,69,4,1600000,0,1..3,22015,18392,2
imx8mm,bitonic,LLC+MEM,70,4,1600000,0,1..3,22070,18392,7
imx8mm,bitonic,LLC+MEM,71,4,1600000,0,1..3,22119,18391,5
