board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,bsort,Mix,0,4,1600000,0,1..3,372271,258401,15
imx8mm,bsort,Mix,1,4,1600000,0,1..3,372108,258398,10
imx8mm,bsort,Mix,2,4,1600000,0,1..3,388758,258401,19
imx8mm,bsort,Mix,3,4,1600000,0,1..3,370971,258398,5
imx8mm,bsort,Mix,4,4,1600000,0,1..3,359140,258397,7
imx8mm,bsort,Mix,5,4,1600000,0,1..3,358494,258397,5
imx8mm,bsort,Mix,6,4,1600000,0,1..3,358899,258397,8
imx8mm,bsort,Mix,7,4,1600000,0,1..3,359081,258397,5
imx8mm,bsort,Mix,8,4,1600000,0,1..3,359098,258397,6
imx8mm,bsort,Mix,9,4,1600000,0,1..3,357924,258397,7
imx8mm,bsort,Mix,10,4,1600000,0,1..3,357770,258397,5
imx8mm,bsort,Mix,11,4,1600000,0,1..3,358818,258397,5
imx8mm,bsort,Mix,12,4,1600000,0,1..3,357812,258397,5
imx8mm,bsort,Mix,13,4,1600000,0,1..3,356855,258397,6
imx8mm,bsort,Mix,14,4,1600000,0,1..3,357744,258397,8
imx8mm,bsort,Mix,15,4,1600000,0,1..3,359485,258397,6
imx8mm,bsort,Mix,16,4,1600000,0,1..3,356970,258397,5
imx8mm,bsort,Mix,17,4,1600000,0,1..3,357670,258397,5
imx8mm,bsort,Mix,18,4,1600000,0,1..3,357137,258399,9
imx8mm,bsort,Mix,19,4,1600000,0,1..3,362511,258397,4
imx8mm,bsort,Mix,20,4,1600000,0,1..3,355905,258397,5
imx8mm,bsort,Mix,21,4,1600000,0,1..3,357497,258397,4
imx8mm,bsort,Mix,22,4,1600000,0,1..3,362669,258397,7
imx8mm,bsort,Mix,23,4,1600000,0,1..3,360904,258397,5
imx8mm,bsort,Mix,24,4,1600000,0,1..3,359813,258397,7
imx8mm,bsort,Mix,25,4,1600000,0,1..3,357953,258397,5
imx8mm,bsort,Mix,26,4,1600000,0,1..3,358258,258397,4
imx8mm,bsort,Mix,27,4,1600000,0,1..3,359038,258397,5
imx8mm,bsort,Mix,28,4,1600000,0,1..3,358100,258397,6
imx8mm,bsort,Mix,29,4,1600000,0,1..3,357777,258397,5
imx8mm,bsort,Mix,30,4,1600000,0,1..3,361630,258397,7
imx8mm,bsort,Mix,31,4,1600000,0,1..3,358917,258397,4
imx8mm,bsort,Mix,32,4,1600000,0,1..3,357977,258397,7
imx8mm,bsort,Mix,33,4,1600000,0,1..3,357879,258397,4
imx8mm,bsort,Mix,34,4,1600000,0,1..3,357466,258397,7
imx8mm,bsort,Mix,35,4,1600000,0,1..3,359444,258397,5
imx8mm,bsort,Mix,36,4,1600000,0,1..3,363911,258397,7
imx8mm,bsort,Mix,37,4,1600000,0,1..3,358521,258397,4
imx8mm,bsort,Mix,38,4,1600000,0,1..3,357733,258397,6
imx8mm,bsort,Mix,39,4,1600000,0,1..3,357604,258399,4
imx8mm,bsort,Mix,40,4,1600000,0,1..3,358185,258397,7
imx8mm,bsort,Mix,41,4,1600000,0,1..3,357255,258397,6
imx8mm,bsort,Mix,42,4,1600000,0,1..3,355991,258397,4
imx8mm,bsort,Mix,43,4,1600000,0,1..3,357563,258397,6
imx8mm,bsort,Mix,44,4,1600000,0,1..3,360552,258397,4
imx8mm,bsort,Mix,45,4,1600000,0,1..3,356315,258397,6
imx8mm,bsort,Mix,46,4,1600000,0,1..3,361400,258397,9
imx8mm,bsort,Mix,47,4,1600000,0,1..3,356150,258397,8
imx8mm,bsort,Mix,48,4,1600000,0,1..3,357756,258397,6
imx8mm,bsort,Mix,49,4,1600000,0,1..3,357650,258397,5
imx8mm,bsort,Mix,50,4,1600000,0,1..3,358017,258397,5
imx8mm,bsort,Mix,51,4,1600000,0,1..3,359051,258398,7
imx8mm,bsort,Mix,52,4,1600000,0,1..3,358928,258397,5
imx8mm,bsort,Mix,53,4,1600000,0,1..3,358460,258397,5
imx8mm,bsort,Mix,54,4,1600000,0,1..3,357790,258397,7
imx8mm,bsort,Mix,55,4,1600000,0,1..3,357972,258397,6
imx8mm,bsort,Mix,56,4,1600000,0,1..3,358045,258397,7
imx8mm,bsort,Mix,57,4,1600000,0,1..3,357724,258397,5
imx8mm,bsort,Mix,58,4,1600000,0,1..3,357885,258397,4
imx8mm,bsort,Mix,59,4,1600000,0,1..3,358101,258397,4
imx8mm,bsort,Mix,60,4,1600000,0,1..3,357792,258397,4
imx8mm,bsort,Mix,61,4,1600000,0,1..3,356089,258397,5
imx8mm,bsort,Mix,62,4,1600000,0,1..3,360894,258397,6
imx8mm,bsort,Mix,63,4,1600000,0,1..3,357479,258397,4
imx8mm,bsort,Mix,64,4,1600000,0,1..3,357877,258397,5
imx8mm,bsort,Mix,65,4,1600000,0,1..3,358511,258397,6
imx8mm,bsort,Mix,66,4,1600000,0,1..3,363763,258397,4
imx8mm,bsort,Mix,67,4,1600000,0,1..3,361522,258397,8
imx8mm,bsort,Mix,68,4,1600000,0,1..3,357393,258397,5
imx8mm,bsort,Mix,69,4,1600000,0,1..3,358056,258397,3
imx8mm,bsort,Mix,70,4,1600000,0,1..3,357695,258397,6
imx8mm,bsort,Mix,71,4,1600000,0,1..3,358081,258397,5
imx8mm,bsort,Mix,72,4,1600000,0,1..3,359319,258400,8
imx8mm,bsort,Mix,73,4,1600000,0,1..3,358847,258397,5
imx8mm,bsort,Mix,74,4,1600000,0,1..3,356667,258397,6
imx8mm,bsort,Mix,75,4,1600000,0,1..3,356317,258397,6
imx8mm,bsort,Mix,76,4,1600000,0,1..3,356748,258397,5
imx8mm,bsort,Mix,77,4,1600000,0,1..3,356693,258397,6
imx8mm,bsort,Mix,78,4,1600000,0,1..3,357910,258397,6
imx8mm,bsort,Mix,79,4,1600000,0,1..3,357562,258397,7
imx8mm,bsort,Mix,80,4,1600000,0,1..3,358239,258397,5
imx8mm,bsort,Mix,81,4,1600000,0,1..3,358706,258397,7
imx8mm,bsort,Mix,82,4,1600000,0,1..3,357449,258397,6
imx8mm,bsort,Mix,83,4,1600000,0,1..3,359049,258398,9
imx8mm,bsort,Mix,84,4,1600000,0,1..3,358429,258397,4
