board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,cjpeg_transupp,LLC,0,4,1600000,0,1..3,7216836,5738347,66
imx8mm,cjpeg_transupp,LLC,1,4,1600000,0,1..3,7217971,5738304,54
imx8mm,cjpeg_transupp,LLC,2,4,1600000,0,1..3,7219358,5738340,57
imx8mm,cjpeg_transupp,LLC,3,4,1600000,0,1..3,7209893,5738305,42
imx8mm,cjpeg_transupp,LLC,4,4,1600000,0,1..3,7200144,5738323,46
imx8mm,cjpeg_transupp,LLC,5,4,1600000,0,1..3,7212419,5738302,45
imx8mm,cjpeg_transupp,LLC,6,4,1600000,0,1..3,7195883,5738335,40
imx8mm,cjpeg_transupp,LLC,7,4,1600000,0,1..3,7216549,5738329,43
imx8mm,cjpeg_transupp,LLC,8,4,1600000,0,1..3,7195752,5738306,46
imx8mm,cjpeg_transupp,LLC,9,4,1600000,0,1..3,7223697,5738311,33
imx8mm,cjpeg_transupp,LLC,10,4,1600000,0,1..3,7222669,5738329,42
imx8mm,cjpeg_transupp,LLC,11,4,1600000,0,1..3,7220802,5738318,35
imx8mm,cjpeg_transupp,LLC,12,4,1600000,0,1..3,7196580,5738318,47
imx8mm,cjpeg_transupp,LLC,13,4,1600000,0,1..3,7227258,5738333,41
imx8mm,cjpeg_transupp,LLC,14,4,1600000,0,1..3,7201167,5738310,59
imx8mm,cjpeg_transupp,LLC,15,4,1600000,0,1..3,7241282,5738326,50
imx8mm,cjpeg_transupp,LLC,16,4,1600000,0,1..3,7213104,5738312,44
imx8mm,cjpeg_transupp,LLC,17,4,1600000,0,1..3,7225299,5738308,46
imx8mm,cjpeg_transupp,LLC,18,4,1600000,0,1..3,7199797,5738305,37
imx8mm,cjpeg_transupp,LLC,19,4,1600000,0,1..3,7217186,5738326,49
imx8mm,cjpeg_transupp,LLC,20,4,1600000,0,1..3,7202573,5738323,47
imx8mm,cjpeg_transupp,LLC,21,4,1600000,0,1..3,7231295,5738305,50
imx8mm,cjpeg_transupp,LLC,22,4,1600000,0,1..3,7223065,5738316,46
imx8mm,cjpeg_transupp,LLC,23,4,1600000,0,1..3,7217968,5738311,48
imx8mm,cjpeg_transupp,LLC,24,4,1600000,0,1..3,7208305,5738316,36
imx8mm,cjpeg_transupp,LLC,25,4,1600000,0,1..3,7230040,5738326,43
imx8mm,cjpeg_transupp,LLC,26,4,1600000,0,1..3,7230880,5738321,46
imx8mm,cjpeg_transupp,LLC,27,4,1600000,0,1..3,7223268,5738314,50
imx8mm,cjpeg_transupp,LLC,28,4,1600000,0,1..3,7235313,5738337,40
imx8mm,cjpeg_transupp,LLC,29,4,1600000,0,1..3,7230738,5738312,40
imx8mm,cjpeg_transupp,LLC,30,4,1600000,0,1..3,7211099,5738329,42
imx8mm,cjpeg_transupp,LLC,31,4,1600000,0,1..3,7230337,5738317,40
imx8mm,cjpeg_transupp,LLC,32,4,1600000,0,1..3,7212427,5738304,38
imx8mm,cjpeg_transupp,LLC,33,4,1600000,0,1..3,7214790,5738303,48
imx8mm,cjpeg_transupp,LLC,34,4,1600000,0,1..3,7233691,5738329,70
imx8mm,cjpeg_transupp,LLC,35,4,1600000,0,1..3,7271512,5738334,57
imx8mm,cjpeg_transupp,LLC,36,4,1600000,0,1..3,7253688,5738331,43
imx8mm,cjpeg_transupp,LLC,37,4,1600000,0,1..3,7225716,5738316,49
imx8mm,cjpeg_transupp,LLC,38,4,1600000,0,1..3,7208448,5738344,51
imx8mm,cjpeg_transupp,LLC,39,4,1600000,0,1..3,7226450,5738308,38
