board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,cjpeg_wrbmp,solo,0,1,1600000,0,,279041,212420,57
imx8mm,cjpeg_wrbmp,solo,1,1,1600000,0,,267897,212409,47
imx8mm,cjpeg_wrbmp,solo,2,1,1600000,0,,267485,212407,40
imx8mm,cjpeg_wrbmp,solo,3,1,1600000,0,,267607,212408,44
imx8mm,cjpeg_wrbmp,solo,4,1,1600000,0,,267431,212408,37
imx8mm,cjpeg_wrbmp,solo,5,1,1600000,0,,267410,212407,58
imx8mm,cjpeg_wrbmp,solo,6,1,1600000,0,,267327,212407,51
imx8mm,cjpeg_wrbmp,solo,7,1,1600000,0,,267395,212407,39
imx8mm,cjpeg_wrbmp,solo,8,1,1600000,0,,267345,212407,53
imx8mm,cjpeg_wrbmp,solo,9,1,1600000,0,,267395,212407,34
imx8mm,cjpeg_wrbmp,solo,10,1,1600000,0,,267417,212407,36
imx8mm,cjpeg_wrbmp,solo,11,1,1600000,0,,267381,212408,42
imx8mm,cjpeg_wrbmp,solo,12,1,1600000,0,,267399,212408,58
imx8mm,cjpeg_wrbmp,solo,13,1,1600000,0,,267391,212408,50
imx8mm,cjpeg_wrbmp,solo,14,1,1600000,0,,267286,212407,72
imx8mm,cjpeg_wrbmp,solo,15,1,1600000,0,,267400,212407,38
imx8mm,cjpeg_wrbmp,solo,16,1,1600000,0,,267339,212407,34
imx8mm,cjpeg_wrbmp,solo,17,1,1600000,0,,267298,212407,28
imx8mm,cjpeg_wrbmp,solo,18,1,1600000,0,,267419,212407,42
imx8mm,cjpeg_wrbmp,solo,19,1,1600000,0,,267400,212408,42
imx8mm,cjpeg_wrbmp,solo,20,1,1600000,0,,267447,212407,48
imx8mm,cjpeg_wrbmp,solo,21,1,1600000,0,,267620,212409,72
imx8mm,cjpeg_wrbmp,solo,22,1,1600000,0,,267511,212407,36
imx8mm,cjpeg_wrbmp,solo,23,1,1600000,0,,267368,212406,33
imx8mm,cjpeg_wrbmp,solo,24,1,1600000,0,,267346,212406,46
imx8mm,cjpeg_wrbmp,solo,25,1,1600000,0,,267349,212406,56
imx8mm,cjpeg_wrbmp,solo,26,1,1600000,0,,267395,212406,37
imx8mm,cjpeg_wrbmp,solo,27,1,1600000,0,,267294,212406,34
imx8mm,cjpeg_wrbmp,solo,28,1,1600000,0,,267393,212406,39
imx8mm,cjpeg_wrbmp,solo,29,1,1600000,0,,267417,212406,38
imx8mm,cjpeg_wrbmp,solo,30,1,1600000,0,,267473,212406,42
imx8mm,cjpeg_wrbmp,solo,31,1,1600000,0,,267368,212406,32
imx8mm,cjpeg_wrbmp,solo,32,1,1600000,0,,267358,212406,40
imx8mm,cjpeg_wrbmp,solo,33,1,1600000,0,,267391,212407,31
imx8mm,cjpeg_wrbmp,solo,34,1,1600000,0,,267332,212407,40
imx8mm,cjpeg_wrbmp,solo,35,1,1600000,0,,267370,212407,30
imx8mm,cjpeg_wrbmp,solo,36,1,1600000,0,,267346,212408,35
imx8mm,cjpeg_wrbmp,solo,37,1,1600000,0,,267503,212409,41
imx8mm,cjpeg_wrbmp,solo,38,1,1600000,0,,267441,212407,37
imx8mm,cjpeg_wrbmp,solo,39,1,1600000,0,,267422,212406,37
imx8mm,cjpeg_wrbmp,solo,40,1,1600000,0,,267451,212407,57
imx8mm,cjpeg_wrbmp,solo,41,1,1600000,0,,267396,212408,32
imx8mm,cjpeg_wrbmp,solo,42,1,1600000,0,,267406,212408,65
imx8mm,cjpeg_wrbmp,solo,43,1,1600000,0,,267344,212408,33
imx8mm,cjpeg_wrbmp,solo,44,1,1600000,0,,267436,212407,42
imx8mm,cjpeg_wrbmp,solo,45,1,1600000,0,,267448,212408,38
imx8mm,cjpeg_wrbmp,solo,46,1,1600000,0,,267367,212407,45
imx8mm,cjpeg_wrbmp,solo,47,1,1600000,0,,267307,212407,39
imx8mm,cjpeg_wrbmp,solo,48,1,1600000,0,,267404,212407,50
imx8mm,cjpeg_wrbmp,solo,49,1,1600000,0,,267333,212408,35
imx8mm,cjpeg_wrbmp,solo,50,1,1600000,0,,267469,212407,34
imx8mm,cjpeg_wrbmp,solo,51,1,1600000,0,,267312,212408,37
imx8mm,cjpeg_wrbmp,solo,52,1,1600000,0,,267448,212408,45
imx8mm,cjpeg_wrbmp,solo,53,1,1600000,0,,267437,212408,40
imx8mm,cjpeg_wrbmp,solo,54,1,1600000,0,,267364,212408,44
imx8mm,cjpeg_wrbmp,solo,55,1,1600000,0,,267439,212408,34
imx8mm,cjpeg_wrbmp,solo,56,1,1600000,0,,267368,212407,52
imx8mm,cjpeg_wrbmp,solo,57,1,1600000,0,,267458,212408,57
imx8mm,cjpeg_wrbmp,solo,58,1,1600000,0,,267810,212409,53
imx8mm,cjpeg_wrbmp,solo,59,1,1600000,0,,267453,212407,35
imx8mm,cjpeg_wrbmp,solo,60,1,1600000,0,,267405,212408,35
imx8mm,cjpeg_wrbmp,solo,61,1,1600000,0,,267478,212408,49
imx8mm,cjpeg_wrbmp,solo,62,1,1600000,0,,267380,212408,56
imx8mm,cjpeg_wrbmp,solo,63,1,1600000,0,,267406,212407,38
imx8mm,cjpeg_wrbmp,solo,64,1,1600000,0,,267431,212407,41
imx8mm,cjpeg_wrbmp,solo,65,1,1600000,0,,267295,212407,60
imx8mm,cjpeg_wrbmp,solo,66,1,1600000,0,,267363,212407,43
imx8mm,cjpeg_wrbmp,solo,67,1,1600000,0,,267383,212408,38
imx8mm,cjpeg_wrbmp,solo,68,1,1600000,0,,267398,212408,39
imx8mm,cjpeg_wrbmp,solo,69,1,1600000,0,,267362,212408,72
imx8mm,cjpeg_wrbmp,solo,70,1,1600000,0,,267458,212407,42
imx8mm,cjpeg_wrbmp,solo,71,1,1600000,0,,267394,212407,42
imx8mm,cjpeg_wrbmp,solo,72,1,1600000,0,,267366,212407,38
imx8mm,cjpeg_wrbmp,solo,73,1,1600000,0,,267346,212407,30
imx8mm,cjpeg_wrbmp,solo,74,1,1600000,0,,267319,212407,35
imx8mm,cjpeg_wrbmp,solo,75,1,1600000,0,,267377,212408,38
imx8mm,cjpeg_wrbmp,solo,76,1,1600000,0,,267646,212410,49
imx8mm,cjpeg_wrbmp,solo,77,1,1600000,0,,267492,212408,36
imx8mm,cjpeg_wrbmp,solo,78,1,1600000,0,,267372,212408,40
imx8mm,cjpeg_wrbmp,solo,79,1,1600000,0,,267473,212409,39
imx8mm,cjpeg_wrbmp,solo,80,1,1600000,0,,267400,212408,38
imx8mm,cjpeg_wrbmp,solo,81,1,1600000,0,,267492,212407,70
imx8mm,cjpeg_wrbmp,solo,82,1,1600000,0,,267425,212406,38
imx8mm,cjpeg_wrbmp,solo,83,1,1600000,0,,267361,212406,45
imx8mm,cjpeg_wrbmp,solo,84,1,1600000,0,,267338,212407,61
imx8mm,cjpeg_wrbmp,solo,85,1,1600000,0,,267379,212408,41
imx8mm,cjpeg_wrbmp,solo,86,1,1600000,0,,267309,212408,52
imx8mm,cjpeg_wrbmp,solo,87,1,1600000,0,,267304,212406,40
imx8mm,cjpeg_wrbmp,solo,88,1,1600000,0,,267307,212406,45
