board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,complex_updates,BUS,0,4,1600000,0,1..3,28291,2558,22
imx8mm,complex_updates,BUS,1,4,1600000,0,1..3,28714,2554,18
imx8mm,complex_updates,BUS,2,4,1600000,0,1..3,6371,2554,7
imx8mm,complex_updates,BUS,3,4,1600000,0,1..3,6112,2555,6
imx8mm,complex_updates,BUS,4,4,1600000,0,1..3,7742,2554,1
imx8mm,complex_updates,BUS,5,4,1600000,0,1..3,4455,2553,3
imx8mm,complex_updates,BUS,6,4,1600000,0,1..3,4495,2553,4
imx8mm,complex_updates,BUS,7,4,1600000,0,1..3,4668,2554,3
imx8mm,complex_updates,BUS,8,4,1600000,0,1..3,4220,2553,3
imx8mm,complex_updates,BUS,9,4,1600000,0,1..3,5266,2553,9
imx8mm,complex_updates,BUS,10,4,1600000,0,1..3,9216,2553,5
imx8mm,complex_updates,BUS,11,4,1600000,0,1..3,4303,2553,5
imx8mm,complex_updates,BUS,12,4,1600000,0,1..3,4541,2553,2
imx8mm,complex_updates,BUS,13,4,1600000,0,1..3,4549,2553,3
imx8mm,complex_updates,BUS,14,4,1600000,0,1..3,4171,2553,4
imx8mm,complex_updates,BUS,15,4,1600000,0,1..3,5370,2553,5
imx8mm,complex_updates,BUS,16,4,1600000,0,1..3,4366,2553,4
imx8mm,complex_updates,BUS,17,4,1600000,0,1..3,8351,2553,4
imx8mm,complex_updates,BUS,18,4,1600000,0,1..3,4220,2553,2
imx8mm,complex_updates,BUS,19,4,1600000,0,1..3,7991,2554,0
imx8mm,complex_updates,BUS,20,4,1600000,0,1..3,4465,2553,2
imx8mm,complex_updates,BUS,21,4,1600000,0,1..3,4801,2553,3
imx8mm,complex_updates,BUS,22,4,1600000,0,1..3,7682,2553,3
imx8mm,complex_updates,BUS,23,4,1600000,0,1..3,4383,2553,3
imx8mm,complex_updates,BUS,24,4,1600000,0,1..3,4144,2554,3
imx8mm,complex_updates,BUS,25,4,1600000,0,1..3,4392,2553,1
imx8mm,complex_updates,BUS,26,4,1600000,0,1..3,4834,2553,4
imx8mm,complex_updates,BUS,27,4,1600000,0,1..3,4577,2553,3
imx8mm,complex_updates,BUS,28,4,1600000,0,1..3,4170,2553,3
imx8mm,complex_updates,BUS,29,4,1600000,0,1..3,3800,2553,3
imx8mm,complex_updates,BUS,30,4,1600000,0,1..3,4045,2553,3
imx8mm,complex_updates,BUS,31,4,1600000,0,1..3,4155,2553,4
imx8mm,complex_updates,BUS,32,4,1600000,0,1..3,3633,2553,2
imx8mm,complex_updates,BUS,33,4,1600000,0,1..3,3575,2553,2
imx8mm,complex_updates,BUS,34,4,1600000,0,1..3,8800,2553,1
imx8mm,complex_updates,BUS,35,4,1600000,0,1..3,4622,2553,4
imx8mm,complex_updates,BUS,36,4,1600000,0,1..3,3943,2553,1
imx8mm,complex_updates,BUS,37,4,1600000,0,1..3,4761,2553,7
imx8mm,complex_updates,BUS,38,4,1600000,0,1..3,8181,2553,4
imx8mm,complex_updates,BUS,39,4,1600000,0,1..3,4117,2553,7
imx8mm,complex_updates,BUS,40,4,1600000,0,1..3,3591,2553,1
imx8mm,complex_updates,BUS,41,4,1600000,0,1..3,5341,2553,3
imx8mm,complex_updates,BUS,42,4,1600000,0,1..3,3943,2553,2
imx8mm,complex_updates,BUS,43,4,1600000,0,1..3,4842,2554,5
imx8mm,complex_updates,BUS,44,4,1600000,0,1..3,4404,2554,4
imx8mm,complex_updates,BUS,45,4,1600000,0,1..3,4402,2555,7
imx8mm,complex_updates,BUS,46,4,1600000,0,1..3,5789,2553,4
imx8mm,complex_updates,BUS,47,4,1600000,0,1..3,3635,2554,5
imx8mm,complex_updates,BUS,48,4,1600000,0,1..3,5962,2553,3
imx8mm,complex_updates,BUS,49,4,1600000,0,1..3,4349,2553,2
imx8mm,complex_updates,BUS,50,4,1600000,0,1..3,4584,2554,3
imx8mm,complex_updates,BUS,51,4,1600000,0,1..3,4528,2553,5
imx8mm,complex_updates,BUS,52,4,1600000,0,1..3,4135,2553,3
imx8mm,complex_updates,BUS,53,4,1600000,0,1..3,4257,2553,3
imx8mm,complex_updates,BUS,54,4,1600000,0,1..3,5539,2553,4
imx8mm,complex_updates,BUS,55,4,1600000,0,1..3,5728,2553,3
imx8mm,complex_updates,BUS,56,4,1600000,0,1..3,4467,2554,4
imx8mm,complex_updates,BUS,57,4,1600000,0,1..3,4962,2554,3
imx8mm,complex_updates,BUS,58,4,1600000,0,1..3,12909,2553,3
imx8mm,complex_updates,BUS,59,4,1600000,0,1..3,3881,2554,2
imx8mm,complex_updates,BUS,60,4,1600000,0,1..3,4173,2553,6
imx8mm,complex_updates,BUS,61,4,1600000,0,1..3,4496,2553,3
imx8mm,complex_updates,BUS,62,4,1600000,0,1..3,4519,2554,9
imx8mm,complex_updates,BUS,63,4,1600000,0,1..3,5453,2553,9
imx8mm,complex_updates,BUS,64,4,1600000,0,1..3,4676,2553,3
imx8mm,complex_updates,BUS,65,4,1600000,0,1..3,5937,2553,3
imx8mm,complex_updates,BUS,66,4,1600000,0,1..3,4053,2553,3
imx8mm,complex_updates,BUS,67,4,1600000,0,1..3,4572,2553,3
imx8mm,complex_updates,BUS,68,4,1600000,0,1..3,4681,2553,3
imx8mm,complex_updates,BUS,69,4,1600000,0,1..3,5292,2553,1
imx8mm,complex_updates,BUS,70,4,1600000,0,1..3,4355,2553,2
imx8mm,complex_updates,BUS,71,4,1600000,0,1..3,3998,2553,2
