board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,complex_updates,LLC,0,4,1600000,0,1..3,8952,2558,24
imx8mm,complex_updates,LLC,1,4,1600000,0,1..3,12057,2554,17
imx8mm,complex_updates,LLC,2,4,1600000,0,1..3,4130,2554,7
imx8mm,complex_updates,LLC,3,4,1600000,0,1..3,3555,2554,1
imx8mm,complex_updates,LLC,4,4,1600000,0,1..3,3569,2554,1
imx8mm,complex_updates,LLC,5,4,1600000,0,1..3,3536,2554,0
imx8mm,complex_updates,LLC,6,4,1600000,0,1..3,3544,2553,0
imx8mm,complex_updates,LLC,7,4,1600000,0,1..3,3570,2554,0
imx8mm,complex_updates,LLC,8,4,1600000,0,1..3,3561,2554,0
imx8mm,complex_updates,LLC,9,4,1600000,0,1..3,3544,2554,1
imx8mm,complex_updates,LLC,10,4,1600000,0,1..3,3520,2553,0
imx8mm,complex_updates,LLC,11,4,1600000,0,1..3,3529,2553,0
imx8mm,complex_updates,LLC,12,4,1600000,0,1..3,3515,2553,0
imx8mm,complex_updates,LLC,13,4,1600000,0,1..3,3512,2553,1
imx8mm,complex_updates,LLC,14,4,1600000,0,1..3,3552,2553,1
imx8mm,complex_updates,LLC,15,4,1600000,0,1..3,3472,2553,1
imx8mm,complex_updates,LLC,16,4,1600000,0,1..3,3536,2553,1
imx8mm,complex_updates,LLC,17,4,1600000,0,1..3,3498,2553,1
imx8mm,complex_updates,LLC,18,4,1600000,0,1..3,3585,2554,1
imx8mm,complex_updates,LLC,19,4,1600000,0,1..3,3525,2554,0
imx8mm,complex_updates,LLC,20,4,1600000,0,1..3,3515,2553,1
imx8mm,complex_updates,LLC,21,4,1600000,0,1..3,3492,2553,0
imx8mm,complex_updates,LLC,22,4,1600000,0,1..3,3528,2553,0
imx8mm,complex_updates,LLC,23,4,1600000,0,1..3,3557,2553,1
imx8mm,complex_updates,LLC,24,4,1600000,0,1..3,3535,2553,1
imx8mm,complex_updates,LLC,25,4,1600000,0,1..3,3508,2553,0
imx8mm,complex_updates,LLC,26,4,1600000,0,1..3,3504,2553,1
imx8mm,complex_updates,LLC,27,4,1600000,0,1..3,3529,2553,1
imx8mm,complex_updates,LLC,28,4,1600000,0,1..3,3554,2553,0
imx8mm,complex_updates,LLC,29,4,1600000,0,1..3,3514,2554,1
imx8mm,complex_updates,LLC,30,4,1600000,0,1..3,3540,2554,1
imx8mm,complex_updates,LLC,31,4,1600000,0,1..3,3510,2554,1
imx8mm,complex_updates,LLC,32,4,1600000,0,1..3,8445,2554,14
imx8mm,complex_updates,LLC,33,4,1600000,0,1..3,3642,2555,9
imx8mm,complex_updates,LLC,34,4,1600000,0,1..3,3594,2554,10
imx8mm,complex_updates,LLC,35,4,1600000,0,1..3,3852,2554,10
imx8mm,complex_updates,LLC,36,4,1600000,0,1..3,3604,2554,8
imx8mm,complex_updates,LLC,37,4,1600000,0,1..3,3969,2554,9
imx8mm,complex_updates,LLC,38,4,1600000,0,1..3,3643,2554,6
imx8mm,complex_updates,LLC,39,4,1600000,0,1..3,3637,2554,9
imx8mm,complex_updates,LLC,40,4,1600000,0,1..3,3659,2554,5
imx8mm,complex_updates,LLC,41,4,1600000,0,1..3,3651,2554,7
imx8mm,complex_updates,LLC,42,4,1600000,0,1..3,3642,2554,8
imx8mm,complex_updates,LLC,43,4,1600000,0,1..3,3600,2554,12
imx8mm,complex_updates,LLC,44,4,1600000,0,1..3,3633,2554,10
imx8mm,complex_updates,LLC,45,4,1600000,0,1..3,3650,2554,11
imx8mm,complex_updates,LLC,46,4,1600000,0,1..3,3620,2554,7
