board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,cover,Mix,0,4,1600000,0,1..3,49830,3739,16
imx8mm,cover,Mix,1,4,1600000,0,1..3,58788,3732,14
imx8mm,cover,Mix,2,4,1600000,0,1..3,69555,3732,8
imx8mm,cover,Mix,3,4,1600000,0,1..3,10360,3732,5
imx8mm,cover,Mix,4,4,1600000,0,1..3,6443,3732,5
imx8mm,cover,Mix,5,4,1600000,0,1..3,8270,3732,6
imx8mm,cover,Mix,6,4,1600000,0,1..3,7000,3732,3
imx8mm,cover,Mix,7,4,1600000,0,1..3,13293,3732,5
imx8mm,cover,Mix,8,4,1600000,0,1..3,6047,3732,4
imx8mm,cover,Mix,9,4,1600000,0,1..3,6158,3732,4
imx8mm,cover,Mix,10,4,1600000,0,1..3,6055,3732,6
imx8mm,cover,Mix,11,4,1600000,0,1..3,7285,3732,5
imx8mm,cover,Mix,12,4,1600000,0,1..3,8136,3732,11
imx8mm,cover,Mix,13,4,1600000,0,1..3,6031,3732,6
imx8mm,cover,Mix,14,4,1600000,0,1..3,6082,3732,4
imx8mm,cover,Mix,15,4,1600000,0,1..3,6694,3732,2
imx8mm,cover,Mix,16,4,1600000,0,1..3,7492,3732,1
imx8mm,cover,Mix,17,4,1600000,0,1..3,6805,3732,2
imx8mm,cover,Mix,18,4,1600000,0,1..3,6036,3732,3
imx8mm,cover,Mix,19,4,1600000,0,1..3,6101,3732,3
imx8mm,cover,Mix,20,4,1600000,0,1..3,6050,3732,4
imx8mm,cover,Mix,21,4,1600000,0,1..3,6029,3732,1
imx8mm,cover,Mix,22,4,1600000,0,1..3,7424,3732,3
imx8mm,cover,Mix,23,4,1600000,0,1..3,6977,3732,1
imx8mm,cover,Mix,24,4,1600000,0,1..3,11701,3732,3
imx8mm,cover,Mix,25,4,1600000,0,1..3,5981,3732,0
imx8mm,cover,Mix,26,4,1600000,0,1..3,6035,3732,1
imx8mm,cover,Mix,27,4,1600000,0,1..3,6079,3732,2
imx8mm,cover,Mix,28,4,1600000,0,1..3,6048,3732,2
imx8mm,cover,Mix,29,4,1600000,0,1..3,7033,3732,1
imx8mm,cover,Mix,30,4,1600000,0,1..3,7162,3732,2
imx8mm,cover,Mix,31,4,1600000,0,1..3,6604,3732,3
imx8mm,cover,Mix,32,4,1600000,0,1..3,6075,3732,3
imx8mm,cover,Mix,33,4,1600000,0,1..3,6079,3732,3
imx8mm,cover,Mix,34,4,1600000,0,1..3,6069,3732,3
imx8mm,cover,Mix,35,4,1600000,0,1..3,7619,3732,3
imx8mm,cover,Mix,36,4,1600000,0,1..3,7099,3732,2
imx8mm,cover,Mix,37,4,1600000,0,1..3,7319,3732,1
imx8mm,cover,Mix,38,4,1600000,0,1..3,7132,3732,3
imx8mm,cover,Mix,39,4,1600000,0,1..3,6072,3732,3
imx8mm,cover,Mix,40,4,1600000,0,1..3,6033,3732,2
imx8mm,cover,Mix,41,4,1600000,0,1..3,6048,3732,2
imx8mm,cover,Mix,42,4,1600000,0,1..3,6555,3732,2
imx8mm,cover,Mix,43,4,1600000,0,1..3,7368,3732,3
imx8mm,cover,Mix,44,4,1600000,0,1..3,6532,3732,3
imx8mm,cover,Mix,45,4,1600000,0,1..3,6516,3732,2
imx8mm,cover,Mix,46,4,1600000,0,1..3,5986,3732,2
imx8mm,cover,Mix,47,4,1600000,0,1..3,6067,3732,2
imx8mm,cover,Mix,48,4,1600000,0,1..3,5999,3732,0
imx8mm,cover,Mix,49,4,1600000,0,1..3,6755,3732,1
imx8mm,cover,Mix,50,4,1600000,0,1..3,6065,3732,3
imx8mm,cover,Mix,51,4,1600000,0,1..3,6028,3732,2
imx8mm,cover,Mix,52,4,1600000,0,1..3,6026,3732,2
imx8mm,cover,Mix,53,4,1600000,0,1..3,6667,3732,3
imx8mm,cover,Mix,54,4,1600000,0,1..3,7228,3732,1
imx8mm,cover,Mix,55,4,1600000,0,1..3,6301,3732,2
imx8mm,cover,Mix,56,4,1600000,0,1..3,5987,3732,1
imx8mm,cover,Mix,57,4,1600000,0,1..3,6044,3732,1
imx8mm,cover,Mix,58,4,1600000,0,1..3,6085,3732,3
imx8mm,cover,Mix,59,4,1600000,0,1..3,6037,3732,2
imx8mm,cover,Mix,60,4,1600000,0,1..3,7463,3732,3
imx8mm,cover,Mix,61,4,1600000,0,1..3,11775,3732,2
imx8mm,cover,Mix,62,4,1600000,0,1..3,6540,3732,3
imx8mm,cover,Mix,63,4,1600000,0,1..3,6278,3732,4
imx8mm,cover,Mix,64,4,1600000,0,1..3,6023,3732,3
imx8mm,cover,Mix,65,4,1600000,0,1..3,7532,3732,11
imx8mm,cover,Mix,66,4,1600000,0,1..3,7409,3732,4
imx8mm,cover,Mix,67,4,1600000,0,1..3,6822,3732,3
imx8mm,cover,Mix,68,4,1600000,0,1..3,6004,3732,1
imx8mm,cover,Mix,69,4,1600000,0,1..3,6029,3732,1
imx8mm,cover,Mix,70,4,1600000,0,1..3,6020,3732,2
imx8mm,cover,Mix,71,4,1600000,0,1..3,6363,3732,3
imx8mm,cover,Mix,72,4,1600000,0,1..3,7169,3732,4
imx8mm,cover,Mix,73,4,1600000,0,1..3,7563,3732,4
imx8mm,cover,Mix,74,4,1600000,0,1..3,7146,3732,3
imx8mm,cover,Mix,75,4,1600000,0,1..3,6065,3732,2
imx8mm,cover,Mix,76,4,1600000,0,1..3,6013,3732,3
imx8mm,cover,Mix,77,4,1600000,0,1..3,6054,3732,2
imx8mm,cover,Mix,78,4,1600000,0,1..3,6456,3732,1
imx8mm,cover,Mix,79,4,1600000,0,1..3,7239,3732,2
imx8mm,cover,Mix,80,4,1600000,0,1..3,6378,3732,3
imx8mm,cover,Mix,81,4,1600000,0,1..3,6019,3732,1
imx8mm,cover,Mix,82,4,1600000,0,1..3,6082,3732,6
imx8mm,cover,Mix,83,4,1600000,0,1..3,6053,3732,1
imx8mm,cover,Mix,84,4,1600000,0,1..3,68651,3732,2
imx8mm,cover,Mix,85,4,1600000,0,1..3,6065,3732,4
imx8mm,cover,Mix,86,4,1600000,0,1..3,6037,3732,4
imx8mm,cover,Mix,87,4,1600000,0,1..3,6015,3732,3
imx8mm,cover,Mix,88,4,1600000,0,1..3,7110,3732,4
imx8mm,cover,Mix,89,4,1600000,0,1..3,7755,3732,1
imx8mm,cover,Mix,90,4,1600000,0,1..3,7011,3732,2
imx8mm,cover,Mix,91,4,1600000,0,1..3,6065,3732,2
imx8mm,cover,Mix,92,4,1600000,0,1..3,6037,3732,2
imx8mm,cover,Mix,93,4,1600000,0,1..3,6091,3732,4
imx8mm,cover,Mix,94,4,1600000,0,1..3,7572,3732,2
imx8mm,cover,Mix,95,4,1600000,0,1..3,6796,3732,1
imx8mm,cover,Mix,96,4,1600000,0,1..3,7815,3732,2
imx8mm,cover,Mix,97,4,1600000,0,1..3,7157,3732,2
imx8mm,cover,Mix,98,4,1600000,0,1..3,6009,3732,1
imx8mm,cover,Mix,99,4,1600000,0,1..3,5984,3732,0
imx8mm,cover,Mix,100,4,1600000,0,1..3,5991,3732,1
imx8mm,cover,Mix,101,4,1600000,0,1..3,7216,3732,2
imx8mm,cover,Mix,102,4,1600000,0,1..3,7515,3732,4
imx8mm,cover,Mix,103,4,1600000,0,1..3,6551,3732,2
imx8mm,cover,Mix,104,4,1600000,0,1..3,6816,3732,2
imx8mm,cover,Mix,105,4,1600000,0,1..3,6016,3732,4
imx8mm,cover,Mix,106,4,1600000,0,1..3,6853,3732,2
imx8mm,cover,Mix,107,4,1600000,0,1..3,7254,3732,1
imx8mm,cover,Mix,108,4,1600000,0,1..3,7699,3732,1
imx8mm,cover,Mix,109,4,1600000,0,1..3,6011,3732,2
imx8mm,cover,Mix,110,4,1600000,0,1..3,6057,3732,2
imx8mm,cover,Mix,111,4,1600000,0,1..3,6020,3732,3
imx8mm,cover,Mix,112,4,1600000,0,1..3,6023,3732,2
imx8mm,cover,Mix,113,4,1600000,0,1..3,11697,3732,3
imx8mm,cover,Mix,114,4,1600000,0,1..3,9036,3732,3
imx8mm,cover,Mix,115,4,1600000,0,1..3,8438,3733,11
imx8mm,cover,Mix,116,4,1600000,0,1..3,6508,3732,7
imx8mm,cover,Mix,117,4,1600000,0,1..3,6019,3732,2
imx8mm,cover,Mix,118,4,1600000,0,1..3,5960,3732,1
imx8mm,cover,Mix,119,4,1600000,0,1..3,6886,3732,3
imx8mm,cover,Mix,120,4,1600000,0,1..3,5996,3732,6
imx8mm,cover,Mix,121,4,1600000,0,1..3,5987,3732,3
imx8mm,cover,Mix,122,4,1600000,0,1..3,5997,3732,3
imx8mm,cover,Mix,123,4,1600000,0,1..3,7104,3732,2
imx8mm,cover,Mix,124,4,1600000,0,1..3,7199,3732,3
imx8mm,cover,Mix,125,4,1600000,0,1..3,7363,3732,3
imx8mm,cover,Mix,126,4,1600000,0,1..3,6522,3732,2
imx8mm,cover,Mix,127,4,1600000,0,1..3,6004,3732,2
imx8mm,cover,Mix,128,4,1600000,0,1..3,5997,3732,2
imx8mm,cover,Mix,129,4,1600000,0,1..3,6639,3732,2
imx8mm,cover,Mix,130,4,1600000,0,1..3,6885,3732,2
imx8mm,cover,Mix,131,4,1600000,0,1..3,7541,3732,1
imx8mm,cover,Mix,132,4,1600000,0,1..3,10389,3732,3
imx8mm,cover,Mix,133,4,1600000,0,1..3,6057,3732,3
imx8mm,cover,Mix,134,4,1600000,0,1..3,5988,3732,3
imx8mm,cover,Mix,135,4,1600000,0,1..3,6433,3732,4
imx8mm,cover,Mix,136,4,1600000,0,1..3,6455,3732,4
imx8mm,cover,Mix,137,4,1600000,0,1..3,6293,3732,1
imx8mm,cover,Mix,138,4,1600000,0,1..3,6705,3732,2
imx8mm,cover,Mix,139,4,1600000,0,1..3,6908,3732,1
imx8mm,cover,Mix,140,4,1600000,0,1..3,6004,3732,2
imx8mm,cover,Mix,141,4,1600000,0,1..3,6040,3732,3
imx8mm,cover,Mix,142,4,1600000,0,1..3,6003,3732,3
imx8mm,cover,Mix,143,4,1600000,0,1..3,6523,3732,2
imx8mm,cover,Mix,144,4,1600000,0,1..3,12169,3732,2
imx8mm,cover,Mix,145,4,1600000,0,1..3,7081,3732,4
imx8mm,cover,Mix,146,4,1600000,0,1..3,6376,3732,3
imx8mm,cover,Mix,147,4,1600000,0,1..3,6070,3732,4
imx8mm,cover,Mix,148,4,1600000,0,1..3,6002,3732,2
imx8mm,cover,Mix,149,4,1600000,0,1..3,5993,3732,2
imx8mm,cover,Mix,150,4,1600000,0,1..3,6901,3732,0
imx8mm,cover,Mix,151,4,1600000,0,1..3,6448,3732,1
imx8mm,cover,Mix,152,4,1600000,0,1..3,6906,3732,3
imx8mm,cover,Mix,153,4,1600000,0,1..3,6608,3732,2
imx8mm,cover,Mix,154,4,1600000,0,1..3,5999,3732,2
imx8mm,cover,Mix,155,4,1600000,0,1..3,6015,3732,3
imx8mm,cover,Mix,156,4,1600000,0,1..3,5968,3732,2
imx8mm,cover,Mix,157,4,1600000,0,1..3,7056,3732,3
imx8mm,cover,Mix,158,4,1600000,0,1..3,7110,3732,2
imx8mm,cover,Mix,159,4,1600000,0,1..3,7061,3732,3
imx8mm,cover,Mix,160,4,1600000,0,1..3,7666,3732,2
imx8mm,cover,Mix,161,4,1600000,0,1..3,6997,3732,2
imx8mm,cover,Mix,162,4,1600000,0,1..3,7118,3732,3
imx8mm,cover,Mix,163,4,1600000,0,1..3,6122,3732,7
imx8mm,cover,Mix,164,4,1600000,0,1..3,6024,3732,3
imx8mm,cover,Mix,165,4,1600000,0,1..3,6047,3732,3
imx8mm,cover,Mix,166,4,1600000,0,1..3,7542,3732,6
imx8mm,cover,Mix,167,4,1600000,0,1..3,7873,3732,4
imx8mm,cover,Mix,168,4,1600000,0,1..3,6993,3732,4
imx8mm,cover,Mix,169,4,1600000,0,1..3,6732,3732,5
imx8mm,cover,Mix,170,4,1600000,0,1..3,6015,3732,4
imx8mm,cover,Mix,171,4,1600000,0,1..3,6854,3732,3
imx8mm,cover,Mix,172,4,1600000,0,1..3,6021,3732,2
imx8mm,cover,Mix,173,4,1600000,0,1..3,7295,3732,4
imx8mm,cover,Mix,174,4,1600000,0,1..3,6080,3732,4
imx8mm,cover,Mix,175,4,1600000,0,1..3,6011,3732,2
imx8mm,cover,Mix,176,4,1600000,0,1..3,6006,3732,1
imx8mm,cover,Mix,177,4,1600000,0,1..3,6048,3732,1
imx8mm,cover,Mix,178,4,1600000,0,1..3,7586,3732,2
imx8mm,cover,Mix,179,4,1600000,0,1..3,8310,3732,3
imx8mm,cover,Mix,180,4,1600000,0,1..3,7618,3732,1
imx8mm,cover,Mix,181,4,1600000,0,1..3,6002,3732,1
imx8mm,cover,Mix,182,4,1600000,0,1..3,6013,3732,3
imx8mm,cover,Mix,183,4,1600000,0,1..3,6048,3732,1
imx8mm,cover,Mix,184,4,1600000,0,1..3,7137,3732,2
imx8mm,cover,Mix,185,4,1600000,0,1..3,6626,3732,1
imx8mm,cover,Mix,186,4,1600000,0,1..3,7047,3732,3
imx8mm,cover,Mix,187,4,1600000,0,1..3,7004,3732,2
imx8mm,cover,Mix,188,4,1600000,0,1..3,6019,3732,1
imx8mm,cover,Mix,189,4,1600000,0,1..3,6066,3732,4
imx8mm,cover,Mix,190,4,1600000,0,1..3,6034,3732,2
imx8mm,cover,Mix,191,4,1600000,0,1..3,7031,3732,2
imx8mm,cover,Mix,192,4,1600000,0,1..3,6979,3732,2
imx8mm,cover,Mix,193,4,1600000,0,1..3,7262,3732,3
imx8mm,cover,Mix,194,4,1600000,0,1..3,6959,3732,2
imx8mm,cover,Mix,195,4,1600000,0,1..3,6044,3732,3
imx8mm,cover,Mix,196,4,1600000,0,1..3,6018,3732,2
imx8mm,cover,Mix,197,4,1600000,0,1..3,6035,3732,2
imx8mm,cover,Mix,198,4,1600000,0,1..3,6910,3732,2
imx8mm,cover,Mix,199,4,1600000,0,1..3,6558,3732,4
imx8mm,cover,Mix,200,4,1600000,0,1..3,12987,3732,1
imx8mm,cover,Mix,201,4,1600000,0,1..3,7169,3732,1
imx8mm,cover,Mix,202,4,1600000,0,1..3,6035,3732,3
imx8mm,cover,Mix,203,4,1600000,0,1..3,6014,3732,2
imx8mm,cover,Mix,204,4,1600000,0,1..3,5993,3732,1
imx8mm,cover,Mix,205,4,1600000,0,1..3,7103,3732,2
imx8mm,cover,Mix,206,4,1600000,0,1..3,7506,3732,2
imx8mm,cover,Mix,207,4,1600000,0,1..3,12092,3732,1
imx8mm,cover,Mix,208,4,1600000,0,1..3,7822,3732,2
imx8mm,cover,Mix,209,4,1600000,0,1..3,6039,3732,2
imx8mm,cover,Mix,210,4,1600000,0,1..3,5987,3732,2
imx8mm,cover,Mix,211,4,1600000,0,1..3,6068,3732,4
imx8mm,cover,Mix,212,4,1600000,0,1..3,7018,3732,2
imx8mm,cover,Mix,213,4,1600000,0,1..3,9645,3732,7
imx8mm,cover,Mix,214,4,1600000,0,1..3,8745,3732,5
imx8mm,cover,Mix,215,4,1600000,0,1..3,6482,3732,2
imx8mm,cover,Mix,216,4,1600000,0,1..3,7858,3732,5
imx8mm,cover,Mix,217,4,1600000,0,1..3,6716,3732,2
imx8mm,cover,Mix,218,4,1600000,0,1..3,6000,3732,2
imx8mm,cover,Mix,219,4,1600000,0,1..3,6002,3732,1
imx8mm,cover,Mix,220,4,1600000,0,1..3,6027,3732,4
imx8mm,cover,Mix,221,4,1600000,0,1..3,6998,3732,3
imx8mm,cover,Mix,222,4,1600000,0,1..3,7131,3732,3
imx8mm,cover,Mix,223,4,1600000,0,1..3,7333,3732,2
imx8mm,cover,Mix,224,4,1600000,0,1..3,7467,3732,2
imx8mm,cover,Mix,225,4,1600000,0,1..3,6022,3732,1
imx8mm,cover,Mix,226,4,1600000,0,1..3,5987,3732,1
imx8mm,cover,Mix,227,4,1600000,0,1..3,7971,3732,5
imx8mm,cover,Mix,228,4,1600000,0,1..3,7682,3732,1
imx8mm,cover,Mix,229,4,1600000,0,1..3,7177,3732,2
imx8mm,cover,Mix,230,4,1600000,0,1..3,5998,3732,3
imx8mm,cover,Mix,231,4,1600000,0,1..3,6302,3732,2
imx8mm,cover,Mix,232,4,1600000,0,1..3,6640,3732,1
imx8mm,cover,Mix,233,4,1600000,0,1..3,7176,3732,4
imx8mm,cover,Mix,234,4,1600000,0,1..3,7365,3732,3
imx8mm,cover,Mix,235,4,1600000,0,1..3,6740,3732,1
imx8mm,cover,Mix,236,4,1600000,0,1..3,7220,3732,1
imx8mm,cover,Mix,237,4,1600000,0,1..3,6906,3732,2
imx8mm,cover,Mix,238,4,1600000,0,1..3,5956,3732,1
imx8mm,cover,Mix,239,4,1600000,0,1..3,7524,3732,1
imx8mm,cover,Mix,240,4,1600000,0,1..3,5970,3732,2
imx8mm,cover,Mix,241,4,1600000,0,1..3,6662,3732,2
imx8mm,cover,Mix,242,4,1600000,0,1..3,14777,3732,4
imx8mm,cover,Mix,243,4,1600000,0,1..3,7307,3732,2
imx8mm,cover,Mix,244,4,1600000,0,1..3,12055,3732,2
imx8mm,cover,Mix,245,4,1600000,0,1..3,6024,3732,1
imx8mm,cover,Mix,246,4,1600000,0,1..3,6002,3732,1
