board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,duff,MEM,0,4,1600000,0,1..3,21675,3913,16
imx8mm,duff,MEM,1,4,1600000,0,1..3,24523,3909,9
imx8mm,duff,MEM,2,4,1600000,0,1..3,4877,3909,4
imx8mm,duff,MEM,3,4,1600000,0,1..3,4819,3909,5
imx8mm,duff,MEM,4,4,1600000,0,1..3,4803,3909,5
imx8mm,duff,MEM,5,4,1600000,0,1..3,4809,3909,3
imx8mm,duff,MEM,6,4,1600000,0,1..3,5996,3909,2
imx8mm,duff,MEM,7,4,1600000,0,1..3,4820,3909,4
imx8mm,duff,MEM,8,4,1600000,0,1..3,4845,3909,2
imx8mm,duff,MEM,9,4,1600000,0,1..3,4785,3909,1
imx8mm,duff,MEM,10,4,1600000,0,1..3,4801,3909,2
imx8mm,duff,MEM,11,4,1600000,0,1..3,4810,3909,4
imx8mm,duff,MEM,12,4,1600000,0,1..3,4779,3909,2
imx8mm,duff,MEM,13,4,1600000,0,1..3,4827,3909,2
imx8mm,duff,MEM,14,4,1600000,0,1..3,4800,3909,2
imx8mm,duff,MEM,15,4,1600000,0,1..3,4806,3909,3
imx8mm,duff,MEM,16,4,1600000,0,1..3,4839,3909,4
imx8mm,duff,MEM,17,4,1600000,0,1..3,4777,3909,3
imx8mm,duff,MEM,18,4,1600000,0,1..3,4796,3909,0
imx8mm,duff,MEM,19,4,1600000,0,1..3,4807,3909,3
imx8mm,duff,MEM,20,4,1600000,0,1..3,4775,3909,3
imx8mm,duff,MEM,21,4,1600000,0,1..3,4778,3909,6
imx8mm,duff,MEM,22,4,1600000,0,1..3,4794,3909,4
imx8mm,duff,MEM,23,4,1600000,0,1..3,4778,3909,3
imx8mm,duff,MEM,24,4,1600000,0,1..3,4816,3909,3
imx8mm,duff,MEM,25,4,1600000,0,1..3,4781,3909,2
imx8mm,duff,MEM,26,4,1600000,0,1..3,4772,3909,2
imx8mm,duff,MEM,27,4,1600000,0,1..3,4805,3909,4
imx8mm,duff,MEM,28,4,1600000,0,1..3,4780,3909,3
imx8mm,duff,MEM,29,4,1600000,0,1..3,4774,3909,4
imx8mm,duff,MEM,30,4,1600000,0,1..3,4803,3909,1
imx8mm,duff,MEM,31,4,1600000,0,1..3,4810,3909,5
imx8mm,duff,MEM,32,4,1600000,0,1..3,4793,3909,3
imx8mm,duff,MEM,33,4,1600000,0,1..3,4789,3909,2
imx8mm,duff,MEM,34,4,1600000,0,1..3,4797,3909,2
imx8mm,duff,MEM,35,4,1600000,0,1..3,4779,3909,2
imx8mm,duff,MEM,36,4,1600000,0,1..3,4802,3909,2
imx8mm,duff,MEM,37,4,1600000,0,1..3,4764,3909,3
imx8mm,duff,MEM,38,4,1600000,0,1..3,4777,3909,2
imx8mm,duff,MEM,39,4,1600000,0,1..3,4805,3909,3
imx8mm,duff,MEM,40,4,1600000,0,1..3,4796,3909,3
imx8mm,duff,MEM,41,4,1600000,0,1..3,4801,3909,4
imx8mm,duff,MEM,42,4,1600000,0,1..3,4797,3909,3
imx8mm,duff,MEM,43,4,1600000,0,1..3,4783,3909,2
imx8mm,duff,MEM,44,4,1600000,0,1..3,4764,3909,3
imx8mm,duff,MEM,45,4,1600000,0,1..3,4763,3909,4
imx8mm,duff,MEM,46,4,1600000,0,1..3,4814,3909,6
imx8mm,duff,MEM,47,4,1600000,0,1..3,4813,3909,5
imx8mm,duff,MEM,48,4,1600000,0,1..3,4808,3909,2
imx8mm,duff,MEM,49,4,1600000,0,1..3,4798,3909,0
imx8mm,duff,MEM,50,4,1600000,0,1..3,4777,3909,2
imx8mm,duff,MEM,51,4,1600000,0,1..3,4819,3909,3
imx8mm,duff,MEM,52,4,1600000,0,1..3,4784,3909,4
imx8mm,duff,MEM,53,4,1600000,0,1..3,4787,3909,4
imx8mm,duff,MEM,54,4,1600000,0,1..3,4767,3909,2
imx8mm,duff,MEM,55,4,1600000,0,1..3,4785,3909,3
imx8mm,duff,MEM,56,4,1600000,0,1..3,4779,3909,4
imx8mm,duff,MEM,57,4,1600000,0,1..3,4788,3909,3
imx8mm,duff,MEM,58,4,1600000,0,1..3,4769,3909,2
imx8mm,duff,MEM,59,4,1600000,0,1..3,4778,3909,7
imx8mm,duff,MEM,60,4,1600000,0,1..3,4757,3909,3
imx8mm,duff,MEM,61,4,1600000,0,1..3,4815,3909,4
imx8mm,duff,MEM,62,4,1600000,0,1..3,4791,3909,3
