board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,epic,solo,0,1,1600000,0,,5538493,4328379,600
imx8mm,epic,solo,1,1,1600000,0,,5518697,4328348,562
imx8mm,epic,solo,2,1,1600000,0,,5517936,4328349,542
imx8mm,epic,solo,3,1,1600000,0,,5517621,4328345,504
imx8mm,epic,solo,4,1,1600000,0,,5517840,4328334,495
imx8mm,epic,solo,5,1,1600000,0,,5517395,4328338,525
imx8mm,epic,solo,6,1,1600000,0,,5517552,4328342,452
imx8mm,epic,solo,7,1,1600000,0,,5517415,4328344,513
imx8mm,epic,solo,8,1,1600000,0,,5517485,4328331,524
imx8mm,epic,solo,9,1,1600000,0,,5518332,4328355,514
imx8mm,epic,solo,10,1,1600000,0,,5518219,4328373,504
imx8mm,epic,solo,11,1,1600000,0,,5518120,4328364,530
imx8mm,epic,solo,12,1,1600000,0,,5518299,4328346,504
imx8mm,epic,solo,13,1,1600000,0,,5517577,4328359,526
imx8mm,epic,solo,14,1,1600000,0,,5517204,4328342,404
imx8mm,epic,solo,15,1,1600000,0,,5517085,4328322,424
imx8mm,epic,solo,16,1,1600000,0,,5518267,4328337,564
imx8mm,epic,solo,17,1,1600000,0,,5516736,4328320,456
imx8mm,epic,solo,18,1,1600000,0,,5518076,4328340,558
imx8mm,epic,solo,19,1,1600000,0,,5518426,4328292,573
imx8mm,epic,solo,20,1,1600000,0,,5517732,4328343,511
imx8mm,epic,solo,21,1,1600000,0,,5516905,4328320,504
imx8mm,epic,solo,22,1,1600000,0,,5518691,4328325,554
imx8mm,epic,solo,23,1,1600000,0,,5517195,4328342,475
imx8mm,epic,solo,24,1,1600000,0,,5517417,4328338,489
imx8mm,epic,solo,25,1,1600000,0,,5517717,4328326,527
imx8mm,epic,solo,26,1,1600000,0,,5518216,4328306,590
imx8mm,epic,solo,27,1,1600000,0,,5518376,4328342,525
imx8mm,epic,solo,28,1,1600000,0,,5518378,4328313,575
imx8mm,epic,solo,29,1,1600000,0,,5517751,4328347,482
imx8mm,epic,solo,30,1,1600000,0,,5517652,4328330,494
imx8mm,epic,solo,31,1,1600000,0,,5516376,4328327,433
imx8mm,epic,solo,32,1,1600000,0,,5516879,4328350,482
imx8mm,epic,solo,33,1,1600000,0,,5519010,4328399,546
imx8mm,epic,solo,34,1,1600000,0,,5517957,4328349,561
imx8mm,epic,solo,35,1,1600000,0,,5518045,4328331,556
imx8mm,epic,solo,36,1,1600000,0,,5517654,4328317,522
imx8mm,epic,solo,37,1,1600000,0,,5518090,4328334,479
imx8mm,epic,solo,38,1,1600000,0,,5517380,4328320,468
imx8mm,epic,solo,39,1,1600000,0,,5517804,4328352,508
imx8mm,epic,solo,40,1,1600000,0,,5517336,4328321,465
imx8mm,epic,solo,41,1,1600000,0,,5517147,4328336,492
imx8mm,epic,solo,42,1,1600000,0,,5518281,4328363,627
imx8mm,epic,solo,43,1,1600000,0,,5517630,4328321,502
imx8mm,epic,solo,44,1,1600000,0,,5517254,4328345,523
imx8mm,epic,solo,45,1,1600000,0,,5517941,4328292,525
imx8mm,epic,solo,46,1,1600000,0,,5518138,4328321,508
imx8mm,epic,solo,47,1,1600000,0,,5517438,4328369,416
imx8mm,epic,solo,48,1,1600000,0,,5516930,4328340,401
imx8mm,epic,solo,49,1,1600000,0,,5518304,4328333,543
imx8mm,epic,solo,50,1,1600000,0,,5518942,4328364,550
imx8mm,epic,solo,51,1,1600000,0,,5518179,4328386,485
imx8mm,epic,solo,52,1,1600000,0,,5518161,4328349,536
imx8mm,epic,solo,53,1,1600000,0,,5518327,4328325,507
imx8mm,epic,solo,54,1,1600000,0,,5517787,4328299,521
imx8mm,epic,solo,55,1,1600000,0,,5518136,4328326,514
imx8mm,epic,solo,56,1,1600000,0,,5516066,4328332,417
imx8mm,epic,solo,57,1,1600000,0,,5517455,4328335,518
imx8mm,epic,solo,58,1,1600000,0,,5518153,4328338,513
imx8mm,epic,solo,59,1,1600000,0,,5518864,4328320,496
imx8mm,epic,solo,60,1,1600000,0,,5518402,4328347,491
imx8mm,epic,solo,61,1,1600000,0,,5518318,4328339,525
imx8mm,epic,solo,62,1,1600000,0,,5518484,4328364,543
imx8mm,epic,solo,63,1,1600000,0,,5517379,4328308,507
imx8mm,epic,solo,64,1,1600000,0,,5517317,4328324,476
imx8mm,epic,solo,65,1,1600000,0,,5517112,4328357,417
