board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,fac,BUS+MEM,0,4,1600000,0,1..3,15877,458,18
imx8mm,fac,BUS+MEM,1,4,1600000,0,1..3,3236,453,8
imx8mm,fac,BUS+MEM,2,4,1600000,0,1..3,1096,453,5
imx8mm,fac,BUS+MEM,3,4,1600000,0,1..3,856,453,7
imx8mm,fac,BUS+MEM,4,4,1600000,0,1..3,801,453,5
imx8mm,fac,BUS+MEM,5,4,1600000,0,1..3,804,453,7
imx8mm,fac,BUS+MEM,6,4,1600000,0,1..3,745,453,4
imx8mm,fac,BUS+MEM,7,4,1600000,0,1..3,940,453,6
imx8mm,fac,BUS+MEM,8,4,1600000,0,1..3,812,453,6
imx8mm,fac,BUS+MEM,9,4,1600000,0,1..3,1451,453,5
imx8mm,fac,BUS+MEM,10,4,1600000,0,1..3,857,453,8
imx8mm,fac,BUS+MEM,11,4,1600000,0,1..3,835,453,6
imx8mm,fac,BUS+MEM,12,4,1600000,0,1..3,783,453,7
imx8mm,fac,BUS+MEM,13,4,1600000,0,1..3,814,453,7
imx8mm,fac,BUS+MEM,14,4,1600000,0,1..3,1240,453,8
imx8mm,fac,BUS+MEM,15,4,1600000,0,1..3,1207,453,7
imx8mm,fac,BUS+MEM,16,4,1600000,0,1..3,1075,453,7
imx8mm,fac,BUS+MEM,17,4,1600000,0,1..3,1220,453,9
imx8mm,fac,BUS+MEM,18,4,1600000,0,1..3,827,453,7
imx8mm,fac,BUS+MEM,19,4,1600000,0,1..3,811,453,8
imx8mm,fac,BUS+MEM,20,4,1600000,0,1..3,787,453,8
imx8mm,fac,BUS+MEM,21,4,1600000,0,1..3,886,453,8
imx8mm,fac,BUS+MEM,22,4,1600000,0,1..3,908,453,7
imx8mm,fac,BUS+MEM,23,4,1600000,0,1..3,905,453,5
imx8mm,fac,BUS+MEM,24,4,1600000,0,1..3,1037,453,7
imx8mm,fac,BUS+MEM,25,4,1600000,0,1..3,821,453,4
imx8mm,fac,BUS+MEM,26,4,1600000,0,1..3,746,453,5
imx8mm,fac,BUS+MEM,27,4,1600000,0,1..3,858,453,6
imx8mm,fac,BUS+MEM,28,4,1600000,0,1..3,1100,453,5
imx8mm,fac,BUS+MEM,29,4,1600000,0,1..3,982,453,6
imx8mm,fac,BUS+MEM,30,4,1600000,0,1..3,1248,453,5
imx8mm,fac,BUS+MEM,31,4,1600000,0,1..3,1061,453,6
imx8mm,fac,BUS+MEM,32,4,1600000,0,1..3,1260,453,8
imx8mm,fac,BUS+MEM,33,4,1600000,0,1..3,842,453,6
imx8mm,fac,BUS+MEM,34,4,1600000,0,1..3,881,453,5
imx8mm,fac,BUS+MEM,35,4,1600000,0,1..3,849,453,6
imx8mm,fac,BUS+MEM,36,4,1600000,0,1..3,1096,453,6
imx8mm,fac,BUS+MEM,37,4,1600000,0,1..3,1162,453,8
imx8mm,fac,BUS+MEM,38,4,1600000,0,1..3,1294,453,5
imx8mm,fac,BUS+MEM,39,4,1600000,0,1..3,8865,454,8
imx8mm,fac,BUS+MEM,40,4,1600000,0,1..3,12327,453,4
imx8mm,fac,BUS+MEM,41,4,1600000,0,1..3,1803,453,5
imx8mm,fac,BUS+MEM,42,4,1600000,0,1..3,1467,453,6
imx8mm,fac,BUS+MEM,43,4,1600000,0,1..3,1119,453,7
imx8mm,fac,BUS+MEM,44,4,1600000,0,1..3,4272,453,6
imx8mm,fac,BUS+MEM,45,4,1600000,0,1..3,803,453,5
imx8mm,fac,BUS+MEM,46,4,1600000,0,1..3,775,453,5
imx8mm,fac,BUS+MEM,47,4,1600000,0,1..3,761,453,4
imx8mm,fac,BUS+MEM,48,4,1600000,0,1..3,1087,453,8
imx8mm,fac,BUS+MEM,49,4,1600000,0,1..3,5518,453,6
imx8mm,fac,BUS+MEM,50,4,1600000,0,1..3,1198,453,6
imx8mm,fac,BUS+MEM,51,4,1600000,0,1..3,1561,453,6
