board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,fft,LLC+MEM,0,4,1600000,0,1..3,993742,771135,229
imx8mm,fft,LLC+MEM,1,4,1600000,0,1..3,986173,771438,103
imx8mm,fft,LLC+MEM,2,4,1600000,0,1..3,984315,771448,114
imx8mm,fft,LLC+MEM,3,4,1600000,0,1..3,990380,771419,74
imx8mm,fft,LLC+MEM,4,4,1600000,0,1..3,999207,771109,117
imx8mm,fft,LLC+MEM,5,4,1600000,0,1..3,993904,771094,144
imx8mm,fft,LLC+MEM,6,4,1600000,0,1..3,997633,771102,111
imx8mm,fft,LLC+MEM,7,4,1600000,0,1..3,1008005,771090,197
imx8mm,fft,LLC+MEM,8,4,1600000,0,1..3,1033283,771098,174
imx8mm,fft,LLC+MEM,9,4,1600000,0,1..3,1030662,771087,156
imx8mm,fft,LLC+MEM,10,4,1600000,0,1..3,1003614,771101,148
imx8mm,fft,LLC+MEM,11,4,1600000,0,1..3,1000928,771096,185
imx8mm,fft,LLC+MEM,12,4,1600000,0,1..3,992269,771095,169
imx8mm,fft,LLC+MEM,13,4,1600000,0,1..3,998966,771098,169
imx8mm,fft,LLC+MEM,14,4,1600000,0,1..3,1011373,771089,139
imx8mm,fft,LLC+MEM,15,4,1600000,0,1..3,994538,771092,110
imx8mm,fft,LLC+MEM,16,4,1600000,0,1..3,1001564,771099,130
imx8mm,fft,LLC+MEM,17,4,1600000,0,1..3,999141,771096,174
imx8mm,fft,LLC+MEM,18,4,1600000,0,1..3,1000756,771086,183
imx8mm,fft,LLC+MEM,19,4,1600000,0,1..3,993267,771091,165
imx8mm,fft,LLC+MEM,20,4,1600000,0,1..3,1000660,771111,155
imx8mm,fft,LLC+MEM,21,4,1600000,0,1..3,999051,771091,136
imx8mm,fft,LLC+MEM,22,4,1600000,0,1..3,1022827,771447,154
imx8mm,fft,LLC+MEM,23,4,1600000,0,1..3,1038727,771106,194
imx8mm,fft,LLC+MEM,24,4,1600000,0,1..3,998118,771099,153
imx8mm,fft,LLC+MEM,25,4,1600000,0,1..3,980254,771095,175
imx8mm,fft,LLC+MEM,26,4,1600000,0,1..3,972338,771094,135
imx8mm,fft,LLC+MEM,27,4,1600000,0,1..3,973138,771102,191
imx8mm,fft,LLC+MEM,28,4,1600000,0,1..3,971407,771102,145
imx8mm,fft,LLC+MEM,29,4,1600000,0,1..3,970996,771099,152
imx8mm,fft,LLC+MEM,30,4,1600000,0,1..3,977300,771093,112
imx8mm,fft,LLC+MEM,31,4,1600000,0,1..3,982153,771108,105
