board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,filterbank,LLC+BUS,0,4,1600000,0,1..3,15699697,10351985,116
imx8mm,filterbank,LLC+BUS,1,4,1600000,0,1..3,15712378,10351975,118
imx8mm,filterbank,LLC+BUS,2,4,1600000,0,1..3,15675750,10351974,93
imx8mm,filterbank,LLC+BUS,3,4,1600000,0,1..3,15683845,10351976,122
imx8mm,filterbank,LLC+BUS,4,4,1600000,0,1..3,15666217,10351974,104
imx8mm,filterbank,LLC+BUS,5,4,1600000,0,1..3,15742466,10351977,148
imx8mm,filterbank,LLC+BUS,6,4,1600000,0,1..3,15911383,10351973,114
imx8mm,filterbank,LLC+BUS,7,4,1600000,0,1..3,15859952,10351976,144
imx8mm,filterbank,LLC+BUS,8,4,1600000,0,1..3,15648117,10351979,106
imx8mm,filterbank,LLC+BUS,9,4,1600000,0,1..3,15758805,10351976,109
imx8mm,filterbank,LLC+BUS,10,4,1600000,0,1..3,15662658,10351974,125
imx8mm,filterbank,LLC+BUS,11,4,1600000,0,1..3,15702584,10351975,122
imx8mm,filterbank,LLC+BUS,12,4,1600000,0,1..3,15668278,10351978,123
imx8mm,filterbank,LLC+BUS,13,4,1600000,0,1..3,15689987,10351974,107
imx8mm,filterbank,LLC+BUS,14,4,1600000,0,1..3,15678730,10351974,111
imx8mm,filterbank,LLC+BUS,15,4,1600000,0,1..3,15684717,10351977,108
imx8mm,filterbank,LLC+BUS,16,4,1600000,0,1..3,15676709,10351977,121
imx8mm,filterbank,LLC+BUS,17,4,1600000,0,1..3,15683233,10351976,114
imx8mm,filterbank,LLC+BUS,18,4,1600000,0,1..3,15653511,10351972,103
imx8mm,filterbank,LLC+BUS,19,4,1600000,0,1..3,15725159,10351972,104
imx8mm,filterbank,LLC+BUS,20,4,1600000,0,1..3,15669873,10351977,90
imx8mm,filterbank,LLC+BUS,21,4,1600000,0,1..3,15769520,10351978,131
imx8mm,filterbank,LLC+BUS,22,4,1600000,0,1..3,15750656,10351976,128
imx8mm,filterbank,LLC+BUS,23,4,1600000,0,1..3,15673692,10351974,109
imx8mm,filterbank,LLC+BUS,24,4,1600000,0,1..3,15727033,10351974,107
imx8mm,filterbank,LLC+BUS,25,4,1600000,0,1..3,15652428,10351971,101
imx8mm,filterbank,LLC+BUS,26,4,1600000,0,1..3,15718132,10351977,127
