board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,gsm_enc,LLC+MEM,0,4,1600000,0,1..3,12148371,7834318,125
imx8mm,gsm_enc,LLC+MEM,1,4,1600000,0,1..3,12232724,7834250,88
imx8mm,gsm_enc,LLC+MEM,2,4,1600000,0,1..3,12219575,7834258,75
imx8mm,gsm_enc,LLC+MEM,3,4,1600000,0,1..3,12183593,7834253,97
imx8mm,gsm_enc,LLC+MEM,4,4,1600000,0,1..3,12126314,7834249,83
imx8mm,gsm_enc,LLC+MEM,5,4,1600000,0,1..3,12116526,7834269,73
imx8mm,gsm_enc,LLC+MEM,6,4,1600000,0,1..3,12596646,7834331,157
imx8mm,gsm_enc,LLC+MEM,7,4,1600000,0,1..3,12156294,7834243,104
imx8mm,gsm_enc,LLC+MEM,8,4,1600000,0,1..3,12217999,7834256,82
imx8mm,gsm_enc,LLC+MEM,9,4,1600000,0,1..3,12251438,7834215,93
imx8mm,gsm_enc,LLC+MEM,10,4,1600000,0,1..3,12115293,7834259,87
imx8mm,gsm_enc,LLC+MEM,11,4,1600000,0,1..3,12018619,7834275,66
imx8mm,gsm_enc,LLC+MEM,12,4,1600000,0,1..3,12063653,7834228,54
imx8mm,gsm_enc,LLC+MEM,13,4,1600000,0,1..3,12337585,7834264,116
imx8mm,gsm_enc,LLC+MEM,14,4,1600000,0,1..3,12155434,7834250,68
imx8mm,gsm_enc,LLC+MEM,15,4,1600000,0,1..3,12155715,7834240,94
imx8mm,gsm_enc,LLC+MEM,16,4,1600000,0,1..3,12204396,7834249,80
imx8mm,gsm_enc,LLC+MEM,17,4,1600000,0,1..3,12281278,7834272,81
imx8mm,gsm_enc,LLC+MEM,18,4,1600000,0,1..3,12130593,7834256,102
imx8mm,gsm_enc,LLC+MEM,19,4,1600000,0,1..3,12038052,7834262,63
imx8mm,gsm_enc,LLC+MEM,20,4,1600000,0,1..3,12101483,7834212,77
imx8mm,gsm_enc,LLC+MEM,21,4,1600000,0,1..3,12305228,7834235,72
imx8mm,gsm_enc,LLC+MEM,22,4,1600000,0,1..3,12180366,7834225,73
imx8mm,gsm_enc,LLC+MEM,23,4,1600000,0,1..3,12174584,7834248,74
imx8mm,gsm_enc,LLC+MEM,24,4,1600000,0,1..3,12258487,7834243,75
imx8mm,gsm_enc,LLC+MEM,25,4,1600000,0,1..3,12159229,7834280,80
imx8mm,gsm_enc,LLC+MEM,26,4,1600000,0,1..3,12147015,7834225,74
imx8mm,gsm_enc,LLC+MEM,27,4,1600000,0,1..3,12046035,7834248,80
imx8mm,gsm_enc,LLC+MEM,28,4,1600000,0,1..3,12133732,7834245,62
imx8mm,gsm_enc,LLC+MEM,29,4,1600000,0,1..3,12074506,7834233,67
