board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,gsm_enc,LLC,0,4,1600000,0,1..3,11954471,7834294,129
imx8mm,gsm_enc,LLC,1,4,1600000,0,1..3,11984714,7834268,86
imx8mm,gsm_enc,LLC,2,4,1600000,0,1..3,12147355,7834241,69
imx8mm,gsm_enc,LLC,3,4,1600000,0,1..3,12150166,7834236,72
imx8mm,gsm_enc,LLC,4,4,1600000,0,1..3,12057108,7834260,65
imx8mm,gsm_enc,LLC,5,4,1600000,0,1..3,12089774,7834257,52
imx8mm,gsm_enc,LLC,6,4,1600000,0,1..3,12004872,7834248,75
imx8mm,gsm_enc,LLC,7,4,1600000,0,1..3,12389368,7834342,156
imx8mm,gsm_enc,LLC,8,4,1600000,0,1..3,12252017,7834283,77
imx8mm,gsm_enc,LLC,9,4,1600000,0,1..3,12114996,7834262,74
imx8mm,gsm_enc,LLC,10,4,1600000,0,1..3,11973500,7834231,72
imx8mm,gsm_enc,LLC,11,4,1600000,0,1..3,12063271,7834238,56
imx8mm,gsm_enc,LLC,12,4,1600000,0,1..3,12153236,7834238,60
imx8mm,gsm_enc,LLC,13,4,1600000,0,1..3,12265545,7834241,81
imx8mm,gsm_enc,LLC,14,4,1600000,0,1..3,12032058,7834249,93
imx8mm,gsm_enc,LLC,15,4,1600000,0,1..3,12080139,7834237,61
imx8mm,gsm_enc,LLC,16,4,1600000,0,1..3,11964383,7834248,85
imx8mm,gsm_enc,LLC,17,4,1600000,0,1..3,12228319,7834253,75
imx8mm,gsm_enc,LLC,18,4,1600000,0,1..3,12029549,7834267,92
imx8mm,gsm_enc,LLC,19,4,1600000,0,1..3,12061202,7834249,67
imx8mm,gsm_enc,LLC,20,4,1600000,0,1..3,11936544,7834245,76
imx8mm,gsm_enc,LLC,21,4,1600000,0,1..3,11970512,7834243,52
imx8mm,gsm_enc,LLC,22,4,1600000,0,1..3,12106388,7834273,88
