board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,h264_dec,BUS+MEM,0,4,1600000,0,1..3,612149,400155,73
imx8mm,h264_dec,BUS+MEM,1,4,1600000,0,1..3,589292,400119,37
imx8mm,h264_dec,BUS+MEM,2,4,1600000,0,1..3,576970,400118,39
imx8mm,h264_dec,BUS+MEM,3,4,1600000,0,1..3,598346,400117,36
imx8mm,h264_dec,BUS+MEM,4,4,1600000,0,1..3,566997,400117,29
imx8mm,h264_dec,BUS+MEM,5,4,1600000,0,1..3,582901,400118,29
imx8mm,h264_dec,BUS+MEM,6,4,1600000,0,1..3,638964,400118,82
imx8mm,h264_dec,BUS+MEM,7,4,1600000,0,1..3,653513,400117,79
imx8mm,h264_dec,BUS+MEM,8,4,1600000,0,1..3,646205,400117,84
imx8mm,h264_dec,BUS+MEM,9,4,1600000,0,1..3,582444,400117,41
imx8mm,h264_dec,BUS+MEM,10,4,1600000,0,1..3,715476,400117,32
imx8mm,h264_dec,BUS+MEM,11,4,1600000,0,1..3,630213,400118,84
imx8mm,h264_dec,BUS+MEM,12,4,1600000,0,1..3,608446,400118,45
imx8mm,h264_dec,BUS+MEM,13,4,1600000,0,1..3,654022,400120,91
imx8mm,h264_dec,BUS+MEM,14,4,1600000,0,1..3,601869,400118,56
imx8mm,h264_dec,BUS+MEM,15,4,1600000,0,1..3,594000,400117,28
imx8mm,h264_dec,BUS+MEM,16,4,1600000,0,1..3,609876,400117,64
imx8mm,h264_dec,BUS+MEM,17,4,1600000,0,1..3,606874,400117,44
imx8mm,h264_dec,BUS+MEM,18,4,1600000,0,1..3,586672,400118,31
imx8mm,h264_dec,BUS+MEM,19,4,1600000,0,1..3,569418,400117,28
imx8mm,h264_dec,BUS+MEM,20,4,1600000,0,1..3,625543,400117,67
imx8mm,h264_dec,BUS+MEM,21,4,1600000,0,1..3,608451,400118,44
imx8mm,h264_dec,BUS+MEM,22,4,1600000,0,1..3,629749,400118,80
imx8mm,h264_dec,BUS+MEM,23,4,1600000,0,1..3,545554,400117,29
imx8mm,h264_dec,BUS+MEM,24,4,1600000,0,1..3,577794,400119,61
imx8mm,h264_dec,BUS+MEM,25,4,1600000,0,1..3,544501,400118,51
imx8mm,h264_dec,BUS+MEM,26,4,1600000,0,1..3,546592,400118,65
imx8mm,h264_dec,BUS+MEM,27,4,1600000,0,1..3,530434,400118,49
imx8mm,h264_dec,BUS+MEM,28,4,1600000,0,1..3,535533,400118,76
imx8mm,h264_dec,BUS+MEM,29,4,1600000,0,1..3,542444,400117,69
imx8mm,h264_dec,BUS+MEM,30,4,1600000,0,1..3,542670,400117,89
imx8mm,h264_dec,BUS+MEM,31,4,1600000,0,1..3,797981,400117,63
imx8mm,h264_dec,BUS+MEM,32,4,1600000,0,1..3,541979,400119,53
imx8mm,h264_dec,BUS+MEM,33,4,1600000,0,1..3,569389,400118,94
imx8mm,h264_dec,BUS+MEM,34,4,1600000,0,1..3,568033,400118,79
imx8mm,h264_dec,BUS+MEM,35,4,1600000,0,1..3,544067,400117,59
imx8mm,h264_dec,BUS+MEM,36,4,1600000,0,1..3,592014,400117,42
imx8mm,h264_dec,BUS+MEM,37,4,1600000,0,1..3,613664,400118,81
imx8mm,h264_dec,BUS+MEM,38,4,1600000,0,1..3,578464,400117,34
imx8mm,h264_dec,BUS+MEM,39,4,1600000,0,1..3,633549,400117,98
imx8mm,h264_dec,BUS+MEM,40,4,1600000,0,1..3,629469,400117,73
imx8mm,h264_dec,BUS+MEM,41,4,1600000,0,1..3,624639,400120,75
imx8mm,h264_dec,BUS+MEM,42,4,1600000,0,1..3,628783,400118,96
imx8mm,h264_dec,BUS+MEM,43,4,1600000,0,1..3,592796,400117,50
imx8mm,h264_dec,BUS+MEM,44,4,1600000,0,1..3,603117,400117,44
imx8mm,h264_dec,BUS+MEM,45,4,1600000,0,1..3,622596,400117,45
imx8mm,h264_dec,BUS+MEM,46,4,1600000,0,1..3,662381,400118,80
imx8mm,h264_dec,BUS+MEM,47,4,1600000,0,1..3,602927,400117,36
imx8mm,h264_dec,BUS+MEM,48,4,1600000,0,1..3,617387,400117,52
imx8mm,h264_dec,BUS+MEM,49,4,1600000,0,1..3,739735,400118,75
imx8mm,h264_dec,BUS+MEM,50,4,1600000,0,1..3,609499,400117,52
imx8mm,h264_dec,BUS+MEM,51,4,1600000,0,1..3,615839,400117,70
imx8mm,h264_dec,BUS+MEM,52,4,1600000,0,1..3,620193,400118,67
imx8mm,h264_dec,BUS+MEM,53,4,1600000,0,1..3,621431,400117,64
imx8mm,h264_dec,BUS+MEM,54,4,1600000,0,1..3,628144,400118,66
imx8mm,h264_dec,BUS+MEM,55,4,1600000,0,1..3,592203,400117,54
imx8mm,h264_dec,BUS+MEM,56,4,1600000,0,1..3,596248,400117,36
imx8mm,h264_dec,BUS+MEM,57,4,1600000,0,1..3,623444,400117,94
imx8mm,h264_dec,BUS+MEM,58,4,1600000,0,1..3,593334,400117,45
imx8mm,h264_dec,BUS+MEM,59,4,1600000,0,1..3,604538,400117,66
imx8mm,h264_dec,BUS+MEM,60,4,1600000,0,1..3,570082,400117,40
imx8mm,h264_dec,BUS+MEM,61,4,1600000,0,1..3,614877,400118,67
imx8mm,h264_dec,BUS+MEM,62,4,1600000,0,1..3,608198,400118,55
imx8mm,h264_dec,BUS+MEM,63,4,1600000,0,1..3,610388,400117,77
imx8mm,h264_dec,BUS+MEM,64,4,1600000,0,1..3,585213,400121,76
imx8mm,h264_dec,BUS+MEM,65,4,1600000,0,1..3,655794,400117,95
imx8mm,h264_dec,BUS+MEM,66,4,1600000,0,1..3,619343,400118,63
imx8mm,h264_dec,BUS+MEM,67,4,1600000,0,1..3,588014,400117,52
imx8mm,h264_dec,BUS+MEM,68,4,1600000,0,1..3,606937,400117,63
imx8mm,h264_dec,BUS+MEM,69,4,1600000,0,1..3,570855,400117,44
imx8mm,h264_dec,BUS+MEM,70,4,1600000,0,1..3,595569,400117,77
imx8mm,h264_dec,BUS+MEM,71,4,1600000,0,1..3,567780,400117,84
imx8mm,h264_dec,BUS+MEM,72,4,1600000,0,1..3,557608,400117,98
imx8mm,h264_dec,BUS+MEM,73,4,1600000,0,1..3,567425,400117,63
imx8mm,h264_dec,BUS+MEM,74,4,1600000,0,1..3,554506,400118,59
imx8mm,h264_dec,BUS+MEM,75,4,1600000,0,1..3,545749,400117,91
imx8mm,h264_dec,BUS+MEM,76,4,1600000,0,1..3,536373,400117,47
imx8mm,h264_dec,BUS+MEM,77,4,1600000,0,1..3,548599,400117,74
imx8mm,h264_dec,BUS+MEM,78,4,1600000,0,1..3,537439,400117,55
imx8mm,h264_dec,BUS+MEM,79,4,1600000,0,1..3,543733,400117,53
imx8mm,h264_dec,BUS+MEM,80,4,1600000,0,1..3,573419,400120,90
imx8mm,h264_dec,BUS+MEM,81,4,1600000,0,1..3,561106,400117,73
imx8mm,h264_dec,BUS+MEM,82,4,1600000,0,1..3,569201,400117,66
imx8mm,h264_dec,BUS+MEM,83,4,1600000,0,1..3,578683,400118,30
imx8mm,h264_dec,BUS+MEM,84,4,1600000,0,1..3,617937,400117,65
imx8mm,h264_dec,BUS+MEM,85,4,1600000,0,1..3,645018,400120,96
