board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,h264_dec,LLC+MEM,0,4,1600000,0,1..3,551859,400156,70
imx8mm,h264_dec,LLC+MEM,1,4,1600000,0,1..3,550607,400118,38
imx8mm,h264_dec,LLC+MEM,2,4,1600000,0,1..3,534696,400118,51
imx8mm,h264_dec,LLC+MEM,3,4,1600000,0,1..3,525246,400117,58
imx8mm,h264_dec,LLC+MEM,4,4,1600000,0,1..3,524254,400121,42
imx8mm,h264_dec,LLC+MEM,5,4,1600000,0,1..3,522990,400117,94
imx8mm,h264_dec,LLC+MEM,6,4,1600000,0,1..3,522929,400117,36
imx8mm,h264_dec,LLC+MEM,7,4,1600000,0,1..3,522427,400117,28
imx8mm,h264_dec,LLC+MEM,8,4,1600000,0,1..3,522998,400117,58
imx8mm,h264_dec,LLC+MEM,9,4,1600000,0,1..3,537645,400117,35
imx8mm,h264_dec,LLC+MEM,10,4,1600000,0,1..3,529207,400118,37
imx8mm,h264_dec,LLC+MEM,11,4,1600000,0,1..3,523439,400117,36
imx8mm,h264_dec,LLC+MEM,12,4,1600000,0,1..3,527698,400117,38
imx8mm,h264_dec,LLC+MEM,13,4,1600000,0,1..3,532529,400118,60
imx8mm,h264_dec,LLC+MEM,14,4,1600000,0,1..3,543258,400118,34
imx8mm,h264_dec,LLC+MEM,15,4,1600000,0,1..3,536935,400117,47
imx8mm,h264_dec,LLC+MEM,16,4,1600000,0,1..3,554327,400117,34
imx8mm,h264_dec,LLC+MEM,17,4,1600000,0,1..3,553138,400118,50
imx8mm,h264_dec,LLC+MEM,18,4,1600000,0,1..3,537156,400117,83
imx8mm,h264_dec,LLC+MEM,19,4,1600000,0,1..3,526989,400117,32
imx8mm,h264_dec,LLC+MEM,20,4,1600000,0,1..3,526430,400118,42
imx8mm,h264_dec,LLC+MEM,21,4,1600000,0,1..3,524858,400117,47
imx8mm,h264_dec,LLC+MEM,22,4,1600000,0,1..3,526022,400118,39
imx8mm,h264_dec,LLC+MEM,23,4,1600000,0,1..3,524449,400118,48
imx8mm,h264_dec,LLC+MEM,24,4,1600000,0,1..3,522771,400118,31
imx8mm,h264_dec,LLC+MEM,25,4,1600000,0,1..3,525106,400118,53
imx8mm,h264_dec,LLC+MEM,26,4,1600000,0,1..3,523748,400117,33
imx8mm,h264_dec,LLC+MEM,27,4,1600000,0,1..3,526471,400117,33
imx8mm,h264_dec,LLC+MEM,28,4,1600000,0,1..3,523133,400117,31
imx8mm,h264_dec,LLC+MEM,29,4,1600000,0,1..3,523861,400118,82
imx8mm,h264_dec,LLC+MEM,30,4,1600000,0,1..3,525112,400117,40
imx8mm,h264_dec,LLC+MEM,31,4,1600000,0,1..3,523273,400117,68
imx8mm,h264_dec,LLC+MEM,32,4,1600000,0,1..3,522633,400117,68
imx8mm,h264_dec,LLC+MEM,33,4,1600000,0,1..3,522465,400118,35
imx8mm,h264_dec,LLC+MEM,34,4,1600000,0,1..3,522986,400117,35
imx8mm,h264_dec,LLC+MEM,35,4,1600000,0,1..3,527172,400117,41
imx8mm,h264_dec,LLC+MEM,36,4,1600000,0,1..3,524785,400117,71
imx8mm,h264_dec,LLC+MEM,37,4,1600000,0,1..3,526044,400117,88
imx8mm,h264_dec,LLC+MEM,38,4,1600000,0,1..3,522502,400120,35
imx8mm,h264_dec,LLC+MEM,39,4,1600000,0,1..3,524282,400117,34
imx8mm,h264_dec,LLC+MEM,40,4,1600000,0,1..3,523079,400117,41
imx8mm,h264_dec,LLC+MEM,41,4,1600000,0,1..3,523777,400117,31
imx8mm,h264_dec,LLC+MEM,42,4,1600000,0,1..3,523552,400117,31
imx8mm,h264_dec,LLC+MEM,43,4,1600000,0,1..3,524814,400117,32
imx8mm,h264_dec,LLC+MEM,44,4,1600000,0,1..3,523077,400117,40
imx8mm,h264_dec,LLC+MEM,45,4,1600000,0,1..3,526761,400117,57
imx8mm,h264_dec,LLC+MEM,46,4,1600000,0,1..3,568990,400120,48
imx8mm,h264_dec,LLC+MEM,47,4,1600000,0,1..3,566873,400117,48
imx8mm,h264_dec,LLC+MEM,48,4,1600000,0,1..3,569200,400118,38
imx8mm,h264_dec,LLC+MEM,49,4,1600000,0,1..3,620968,400117,93
imx8mm,h264_dec,LLC+MEM,50,4,1600000,0,1..3,595301,400117,94
imx8mm,h264_dec,LLC+MEM,51,4,1600000,0,1..3,562048,400117,39
imx8mm,h264_dec,LLC+MEM,52,4,1600000,0,1..3,546931,400117,83
imx8mm,h264_dec,LLC+MEM,53,4,1600000,0,1..3,530928,400118,35
imx8mm,h264_dec,LLC+MEM,54,4,1600000,0,1..3,525027,400117,66
imx8mm,h264_dec,LLC+MEM,55,4,1600000,0,1..3,522702,400118,43
imx8mm,h264_dec,LLC+MEM,56,4,1600000,0,1..3,522181,400117,40
imx8mm,h264_dec,LLC+MEM,57,4,1600000,0,1..3,522275,400117,43
imx8mm,h264_dec,LLC+MEM,58,4,1600000,0,1..3,524851,400119,39
imx8mm,h264_dec,LLC+MEM,59,4,1600000,0,1..3,525512,400119,33
imx8mm,h264_dec,LLC+MEM,60,4,1600000,0,1..3,523738,400117,30
imx8mm,h264_dec,LLC+MEM,61,4,1600000,0,1..3,522075,400117,29
imx8mm,h264_dec,LLC+MEM,62,4,1600000,0,1..3,523047,400117,50
imx8mm,h264_dec,LLC+MEM,63,4,1600000,0,1..3,522785,400117,41
imx8mm,h264_dec,LLC+MEM,64,4,1600000,0,1..3,523660,400118,91
imx8mm,h264_dec,LLC+MEM,65,4,1600000,0,1..3,523284,400117,28
imx8mm,h264_dec,LLC+MEM,66,4,1600000,0,1..3,522350,400117,31
imx8mm,h264_dec,LLC+MEM,67,4,1600000,0,1..3,524298,400117,57
imx8mm,h264_dec,LLC+MEM,68,4,1600000,0,1..3,523642,400118,69
imx8mm,h264_dec,LLC+MEM,69,4,1600000,0,1..3,522551,400118,41
imx8mm,h264_dec,LLC+MEM,70,4,1600000,0,1..3,523985,400118,32
imx8mm,h264_dec,LLC+MEM,71,4,1600000,0,1..3,522842,400117,48
imx8mm,h264_dec,LLC+MEM,72,4,1600000,0,1..3,522364,400117,37
imx8mm,h264_dec,LLC+MEM,73,4,1600000,0,1..3,523162,400117,88
imx8mm,h264_dec,LLC+MEM,74,4,1600000,0,1..3,523683,400117,57
imx8mm,h264_dec,LLC+MEM,75,4,1600000,0,1..3,527340,400117,72
imx8mm,h264_dec,LLC+MEM,76,4,1600000,0,1..3,522440,400117,31
imx8mm,h264_dec,LLC+MEM,77,4,1600000,0,1..3,526178,400117,53
imx8mm,h264_dec,LLC+MEM,78,4,1600000,0,1..3,531099,400117,39
imx8mm,h264_dec,LLC+MEM,79,4,1600000,0,1..3,530911,400117,28
imx8mm,h264_dec,LLC+MEM,80,4,1600000,0,1..3,531637,400117,90
imx8mm,h264_dec,LLC+MEM,81,4,1600000,0,1..3,529685,400117,33
imx8mm,h264_dec,LLC+MEM,82,4,1600000,0,1..3,536572,400117,74
imx8mm,h264_dec,LLC+MEM,83,4,1600000,0,1..3,530776,400117,34
imx8mm,h264_dec,LLC+MEM,84,4,1600000,0,1..3,527028,400117,67
imx8mm,h264_dec,LLC+MEM,85,4,1600000,0,1..3,526283,400117,62
imx8mm,h264_dec,LLC+MEM,86,4,1600000,0,1..3,529842,400118,30
imx8mm,h264_dec,LLC+MEM,87,4,1600000,0,1..3,525558,400117,36
imx8mm,h264_dec,LLC+MEM,88,4,1600000,0,1..3,525326,400117,30
imx8mm,h264_dec,LLC+MEM,89,4,1600000,0,1..3,523635,400118,33
imx8mm,h264_dec,LLC+MEM,90,4,1600000,0,1..3,524486,400117,49
imx8mm,h264_dec,LLC+MEM,91,4,1600000,0,1..3,523973,400118,58
imx8mm,h264_dec,LLC+MEM,92,4,1600000,0,1..3,522505,400117,52
imx8mm,h264_dec,LLC+MEM,93,4,1600000,0,1..3,525822,400117,62
imx8mm,h264_dec,LLC+MEM,94,4,1600000,0,1..3,523841,400117,34
imx8mm,h264_dec,LLC+MEM,95,4,1600000,0,1..3,535445,400117,71
imx8mm,h264_dec,LLC+MEM,96,4,1600000,0,1..3,530847,400117,93
imx8mm,h264_dec,LLC+MEM,97,4,1600000,0,1..3,528928,400117,84
imx8mm,h264_dec,LLC+MEM,98,4,1600000,0,1..3,524092,400117,29
imx8mm,h264_dec,LLC+MEM,99,4,1600000,0,1..3,524370,400117,100
imx8mm,h264_dec,LLC+MEM,100,4,1600000,0,1..3,524953,400118,63
imx8mm,h264_dec,LLC+MEM,101,4,1600000,0,1..3,524795,400117,70
imx8mm,h264_dec,LLC+MEM,102,4,1600000,0,1..3,525233,400118,96
imx8mm,h264_dec,LLC+MEM,103,4,1600000,0,1..3,524867,400118,54
imx8mm,h264_dec,LLC+MEM,104,4,1600000,0,1..3,536767,400119,53
imx8mm,h264_dec,LLC+MEM,105,4,1600000,0,1..3,524836,400117,40
imx8mm,h264_dec,LLC+MEM,106,4,1600000,0,1..3,523820,400117,62
imx8mm,h264_dec,LLC+MEM,107,4,1600000,0,1..3,522431,400117,58
imx8mm,h264_dec,LLC+MEM,108,4,1600000,0,1..3,531528,400117,85
imx8mm,h264_dec,LLC+MEM,109,4,1600000,0,1..3,526841,400118,33
