board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,jfdctint,BUS+MEM,0,4,1600000,0,1..3,52961,6385,16
imx8mm,jfdctint,BUS+MEM,1,4,1600000,0,1..3,48917,6381,7
imx8mm,jfdctint,BUS+MEM,2,4,1600000,0,1..3,43385,6381,1
imx8mm,jfdctint,BUS+MEM,3,4,1600000,0,1..3,9103,6381,3
imx8mm,jfdctint,BUS+MEM,4,4,1600000,0,1..3,8858,6381,1
imx8mm,jfdctint,BUS+MEM,5,4,1600000,0,1..3,8513,6381,2
imx8mm,jfdctint,BUS+MEM,6,4,1600000,0,1..3,8944,6381,0
imx8mm,jfdctint,BUS+MEM,7,4,1600000,0,1..3,9817,6381,1
imx8mm,jfdctint,BUS+MEM,8,4,1600000,0,1..3,12105,6381,3
imx8mm,jfdctint,BUS+MEM,9,4,1600000,0,1..3,10972,6381,5
imx8mm,jfdctint,BUS+MEM,10,4,1600000,0,1..3,8511,6382,3
imx8mm,jfdctint,BUS+MEM,11,4,1600000,0,1..3,8514,6381,3
imx8mm,jfdctint,BUS+MEM,12,4,1600000,0,1..3,8488,6381,1
imx8mm,jfdctint,BUS+MEM,13,4,1600000,0,1..3,9447,6381,2
imx8mm,jfdctint,BUS+MEM,14,4,1600000,0,1..3,9527,6381,3
imx8mm,jfdctint,BUS+MEM,15,4,1600000,0,1..3,8849,6381,2
imx8mm,jfdctint,BUS+MEM,16,4,1600000,0,1..3,8499,6381,3
imx8mm,jfdctint,BUS+MEM,17,4,1600000,0,1..3,8517,6381,4
imx8mm,jfdctint,BUS+MEM,18,4,1600000,0,1..3,8517,6381,2
imx8mm,jfdctint,BUS+MEM,19,4,1600000,0,1..3,8512,6381,1
imx8mm,jfdctint,BUS+MEM,20,4,1600000,0,1..3,8476,6381,1
imx8mm,jfdctint,BUS+MEM,21,4,1600000,0,1..3,8474,6381,2
imx8mm,jfdctint,BUS+MEM,22,4,1600000,0,1..3,8964,6381,2
imx8mm,jfdctint,BUS+MEM,23,4,1600000,0,1..3,10868,6381,1
imx8mm,jfdctint,BUS+MEM,24,4,1600000,0,1..3,8878,6381,4
imx8mm,jfdctint,BUS+MEM,25,4,1600000,0,1..3,8510,6381,4
imx8mm,jfdctint,BUS+MEM,26,4,1600000,0,1..3,8490,6381,3
imx8mm,jfdctint,BUS+MEM,27,4,1600000,0,1..3,8479,6381,2
imx8mm,jfdctint,BUS+MEM,28,4,1600000,0,1..3,12843,6381,6
imx8mm,jfdctint,BUS+MEM,29,4,1600000,0,1..3,8948,6381,4
imx8mm,jfdctint,BUS+MEM,30,4,1600000,0,1..3,9135,6381,2
imx8mm,jfdctint,BUS+MEM,31,4,1600000,0,1..3,8511,6381,3
imx8mm,jfdctint,BUS+MEM,32,4,1600000,0,1..3,8492,6381,3
imx8mm,jfdctint,BUS+MEM,33,4,1600000,0,1..3,8488,6381,2
imx8mm,jfdctint,BUS+MEM,34,4,1600000,0,1..3,8859,6381,3
imx8mm,jfdctint,BUS+MEM,35,4,1600000,0,1..3,9172,6381,6
imx8mm,jfdctint,BUS+MEM,36,4,1600000,0,1..3,10112,6381,6
imx8mm,jfdctint,BUS+MEM,37,4,1600000,0,1..3,9584,6381,5
imx8mm,jfdctint,BUS+MEM,38,4,1600000,0,1..3,8491,6381,2
imx8mm,jfdctint,BUS+MEM,39,4,1600000,0,1..3,8522,6381,1
imx8mm,jfdctint,BUS+MEM,40,4,1600000,0,1..3,8492,6381,2
imx8mm,jfdctint,BUS+MEM,41,4,1600000,0,1..3,9393,6381,3
imx8mm,jfdctint,BUS+MEM,42,4,1600000,0,1..3,9188,6381,1
imx8mm,jfdctint,BUS+MEM,43,4,1600000,0,1..3,9117,6381,4
imx8mm,jfdctint,BUS+MEM,44,4,1600000,0,1..3,9256,6381,2
imx8mm,jfdctint,BUS+MEM,45,4,1600000,0,1..3,8545,6381,2
imx8mm,jfdctint,BUS+MEM,46,4,1600000,0,1..3,8505,6381,4
imx8mm,jfdctint,BUS+MEM,47,4,1600000,0,1..3,8462,6381,2
imx8mm,jfdctint,BUS+MEM,48,4,1600000,0,1..3,9388,6381,6
imx8mm,jfdctint,BUS+MEM,49,4,1600000,0,1..3,8523,6381,2
imx8mm,jfdctint,BUS+MEM,50,4,1600000,0,1..3,8510,6381,4
imx8mm,jfdctint,BUS+MEM,51,4,1600000,0,1..3,10142,6381,6
imx8mm,jfdctint,BUS+MEM,52,4,1600000,0,1..3,9123,6381,2
imx8mm,jfdctint,BUS+MEM,53,4,1600000,0,1..3,8945,6381,6
imx8mm,jfdctint,BUS+MEM,54,4,1600000,0,1..3,8475,6381,4
imx8mm,jfdctint,BUS+MEM,55,4,1600000,0,1..3,8514,6381,3
imx8mm,jfdctint,BUS+MEM,56,4,1600000,0,1..3,9276,6381,2
imx8mm,jfdctint,BUS+MEM,57,4,1600000,0,1..3,9217,6381,2
imx8mm,jfdctint,BUS+MEM,58,4,1600000,0,1..3,9041,6381,1
imx8mm,jfdctint,BUS+MEM,59,4,1600000,0,1..3,9241,6381,2
imx8mm,jfdctint,BUS+MEM,60,4,1600000,0,1..3,8956,6381,2
imx8mm,jfdctint,BUS+MEM,61,4,1600000,0,1..3,8528,6381,1
imx8mm,jfdctint,BUS+MEM,62,4,1600000,0,1..3,8502,6381,2
imx8mm,jfdctint,BUS+MEM,63,4,1600000,0,1..3,8470,6381,2
imx8mm,jfdctint,BUS+MEM,64,4,1600000,0,1..3,9027,6381,0
imx8mm,jfdctint,BUS+MEM,65,4,1600000,0,1..3,10165,6381,6
imx8mm,jfdctint,BUS+MEM,66,4,1600000,0,1..3,8799,6381,5
