board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,lift,BUS+MEM,0,4,1600000,0,1..3,1440511,1140731,37
imx8mm,lift,BUS+MEM,1,4,1600000,0,1..3,1422049,1140722,32
imx8mm,lift,BUS+MEM,2,4,1600000,0,1..3,1456799,1140722,26
imx8mm,lift,BUS+MEM,3,4,1600000,0,1..3,1451758,1140723,36
imx8mm,lift,BUS+MEM,4,4,1600000,0,1..3,1456907,1140722,21
imx8mm,lift,BUS+MEM,5,4,1600000,0,1..3,1432814,1140723,28
imx8mm,lift,BUS+MEM,6,4,1600000,0,1..3,1450394,1140722,23
imx8mm,lift,BUS+MEM,7,4,1600000,0,1..3,1473535,1140723,26
imx8mm,lift,BUS+MEM,8,4,1600000,0,1..3,1456486,1140722,18
imx8mm,lift,BUS+MEM,9,4,1600000,0,1..3,1447353,1140722,18
imx8mm,lift,BUS+MEM,10,4,1600000,0,1..3,1462707,1140722,22
imx8mm,lift,BUS+MEM,11,4,1600000,0,1..3,1428347,1140722,14
imx8mm,lift,BUS+MEM,12,4,1600000,0,1..3,1461465,1140722,20
imx8mm,lift,BUS+MEM,13,4,1600000,0,1..3,1442787,1140722,24
imx8mm,lift,BUS+MEM,14,4,1600000,0,1..3,1587351,1140723,25
imx8mm,lift,BUS+MEM,15,4,1600000,0,1..3,1450806,1140722,24
imx8mm,lift,BUS+MEM,16,4,1600000,0,1..3,1452145,1140723,28
imx8mm,lift,BUS+MEM,17,4,1600000,0,1..3,1446975,1140722,16
imx8mm,lift,BUS+MEM,18,4,1600000,0,1..3,1435542,1140722,18
imx8mm,lift,BUS+MEM,19,4,1600000,0,1..3,1418816,1140722,22
imx8mm,lift,BUS+MEM,20,4,1600000,0,1..3,1414277,1140722,24
imx8mm,lift,BUS+MEM,21,4,1600000,0,1..3,1428681,1140724,20
imx8mm,lift,BUS+MEM,22,4,1600000,0,1..3,1412277,1140722,17
imx8mm,lift,BUS+MEM,23,4,1600000,0,1..3,1419593,1140722,20
imx8mm,lift,BUS+MEM,24,4,1600000,0,1..3,1425129,1140722,26
imx8mm,lift,BUS+MEM,25,4,1600000,0,1..3,1428253,1140722,17
imx8mm,lift,BUS+MEM,26,4,1600000,0,1..3,1422323,1140722,23
imx8mm,lift,BUS+MEM,27,4,1600000,0,1..3,1416806,1140722,17
imx8mm,lift,BUS+MEM,28,4,1600000,0,1..3,1417707,1140723,17
imx8mm,lift,BUS+MEM,29,4,1600000,0,1..3,1414589,1140722,19
imx8mm,lift,BUS+MEM,30,4,1600000,0,1..3,1413023,1140722,15
imx8mm,lift,BUS+MEM,31,4,1600000,0,1..3,1441887,1140723,25
imx8mm,lift,BUS+MEM,32,4,1600000,0,1..3,1447089,1140722,20
imx8mm,lift,BUS+MEM,33,4,1600000,0,1..3,1465394,1140723,29
imx8mm,lift,BUS+MEM,34,4,1600000,0,1..3,1420586,1140722,23
imx8mm,lift,BUS+MEM,35,4,1600000,0,1..3,1482636,1140723,21
imx8mm,lift,BUS+MEM,36,4,1600000,0,1..3,1449267,1140722,25
imx8mm,lift,BUS+MEM,37,4,1600000,0,1..3,1469962,1140724,25
imx8mm,lift,BUS+MEM,38,4,1600000,0,1..3,1451469,1140722,23
imx8mm,lift,BUS+MEM,39,4,1600000,0,1..3,1460054,1140722,17
imx8mm,lift,BUS+MEM,40,4,1600000,0,1..3,1466997,1140722,20
imx8mm,lift,BUS+MEM,41,4,1600000,0,1..3,1428483,1140722,22
imx8mm,lift,BUS+MEM,42,4,1600000,0,1..3,1429619,1140722,27
imx8mm,lift,BUS+MEM,43,4,1600000,0,1..3,1435333,1140722,20
imx8mm,lift,BUS+MEM,44,4,1600000,0,1..3,1432861,1140723,19
imx8mm,lift,BUS+MEM,45,4,1600000,0,1..3,1458361,1140722,22
imx8mm,lift,BUS+MEM,46,4,1600000,0,1..3,1441934,1140723,28
imx8mm,lift,BUS+MEM,47,4,1600000,0,1..3,1447667,1140722,20
imx8mm,lift,BUS+MEM,48,4,1600000,0,1..3,1478723,1140722,31
imx8mm,lift,BUS+MEM,49,4,1600000,0,1..3,1417137,1140722,22
imx8mm,lift,BUS+MEM,50,4,1600000,0,1..3,1421490,1140722,19
imx8mm,lift,BUS+MEM,51,4,1600000,0,1..3,1415929,1140722,20
imx8mm,lift,BUS+MEM,52,4,1600000,0,1..3,1441060,1140724,25
imx8mm,lift,BUS+MEM,53,4,1600000,0,1..3,1420141,1140722,17
imx8mm,lift,BUS+MEM,54,4,1600000,0,1..3,1416960,1140722,18
imx8mm,lift,BUS+MEM,55,4,1600000,0,1..3,1420838,1140722,24
imx8mm,lift,BUS+MEM,56,4,1600000,0,1..3,1416026,1140722,19
imx8mm,lift,BUS+MEM,57,4,1600000,0,1..3,1443495,1140723,36
imx8mm,lift,BUS+MEM,58,4,1600000,0,1..3,1417045,1140722,21
imx8mm,lift,BUS+MEM,59,4,1600000,0,1..3,1429609,1140722,17
imx8mm,lift,BUS+MEM,60,4,1600000,0,1..3,1449435,1140722,29
imx8mm,lift,BUS+MEM,61,4,1600000,0,1..3,1432696,1140722,19
imx8mm,lift,BUS+MEM,62,4,1600000,0,1..3,1450954,1140722,25
imx8mm,lift,BUS+MEM,63,4,1600000,0,1..3,1439644,1140722,21
imx8mm,lift,BUS+MEM,64,4,1600000,0,1..3,1433902,1140725,22
imx8mm,lift,BUS+MEM,65,4,1600000,0,1..3,1452832,1140722,18
imx8mm,lift,BUS+MEM,66,4,1600000,0,1..3,1450716,1140723,34
imx8mm,lift,BUS+MEM,67,4,1600000,0,1..3,1423669,1140722,24
imx8mm,lift,BUS+MEM,68,4,1600000,0,1..3,1459008,1140725,26
imx8mm,lift,BUS+MEM,69,4,1600000,0,1..3,1433587,1140722,19
imx8mm,lift,BUS+MEM,70,4,1600000,0,1..3,1423704,1140722,13
imx8mm,lift,BUS+MEM,71,4,1600000,0,1..3,1423595,1140722,20
imx8mm,lift,BUS+MEM,72,4,1600000,0,1..3,1431179,1140722,17
imx8mm,lift,BUS+MEM,73,4,1600000,0,1..3,1430300,1140722,20
imx8mm,lift,BUS+MEM,74,4,1600000,0,1..3,1421578,1140722,14
imx8mm,lift,BUS+MEM,75,4,1600000,0,1..3,1423348,1140723,17
imx8mm,lift,BUS+MEM,76,4,1600000,0,1..3,1458911,1140722,21
imx8mm,lift,BUS+MEM,77,4,1600000,0,1..3,1458521,1140722,19
imx8mm,lift,BUS+MEM,78,4,1600000,0,1..3,1442464,1140722,20
imx8mm,lift,BUS+MEM,79,4,1600000,0,1..3,1448709,1140722,20
imx8mm,lift,BUS+MEM,80,4,1600000,0,1..3,1468312,1140723,33
imx8mm,lift,BUS+MEM,81,4,1600000,0,1..3,1457776,1140722,24
imx8mm,lift,BUS+MEM,82,4,1600000,0,1..3,1451263,1140722,18
imx8mm,lift,BUS+MEM,83,4,1600000,0,1..3,1458748,1140722,18
imx8mm,lift,BUS+MEM,84,4,1600000,0,1..3,1430425,1140725,28
imx8mm,lift,BUS+MEM,85,4,1600000,0,1..3,1419617,1140722,18
imx8mm,lift,BUS+MEM,86,4,1600000,0,1..3,1459507,1140722,20
imx8mm,lift,BUS+MEM,87,4,1600000,0,1..3,1461968,1140722,25
imx8mm,lift,BUS+MEM,88,4,1600000,0,1..3,1433167,1140722,16
imx8mm,lift,BUS+MEM,89,4,1600000,0,1..3,1456960,1140722,21
imx8mm,lift,BUS+MEM,90,4,1600000,0,1..3,1425348,1140722,17
imx8mm,lift,BUS+MEM,91,4,1600000,0,1..3,1455358,1140722,17
imx8mm,lift,BUS+MEM,92,4,1600000,0,1..3,1426312,1140722,21
imx8mm,lift,BUS+MEM,93,4,1600000,0,1..3,1436408,1140724,24
imx8mm,lift,BUS+MEM,94,4,1600000,0,1..3,1425455,1140722,22
imx8mm,lift,BUS+MEM,95,4,1600000,0,1..3,1442111,1140723,29
imx8mm,lift,BUS+MEM,96,4,1600000,0,1..3,1445849,1140722,16
imx8mm,lift,BUS+MEM,97,4,1600000,0,1..3,1486195,1140723,27
imx8mm,lift,BUS+MEM,98,4,1600000,0,1..3,1443015,1140722,20
imx8mm,lift,BUS+MEM,99,4,1600000,0,1..3,1425452,1140722,16
imx8mm,lift,BUS+MEM,100,4,1600000,0,1..3,1416250,1140722,23
imx8mm,lift,BUS+MEM,101,4,1600000,0,1..3,1413724,1140722,18
imx8mm,lift,BUS+MEM,102,4,1600000,0,1..3,1414133,1140725,26
imx8mm,lift,BUS+MEM,103,4,1600000,0,1..3,1442032,1140722,20
imx8mm,lift,BUS+MEM,104,4,1600000,0,1..3,1445190,1140722,18
imx8mm,lift,BUS+MEM,105,4,1600000,0,1..3,1456168,1140722,25
imx8mm,lift,BUS+MEM,106,4,1600000,0,1..3,1442266,1140722,21
imx8mm,lift,BUS+MEM,107,4,1600000,0,1..3,1454187,1140722,19
imx8mm,lift,BUS+MEM,108,4,1600000,0,1..3,1441552,1140722,17
imx8mm,lift,BUS+MEM,109,4,1600000,0,1..3,1455374,1140723,22
imx8mm,lift,BUS+MEM,110,4,1600000,0,1..3,1421357,1140722,17
imx8mm,lift,BUS+MEM,111,4,1600000,0,1..3,1430167,1140725,27
imx8mm,lift,BUS+MEM,112,4,1600000,0,1..3,1414005,1140722,22
imx8mm,lift,BUS+MEM,113,4,1600000,0,1..3,1421475,1140722,20
imx8mm,lift,BUS+MEM,114,4,1600000,0,1..3,1416767,1140722,23
imx8mm,lift,BUS+MEM,115,4,1600000,0,1..3,1458058,1140722,21
imx8mm,lift,BUS+MEM,116,4,1600000,0,1..3,1458619,1140723,27
imx8mm,lift,BUS+MEM,117,4,1600000,0,1..3,1469506,1140722,18
imx8mm,lift,BUS+MEM,118,4,1600000,0,1..3,1450554,1140722,20
imx8mm,lift,BUS+MEM,119,4,1600000,0,1..3,1421036,1140722,14
imx8mm,lift,BUS+MEM,120,4,1600000,0,1..3,1425706,1140722,16
imx8mm,lift,BUS+MEM,121,4,1600000,0,1..3,1423861,1140722,20
imx8mm,lift,BUS+MEM,122,4,1600000,0,1..3,1461251,1140722,22
imx8mm,lift,BUS+MEM,123,4,1600000,0,1..3,1434309,1140725,27
imx8mm,lift,BUS+MEM,124,4,1600000,0,1..3,1427843,1140722,19
imx8mm,lift,BUS+MEM,125,4,1600000,0,1..3,1438336,1140723,25
imx8mm,lift,BUS+MEM,126,4,1600000,0,1..3,1418192,1140722,17
imx8mm,lift,BUS+MEM,127,4,1600000,0,1..3,1420921,1140722,16
imx8mm,lift,BUS+MEM,128,4,1600000,0,1..3,1428580,1140722,22
imx8mm,lift,BUS+MEM,129,4,1600000,0,1..3,1425564,1140722,19
imx8mm,lift,BUS+MEM,130,4,1600000,0,1..3,1415446,1140722,22
imx8mm,lift,BUS+MEM,131,4,1600000,0,1..3,1418895,1140722,17
imx8mm,lift,BUS+MEM,132,4,1600000,0,1..3,1420405,1140725,22
imx8mm,lift,BUS+MEM,133,4,1600000,0,1..3,1412361,1140722,14
imx8mm,lift,BUS+MEM,134,4,1600000,0,1..3,1426455,1140722,15
imx8mm,lift,BUS+MEM,135,4,1600000,0,1..3,1432146,1140722,23
imx8mm,lift,BUS+MEM,136,4,1600000,0,1..3,1465126,1140722,21
imx8mm,lift,BUS+MEM,137,4,1600000,0,1..3,1422716,1140722,21
imx8mm,lift,BUS+MEM,138,4,1600000,0,1..3,1421300,1140722,20
imx8mm,lift,BUS+MEM,139,4,1600000,0,1..3,1421711,1140723,31
imx8mm,lift,BUS+MEM,140,4,1600000,0,1..3,1417139,1140722,23
imx8mm,lift,BUS+MEM,141,4,1600000,0,1..3,1443320,1140722,14
imx8mm,lift,BUS+MEM,142,4,1600000,0,1..3,1459978,1140722,21
imx8mm,lift,BUS+MEM,143,4,1600000,0,1..3,1456369,1140722,21
imx8mm,lift,BUS+MEM,144,4,1600000,0,1..3,1455610,1140722,19
imx8mm,lift,BUS+MEM,145,4,1600000,0,1..3,1420564,1140722,18
imx8mm,lift,BUS+MEM,146,4,1600000,0,1..3,1431715,1140723,20
imx8mm,lift,BUS+MEM,147,4,1600000,0,1..3,1473843,1140722,22
imx8mm,lift,BUS+MEM,148,4,1600000,0,1..3,1428511,1140723,34
imx8mm,lift,BUS+MEM,149,4,1600000,0,1..3,1430081,1140722,23
imx8mm,lift,BUS+MEM,150,4,1600000,0,1..3,1449398,1140725,40
imx8mm,lift,BUS+MEM,151,4,1600000,0,1..3,1477704,1140722,22
imx8mm,lift,BUS+MEM,152,4,1600000,0,1..3,1604615,1140724,26
imx8mm,lift,BUS+MEM,153,4,1600000,0,1..3,1464895,1140722,20
imx8mm,lift,BUS+MEM,154,4,1600000,0,1..3,1463686,1140723,28
imx8mm,lift,BUS+MEM,155,4,1600000,0,1..3,1456437,1140722,15
imx8mm,lift,BUS+MEM,156,4,1600000,0,1..3,1460118,1140723,26
imx8mm,lift,BUS+MEM,157,4,1600000,0,1..3,1422404,1140722,17
imx8mm,lift,BUS+MEM,158,4,1600000,0,1..3,1413322,1140722,15
imx8mm,lift,BUS+MEM,159,4,1600000,0,1..3,1417066,1140722,21
imx8mm,lift,BUS+MEM,160,4,1600000,0,1..3,1416166,1140722,20
imx8mm,lift,BUS+MEM,161,4,1600000,0,1..3,1432045,1140723,27
imx8mm,lift,BUS+MEM,162,4,1600000,0,1..3,1421264,1140722,17
imx8mm,lift,BUS+MEM,163,4,1600000,0,1..3,1419305,1140722,17
imx8mm,lift,BUS+MEM,164,4,1600000,0,1..3,1455197,1140722,27
imx8mm,lift,BUS+MEM,165,4,1600000,0,1..3,1423786,1140722,19
imx8mm,lift,BUS+MEM,166,4,1600000,0,1..3,1426477,1140722,17
imx8mm,lift,BUS+MEM,167,4,1600000,0,1..3,1417027,1140722,22
imx8mm,lift,BUS+MEM,168,4,1600000,0,1..3,1420573,1140725,24
imx8mm,lift,BUS+MEM,169,4,1600000,0,1..3,1428818,1140722,18
imx8mm,lift,BUS+MEM,170,4,1600000,0,1..3,1437396,1140722,21
imx8mm,lift,BUS+MEM,171,4,1600000,0,1..3,1444263,1140722,21
imx8mm,lift,BUS+MEM,172,4,1600000,0,1..3,1453122,1140722,20
imx8mm,lift,BUS+MEM,173,4,1600000,0,1..3,1430716,1140723,28
imx8mm,lift,BUS+MEM,174,4,1600000,0,1..3,1437570,1140722,26
imx8mm,lift,BUS+MEM,175,4,1600000,0,1..3,1462368,1140723,31
imx8mm,lift,BUS+MEM,176,4,1600000,0,1..3,1450631,1140722,21
imx8mm,lift,BUS+MEM,177,4,1600000,0,1..3,1457701,1140722,18
imx8mm,lift,BUS+MEM,178,4,1600000,0,1..3,1462296,1140722,21
imx8mm,lift,BUS+MEM,179,4,1600000,0,1..3,1425108,1140722,22
imx8mm,lift,BUS+MEM,180,4,1600000,0,1..3,1427385,1140722,21
imx8mm,lift,BUS+MEM,181,4,1600000,0,1..3,1434126,1140722,17
imx8mm,lift,BUS+MEM,182,4,1600000,0,1..3,1447040,1140723,24
imx8mm,lift,BUS+MEM,183,4,1600000,0,1..3,1463411,1140722,21
imx8mm,lift,BUS+MEM,184,4,1600000,0,1..3,1426586,1140723,22
imx8mm,lift,BUS+MEM,185,4,1600000,0,1..3,1415362,1140722,21
imx8mm,lift,BUS+MEM,186,4,1600000,0,1..3,1466487,1140722,21
imx8mm,lift,BUS+MEM,187,4,1600000,0,1..3,1464597,1140722,21
imx8mm,lift,BUS+MEM,188,4,1600000,0,1..3,1417998,1140722,19
imx8mm,lift,BUS+MEM,189,4,1600000,0,1..3,1425743,1140723,27
imx8mm,lift,BUS+MEM,190,4,1600000,0,1..3,1429142,1140722,21
imx8mm,lift,BUS+MEM,191,4,1600000,0,1..3,1439182,1140724,26
imx8mm,lift,BUS+MEM,192,4,1600000,0,1..3,1422825,1140722,24
imx8mm,lift,BUS+MEM,193,4,1600000,0,1..3,1424050,1140722,16
imx8mm,lift,BUS+MEM,194,4,1600000,0,1..3,1430558,1140722,19
imx8mm,lift,BUS+MEM,195,4,1600000,0,1..3,1416899,1140722,19
imx8mm,lift,BUS+MEM,196,4,1600000,0,1..3,1423997,1140722,26
imx8mm,lift,BUS+MEM,197,4,1600000,0,1..3,1422232,1140722,24
imx8mm,lift,BUS+MEM,198,4,1600000,0,1..3,1432099,1140723,25
imx8mm,lift,BUS+MEM,199,4,1600000,0,1..3,1434515,1140722,21
imx8mm,lift,BUS+MEM,200,4,1600000,0,1..3,1421273,1140722,14
imx8mm,lift,BUS+MEM,201,4,1600000,0,1..3,1422271,1140722,20
imx8mm,lift,BUS+MEM,202,4,1600000,0,1..3,1415778,1140722,16
