board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,lift,BUS,0,4,1600000,0,1..3,1506448,1140733,45
imx8mm,lift,BUS,1,4,1600000,0,1..3,1510553,1140723,41
imx8mm,lift,BUS,2,4,1600000,0,1..3,1467816,1140722,28
imx8mm,lift,BUS,3,4,1600000,0,1..3,1472543,1140725,32
imx8mm,lift,BUS,4,4,1600000,0,1..3,1457391,1140722,22
imx8mm,lift,BUS,5,4,1600000,0,1..3,1459285,1140723,31
imx8mm,lift,BUS,6,4,1600000,0,1..3,1464818,1140722,22
imx8mm,lift,BUS,7,4,1600000,0,1..3,1467443,1140725,31
imx8mm,lift,BUS,8,4,1600000,0,1..3,1468182,1140722,24
imx8mm,lift,BUS,9,4,1600000,0,1..3,1448183,1140722,23
imx8mm,lift,BUS,10,4,1600000,0,1..3,1467940,1140722,24
imx8mm,lift,BUS,11,4,1600000,0,1..3,1460011,1140722,25
imx8mm,lift,BUS,12,4,1600000,0,1..3,1444503,1140722,23
imx8mm,lift,BUS,13,4,1600000,0,1..3,1464562,1140722,23
imx8mm,lift,BUS,14,4,1600000,0,1..3,1433995,1140722,20
imx8mm,lift,BUS,15,4,1600000,0,1..3,1466350,1140722,22
imx8mm,lift,BUS,16,4,1600000,0,1..3,1484773,1140725,32
imx8mm,lift,BUS,17,4,1600000,0,1..3,1452881,1140722,20
imx8mm,lift,BUS,18,4,1600000,0,1..3,1480049,1140724,31
imx8mm,lift,BUS,19,4,1600000,0,1..3,1464442,1140722,22
imx8mm,lift,BUS,20,4,1600000,0,1..3,1506418,1140725,48
imx8mm,lift,BUS,21,4,1600000,0,1..3,1484601,1140722,30
imx8mm,lift,BUS,22,4,1600000,0,1..3,1513491,1140727,50
imx8mm,lift,BUS,23,4,1600000,0,1..3,1466380,1140722,26
imx8mm,lift,BUS,24,4,1600000,0,1..3,1484216,1140724,49
imx8mm,lift,BUS,25,4,1600000,0,1..3,1482107,1140725,42
imx8mm,lift,BUS,26,4,1600000,0,1..3,1454269,1140722,26
imx8mm,lift,BUS,27,4,1600000,0,1..3,1448600,1140722,23
imx8mm,lift,BUS,28,4,1600000,0,1..3,1477279,1140722,33
imx8mm,lift,BUS,29,4,1600000,0,1..3,1486943,1140725,34
imx8mm,lift,BUS,30,4,1600000,0,1..3,1450310,1140722,23
imx8mm,lift,BUS,31,4,1600000,0,1..3,1500670,1140725,44
imx8mm,lift,BUS,32,4,1600000,0,1..3,1514371,1140723,44
imx8mm,lift,BUS,33,4,1600000,0,1..3,1463040,1140722,23
imx8mm,lift,BUS,34,4,1600000,0,1..3,1482188,1140723,39
imx8mm,lift,BUS,35,4,1600000,0,1..3,1461421,1140722,34
imx8mm,lift,BUS,36,4,1600000,0,1..3,1512492,1140723,45
imx8mm,lift,BUS,37,4,1600000,0,1..3,1443869,1140722,30
imx8mm,lift,BUS,38,4,1600000,0,1..3,1464648,1140722,21
imx8mm,lift,BUS,39,4,1600000,0,1..3,1448001,1140722,24
imx8mm,lift,BUS,40,4,1600000,0,1..3,1455436,1140722,26
imx8mm,lift,BUS,41,4,1600000,0,1..3,1444603,1140722,27
imx8mm,lift,BUS,42,4,1600000,0,1..3,1454575,1140722,20
imx8mm,lift,BUS,43,4,1600000,0,1..3,1439590,1140722,22
imx8mm,lift,BUS,44,4,1600000,0,1..3,1449298,1140722,19
imx8mm,lift,BUS,45,4,1600000,0,1..3,1482759,1140722,27
imx8mm,lift,BUS,46,4,1600000,0,1..3,1471221,1140723,29
imx8mm,lift,BUS,47,4,1600000,0,1..3,1453676,1140722,26
imx8mm,lift,BUS,48,4,1600000,0,1..3,1470083,1140722,21
imx8mm,lift,BUS,49,4,1600000,0,1..3,1461191,1140722,21
imx8mm,lift,BUS,50,4,1600000,0,1..3,1448279,1140722,22
imx8mm,lift,BUS,51,4,1600000,0,1..3,1456946,1140722,21
imx8mm,lift,BUS,52,4,1600000,0,1..3,1452417,1140722,23
imx8mm,lift,BUS,53,4,1600000,0,1..3,1450046,1140722,24
imx8mm,lift,BUS,54,4,1600000,0,1..3,1462530,1140722,23
imx8mm,lift,BUS,55,4,1600000,0,1..3,1480105,1140725,34
imx8mm,lift,BUS,56,4,1600000,0,1..3,1451899,1140722,23
imx8mm,lift,BUS,57,4,1600000,0,1..3,1468899,1140725,31
imx8mm,lift,BUS,58,4,1600000,0,1..3,1454990,1140722,22
imx8mm,lift,BUS,59,4,1600000,0,1..3,1465306,1140725,28
imx8mm,lift,BUS,60,4,1600000,0,1..3,1455463,1140722,21
imx8mm,lift,BUS,61,4,1600000,0,1..3,1483658,1140723,36
imx8mm,lift,BUS,62,4,1600000,0,1..3,1448969,1140722,26
imx8mm,lift,BUS,63,4,1600000,0,1..3,1480263,1140722,26
imx8mm,lift,BUS,64,4,1600000,0,1..3,1455276,1140722,23
imx8mm,lift,BUS,65,4,1600000,0,1..3,1487201,1140722,26
imx8mm,lift,BUS,66,4,1600000,0,1..3,1450923,1140722,21
imx8mm,lift,BUS,67,4,1600000,0,1..3,1459710,1140722,24
imx8mm,lift,BUS,68,4,1600000,0,1..3,1466314,1140722,21
imx8mm,lift,BUS,69,4,1600000,0,1..3,1443233,1140722,24
imx8mm,lift,BUS,70,4,1600000,0,1..3,1457040,1140722,19
imx8mm,lift,BUS,71,4,1600000,0,1..3,1447603,1140722,24
imx8mm,lift,BUS,72,4,1600000,0,1..3,1454861,1140722,18
imx8mm,lift,BUS,73,4,1600000,0,1..3,1474362,1140722,23
imx8mm,lift,BUS,74,4,1600000,0,1..3,1489815,1140725,37
imx8mm,lift,BUS,75,4,1600000,0,1..3,1450718,1140722,22
imx8mm,lift,BUS,76,4,1600000,0,1..3,1477453,1140723,37
imx8mm,lift,BUS,77,4,1600000,0,1..3,1463890,1140722,26
imx8mm,lift,BUS,78,4,1600000,0,1..3,1462137,1140722,27
