board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,lift,Mix,0,4,1600000,0,1..3,1451629,1140731,41
imx8mm,lift,Mix,1,4,1600000,0,1..3,1443955,1140722,30
imx8mm,lift,Mix,2,4,1600000,0,1..3,1419062,1140722,22
imx8mm,lift,Mix,3,4,1600000,0,1..3,1424524,1140722,14
imx8mm,lift,Mix,4,4,1600000,0,1..3,1439177,1140723,20
imx8mm,lift,Mix,5,4,1600000,0,1..3,1449856,1140722,14
imx8mm,lift,Mix,6,4,1600000,0,1..3,1449750,1140722,8
imx8mm,lift,Mix,7,4,1600000,0,1..3,1421089,1140722,14
imx8mm,lift,Mix,8,4,1600000,0,1..3,1418081,1140722,10
imx8mm,lift,Mix,9,4,1600000,0,1..3,1461388,1140723,21
imx8mm,lift,Mix,10,4,1600000,0,1..3,1422122,1140722,14
imx8mm,lift,Mix,11,4,1600000,0,1..3,1414611,1140722,8
imx8mm,lift,Mix,12,4,1600000,0,1..3,1409509,1140722,10
imx8mm,lift,Mix,13,4,1600000,0,1..3,1413111,1140722,13
imx8mm,lift,Mix,14,4,1600000,0,1..3,1422888,1140725,16
imx8mm,lift,Mix,15,4,1600000,0,1..3,1405147,1140722,16
imx8mm,lift,Mix,16,4,1600000,0,1..3,1411241,1140722,10
imx8mm,lift,Mix,17,4,1600000,0,1..3,1430543,1140723,15
imx8mm,lift,Mix,18,4,1600000,0,1..3,1413831,1140722,14
imx8mm,lift,Mix,19,4,1600000,0,1..3,1433213,1140722,11
imx8mm,lift,Mix,20,4,1600000,0,1..3,1416906,1140722,18
imx8mm,lift,Mix,21,4,1600000,0,1..3,1424535,1140722,11
imx8mm,lift,Mix,22,4,1600000,0,1..3,1416981,1140723,19
imx8mm,lift,Mix,23,4,1600000,0,1..3,1455949,1140722,11
imx8mm,lift,Mix,24,4,1600000,0,1..3,1449113,1140722,9
imx8mm,lift,Mix,25,4,1600000,0,1..3,1460842,1140722,16
imx8mm,lift,Mix,26,4,1600000,0,1..3,1461356,1140722,9
imx8mm,lift,Mix,27,4,1600000,0,1..3,1424562,1140722,15
imx8mm,lift,Mix,28,4,1600000,0,1..3,1416614,1140722,8
imx8mm,lift,Mix,29,4,1600000,0,1..3,1420940,1140723,16
imx8mm,lift,Mix,30,4,1600000,0,1..3,1450102,1140722,12
imx8mm,lift,Mix,31,4,1600000,0,1..3,1437539,1140723,18
imx8mm,lift,Mix,32,4,1600000,0,1..3,1436088,1140722,13
imx8mm,lift,Mix,33,4,1600000,0,1..3,1448142,1140722,9
imx8mm,lift,Mix,34,4,1600000,0,1..3,1419357,1140722,17
imx8mm,lift,Mix,35,4,1600000,0,1..3,1417989,1140722,12
imx8mm,lift,Mix,36,4,1600000,0,1..3,1450032,1140724,16
imx8mm,lift,Mix,37,4,1600000,0,1..3,1445139,1140722,19
imx8mm,lift,Mix,38,4,1600000,0,1..3,1420754,1140722,9
imx8mm,lift,Mix,39,4,1600000,0,1..3,1428384,1140722,9
imx8mm,lift,Mix,40,4,1600000,0,1..3,1417575,1140722,16
imx8mm,lift,Mix,41,4,1600000,0,1..3,1410661,1140724,17
imx8mm,lift,Mix,42,4,1600000,0,1..3,1403155,1140722,17
imx8mm,lift,Mix,43,4,1600000,0,1..3,1455606,1140722,12
