board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,ludcmp,Mix,0,4,1600000,0,1..3,52920,7023,38
imx8mm,ludcmp,Mix,1,4,1600000,0,1..3,67296,7017,29
imx8mm,ludcmp,Mix,2,4,1600000,0,1..3,24244,7018,19
imx8mm,ludcmp,Mix,3,4,1600000,0,1..3,14639,7017,14
imx8mm,ludcmp,Mix,4,4,1600000,0,1..3,12500,7015,13
imx8mm,ludcmp,Mix,5,4,1600000,0,1..3,11770,7017,13
imx8mm,ludcmp,Mix,6,4,1600000,0,1..3,10871,7015,13
imx8mm,ludcmp,Mix,7,4,1600000,0,1..3,11374,7015,13
imx8mm,ludcmp,Mix,8,4,1600000,0,1..3,11451,7013,13
imx8mm,ludcmp,Mix,9,4,1600000,0,1..3,10968,7014,11
imx8mm,ludcmp,Mix,10,4,1600000,0,1..3,11251,7015,13
imx8mm,ludcmp,Mix,11,4,1600000,0,1..3,16629,7014,10
imx8mm,ludcmp,Mix,12,4,1600000,0,1..3,10863,7013,11
imx8mm,ludcmp,Mix,13,4,1600000,0,1..3,10768,7013,12
imx8mm,ludcmp,Mix,14,4,1600000,0,1..3,10787,7015,14
imx8mm,ludcmp,Mix,15,4,1600000,0,1..3,12016,7013,14
imx8mm,ludcmp,Mix,16,4,1600000,0,1..3,12368,7013,14
imx8mm,ludcmp,Mix,17,4,1600000,0,1..3,11692,7014,16
imx8mm,ludcmp,Mix,18,4,1600000,0,1..3,10749,7014,9
imx8mm,ludcmp,Mix,19,4,1600000,0,1..3,10839,7016,12
imx8mm,ludcmp,Mix,20,4,1600000,0,1..3,10780,7013,12
imx8mm,ludcmp,Mix,21,4,1600000,0,1..3,11259,7014,13
imx8mm,ludcmp,Mix,22,4,1600000,0,1..3,13372,7013,9
imx8mm,ludcmp,Mix,23,4,1600000,0,1..3,12129,7016,11
imx8mm,ludcmp,Mix,24,4,1600000,0,1..3,14064,7013,20
imx8mm,ludcmp,Mix,25,4,1600000,0,1..3,12263,7014,15
imx8mm,ludcmp,Mix,26,4,1600000,0,1..3,11574,7013,13
imx8mm,ludcmp,Mix,27,4,1600000,0,1..3,11648,7013,10
imx8mm,ludcmp,Mix,28,4,1600000,0,1..3,11039,7014,13
imx8mm,ludcmp,Mix,29,4,1600000,0,1..3,11739,7015,15
imx8mm,ludcmp,Mix,30,4,1600000,0,1..3,10742,7013,10
imx8mm,ludcmp,Mix,31,4,1600000,0,1..3,12249,7013,12
imx8mm,ludcmp,Mix,32,4,1600000,0,1..3,15869,7013,10
imx8mm,ludcmp,Mix,33,4,1600000,0,1..3,11458,7013,9
imx8mm,ludcmp,Mix,34,4,1600000,0,1..3,11489,7013,15
imx8mm,ludcmp,Mix,35,4,1600000,0,1..3,11199,7012,10
imx8mm,ludcmp,Mix,36,4,1600000,0,1..3,10760,7014,11
imx8mm,ludcmp,Mix,37,4,1600000,0,1..3,10709,7014,12
imx8mm,ludcmp,Mix,38,4,1600000,0,1..3,10714,7012,11
imx8mm,ludcmp,Mix,39,4,1600000,0,1..3,11741,7014,11
imx8mm,ludcmp,Mix,40,4,1600000,0,1..3,11255,7013,11
imx8mm,ludcmp,Mix,41,4,1600000,0,1..3,11496,7013,12
imx8mm,ludcmp,Mix,42,4,1600000,0,1..3,15156,7012,9
imx8mm,ludcmp,Mix,43,4,1600000,0,1..3,10733,7013,13
imx8mm,ludcmp,Mix,44,4,1600000,0,1..3,10715,7013,8
imx8mm,ludcmp,Mix,45,4,1600000,0,1..3,12017,7014,13
imx8mm,ludcmp,Mix,46,4,1600000,0,1..3,10798,7013,11
imx8mm,ludcmp,Mix,47,4,1600000,0,1..3,10819,7013,11
imx8mm,ludcmp,Mix,48,4,1600000,0,1..3,10773,7015,12
imx8mm,ludcmp,Mix,49,4,1600000,0,1..3,10791,7013,14
imx8mm,ludcmp,Mix,50,4,1600000,0,1..3,10780,7017,15
imx8mm,ludcmp,Mix,51,4,1600000,0,1..3,15434,7013,12
imx8mm,ludcmp,Mix,52,4,1600000,0,1..3,12086,7013,15
imx8mm,ludcmp,Mix,53,4,1600000,0,1..3,13310,7014,11
imx8mm,ludcmp,Mix,54,4,1600000,0,1..3,10893,7013,19
imx8mm,ludcmp,Mix,55,4,1600000,0,1..3,10939,7015,19
imx8mm,ludcmp,Mix,56,4,1600000,0,1..3,10783,7013,13
imx8mm,ludcmp,Mix,57,4,1600000,0,1..3,11569,7012,17
imx8mm,ludcmp,Mix,58,4,1600000,0,1..3,11630,7012,14
imx8mm,ludcmp,Mix,59,4,1600000,0,1..3,11587,7013,13
imx8mm,ludcmp,Mix,60,4,1600000,0,1..3,11134,7013,13
imx8mm,ludcmp,Mix,61,4,1600000,0,1..3,10873,7012,11
imx8mm,ludcmp,Mix,62,4,1600000,0,1..3,10879,7014,10
imx8mm,ludcmp,Mix,63,4,1600000,0,1..3,10750,7013,12
imx8mm,ludcmp,Mix,64,4,1600000,0,1..3,11337,7013,15
imx8mm,ludcmp,Mix,65,4,1600000,0,1..3,16126,7012,13
imx8mm,ludcmp,Mix,66,4,1600000,0,1..3,11935,7013,13
imx8mm,ludcmp,Mix,67,4,1600000,0,1..3,16065,7015,14
imx8mm,ludcmp,Mix,68,4,1600000,0,1..3,10820,7014,14
imx8mm,ludcmp,Mix,69,4,1600000,0,1..3,10889,7013,12
imx8mm,ludcmp,Mix,70,4,1600000,0,1..3,10828,7012,14
imx8mm,ludcmp,Mix,71,4,1600000,0,1..3,16412,7012,13
imx8mm,ludcmp,Mix,72,4,1600000,0,1..3,11594,7013,12
imx8mm,ludcmp,Mix,73,4,1600000,0,1..3,11939,7013,9
imx8mm,ludcmp,Mix,74,4,1600000,0,1..3,11936,7015,8
imx8mm,ludcmp,Mix,75,4,1600000,0,1..3,10871,7012,12
imx8mm,ludcmp,Mix,76,4,1600000,0,1..3,14313,7013,17
imx8mm,ludcmp,Mix,77,4,1600000,0,1..3,11934,7016,12
imx8mm,ludcmp,Mix,78,4,1600000,0,1..3,12104,7013,14
imx8mm,ludcmp,Mix,79,4,1600000,0,1..3,10830,7015,12
imx8mm,ludcmp,Mix,80,4,1600000,0,1..3,10804,7013,12
imx8mm,ludcmp,Mix,81,4,1600000,0,1..3,10727,7013,13
imx8mm,ludcmp,Mix,82,4,1600000,0,1..3,11805,7013,13
imx8mm,ludcmp,Mix,83,4,1600000,0,1..3,11692,7013,11
