board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,md5,BUS,0,4,1600000,0,1..3,36323026,29807556,48
imx8mm,md5,BUS,1,4,1600000,0,1..3,36208776,29807546,22
imx8mm,md5,BUS,2,4,1600000,0,1..3,36853566,29807552,21
imx8mm,md5,BUS,3,4,1600000,0,1..3,36213929,29807551,23
imx8mm,md5,BUS,4,4,1600000,0,1..3,36192116,29807548,16
imx8mm,md5,BUS,5,4,1600000,0,1..3,36249670,29807549,27
imx8mm,md5,BUS,6,4,1600000,0,1..3,36349584,29807549,33
imx8mm,md5,BUS,7,4,1600000,0,1..3,36423473,29807548,29
imx8mm,md5,BUS,8,4,1600000,0,1..3,36317434,29807546,39
imx8mm,md5,BUS,9,4,1600000,0,1..3,36210107,29807544,24
imx8mm,md5,BUS,10,4,1600000,0,1..3,36340075,29807556,32
imx8mm,md5,BUS,11,4,1600000,0,1..3,36221464,29807549,20
imx8mm,md5,BUS,12,4,1600000,0,1..3,36261574,29807550,26
imx8mm,md5,BUS,13,4,1600000,0,1..3,36329470,29807556,26
imx8mm,md5,BUS,14,4,1600000,0,1..3,36225252,29807548,23
imx8mm,md5,BUS,15,4,1600000,0,1..3,36200923,29807546,21
imx8mm,md5,BUS,16,4,1600000,0,1..3,36322551,29807549,34
imx8mm,md5,BUS,17,4,1600000,0,1..3,36224283,29807546,14
imx8mm,md5,BUS,18,4,1600000,0,1..3,36283627,29807545,23
imx8mm,md5,BUS,19,4,1600000,0,1..3,36204353,29807545,18
imx8mm,md5,BUS,20,4,1600000,0,1..3,36212502,29807551,26
imx8mm,md5,BUS,21,4,1600000,0,1..3,36258528,29807544,18
imx8mm,md5,BUS,22,4,1600000,0,1..3,36207350,29807547,20
imx8mm,md5,BUS,23,4,1600000,0,1..3,36302178,29807547,22
imx8mm,md5,BUS,24,4,1600000,0,1..3,36260155,29807544,23
imx8mm,md5,BUS,25,4,1600000,0,1..3,36346641,29807545,28
imx8mm,md5,BUS,26,4,1600000,0,1..3,36170846,29807548,22
imx8mm,md5,BUS,27,4,1600000,0,1..3,36356313,29807545,26
imx8mm,md5,BUS,28,4,1600000,0,1..3,36200544,29807550,22
imx8mm,md5,BUS,29,4,1600000,0,1..3,36217856,29807547,21
imx8mm,md5,BUS,30,4,1600000,0,1..3,36195939,29807545,16
imx8mm,md5,BUS,31,4,1600000,0,1..3,36366353,29807550,44
imx8mm,md5,BUS,32,4,1600000,0,1..3,36179732,29807553,20
imx8mm,md5,BUS,33,4,1600000,0,1..3,36300350,29807552,29
imx8mm,md5,BUS,34,4,1600000,0,1..3,36223180,29807545,27
imx8mm,md5,BUS,35,4,1600000,0,1..3,36219730,29807544,19
imx8mm,md5,BUS,36,4,1600000,0,1..3,36192632,29807550,18
imx8mm,md5,BUS,37,4,1600000,0,1..3,36201687,29807549,17
imx8mm,md5,BUS,38,4,1600000,0,1..3,36203780,29807548,25
imx8mm,md5,BUS,39,4,1600000,0,1..3,36256280,29807546,25
imx8mm,md5,BUS,40,4,1600000,0,1..3,36219674,29807550,17
imx8mm,md5,BUS,41,4,1600000,0,1..3,36248988,29807550,16
imx8mm,md5,BUS,42,4,1600000,0,1..3,36281437,29807550,29
imx8mm,md5,BUS,43,4,1600000,0,1..3,36219496,29807549,23
imx8mm,md5,BUS,44,4,1600000,0,1..3,36236403,29807549,13
imx8mm,md5,BUS,45,4,1600000,0,1..3,36287319,29807546,21
imx8mm,md5,BUS,46,4,1600000,0,1..3,36329844,29807546,29
imx8mm,md5,BUS,47,4,1600000,0,1..3,36220585,29807545,21
imx8mm,md5,BUS,48,4,1600000,0,1..3,36296312,29807545,47
imx8mm,md5,BUS,49,4,1600000,0,1..3,36182262,29807548,23
imx8mm,md5,BUS,50,4,1600000,0,1..3,36474565,29807550,29
imx8mm,md5,BUS,51,4,1600000,0,1..3,36336065,29807549,26
imx8mm,md5,BUS,52,4,1600000,0,1..3,36423296,29807551,40
imx8mm,md5,BUS,53,4,1600000,0,1..3,36193253,29807549,25
imx8mm,md5,BUS,54,4,1600000,0,1..3,36224065,29807545,20
imx8mm,md5,BUS,55,4,1600000,0,1..3,36234584,29807547,26
imx8mm,md5,BUS,56,4,1600000,0,1..3,36274563,29807548,17
imx8mm,md5,BUS,57,4,1600000,0,1..3,36744623,29807546,13
imx8mm,md5,BUS,58,4,1600000,0,1..3,36276496,29807549,31
imx8mm,md5,BUS,59,4,1600000,0,1..3,36228714,29807549,16
imx8mm,md5,BUS,60,4,1600000,0,1..3,36194778,29807545,11
imx8mm,md5,BUS,61,4,1600000,0,1..3,36163424,29807545,18
imx8mm,md5,BUS,62,4,1600000,0,1..3,36189288,29807547,18
imx8mm,md5,BUS,63,4,1600000,0,1..3,36258082,29807547,16
imx8mm,md5,BUS,64,4,1600000,0,1..3,36271529,29807553,13
imx8mm,md5,BUS,65,4,1600000,0,1..3,36282957,29807546,21
imx8mm,md5,BUS,66,4,1600000,0,1..3,36249368,29807547,12
imx8mm,md5,BUS,67,4,1600000,0,1..3,36767603,29807545,25
imx8mm,md5,BUS,68,4,1600000,0,1..3,36182497,29807548,13
imx8mm,md5,BUS,69,4,1600000,0,1..3,36230070,29807544,23
