board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,minver,Mix,0,4,1600000,0,1..3,82870,4345,31
imx8mm,minver,Mix,1,4,1600000,0,1..3,81487,4444,20
imx8mm,minver,Mix,2,4,1600000,0,1..3,42547,4439,20
imx8mm,minver,Mix,3,4,1600000,0,1..3,7883,4120,10
imx8mm,minver,Mix,4,4,1600000,0,1..3,7995,4435,7
imx8mm,minver,Mix,5,4,1600000,0,1..3,7759,4444,9
imx8mm,minver,Mix,6,4,1600000,0,1..3,6615,4121,9
imx8mm,minver,Mix,7,4,1600000,0,1..3,6547,4122,8
imx8mm,minver,Mix,8,4,1600000,0,1..3,7502,4120,10
imx8mm,minver,Mix,9,4,1600000,0,1..3,7414,4120,9
imx8mm,minver,Mix,10,4,1600000,0,1..3,7896,4118,8
imx8mm,minver,Mix,11,4,1600000,0,1..3,6574,4120,8
imx8mm,minver,Mix,12,4,1600000,0,1..3,6547,4121,6
imx8mm,minver,Mix,13,4,1600000,0,1..3,6538,4121,9
imx8mm,minver,Mix,14,4,1600000,0,1..3,7923,4122,8
imx8mm,minver,Mix,15,4,1600000,0,1..3,7127,4120,7
imx8mm,minver,Mix,16,4,1600000,0,1..3,7743,4119,7
imx8mm,minver,Mix,17,4,1600000,0,1..3,7655,4119,11
imx8mm,minver,Mix,18,4,1600000,0,1..3,6495,4121,7
imx8mm,minver,Mix,19,4,1600000,0,1..3,6483,4120,8
imx8mm,minver,Mix,20,4,1600000,0,1..3,6489,4120,3
imx8mm,minver,Mix,21,4,1600000,0,1..3,7914,4120,7
imx8mm,minver,Mix,22,4,1600000,0,1..3,7822,4117,10
imx8mm,minver,Mix,23,4,1600000,0,1..3,7645,4118,8
imx8mm,minver,Mix,24,4,1600000,0,1..3,7651,4119,11
imx8mm,minver,Mix,25,4,1600000,0,1..3,6543,4119,8
imx8mm,minver,Mix,26,4,1600000,0,1..3,6593,4120,9
imx8mm,minver,Mix,27,4,1600000,0,1..3,6482,4118,8
imx8mm,minver,Mix,28,4,1600000,0,1..3,7703,4119,7
imx8mm,minver,Mix,29,4,1600000,0,1..3,7619,4119,8
imx8mm,minver,Mix,30,4,1600000,0,1..3,7183,4119,7
imx8mm,minver,Mix,31,4,1600000,0,1..3,7415,4119,6
imx8mm,minver,Mix,32,4,1600000,0,1..3,6555,4120,10
imx8mm,minver,Mix,33,4,1600000,0,1..3,6519,4119,7
imx8mm,minver,Mix,34,4,1600000,0,1..3,9175,4118,11
imx8mm,minver,Mix,35,4,1600000,0,1..3,7331,4119,10
imx8mm,minver,Mix,36,4,1600000,0,1..3,6559,4122,8
imx8mm,minver,Mix,37,4,1600000,0,1..3,6524,4118,12
imx8mm,minver,Mix,38,4,1600000,0,1..3,6606,4121,8
imx8mm,minver,Mix,39,4,1600000,0,1..3,7277,4119,11
imx8mm,minver,Mix,40,4,1600000,0,1..3,7561,4120,5
imx8mm,minver,Mix,41,4,1600000,0,1..3,7617,4119,6
imx8mm,minver,Mix,42,4,1600000,0,1..3,6850,4116,7
imx8mm,minver,Mix,43,4,1600000,0,1..3,6443,4118,9
imx8mm,minver,Mix,44,4,1600000,0,1..3,6563,4118,11
imx8mm,minver,Mix,45,4,1600000,0,1..3,6517,4119,7
imx8mm,minver,Mix,46,4,1600000,0,1..3,6973,4120,8
imx8mm,minver,Mix,47,4,1600000,0,1..3,6902,4118,8
imx8mm,minver,Mix,48,4,1600000,0,1..3,7368,4115,5
imx8mm,minver,Mix,49,4,1600000,0,1..3,7186,4117,9
imx8mm,minver,Mix,50,4,1600000,0,1..3,7981,4120,11
imx8mm,minver,Mix,51,4,1600000,0,1..3,7314,4122,12
imx8mm,minver,Mix,52,4,1600000,0,1..3,7613,4119,11
imx8mm,minver,Mix,53,4,1600000,0,1..3,11210,4118,9
imx8mm,minver,Mix,54,4,1600000,0,1..3,7244,4121,9
imx8mm,minver,Mix,55,4,1600000,0,1..3,6475,4120,10
imx8mm,minver,Mix,56,4,1600000,0,1..3,6494,4122,6
imx8mm,minver,Mix,57,4,1600000,0,1..3,6482,4119,7
imx8mm,minver,Mix,58,4,1600000,0,1..3,7721,4119,11
imx8mm,minver,Mix,59,4,1600000,0,1..3,7525,4119,11
imx8mm,minver,Mix,60,4,1600000,0,1..3,7262,4120,10
imx8mm,minver,Mix,61,4,1600000,0,1..3,6514,4120,8
imx8mm,minver,Mix,62,4,1600000,0,1..3,6560,4121,9
imx8mm,minver,Mix,63,4,1600000,0,1..3,6575,4123,7
imx8mm,minver,Mix,64,4,1600000,0,1..3,6487,4119,9
imx8mm,minver,Mix,65,4,1600000,0,1..3,7670,4118,8
imx8mm,minver,Mix,66,4,1600000,0,1..3,11935,4121,9
imx8mm,minver,Mix,67,4,1600000,0,1..3,7427,4117,8
imx8mm,minver,Mix,68,4,1600000,0,1..3,6490,4118,7
imx8mm,minver,Mix,69,4,1600000,0,1..3,6412,4116,7
imx8mm,minver,Mix,70,4,1600000,0,1..3,6438,4117,8
imx8mm,minver,Mix,71,4,1600000,0,1..3,7391,4118,9
imx8mm,minver,Mix,72,4,1600000,0,1..3,7682,4116,9
imx8mm,minver,Mix,73,4,1600000,0,1..3,7431,4117,6
imx8mm,minver,Mix,74,4,1600000,0,1..3,7215,4118,8
imx8mm,minver,Mix,75,4,1600000,0,1..3,6430,4119,9
imx8mm,minver,Mix,76,4,1600000,0,1..3,6500,4116,9
imx8mm,minver,Mix,77,4,1600000,0,1..3,6566,4118,8
imx8mm,minver,Mix,78,4,1600000,0,1..3,7092,4117,9
imx8mm,minver,Mix,79,4,1600000,0,1..3,7324,4117,7
imx8mm,minver,Mix,80,4,1600000,0,1..3,7735,4115,9
imx8mm,minver,Mix,81,4,1600000,0,1..3,7251,4114,8
imx8mm,minver,Mix,82,4,1600000,0,1..3,6443,4115,5
imx8mm,minver,Mix,83,4,1600000,0,1..3,6460,4117,7
imx8mm,minver,Mix,84,4,1600000,0,1..3,6507,4118,6
imx8mm,minver,Mix,85,4,1600000,0,1..3,7513,4120,9
imx8mm,minver,Mix,86,4,1600000,0,1..3,11880,4120,6
imx8mm,minver,Mix,87,4,1600000,0,1..3,7728,4118,11
imx8mm,minver,Mix,88,4,1600000,0,1..3,6508,4122,11
imx8mm,minver,Mix,89,4,1600000,0,1..3,7848,4121,9
imx8mm,minver,Mix,90,4,1600000,0,1..3,11530,4119,5
imx8mm,minver,Mix,91,4,1600000,0,1..3,6862,4121,8
imx8mm,minver,Mix,92,4,1600000,0,1..3,7524,4120,8
imx8mm,minver,Mix,93,4,1600000,0,1..3,6471,4120,8
imx8mm,minver,Mix,94,4,1600000,0,1..3,6477,4121,9
imx8mm,minver,Mix,95,4,1600000,0,1..3,6413,4118,10
imx8mm,minver,Mix,96,4,1600000,0,1..3,7220,4118,9
imx8mm,minver,Mix,97,4,1600000,0,1..3,7530,4116,8
imx8mm,minver,Mix,98,4,1600000,0,1..3,7349,4122,8
imx8mm,minver,Mix,99,4,1600000,0,1..3,8053,4119,7
imx8mm,minver,Mix,100,4,1600000,0,1..3,6498,4119,10
imx8mm,minver,Mix,101,4,1600000,0,1..3,6542,4119,8
imx8mm,minver,Mix,102,4,1600000,0,1..3,6528,4120,9
imx8mm,minver,Mix,103,4,1600000,0,1..3,9852,4120,15
imx8mm,minver,Mix,104,4,1600000,0,1..3,6548,4120,10
imx8mm,minver,Mix,105,4,1600000,0,1..3,6502,4122,7
imx8mm,minver,Mix,106,4,1600000,0,1..3,7605,4119,9
imx8mm,minver,Mix,107,4,1600000,0,1..3,7690,4120,7
imx8mm,minver,Mix,108,4,1600000,0,1..3,12294,4118,9
imx8mm,minver,Mix,109,4,1600000,0,1..3,7426,4117,7
imx8mm,minver,Mix,110,4,1600000,0,1..3,6433,4117,6
imx8mm,minver,Mix,111,4,1600000,0,1..3,6488,4120,9
imx8mm,minver,Mix,112,4,1600000,0,1..3,6429,4119,8
imx8mm,minver,Mix,113,4,1600000,0,1..3,7077,4119,10
imx8mm,minver,Mix,114,4,1600000,0,1..3,7383,4120,8
imx8mm,minver,Mix,115,4,1600000,0,1..3,12334,4121,5
imx8mm,minver,Mix,116,4,1600000,0,1..3,7634,4120,7
imx8mm,minver,Mix,117,4,1600000,0,1..3,6438,4119,5
imx8mm,minver,Mix,118,4,1600000,0,1..3,6524,4120,7
imx8mm,minver,Mix,119,4,1600000,0,1..3,6533,4119,10
imx8mm,minver,Mix,120,4,1600000,0,1..3,6508,4120,6
imx8mm,minver,Mix,121,4,1600000,0,1..3,7988,4117,9
imx8mm,minver,Mix,122,4,1600000,0,1..3,7301,4118,8
imx8mm,minver,Mix,123,4,1600000,0,1..3,7611,4120,6
imx8mm,minver,Mix,124,4,1600000,0,1..3,6694,4118,4
imx8mm,minver,Mix,125,4,1600000,0,1..3,6364,4118,9
imx8mm,minver,Mix,126,4,1600000,0,1..3,6422,4117,6
imx8mm,minver,Mix,127,4,1600000,0,1..3,6497,4116,9
imx8mm,minver,Mix,128,4,1600000,0,1..3,11787,4118,11
imx8mm,minver,Mix,129,4,1600000,0,1..3,7708,4119,9
imx8mm,minver,Mix,130,4,1600000,0,1..3,11475,4116,8
imx8mm,minver,Mix,131,4,1600000,0,1..3,7272,4117,10
imx8mm,minver,Mix,132,4,1600000,0,1..3,6423,4116,12
imx8mm,minver,Mix,133,4,1600000,0,1..3,6401,4119,7
imx8mm,minver,Mix,134,4,1600000,0,1..3,6430,4120,9
imx8mm,minver,Mix,135,4,1600000,0,1..3,7599,4120,8
imx8mm,minver,Mix,136,4,1600000,0,1..3,8853,4118,7
imx8mm,minver,Mix,137,4,1600000,0,1..3,12606,4117,10
imx8mm,minver,Mix,138,4,1600000,0,1..3,7048,4118,5
imx8mm,minver,Mix,139,4,1600000,0,1..3,6511,4120,12
imx8mm,minver,Mix,140,4,1600000,0,1..3,7760,4119,15
imx8mm,minver,Mix,141,4,1600000,0,1..3,7803,4118,12
imx8mm,minver,Mix,142,4,1600000,0,1..3,8611,4119,12
imx8mm,minver,Mix,143,4,1600000,0,1..3,6486,4117,9
imx8mm,minver,Mix,144,4,1600000,0,1..3,6489,4119,7
imx8mm,minver,Mix,145,4,1600000,0,1..3,6447,4118,11
imx8mm,minver,Mix,146,4,1600000,0,1..3,7752,4116,10
imx8mm,minver,Mix,147,4,1600000,0,1..3,7831,4117,8
imx8mm,minver,Mix,148,4,1600000,0,1..3,9086,4115,10
imx8mm,minver,Mix,149,4,1600000,0,1..3,7481,4116,8
imx8mm,minver,Mix,150,4,1600000,0,1..3,6576,4118,13
imx8mm,minver,Mix,151,4,1600000,0,1..3,6543,4119,10
imx8mm,minver,Mix,152,4,1600000,0,1..3,6454,4119,8
imx8mm,minver,Mix,153,4,1600000,0,1..3,7071,4116,9
imx8mm,minver,Mix,154,4,1600000,0,1..3,11122,4119,9
imx8mm,minver,Mix,155,4,1600000,0,1..3,7266,4118,10
imx8mm,minver,Mix,156,4,1600000,0,1..3,7191,4120,12
imx8mm,minver,Mix,157,4,1600000,0,1..3,7606,4121,7
imx8mm,minver,Mix,158,4,1600000,0,1..3,8132,4119,9
imx8mm,minver,Mix,159,4,1600000,0,1..3,12640,4118,12
imx8mm,minver,Mix,160,4,1600000,0,1..3,7282,4117,5
imx8mm,minver,Mix,161,4,1600000,0,1..3,6515,4118,9
imx8mm,minver,Mix,162,4,1600000,0,1..3,6445,4120,8
imx8mm,minver,Mix,163,4,1600000,0,1..3,6432,4118,11
imx8mm,minver,Mix,164,4,1600000,0,1..3,7053,4117,10
imx8mm,minver,Mix,165,4,1600000,0,1..3,6408,4116,9
imx8mm,minver,Mix,166,4,1600000,0,1..3,6471,4117,8
imx8mm,minver,Mix,167,4,1600000,0,1..3,6516,4117,7
imx8mm,minver,Mix,168,4,1600000,0,1..3,6490,4117,9
imx8mm,minver,Mix,169,4,1600000,0,1..3,6515,4122,8
imx8mm,minver,Mix,170,4,1600000,0,1..3,6464,4121,7
imx8mm,minver,Mix,171,4,1600000,0,1..3,6508,4120,10
imx8mm,minver,Mix,172,4,1600000,0,1..3,7491,4119,7
imx8mm,minver,Mix,173,4,1600000,0,1..3,7619,4119,9
imx8mm,minver,Mix,174,4,1600000,0,1..3,7310,4119,10
imx8mm,minver,Mix,175,4,1600000,0,1..3,6512,4119,9
imx8mm,minver,Mix,176,4,1600000,0,1..3,6914,4118,8
imx8mm,minver,Mix,177,4,1600000,0,1..3,6439,4118,8
imx8mm,minver,Mix,178,4,1600000,0,1..3,6519,4119,12
imx8mm,minver,Mix,179,4,1600000,0,1..3,6832,4118,7
imx8mm,minver,Mix,180,4,1600000,0,1..3,7672,4118,6
imx8mm,minver,Mix,181,4,1600000,0,1..3,7358,4119,8
imx8mm,minver,Mix,182,4,1600000,0,1..3,6997,4117,6
imx8mm,minver,Mix,183,4,1600000,0,1..3,6550,4117,7
imx8mm,minver,Mix,184,4,1600000,0,1..3,6513,4120,7
imx8mm,minver,Mix,185,4,1600000,0,1..3,7432,4116,6
imx8mm,minver,Mix,186,4,1600000,0,1..3,7251,4118,8
imx8mm,minver,Mix,187,4,1600000,0,1..3,7009,4118,8
imx8mm,minver,Mix,188,4,1600000,0,1..3,7694,4116,8
imx8mm,minver,Mix,189,4,1600000,0,1..3,6520,4116,7
imx8mm,minver,Mix,190,4,1600000,0,1..3,6529,4115,8
imx8mm,minver,Mix,191,4,1600000,0,1..3,6486,4117,5
imx8mm,minver,Mix,192,4,1600000,0,1..3,7519,4114,11
imx8mm,minver,Mix,193,4,1600000,0,1..3,6596,4116,11
imx8mm,minver,Mix,194,4,1600000,0,1..3,6591,4114,10
imx8mm,minver,Mix,195,4,1600000,0,1..3,6436,4114,7
imx8mm,minver,Mix,196,4,1600000,0,1..3,8161,4120,11
imx8mm,minver,Mix,197,4,1600000,0,1..3,7614,4117,11
imx8mm,minver,Mix,198,4,1600000,0,1..3,7850,4116,12
imx8mm,minver,Mix,199,4,1600000,0,1..3,6562,4116,10
imx8mm,minver,Mix,200,4,1600000,0,1..3,6448,4115,6
imx8mm,minver,Mix,201,4,1600000,0,1..3,6560,4115,9
imx8mm,minver,Mix,202,4,1600000,0,1..3,6501,4117,9
imx8mm,minver,Mix,203,4,1600000,0,1..3,7765,4117,9
imx8mm,minver,Mix,204,4,1600000,0,1..3,12729,4118,6
imx8mm,minver,Mix,205,4,1600000,0,1..3,7083,4119,8
imx8mm,minver,Mix,206,4,1600000,0,1..3,6476,4117,9
imx8mm,minver,Mix,207,4,1600000,0,1..3,6463,4117,8
imx8mm,minver,Mix,208,4,1600000,0,1..3,6585,4118,8
imx8mm,minver,Mix,209,4,1600000,0,1..3,6943,4119,6
imx8mm,minver,Mix,210,4,1600000,0,1..3,6536,4119,13
imx8mm,minver,Mix,211,4,1600000,0,1..3,6461,4118,9
imx8mm,minver,Mix,212,4,1600000,0,1..3,6494,4122,10
imx8mm,minver,Mix,213,4,1600000,0,1..3,6444,4116,7
imx8mm,minver,Mix,214,4,1600000,0,1..3,7721,4119,9
imx8mm,minver,Mix,215,4,1600000,0,1..3,12001,4118,7
imx8mm,minver,Mix,216,4,1600000,0,1..3,7185,4118,6
imx8mm,minver,Mix,217,4,1600000,0,1..3,6481,4116,7
imx8mm,minver,Mix,218,4,1600000,0,1..3,6471,4119,7
imx8mm,minver,Mix,219,4,1600000,0,1..3,6482,4118,6
imx8mm,minver,Mix,220,4,1600000,0,1..3,6500,4119,7
imx8mm,minver,Mix,221,4,1600000,0,1..3,7088,4116,7
imx8mm,minver,Mix,222,4,1600000,0,1..3,12603,4117,8
imx8mm,minver,Mix,223,4,1600000,0,1..3,7088,4119,8
imx8mm,minver,Mix,224,4,1600000,0,1..3,6429,4116,7
imx8mm,minver,Mix,225,4,1600000,0,1..3,6438,4116,5
imx8mm,minver,Mix,226,4,1600000,0,1..3,6501,4119,8
imx8mm,minver,Mix,227,4,1600000,0,1..3,6682,4118,8
imx8mm,minver,Mix,228,4,1600000,0,1..3,7595,4119,11
imx8mm,minver,Mix,229,4,1600000,0,1..3,7722,4119,10
imx8mm,minver,Mix,230,4,1600000,0,1..3,7586,4119,7
imx8mm,minver,Mix,231,4,1600000,0,1..3,6509,4120,8
imx8mm,minver,Mix,232,4,1600000,0,1..3,6540,4122,9
imx8mm,minver,Mix,233,4,1600000,0,1..3,6517,4120,8
imx8mm,minver,Mix,234,4,1600000,0,1..3,7253,4123,8
imx8mm,minver,Mix,235,4,1600000,0,1..3,51882,4122,42
imx8mm,minver,Mix,236,4,1600000,0,1..3,84139,4122,27
imx8mm,minver,Mix,237,4,1600000,0,1..3,25492,4126,16
imx8mm,minver,Mix,238,4,1600000,0,1..3,10361,4122,7
imx8mm,minver,Mix,239,4,1600000,0,1..3,6846,4123,6
imx8mm,minver,Mix,240,4,1600000,0,1..3,6973,4117,7
imx8mm,minver,Mix,241,4,1600000,0,1..3,6565,4119,7
imx8mm,minver,Mix,242,4,1600000,0,1..3,6531,4119,9
imx8mm,minver,Mix,243,4,1600000,0,1..3,7500,4120,8
imx8mm,minver,Mix,244,4,1600000,0,1..3,7539,4120,9
imx8mm,minver,Mix,245,4,1600000,0,1..3,7753,4123,8
imx8mm,minver,Mix,246,4,1600000,0,1..3,8675,4120,11
imx8mm,minver,Mix,247,4,1600000,0,1..3,7421,4117,12
imx8mm,minver,Mix,248,4,1600000,0,1..3,11664,4118,8
imx8mm,minver,Mix,249,4,1600000,0,1..3,7557,4118,11
imx8mm,minver,Mix,250,4,1600000,0,1..3,6484,4121,7
imx8mm,minver,Mix,251,4,1600000,0,1..3,6456,4119,12
imx8mm,minver,Mix,252,4,1600000,0,1..3,6506,4120,10
imx8mm,minver,Mix,253,4,1600000,0,1..3,7186,4120,12
imx8mm,minver,Mix,254,4,1600000,0,1..3,7279,4121,8
imx8mm,minver,Mix,255,4,1600000,0,1..3,6702,4119,5
imx8mm,minver,Mix,256,4,1600000,0,1..3,6802,4119,8
imx8mm,minver,Mix,257,4,1600000,0,1..3,6529,4120,11
imx8mm,minver,Mix,258,4,1600000,0,1..3,6557,4122,7
imx8mm,minver,Mix,259,4,1600000,0,1..3,6549,4123,7
imx8mm,minver,Mix,260,4,1600000,0,1..3,7202,4121,10
imx8mm,minver,Mix,261,4,1600000,0,1..3,8526,4118,9
imx8mm,minver,Mix,262,4,1600000,0,1..3,7541,4118,13
imx8mm,minver,Mix,263,4,1600000,0,1..3,6508,4118,13
imx8mm,minver,Mix,264,4,1600000,0,1..3,7197,4119,12
imx8mm,minver,Mix,265,4,1600000,0,1..3,7756,4120,11
imx8mm,minver,Mix,266,4,1600000,0,1..3,7887,4118,7
imx8mm,minver,Mix,267,4,1600000,0,1..3,7356,4117,10
imx8mm,minver,Mix,268,4,1600000,0,1..3,6550,4118,8
imx8mm,minver,Mix,269,4,1600000,0,1..3,6495,4118,8
imx8mm,minver,Mix,270,4,1600000,0,1..3,6476,4121,10
imx8mm,minver,Mix,271,4,1600000,0,1..3,11832,4119,8
imx8mm,minver,Mix,272,4,1600000,0,1..3,7821,4117,8
imx8mm,minver,Mix,273,4,1600000,0,1..3,10211,4121,17
imx8mm,minver,Mix,274,4,1600000,0,1..3,6606,4120,7
imx8mm,minver,Mix,275,4,1600000,0,1..3,6608,4118,10
imx8mm,minver,Mix,276,4,1600000,0,1..3,6542,4119,9
imx8mm,minver,Mix,277,4,1600000,0,1..3,7930,4117,9
imx8mm,minver,Mix,278,4,1600000,0,1..3,8160,4117,10
imx8mm,minver,Mix,279,4,1600000,0,1..3,7427,4118,9
imx8mm,minver,Mix,280,4,1600000,0,1..3,6530,4116,8
imx8mm,minver,Mix,281,4,1600000,0,1..3,6525,4117,10
imx8mm,minver,Mix,282,4,1600000,0,1..3,6447,4115,10
imx8mm,minver,Mix,283,4,1600000,0,1..3,6543,4118,10
imx8mm,minver,Mix,284,4,1600000,0,1..3,7168,4118,11
imx8mm,minver,Mix,285,4,1600000,0,1..3,7387,4119,10
imx8mm,minver,Mix,286,4,1600000,0,1..3,7939,4119,11
imx8mm,minver,Mix,287,4,1600000,0,1..3,6474,4119,11
imx8mm,minver,Mix,288,4,1600000,0,1..3,6438,4119,9
imx8mm,minver,Mix,289,4,1600000,0,1..3,6493,4120,10
imx8mm,minver,Mix,290,4,1600000,0,1..3,6411,4118,8
imx8mm,minver,Mix,291,4,1600000,0,1..3,7372,4118,10
imx8mm,minver,Mix,292,4,1600000,0,1..3,7983,4118,11
imx8mm,minver,Mix,293,4,1600000,0,1..3,7500,4118,11
imx8mm,minver,Mix,294,4,1600000,0,1..3,6517,4117,9
imx8mm,minver,Mix,295,4,1600000,0,1..3,6476,4117,10
imx8mm,minver,Mix,296,4,1600000,0,1..3,6484,4117,9
imx8mm,minver,Mix,297,4,1600000,0,1..3,6668,4117,10
imx8mm,minver,Mix,298,4,1600000,0,1..3,7826,4116,8
imx8mm,minver,Mix,299,4,1600000,0,1..3,6624,4119,13
imx8mm,minver,Mix,300,4,1600000,0,1..3,6511,4119,8
imx8mm,minver,Mix,301,4,1600000,0,1..3,7218,4118,7
imx8mm,minver,Mix,302,4,1600000,0,1..3,7597,4117,10
imx8mm,minver,Mix,303,4,1600000,0,1..3,7381,4122,9
imx8mm,minver,Mix,304,4,1600000,0,1..3,8095,4120,8
imx8mm,minver,Mix,305,4,1600000,0,1..3,6477,4119,7
imx8mm,minver,Mix,306,4,1600000,0,1..3,6481,4120,6
imx8mm,minver,Mix,307,4,1600000,0,1..3,6525,4119,10
imx8mm,minver,Mix,308,4,1600000,0,1..3,6522,4118,9
imx8mm,minver,Mix,309,4,1600000,0,1..3,12864,4119,8
imx8mm,minver,Mix,310,4,1600000,0,1..3,7576,4117,5
imx8mm,minver,Mix,311,4,1600000,0,1..3,7232,4115,10
imx8mm,minver,Mix,312,4,1600000,0,1..3,6380,4117,7
imx8mm,minver,Mix,313,4,1600000,0,1..3,6480,4117,8
imx8mm,minver,Mix,314,4,1600000,0,1..3,6451,4117,8
imx8mm,minver,Mix,315,4,1600000,0,1..3,7999,4117,12
imx8mm,minver,Mix,316,4,1600000,0,1..3,6985,4121,8
imx8mm,minver,Mix,317,4,1600000,0,1..3,6525,4120,9
imx8mm,minver,Mix,318,4,1600000,0,1..3,6507,4118,9
imx8mm,minver,Mix,319,4,1600000,0,1..3,6436,4123,7
imx8mm,minver,Mix,320,4,1600000,0,1..3,7662,4121,12
imx8mm,minver,Mix,321,4,1600000,0,1..3,7072,4120,10
imx8mm,minver,Mix,322,4,1600000,0,1..3,11162,4123,8
imx8mm,minver,Mix,323,4,1600000,0,1..3,6483,4122,8
imx8mm,minver,Mix,324,4,1600000,0,1..3,6734,4120,9
imx8mm,minver,Mix,325,4,1600000,0,1..3,6604,4121,11
imx8mm,minver,Mix,326,4,1600000,0,1..3,7469,4123,8
imx8mm,minver,Mix,327,4,1600000,0,1..3,13230,4121,9
imx8mm,minver,Mix,328,4,1600000,0,1..3,7215,4121,8
imx8mm,minver,Mix,329,4,1600000,0,1..3,7223,4118,9
imx8mm,minver,Mix,330,4,1600000,0,1..3,7229,4119,9
imx8mm,minver,Mix,331,4,1600000,0,1..3,6592,4119,8
imx8mm,minver,Mix,332,4,1600000,0,1..3,6565,4120,7
imx8mm,minver,Mix,333,4,1600000,0,1..3,7572,4122,7
imx8mm,minver,Mix,334,4,1600000,0,1..3,8144,4120,9
imx8mm,minver,Mix,335,4,1600000,0,1..3,7767,4120,10
imx8mm,minver,Mix,336,4,1600000,0,1..3,7973,4124,9
imx8mm,minver,Mix,337,4,1600000,0,1..3,6504,4123,9
imx8mm,minver,Mix,338,4,1600000,0,1..3,6514,4123,7
imx8mm,minver,Mix,339,4,1600000,0,1..3,6428,4122,7
imx8mm,minver,Mix,340,4,1600000,0,1..3,7315,4122,10
imx8mm,minver,Mix,341,4,1600000,0,1..3,7395,4122,8
imx8mm,minver,Mix,342,4,1600000,0,1..3,7454,4123,8
imx8mm,minver,Mix,343,4,1600000,0,1..3,7435,4123,7
imx8mm,minver,Mix,344,4,1600000,0,1..3,6552,4123,7
imx8mm,minver,Mix,345,4,1600000,0,1..3,6549,4122,8
imx8mm,minver,Mix,346,4,1600000,0,1..3,6505,4124,8
imx8mm,minver,Mix,347,4,1600000,0,1..3,7014,4119,7
imx8mm,minver,Mix,348,4,1600000,0,1..3,12301,4119,7
imx8mm,minver,Mix,349,4,1600000,0,1..3,7366,4122,6
imx8mm,minver,Mix,350,4,1600000,0,1..3,8098,4121,9
imx8mm,minver,Mix,351,4,1600000,0,1..3,6450,4120,6
imx8mm,minver,Mix,352,4,1600000,0,1..3,14997,4122,11
imx8mm,minver,Mix,353,4,1600000,0,1..3,12718,4122,9
imx8mm,minver,Mix,354,4,1600000,0,1..3,7303,4120,8
imx8mm,minver,Mix,355,4,1600000,0,1..3,6406,4119,10
imx8mm,minver,Mix,356,4,1600000,0,1..3,6501,4122,7
imx8mm,minver,Mix,357,4,1600000,0,1..3,6488,4119,8
imx8mm,minver,Mix,358,4,1600000,0,1..3,7046,4119,6
imx8mm,minver,Mix,359,4,1600000,0,1..3,7382,4121,10
imx8mm,minver,Mix,360,4,1600000,0,1..3,10180,4117,7
imx8mm,minver,Mix,361,4,1600000,0,1..3,7209,4117,6
imx8mm,minver,Mix,362,4,1600000,0,1..3,6471,4120,6
imx8mm,minver,Mix,363,4,1600000,0,1..3,6480,4119,7
imx8mm,minver,Mix,364,4,1600000,0,1..3,6517,4120,8
imx8mm,minver,Mix,365,4,1600000,0,1..3,7348,4121,4
imx8mm,minver,Mix,366,4,1600000,0,1..3,7294,4121,3
imx8mm,minver,Mix,367,4,1600000,0,1..3,7775,4119,8
imx8mm,minver,Mix,368,4,1600000,0,1..3,6543,4118,11
imx8mm,minver,Mix,369,4,1600000,0,1..3,14139,4121,18
imx8mm,minver,Mix,370,4,1600000,0,1..3,8121,4121,10
