board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,ndes,LLC,0,4,1600000,0,1..3,134806,83518,80
imx8mm,ndes,LLC,1,4,1600000,0,1..3,110039,83052,53
imx8mm,ndes,LLC,2,4,1600000,0,1..3,105348,83049,45
imx8mm,ndes,LLC,3,4,1600000,0,1..3,105403,83050,34
imx8mm,ndes,LLC,4,4,1600000,0,1..3,105424,83050,31
imx8mm,ndes,LLC,5,4,1600000,0,1..3,105601,83050,35
imx8mm,ndes,LLC,6,4,1600000,0,1..3,105711,83052,26
imx8mm,ndes,LLC,7,4,1600000,0,1..3,105739,83052,30
imx8mm,ndes,LLC,8,4,1600000,0,1..3,105698,83050,31
imx8mm,ndes,LLC,9,4,1600000,0,1..3,105309,83051,34
imx8mm,ndes,LLC,10,4,1600000,0,1..3,105699,83051,30
imx8mm,ndes,LLC,11,4,1600000,0,1..3,105235,83051,29
imx8mm,ndes,LLC,12,4,1600000,0,1..3,105421,83051,26
imx8mm,ndes,LLC,13,4,1600000,0,1..3,105268,83052,31
imx8mm,ndes,LLC,14,4,1600000,0,1..3,105285,83051,28
imx8mm,ndes,LLC,15,4,1600000,0,1..3,105114,83050,34
imx8mm,ndes,LLC,16,4,1600000,0,1..3,105209,83050,32
imx8mm,ndes,LLC,17,4,1600000,0,1..3,105227,83051,31
imx8mm,ndes,LLC,18,4,1600000,0,1..3,105486,83051,29
imx8mm,ndes,LLC,19,4,1600000,0,1..3,105184,83051,28
imx8mm,ndes,LLC,20,4,1600000,0,1..3,105256,83049,39
imx8mm,ndes,LLC,21,4,1600000,0,1..3,105299,83051,26
imx8mm,ndes,LLC,22,4,1600000,0,1..3,105248,83050,29
imx8mm,ndes,LLC,23,4,1600000,0,1..3,105530,83051,37
imx8mm,ndes,LLC,24,4,1600000,0,1..3,105304,83049,35
imx8mm,ndes,LLC,25,4,1600000,0,1..3,105349,83049,32
imx8mm,ndes,LLC,26,4,1600000,0,1..3,105382,83049,31
imx8mm,ndes,LLC,27,4,1600000,0,1..3,105464,83050,32
imx8mm,ndes,LLC,28,4,1600000,0,1..3,105352,83050,35
imx8mm,ndes,LLC,29,4,1600000,0,1..3,105494,83050,34
imx8mm,ndes,LLC,30,4,1600000,0,1..3,105585,83051,33
imx8mm,ndes,LLC,31,4,1600000,0,1..3,105559,83049,43
imx8mm,ndes,LLC,32,4,1600000,0,1..3,105383,83051,34
imx8mm,ndes,LLC,33,4,1600000,0,1..3,105239,83049,30
imx8mm,ndes,LLC,34,4,1600000,0,1..3,105255,83050,29
imx8mm,ndes,LLC,35,4,1600000,0,1..3,105579,83052,29
imx8mm,ndes,LLC,36,4,1600000,0,1..3,105536,83050,27
imx8mm,ndes,LLC,37,4,1600000,0,1..3,107084,83053,41
imx8mm,ndes,LLC,38,4,1600000,0,1..3,105278,83051,33
imx8mm,ndes,LLC,39,4,1600000,0,1..3,105397,83051,31
imx8mm,ndes,LLC,40,4,1600000,0,1..3,105110,83049,29
imx8mm,ndes,LLC,41,4,1600000,0,1..3,105375,83051,34
imx8mm,ndes,LLC,42,4,1600000,0,1..3,105183,83050,34
imx8mm,ndes,LLC,43,4,1600000,0,1..3,105280,83051,23
imx8mm,ndes,LLC,44,4,1600000,0,1..3,105398,83051,39
imx8mm,ndes,LLC,45,4,1600000,0,1..3,105257,83052,34
imx8mm,ndes,LLC,46,4,1600000,0,1..3,105341,83052,30
imx8mm,ndes,LLC,47,4,1600000,0,1..3,105353,83051,29
imx8mm,ndes,LLC,48,4,1600000,0,1..3,105292,83051,29
imx8mm,ndes,LLC,49,4,1600000,0,1..3,106683,83050,38
imx8mm,ndes,LLC,50,4,1600000,0,1..3,105439,83053,33
imx8mm,ndes,LLC,51,4,1600000,0,1..3,105312,83051,28
imx8mm,ndes,LLC,52,4,1600000,0,1..3,105359,83050,33
imx8mm,ndes,LLC,53,4,1600000,0,1..3,105691,83050,36
imx8mm,ndes,LLC,54,4,1600000,0,1..3,105258,83051,35
imx8mm,ndes,LLC,55,4,1600000,0,1..3,105231,83050,30
