board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,petrinet,BUS+MEM,0,4,1600000,0,1..3,80237,2179,17
imx8mm,petrinet,BUS+MEM,1,4,1600000,0,1..3,121244,2175,15
imx8mm,petrinet,BUS+MEM,2,4,1600000,0,1..3,101734,2173,15
imx8mm,petrinet,BUS+MEM,3,4,1600000,0,1..3,23899,2174,12
imx8mm,petrinet,BUS+MEM,4,4,1600000,0,1..3,10184,2174,10
imx8mm,petrinet,BUS+MEM,5,4,1600000,0,1..3,9242,2174,12
imx8mm,petrinet,BUS+MEM,6,4,1600000,0,1..3,9230,2173,12
imx8mm,petrinet,BUS+MEM,7,4,1600000,0,1..3,3846,2174,10
imx8mm,petrinet,BUS+MEM,8,4,1600000,0,1..3,6359,2174,14
imx8mm,petrinet,BUS+MEM,9,4,1600000,0,1..3,3743,2174,11
imx8mm,petrinet,BUS+MEM,10,4,1600000,0,1..3,6515,2174,11
imx8mm,petrinet,BUS+MEM,11,4,1600000,0,1..3,10135,2174,14
imx8mm,petrinet,BUS+MEM,12,4,1600000,0,1..3,5983,2174,11
imx8mm,petrinet,BUS+MEM,13,4,1600000,0,1..3,7643,2174,9
imx8mm,petrinet,BUS+MEM,14,4,1600000,0,1..3,3771,2174,13
imx8mm,petrinet,BUS+MEM,15,4,1600000,0,1..3,3662,2175,10
imx8mm,petrinet,BUS+MEM,16,4,1600000,0,1..3,3858,2174,9
imx8mm,petrinet,BUS+MEM,17,4,1600000,0,1..3,5062,2175,11
imx8mm,petrinet,BUS+MEM,18,4,1600000,0,1..3,5981,2174,12
imx8mm,petrinet,BUS+MEM,19,4,1600000,0,1..3,6511,2174,11
imx8mm,petrinet,BUS+MEM,20,4,1600000,0,1..3,6613,2174,12
imx8mm,petrinet,BUS+MEM,21,4,1600000,0,1..3,3664,2174,9
imx8mm,petrinet,BUS+MEM,22,4,1600000,0,1..3,3758,2174,10
imx8mm,petrinet,BUS+MEM,23,4,1600000,0,1..3,6757,2174,8
imx8mm,petrinet,BUS+MEM,24,4,1600000,0,1..3,12528,2174,10
imx8mm,petrinet,BUS+MEM,25,4,1600000,0,1..3,8622,2174,10
imx8mm,petrinet,BUS+MEM,26,4,1600000,0,1..3,8367,2174,12
imx8mm,petrinet,BUS+MEM,27,4,1600000,0,1..3,6184,2174,11
imx8mm,petrinet,BUS+MEM,28,4,1600000,0,1..3,3754,2174,12
imx8mm,petrinet,BUS+MEM,29,4,1600000,0,1..3,3732,2174,13
imx8mm,petrinet,BUS+MEM,30,4,1600000,0,1..3,6118,2174,13
imx8mm,petrinet,BUS+MEM,31,4,1600000,0,1..3,7599,2174,11
imx8mm,petrinet,BUS+MEM,32,4,1600000,0,1..3,7397,2174,12
imx8mm,petrinet,BUS+MEM,33,4,1600000,0,1..3,7759,2174,10
imx8mm,petrinet,BUS+MEM,34,4,1600000,0,1..3,6551,2174,12
imx8mm,petrinet,BUS+MEM,35,4,1600000,0,1..3,3667,2174,10
imx8mm,petrinet,BUS+MEM,36,4,1600000,0,1..3,3679,2174,11
imx8mm,petrinet,BUS+MEM,37,4,1600000,0,1..3,3660,2174,12
imx8mm,petrinet,BUS+MEM,38,4,1600000,0,1..3,6871,2174,12
imx8mm,petrinet,BUS+MEM,39,4,1600000,0,1..3,6559,2174,14
imx8mm,petrinet,BUS+MEM,40,4,1600000,0,1..3,5116,2174,12
imx8mm,petrinet,BUS+MEM,41,4,1600000,0,1..3,6384,2174,12
imx8mm,petrinet,BUS+MEM,42,4,1600000,0,1..3,3693,2174,12
imx8mm,petrinet,BUS+MEM,43,4,1600000,0,1..3,3742,2174,11
imx8mm,petrinet,BUS+MEM,44,4,1600000,0,1..3,12610,2175,15
imx8mm,petrinet,BUS+MEM,45,4,1600000,0,1..3,7866,2175,12
imx8mm,petrinet,BUS+MEM,46,4,1600000,0,1..3,3720,2174,13
imx8mm,petrinet,BUS+MEM,47,4,1600000,0,1..3,3762,2174,15
imx8mm,petrinet,BUS+MEM,48,4,1600000,0,1..3,23438,2174,12
imx8mm,petrinet,BUS+MEM,49,4,1600000,0,1..3,4313,2174,14
imx8mm,petrinet,BUS+MEM,50,4,1600000,0,1..3,3806,2174,11
imx8mm,petrinet,BUS+MEM,51,4,1600000,0,1..3,10848,2174,13
imx8mm,petrinet,BUS+MEM,52,4,1600000,0,1..3,6650,2174,12
