board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,pm,LLC+BUS,0,4,1600000,0,1..3,21652389,15216412,181
imx8mm,pm,LLC+BUS,1,4,1600000,0,1..3,21554678,15217922,131
imx8mm,pm,LLC+BUS,2,4,1600000,0,1..3,21501458,15217907,109
imx8mm,pm,LLC+BUS,3,4,1600000,0,1..3,21796464,15217923,146
imx8mm,pm,LLC+BUS,4,4,1600000,0,1..3,21533960,15217534,135
imx8mm,pm,LLC+BUS,5,4,1600000,0,1..3,21459083,15217528,94
imx8mm,pm,LLC+BUS,6,4,1600000,0,1..3,21523524,15217535,109
imx8mm,pm,LLC+BUS,7,4,1600000,0,1..3,21466677,15217530,103
imx8mm,pm,LLC+BUS,8,4,1600000,0,1..3,21520066,15217561,120
imx8mm,pm,LLC+BUS,9,4,1600000,0,1..3,21474883,15217627,119
imx8mm,pm,LLC+BUS,10,4,1600000,0,1..3,21646501,15217586,95
imx8mm,pm,LLC+BUS,11,4,1600000,0,1..3,21541449,15217511,119
imx8mm,pm,LLC+BUS,12,4,1600000,0,1..3,21511058,15217571,84
imx8mm,pm,LLC+BUS,13,4,1600000,0,1..3,21472458,15217547,86
imx8mm,pm,LLC+BUS,14,4,1600000,0,1..3,21498488,15217497,94
imx8mm,pm,LLC+BUS,15,4,1600000,0,1..3,21804400,15217634,121
imx8mm,pm,LLC+BUS,16,4,1600000,0,1..3,21524651,15217634,126
imx8mm,pm,LLC+BUS,17,4,1600000,0,1..3,21506748,15217513,100
imx8mm,pm,LLC+BUS,18,4,1600000,0,1..3,21488927,15217560,77
imx8mm,pm,LLC+BUS,19,4,1600000,0,1..3,21484279,15217524,131
imx8mm,pm,LLC+BUS,20,4,1600000,0,1..3,21432967,15217533,147
imx8mm,pm,LLC+BUS,21,4,1600000,0,1..3,21507323,15217559,94
imx8mm,pm,LLC+BUS,22,4,1600000,0,1..3,21448328,15217513,131
imx8mm,pm,LLC+BUS,23,4,1600000,0,1..3,21796046,15217660,95
imx8mm,pm,LLC+BUS,24,4,1600000,0,1..3,21524935,15217648,119
imx8mm,pm,LLC+BUS,25,4,1600000,0,1..3,21653142,15217581,102
imx8mm,pm,LLC+BUS,26,4,1600000,0,1..3,21507984,15217506,110
imx8mm,pm,LLC+BUS,27,4,1600000,0,1..3,21736366,15217588,137
imx8mm,pm,LLC+BUS,28,4,1600000,0,1..3,21510804,15217627,98
imx8mm,pm,LLC+BUS,29,4,1600000,0,1..3,21469793,15217574,96
imx8mm,pm,LLC+BUS,30,4,1600000,0,1..3,21485127,15217637,94
imx8mm,pm,LLC+BUS,31,4,1600000,0,1..3,21490493,15217597,108
imx8mm,pm,LLC+BUS,32,4,1600000,0,1..3,21570670,15217590,115
imx8mm,pm,LLC+BUS,33,4,1600000,0,1..3,21501709,15217576,90
imx8mm,pm,LLC+BUS,34,4,1600000,0,1..3,21503671,15217618,96
imx8mm,pm,LLC+BUS,35,4,1600000,0,1..3,22020550,15217651,143
imx8mm,pm,LLC+BUS,36,4,1600000,0,1..3,21539695,15217576,126
imx8mm,pm,LLC+BUS,37,4,1600000,0,1..3,21466856,15217503,69
imx8mm,pm,LLC+BUS,38,4,1600000,0,1..3,21559170,15217670,118
imx8mm,pm,LLC+BUS,39,4,1600000,0,1..3,21760263,15217536,125
imx8mm,pm,LLC+BUS,40,4,1600000,0,1..3,21528545,15217521,137
imx8mm,pm,LLC+BUS,41,4,1600000,0,1..3,21493450,15217499,96
imx8mm,pm,LLC+BUS,42,4,1600000,0,1..3,21474004,15217650,94
imx8mm,pm,LLC+BUS,43,4,1600000,0,1..3,21532309,15217547,101
imx8mm,pm,LLC+BUS,44,4,1600000,0,1..3,21484117,15217648,82
imx8mm,pm,LLC+BUS,45,4,1600000,0,1..3,21597403,15217603,105
imx8mm,pm,LLC+BUS,46,4,1600000,0,1..3,21551191,15217528,134
imx8mm,pm,LLC+BUS,47,4,1600000,0,1..3,21561566,15217550,105
imx8mm,pm,LLC+BUS,48,4,1600000,0,1..3,21448636,15217650,84
imx8mm,pm,LLC+BUS,49,4,1600000,0,1..3,21547210,15217535,126
imx8mm,pm,LLC+BUS,50,4,1600000,0,1..3,21869591,15217509,133
imx8mm,pm,LLC+BUS,51,4,1600000,0,1..3,21504680,15217621,90
imx8mm,pm,LLC+BUS,52,4,1600000,0,1..3,21560940,15217549,148
imx8mm,pm,LLC+BUS,53,4,1600000,0,1..3,21595586,15217634,106
imx8mm,pm,LLC+BUS,54,4,1600000,0,1..3,21729149,15217610,105
imx8mm,pm,LLC+BUS,55,4,1600000,0,1..3,21454602,15217588,121
imx8mm,pm,LLC+BUS,56,4,1600000,0,1..3,21560520,15217545,127
imx8mm,pm,LLC+BUS,57,4,1600000,0,1..3,21438262,15217574,96
imx8mm,pm,LLC+BUS,58,4,1600000,0,1..3,21699800,15217648,106
imx8mm,pm,LLC+BUS,59,4,1600000,0,1..3,21542607,15217659,133
imx8mm,pm,LLC+BUS,60,4,1600000,0,1..3,21454213,15217646,118
imx8mm,pm,LLC+BUS,61,4,1600000,0,1..3,21408704,15217636,75
imx8mm,pm,LLC+BUS,62,4,1600000,0,1..3,21550664,15217613,115
imx8mm,pm,LLC+BUS,63,4,1600000,0,1..3,21709410,15217505,128
imx8mm,pm,LLC+BUS,64,4,1600000,0,1..3,21849732,15217590,126
imx8mm,pm,LLC+BUS,65,4,1600000,0,1..3,21470977,15217593,122
imx8mm,pm,LLC+BUS,66,4,1600000,0,1..3,21534951,15217630,76
imx8mm,pm,LLC+BUS,67,4,1600000,0,1..3,21779871,15217563,100
imx8mm,pm,LLC+BUS,68,4,1600000,0,1..3,21703373,15217661,159
imx8mm,pm,LLC+BUS,69,4,1600000,0,1..3,21531792,15217676,105
imx8mm,pm,LLC+BUS,70,4,1600000,0,1..3,22069891,15217521,168
imx8mm,pm,LLC+BUS,71,4,1600000,0,1..3,21766894,15217540,142
imx8mm,pm,LLC+BUS,72,4,1600000,0,1..3,21527436,15217651,142
imx8mm,pm,LLC+BUS,73,4,1600000,0,1..3,21722971,15217645,115
imx8mm,pm,LLC+BUS,74,4,1600000,0,1..3,21478696,15217558,81
imx8mm,pm,LLC+BUS,75,4,1600000,0,1..3,21687556,15217648,76
imx8mm,pm,LLC+BUS,76,4,1600000,0,1..3,21464755,15217573,78
imx8mm,pm,LLC+BUS,77,4,1600000,0,1..3,21582590,15217657,126
imx8mm,pm,LLC+BUS,78,4,1600000,0,1..3,21601671,15217632,129
imx8mm,pm,LLC+BUS,79,4,1600000,0,1..3,21443152,15217499,90
imx8mm,pm,LLC+BUS,80,4,1600000,0,1..3,21474410,15217626,131
imx8mm,pm,LLC+BUS,81,4,1600000,0,1..3,21489270,15217635,83
imx8mm,pm,LLC+BUS,82,4,1600000,0,1..3,21511451,15217652,125
imx8mm,pm,LLC+BUS,83,4,1600000,0,1..3,21465982,15217498,88
imx8mm,pm,LLC+BUS,84,4,1600000,0,1..3,21439747,15217595,91
imx8mm,pm,LLC+BUS,85,4,1600000,0,1..3,21516524,15217593,100
imx8mm,pm,LLC+BUS,86,4,1600000,0,1..3,21646157,15217640,114
imx8mm,pm,LLC+BUS,87,4,1600000,0,1..3,21528108,15217645,106
imx8mm,pm,LLC+BUS,88,4,1600000,0,1..3,21573117,15217644,142
imx8mm,pm,LLC+BUS,89,4,1600000,0,1..3,21489602,15217653,95
imx8mm,pm,LLC+BUS,90,4,1600000,0,1..3,21545284,15217630,77
imx8mm,pm,LLC+BUS,91,4,1600000,0,1..3,21503930,15217521,116
imx8mm,pm,LLC+BUS,92,4,1600000,0,1..3,21448248,15217506,82
imx8mm,pm,LLC+BUS,93,4,1600000,0,1..3,21500965,15217501,78
imx8mm,pm,LLC+BUS,94,4,1600000,0,1..3,21504471,15217593,89
imx8mm,pm,LLC+BUS,95,4,1600000,0,1..3,21413551,15217522,98
imx8mm,pm,LLC+BUS,96,4,1600000,0,1..3,21457959,15217631,64
imx8mm,pm,LLC+BUS,97,4,1600000,0,1..3,21765465,15217580,177
imx8mm,pm,LLC+BUS,98,4,1600000,0,1..3,21714589,15217551,93
imx8mm,pm,LLC+BUS,99,4,1600000,0,1..3,21517657,15217641,97
imx8mm,pm,LLC+BUS,100,4,1600000,0,1..3,21510313,15217643,132
imx8mm,pm,LLC+BUS,101,4,1600000,0,1..3,21520509,15217651,116
imx8mm,pm,LLC+BUS,102,4,1600000,0,1..3,21704485,15217487,106
imx8mm,pm,LLC+BUS,103,4,1600000,0,1..3,21519002,15217637,132
imx8mm,pm,LLC+BUS,104,4,1600000,0,1..3,21518828,15217630,102
imx8mm,pm,LLC+BUS,105,4,1600000,0,1..3,21576821,15217655,91
imx8mm,pm,LLC+BUS,106,4,1600000,0,1..3,21571907,15217668,160
imx8mm,pm,LLC+BUS,107,4,1600000,0,1..3,21416377,15217639,89
imx8mm,pm,LLC+BUS,108,4,1600000,0,1..3,21530541,15217630,70
imx8mm,pm,LLC+BUS,109,4,1600000,0,1..3,21671125,15217625,95
imx8mm,pm,LLC+BUS,110,4,1600000,0,1..3,21571023,15217545,101
imx8mm,pm,LLC+BUS,111,4,1600000,0,1..3,21503809,15217582,108
imx8mm,pm,LLC+BUS,112,4,1600000,0,1..3,21565510,15217531,100
imx8mm,pm,LLC+BUS,113,4,1600000,0,1..3,21481994,15217582,77
imx8mm,pm,LLC+BUS,114,4,1600000,0,1..3,21483275,15217577,79
imx8mm,pm,LLC+BUS,115,4,1600000,0,1..3,21424915,15217584,86
imx8mm,pm,LLC+BUS,116,4,1600000,0,1..3,21445706,15217507,103
