board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,powerwindow,BUS,0,4,1600000,0,1..3,3528481,2297673,611
imx8mm,powerwindow,BUS,1,4,1600000,0,1..3,4100675,2297636,590
imx8mm,powerwindow,BUS,2,4,1600000,0,1..3,3414457,2297649,480
imx8mm,powerwindow,BUS,3,4,1600000,0,1..3,3308821,2297631,491
imx8mm,powerwindow,BUS,4,4,1600000,0,1..3,3361270,2297632,520
imx8mm,powerwindow,BUS,5,4,1600000,0,1..3,3377951,2297627,518
imx8mm,powerwindow,BUS,6,4,1600000,0,1..3,4007444,2297637,554
imx8mm,powerwindow,BUS,7,4,1600000,0,1..3,3361492,2297621,515
imx8mm,powerwindow,BUS,8,4,1600000,0,1..3,3271738,2297635,489
imx8mm,powerwindow,BUS,9,4,1600000,0,1..3,3391057,2297630,546
imx8mm,powerwindow,BUS,10,4,1600000,0,1..3,3458730,2297650,579
imx8mm,powerwindow,BUS,11,4,1600000,0,1..3,3741274,2297642,521
imx8mm,powerwindow,BUS,12,4,1600000,0,1..3,3442534,2297626,523
imx8mm,powerwindow,BUS,13,4,1600000,0,1..3,3348753,2297629,516
imx8mm,powerwindow,BUS,14,4,1600000,0,1..3,3410663,2297638,511
imx8mm,powerwindow,BUS,15,4,1600000,0,1..3,3342203,2297623,472
imx8mm,powerwindow,BUS,16,4,1600000,0,1..3,3933521,2297640,507
imx8mm,powerwindow,BUS,17,4,1600000,0,1..3,3450176,2297633,519
imx8mm,powerwindow,BUS,18,4,1600000,0,1..3,3356924,2297632,478
imx8mm,powerwindow,BUS,19,4,1600000,0,1..3,3320800,2297629,530
imx8mm,powerwindow,BUS,20,4,1600000,0,1..3,3412359,2297645,522
imx8mm,powerwindow,BUS,21,4,1600000,0,1..3,4337855,2297628,613
imx8mm,powerwindow,BUS,22,4,1600000,0,1..3,3375472,2297614,571
imx8mm,powerwindow,BUS,23,4,1600000,0,1..3,3468827,2297640,577
imx8mm,powerwindow,BUS,24,4,1600000,0,1..3,3417507,2297620,512
imx8mm,powerwindow,BUS,25,4,1600000,0,1..3,3365666,2297633,523
imx8mm,powerwindow,BUS,26,4,1600000,0,1..3,3389669,2297626,538
imx8mm,powerwindow,BUS,27,4,1600000,0,1..3,3341198,2297625,522
imx8mm,powerwindow,BUS,28,4,1600000,0,1..3,3359842,2297630,531
imx8mm,powerwindow,BUS,29,4,1600000,0,1..3,3348724,2297625,493
imx8mm,powerwindow,BUS,30,4,1600000,0,1..3,3357153,2297640,532
imx8mm,powerwindow,BUS,31,4,1600000,0,1..3,3371294,2297630,562
imx8mm,powerwindow,BUS,32,4,1600000,0,1..3,3364819,2297611,520
imx8mm,powerwindow,BUS,33,4,1600000,0,1..3,3470499,2297637,545
imx8mm,powerwindow,BUS,34,4,1600000,0,1..3,3434391,2297630,507
imx8mm,powerwindow,BUS,35,4,1600000,0,1..3,3430180,2297628,518
imx8mm,powerwindow,BUS,36,4,1600000,0,1..3,3468056,2297638,554
imx8mm,powerwindow,BUS,37,4,1600000,0,1..3,3549323,2297633,604
imx8mm,powerwindow,BUS,38,4,1600000,0,1..3,3435899,2297628,513
imx8mm,powerwindow,BUS,39,4,1600000,0,1..3,3373451,2297633,559
imx8mm,powerwindow,BUS,40,4,1600000,0,1..3,3377846,2297630,491
imx8mm,powerwindow,BUS,41,4,1600000,0,1..3,3354415,2297626,510
imx8mm,powerwindow,BUS,42,4,1600000,0,1..3,3631287,2297634,492
imx8mm,powerwindow,BUS,43,4,1600000,0,1..3,3374165,2297616,527
imx8mm,powerwindow,BUS,44,4,1600000,0,1..3,3374684,2297636,485
imx8mm,powerwindow,BUS,45,4,1600000,0,1..3,3334290,2297636,500
imx8mm,powerwindow,BUS,46,4,1600000,0,1..3,3410716,2297619,547
imx8mm,powerwindow,BUS,47,4,1600000,0,1..3,3679119,2297636,560
imx8mm,powerwindow,BUS,48,4,1600000,0,1..3,3487312,2297636,571
imx8mm,powerwindow,BUS,49,4,1600000,0,1..3,3410728,2297629,496
imx8mm,powerwindow,BUS,50,4,1600000,0,1..3,3349196,2297630,551
imx8mm,powerwindow,BUS,51,4,1600000,0,1..3,3377706,2297634,495
imx8mm,powerwindow,BUS,52,4,1600000,0,1..3,3791790,2297625,461
imx8mm,powerwindow,BUS,53,4,1600000,0,1..3,3360535,2297634,517
imx8mm,powerwindow,BUS,54,4,1600000,0,1..3,3284933,2297635,480
imx8mm,powerwindow,BUS,55,4,1600000,0,1..3,3458903,2297635,606
imx8mm,powerwindow,BUS,56,4,1600000,0,1..3,3377511,2297635,549
imx8mm,powerwindow,BUS,57,4,1600000,0,1..3,3661372,2297633,533
imx8mm,powerwindow,BUS,58,4,1600000,0,1..3,3317709,2297637,509
imx8mm,powerwindow,BUS,59,4,1600000,0,1..3,3470280,2297629,539
imx8mm,powerwindow,BUS,60,4,1600000,0,1..3,3439538,2297625,535
imx8mm,powerwindow,BUS,61,4,1600000,0,1..3,3421377,2297648,560
imx8mm,powerwindow,BUS,62,4,1600000,0,1..3,3504981,2297635,611
imx8mm,powerwindow,BUS,63,4,1600000,0,1..3,3488406,2297633,680
imx8mm,powerwindow,BUS,64,4,1600000,0,1..3,3344672,2297638,544
imx8mm,powerwindow,BUS,65,4,1600000,0,1..3,3618173,2297652,747
imx8mm,powerwindow,BUS,66,4,1600000,0,1..3,3892082,2297637,537
imx8mm,powerwindow,BUS,67,4,1600000,0,1..3,3408172,2297626,505
imx8mm,powerwindow,BUS,68,4,1600000,0,1..3,3371376,2297634,535
imx8mm,powerwindow,BUS,69,4,1600000,0,1..3,3353873,2297649,553
imx8mm,powerwindow,BUS,70,4,1600000,0,1..3,3319773,2297621,489
imx8mm,powerwindow,BUS,71,4,1600000,0,1..3,3928000,2297626,548
imx8mm,powerwindow,BUS,72,4,1600000,0,1..3,3417178,2297614,583
imx8mm,powerwindow,BUS,73,4,1600000,0,1..3,3479387,2297625,621
imx8mm,powerwindow,BUS,74,4,1600000,0,1..3,3592446,2297636,597
imx8mm,powerwindow,BUS,75,4,1600000,0,1..3,3516326,2297636,615
imx8mm,powerwindow,BUS,76,4,1600000,0,1..3,4137337,2297636,518
imx8mm,powerwindow,BUS,77,4,1600000,0,1..3,3461863,2297642,493
imx8mm,powerwindow,BUS,78,4,1600000,0,1..3,3405226,2297626,539
imx8mm,powerwindow,BUS,79,4,1600000,0,1..3,3432601,2297643,522
imx8mm,powerwindow,BUS,80,4,1600000,0,1..3,3424987,2297622,509
imx8mm,powerwindow,BUS,81,4,1600000,0,1..3,3785407,2297623,500
imx8mm,powerwindow,BUS,82,4,1600000,0,1..3,3332937,2297627,464
imx8mm,powerwindow,BUS,83,4,1600000,0,1..3,3363866,2297638,506
imx8mm,powerwindow,BUS,84,4,1600000,0,1..3,3307791,2297634,496
imx8mm,powerwindow,BUS,85,4,1600000,0,1..3,3305564,2297617,525
imx8mm,powerwindow,BUS,86,4,1600000,0,1..3,4008936,2297628,514
imx8mm,powerwindow,BUS,87,4,1600000,0,1..3,3435293,2297643,522
imx8mm,powerwindow,BUS,88,4,1600000,0,1..3,3436416,2297617,520
imx8mm,powerwindow,BUS,89,4,1600000,0,1..3,3471130,2297643,541
imx8mm,powerwindow,BUS,90,4,1600000,0,1..3,3359734,2297625,533
imx8mm,powerwindow,BUS,91,4,1600000,0,1..3,3805754,2297636,584
imx8mm,powerwindow,BUS,92,4,1600000,0,1..3,3396521,2297639,489
imx8mm,powerwindow,BUS,93,4,1600000,0,1..3,3462466,2297626,552
imx8mm,powerwindow,BUS,94,4,1600000,0,1..3,3336867,2297627,497
imx8mm,powerwindow,BUS,95,4,1600000,0,1..3,3386515,2297618,522
imx8mm,powerwindow,BUS,96,4,1600000,0,1..3,4031161,2297624,544
imx8mm,powerwindow,BUS,97,4,1600000,0,1..3,3382733,2297630,490
imx8mm,powerwindow,BUS,98,4,1600000,0,1..3,3376766,2297634,522
imx8mm,powerwindow,BUS,99,4,1600000,0,1..3,3300160,2297627,460
imx8mm,powerwindow,BUS,100,4,1600000,0,1..3,3631970,2297640,628
imx8mm,powerwindow,BUS,101,4,1600000,0,1..3,4028850,2297634,478
imx8mm,powerwindow,BUS,102,4,1600000,0,1..3,3352861,2297624,549
imx8mm,powerwindow,BUS,103,4,1600000,0,1..3,3416422,2297629,538
imx8mm,powerwindow,BUS,104,4,1600000,0,1..3,3375347,2297625,500
imx8mm,powerwindow,BUS,105,4,1600000,0,1..3,3352327,2297639,532
imx8mm,powerwindow,BUS,106,4,1600000,0,1..3,3868497,2297626,530
imx8mm,powerwindow,BUS,107,4,1600000,0,1..3,3486448,2297652,535
imx8mm,powerwindow,BUS,108,4,1600000,0,1..3,3430341,2297644,518
imx8mm,powerwindow,BUS,109,4,1600000,0,1..3,3492717,2297628,536
imx8mm,powerwindow,BUS,110,4,1600000,0,1..3,3465456,2297632,523
imx8mm,powerwindow,BUS,111,4,1600000,0,1..3,3940560,2297623,574
imx8mm,powerwindow,BUS,112,4,1600000,0,1..3,3435234,2297630,513
imx8mm,powerwindow,BUS,113,4,1600000,0,1..3,3323192,2297641,478
imx8mm,powerwindow,BUS,114,4,1600000,0,1..3,3334819,2297633,481
imx8mm,powerwindow,BUS,115,4,1600000,0,1..3,3354828,2297631,481
imx8mm,powerwindow,BUS,116,4,1600000,0,1..3,4079735,2297627,525
