board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,powerwindow,LLC+BUS,0,4,1600000,0,1..3,3482717,2297670,599
imx8mm,powerwindow,LLC+BUS,1,4,1600000,0,1..3,3982288,2297634,589
imx8mm,powerwindow,LLC+BUS,2,4,1600000,0,1..3,3281735,2297625,520
imx8mm,powerwindow,LLC+BUS,3,4,1600000,0,1..3,3386336,2297631,558
imx8mm,powerwindow,LLC+BUS,4,4,1600000,0,1..3,3326054,2297646,542
imx8mm,powerwindow,LLC+BUS,5,4,1600000,0,1..3,3304328,2297627,495
imx8mm,powerwindow,LLC+BUS,6,4,1600000,0,1..3,3386172,2297625,483
imx8mm,powerwindow,LLC+BUS,7,4,1600000,0,1..3,3369350,2297622,530
imx8mm,powerwindow,LLC+BUS,8,4,1600000,0,1..3,3296163,2297647,487
imx8mm,powerwindow,LLC+BUS,9,4,1600000,0,1..3,3463253,2297634,630
imx8mm,powerwindow,LLC+BUS,10,4,1600000,0,1..3,3360520,2297643,515
imx8mm,powerwindow,LLC+BUS,11,4,1600000,0,1..3,3360391,2297630,526
imx8mm,powerwindow,LLC+BUS,12,4,1600000,0,1..3,3799531,2297632,519
imx8mm,powerwindow,LLC+BUS,13,4,1600000,0,1..3,3226538,2297628,452
imx8mm,powerwindow,LLC+BUS,14,4,1600000,0,1..3,3285459,2297629,476
imx8mm,powerwindow,LLC+BUS,15,4,1600000,0,1..3,3337351,2297626,477
imx8mm,powerwindow,LLC+BUS,16,4,1600000,0,1..3,3394888,2297630,515
imx8mm,powerwindow,LLC+BUS,17,4,1600000,0,1..3,3947809,2297639,587
imx8mm,powerwindow,LLC+BUS,18,4,1600000,0,1..3,3374774,2297641,561
imx8mm,powerwindow,LLC+BUS,19,4,1600000,0,1..3,3390430,2297645,573
imx8mm,powerwindow,LLC+BUS,20,4,1600000,0,1..3,3329382,2297624,500
imx8mm,powerwindow,LLC+BUS,21,4,1600000,0,1..3,3312383,2297626,473
imx8mm,powerwindow,LLC+BUS,22,4,1600000,0,1..3,3339079,2297627,519
imx8mm,powerwindow,LLC+BUS,23,4,1600000,0,1..3,3321238,2297621,479
imx8mm,powerwindow,LLC+BUS,24,4,1600000,0,1..3,3323559,2297635,488
imx8mm,powerwindow,LLC+BUS,25,4,1600000,0,1..3,3325406,2297629,566
imx8mm,powerwindow,LLC+BUS,26,4,1600000,0,1..3,3346176,2297639,527
imx8mm,powerwindow,LLC+BUS,27,4,1600000,0,1..3,3278657,2297654,528
imx8mm,powerwindow,LLC+BUS,28,4,1600000,0,1..3,3907324,2297646,495
imx8mm,powerwindow,LLC+BUS,29,4,1600000,0,1..3,3192705,2297625,479
imx8mm,powerwindow,LLC+BUS,30,4,1600000,0,1..3,3190218,2297627,494
imx8mm,powerwindow,LLC+BUS,31,4,1600000,0,1..3,3439501,2297630,565
imx8mm,powerwindow,LLC+BUS,32,4,1600000,0,1..3,3418112,2297644,574
imx8mm,powerwindow,LLC+BUS,33,4,1600000,0,1..3,3212815,2297640,468
