board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,prime,BUS+MEM,0,4,1600000,0,1..3,14196,681,14
imx8mm,prime,BUS+MEM,1,4,1600000,0,1..3,11590,673,10
imx8mm,prime,BUS+MEM,2,4,1600000,0,1..3,3767,673,8
imx8mm,prime,BUS+MEM,3,4,1600000,0,1..3,1389,674,6
imx8mm,prime,BUS+MEM,4,4,1600000,0,1..3,2282,672,8
imx8mm,prime,BUS+MEM,5,4,1600000,0,1..3,1538,672,5
imx8mm,prime,BUS+MEM,6,4,1600000,0,1..3,1543,672,6
imx8mm,prime,BUS+MEM,7,4,1600000,0,1..3,1059,672,2
imx8mm,prime,BUS+MEM,8,4,1600000,0,1..3,1052,671,4
imx8mm,prime,BUS+MEM,9,4,1600000,0,1..3,1100,673,4
imx8mm,prime,BUS+MEM,10,4,1600000,0,1..3,1385,672,4
imx8mm,prime,BUS+MEM,11,4,1600000,0,1..3,1555,672,4
imx8mm,prime,BUS+MEM,12,4,1600000,0,1..3,1412,672,6
imx8mm,prime,BUS+MEM,13,4,1600000,0,1..3,1092,674,5
imx8mm,prime,BUS+MEM,14,4,1600000,0,1..3,1072,672,6
imx8mm,prime,BUS+MEM,15,4,1600000,0,1..3,1212,672,7
imx8mm,prime,BUS+MEM,16,4,1600000,0,1..3,1812,672,4
imx8mm,prime,BUS+MEM,17,4,1600000,0,1..3,1465,674,5
imx8mm,prime,BUS+MEM,18,4,1600000,0,1..3,1133,672,8
imx8mm,prime,BUS+MEM,19,4,1600000,0,1..3,1075,673,2
imx8mm,prime,BUS+MEM,20,4,1600000,0,1..3,1086,672,5
imx8mm,prime,BUS+MEM,21,4,1600000,0,1..3,1284,672,3
imx8mm,prime,BUS+MEM,22,4,1600000,0,1..3,1514,672,4
imx8mm,prime,BUS+MEM,23,4,1600000,0,1..3,6153,672,4
imx8mm,prime,BUS+MEM,24,4,1600000,0,1..3,1410,672,4
imx8mm,prime,BUS+MEM,25,4,1600000,0,1..3,6345,674,5
imx8mm,prime,BUS+MEM,26,4,1600000,0,1..3,1046,672,4
imx8mm,prime,BUS+MEM,27,4,1600000,0,1..3,1056,672,2
imx8mm,prime,BUS+MEM,28,4,1600000,0,1..3,1058,673,2
imx8mm,prime,BUS+MEM,29,4,1600000,0,1..3,1502,672,4
imx8mm,prime,BUS+MEM,30,4,1600000,0,1..3,1536,672,5
imx8mm,prime,BUS+MEM,31,4,1600000,0,1..3,1437,672,5
imx8mm,prime,BUS+MEM,32,4,1600000,0,1..3,2203,673,5
imx8mm,prime,BUS+MEM,33,4,1600000,0,1..3,1045,672,3
imx8mm,prime,BUS+MEM,34,4,1600000,0,1..3,1057,672,5
imx8mm,prime,BUS+MEM,35,4,1600000,0,1..3,1045,672,5
imx8mm,prime,BUS+MEM,36,4,1600000,0,1..3,1650,672,3
imx8mm,prime,BUS+MEM,37,4,1600000,0,1..3,1902,672,4
imx8mm,prime,BUS+MEM,38,4,1600000,0,1..3,1584,672,4
imx8mm,prime,BUS+MEM,39,4,1600000,0,1..3,1559,672,5
imx8mm,prime,BUS+MEM,40,4,1600000,0,1..3,1052,672,4
imx8mm,prime,BUS+MEM,41,4,1600000,0,1..3,1048,671,5
imx8mm,prime,BUS+MEM,42,4,1600000,0,1..3,1038,671,2
imx8mm,prime,BUS+MEM,43,4,1600000,0,1..3,1870,671,6
imx8mm,prime,BUS+MEM,44,4,1600000,0,1..3,1664,673,6
imx8mm,prime,BUS+MEM,45,4,1600000,0,1..3,1455,672,3
imx8mm,prime,BUS+MEM,46,4,1600000,0,1..3,1146,672,6
imx8mm,prime,BUS+MEM,47,4,1600000,0,1..3,1075,672,6
imx8mm,prime,BUS+MEM,48,4,1600000,0,1..3,1080,671,4
imx8mm,prime,BUS+MEM,49,4,1600000,0,1..3,1056,671,6
imx8mm,prime,BUS+MEM,50,4,1600000,0,1..3,1876,672,5
imx8mm,prime,BUS+MEM,51,4,1600000,0,1..3,1067,674,3
imx8mm,prime,BUS+MEM,52,4,1600000,0,1..3,1065,671,6
imx8mm,prime,BUS+MEM,53,4,1600000,0,1..3,1097,671,3
imx8mm,prime,BUS+MEM,54,4,1600000,0,1..3,1304,673,4
imx8mm,prime,BUS+MEM,55,4,1600000,0,1..3,1354,673,6
imx8mm,prime,BUS+MEM,56,4,1600000,0,1..3,1451,672,5
imx8mm,prime,BUS+MEM,57,4,1600000,0,1..3,1307,671,8
imx8mm,prime,BUS+MEM,58,4,1600000,0,1..3,1123,674,7
imx8mm,prime,BUS+MEM,59,4,1600000,0,1..3,1065,672,3
imx8mm,prime,BUS+MEM,60,4,1600000,0,1..3,1052,672,4
imx8mm,prime,BUS+MEM,61,4,1600000,0,1..3,9893,673,12
imx8mm,prime,BUS+MEM,62,4,1600000,0,1..3,17870,673,5
imx8mm,prime,BUS+MEM,63,4,1600000,0,1..3,1071,673,4
imx8mm,prime,BUS+MEM,64,4,1600000,0,1..3,1082,673,5
imx8mm,prime,BUS+MEM,65,4,1600000,0,1..3,1102,673,4
imx8mm,prime,BUS+MEM,66,4,1600000,0,1..3,1256,672,5
imx8mm,prime,BUS+MEM,67,4,1600000,0,1..3,1270,673,5
imx8mm,prime,BUS+MEM,68,4,1600000,0,1..3,1099,675,6
imx8mm,prime,BUS+MEM,69,4,1600000,0,1..3,2210,673,5
imx8mm,prime,BUS+MEM,70,4,1600000,0,1..3,1928,673,7
imx8mm,prime,BUS+MEM,71,4,1600000,0,1..3,1776,673,3
imx8mm,prime,BUS+MEM,72,4,1600000,0,1..3,1288,674,5
imx8mm,prime,BUS+MEM,73,4,1600000,0,1..3,1051,673,3
imx8mm,prime,BUS+MEM,74,4,1600000,0,1..3,1050,672,5
imx8mm,prime,BUS+MEM,75,4,1600000,0,1..3,1062,672,4
imx8mm,prime,BUS+MEM,76,4,1600000,0,1..3,1354,672,4
imx8mm,prime,BUS+MEM,77,4,1600000,0,1..3,1157,672,3
imx8mm,prime,BUS+MEM,78,4,1600000,0,1..3,1176,671,4
imx8mm,prime,BUS+MEM,79,4,1600000,0,1..3,1261,671,3
imx8mm,prime,BUS+MEM,80,4,1600000,0,1..3,1291,671,4
imx8mm,prime,BUS+MEM,81,4,1600000,0,1..3,1076,673,4
imx8mm,prime,BUS+MEM,82,4,1600000,0,1..3,1066,672,5
imx8mm,prime,BUS+MEM,83,4,1600000,0,1..3,1593,671,3
imx8mm,prime,BUS+MEM,84,4,1600000,0,1..3,1324,671,3
imx8mm,prime,BUS+MEM,85,4,1600000,0,1..3,1647,670,5
imx8mm,prime,BUS+MEM,86,4,1600000,0,1..3,1745,670,4
imx8mm,prime,BUS+MEM,87,4,1600000,0,1..3,1073,671,6
imx8mm,prime,BUS+MEM,88,4,1600000,0,1..3,1084,672,4
imx8mm,prime,BUS+MEM,89,4,1600000,0,1..3,1096,673,5
imx8mm,prime,BUS+MEM,90,4,1600000,0,1..3,1101,672,5
imx8mm,prime,BUS+MEM,91,4,1600000,0,1..3,1444,670,6
imx8mm,prime,BUS+MEM,92,4,1600000,0,1..3,1230,671,7
imx8mm,prime,BUS+MEM,93,4,1600000,0,1..3,1541,673,6
imx8mm,prime,BUS+MEM,94,4,1600000,0,1..3,1897,672,5
imx8mm,prime,BUS+MEM,95,4,1600000,0,1..3,1112,672,5
imx8mm,prime,BUS+MEM,96,4,1600000,0,1..3,1088,672,5
imx8mm,prime,BUS+MEM,97,4,1600000,0,1..3,1040,670,4
imx8mm,prime,BUS+MEM,98,4,1600000,0,1..3,1563,670,5
