board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,quicksort,BUS+MEM,0,4,1600000,0,1..3,6358608,4619536,520
imx8mm,quicksort,BUS+MEM,1,4,1600000,0,1..3,6415989,4619441,466
imx8mm,quicksort,BUS+MEM,2,4,1600000,0,1..3,6305559,4619410,409
imx8mm,quicksort,BUS+MEM,3,4,1600000,0,1..3,6705917,4619452,408
imx8mm,quicksort,BUS+MEM,4,4,1600000,0,1..3,6368522,4619472,378
imx8mm,quicksort,BUS+MEM,5,4,1600000,0,1..3,6328777,4619485,328
imx8mm,quicksort,BUS+MEM,6,4,1600000,0,1..3,6382352,4619456,374
imx8mm,quicksort,BUS+MEM,7,4,1600000,0,1..3,6482224,4619472,497
imx8mm,quicksort,BUS+MEM,8,4,1600000,0,1..3,6307426,4619440,447
imx8mm,quicksort,BUS+MEM,9,4,1600000,0,1..3,6386799,4619442,428
imx8mm,quicksort,BUS+MEM,10,4,1600000,0,1..3,6321770,4619486,370
imx8mm,quicksort,BUS+MEM,11,4,1600000,0,1..3,6417059,4619549,472
imx8mm,quicksort,BUS+MEM,12,4,1600000,0,1..3,6310558,4619457,365
imx8mm,quicksort,BUS+MEM,13,4,1600000,0,1..3,6339435,4619487,434
imx8mm,quicksort,BUS+MEM,14,4,1600000,0,1..3,6353747,4619470,351
imx8mm,quicksort,BUS+MEM,15,4,1600000,0,1..3,6315258,4619481,444
imx8mm,quicksort,BUS+MEM,16,4,1600000,0,1..3,6289642,4619404,378
imx8mm,quicksort,BUS+MEM,17,4,1600000,0,1..3,6483219,4619431,562
imx8mm,quicksort,BUS+MEM,18,4,1600000,0,1..3,6665722,4619461,392
imx8mm,quicksort,BUS+MEM,19,4,1600000,0,1..3,6448973,4619392,653
imx8mm,quicksort,BUS+MEM,20,4,1600000,0,1..3,6373336,4619461,486
imx8mm,quicksort,BUS+MEM,21,4,1600000,0,1..3,6442965,4619463,455
imx8mm,quicksort,BUS+MEM,22,4,1600000,0,1..3,6807878,4619496,418
imx8mm,quicksort,BUS+MEM,23,4,1600000,0,1..3,6373828,4619462,429
imx8mm,quicksort,BUS+MEM,24,4,1600000,0,1..3,6411579,4619442,431
imx8mm,quicksort,BUS+MEM,25,4,1600000,0,1..3,6382856,4619458,410
imx8mm,quicksort,BUS+MEM,26,4,1600000,0,1..3,6441678,4619434,474
imx8mm,quicksort,BUS+MEM,27,4,1600000,0,1..3,6410972,4619425,370
imx8mm,quicksort,BUS+MEM,28,4,1600000,0,1..3,6325487,4619496,415
imx8mm,quicksort,BUS+MEM,29,4,1600000,0,1..3,6413611,4619454,329
imx8mm,quicksort,BUS+MEM,30,4,1600000,0,1..3,6378466,4619442,474
imx8mm,quicksort,BUS+MEM,31,4,1600000,0,1..3,6370295,4619425,374
imx8mm,quicksort,BUS+MEM,32,4,1600000,0,1..3,6397738,4619431,435
imx8mm,quicksort,BUS+MEM,33,4,1600000,0,1..3,6372116,4619427,460
imx8mm,quicksort,BUS+MEM,34,4,1600000,0,1..3,6291927,4619431,412
imx8mm,quicksort,BUS+MEM,35,4,1600000,0,1..3,6342290,4619375,415
imx8mm,quicksort,BUS+MEM,36,4,1600000,0,1..3,6467211,4619417,417
imx8mm,quicksort,BUS+MEM,37,4,1600000,0,1..3,6369572,4619409,390
imx8mm,quicksort,BUS+MEM,38,4,1600000,0,1..3,6293076,4619467,371
imx8mm,quicksort,BUS+MEM,39,4,1600000,0,1..3,6406703,4619490,508
imx8mm,quicksort,BUS+MEM,40,4,1600000,0,1..3,6640703,4619459,343
imx8mm,quicksort,BUS+MEM,41,4,1600000,0,1..3,6365436,4619459,373
imx8mm,quicksort,BUS+MEM,42,4,1600000,0,1..3,6345988,4619419,413
imx8mm,quicksort,BUS+MEM,43,4,1600000,0,1..3,6399085,4619489,386
imx8mm,quicksort,BUS+MEM,44,4,1600000,0,1..3,6275864,4619415,370
imx8mm,quicksort,BUS+MEM,45,4,1600000,0,1..3,6349476,4619442,510
imx8mm,quicksort,BUS+MEM,46,4,1600000,0,1..3,6371859,4619435,419
imx8mm,quicksort,BUS+MEM,47,4,1600000,0,1..3,6675605,4619448,608
imx8mm,quicksort,BUS+MEM,48,4,1600000,0,1..3,6359928,4619474,387
imx8mm,quicksort,BUS+MEM,49,4,1600000,0,1..3,6345593,4619409,450
imx8mm,quicksort,BUS+MEM,50,4,1600000,0,1..3,6424201,4619442,488
imx8mm,quicksort,BUS+MEM,51,4,1600000,0,1..3,6592173,4619428,485
imx8mm,quicksort,BUS+MEM,52,4,1600000,0,1..3,6306757,4619506,350
imx8mm,quicksort,BUS+MEM,53,4,1600000,0,1..3,6370517,4619417,485
imx8mm,quicksort,BUS+MEM,54,4,1600000,0,1..3,6311379,4619479,370
