board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,quicksort,BUS,0,4,1600000,0,1..3,6427475,4619475,462
imx8mm,quicksort,BUS,1,4,1600000,0,1..3,6618119,4619457,455
imx8mm,quicksort,BUS,2,4,1600000,0,1..3,7242942,4619486,375
imx8mm,quicksort,BUS,3,4,1600000,0,1..3,6446324,4619418,429
imx8mm,quicksort,BUS,4,4,1600000,0,1..3,6487975,4619411,437
imx8mm,quicksort,BUS,5,4,1600000,0,1..3,6985030,4619463,399
imx8mm,quicksort,BUS,6,4,1600000,0,1..3,6459491,4619467,435
imx8mm,quicksort,BUS,7,4,1600000,0,1..3,6529132,4619430,480
imx8mm,quicksort,BUS,8,4,1600000,0,1..3,6450905,4619429,421
imx8mm,quicksort,BUS,9,4,1600000,0,1..3,7614624,4619408,494
imx8mm,quicksort,BUS,10,4,1600000,0,1..3,6441126,4619476,435
imx8mm,quicksort,BUS,11,4,1600000,0,1..3,6462123,4619526,426
imx8mm,quicksort,BUS,12,4,1600000,0,1..3,6420332,4619494,386
imx8mm,quicksort,BUS,13,4,1600000,0,1..3,6472539,4619466,415
imx8mm,quicksort,BUS,14,4,1600000,0,1..3,6533183,4619467,482
imx8mm,quicksort,BUS,15,4,1600000,0,1..3,6519255,4619463,367
imx8mm,quicksort,BUS,16,4,1600000,0,1..3,6404843,4619473,436
imx8mm,quicksort,BUS,17,4,1600000,0,1..3,6522439,4619476,449
imx8mm,quicksort,BUS,18,4,1600000,0,1..3,6359914,4619508,396
imx8mm,quicksort,BUS,19,4,1600000,0,1..3,6513632,4619469,496
imx8mm,quicksort,BUS,20,4,1600000,0,1..3,6557256,4619432,445
imx8mm,quicksort,BUS,21,4,1600000,0,1..3,6350914,4619410,375
imx8mm,quicksort,BUS,22,4,1600000,0,1..3,6478430,4619470,394
imx8mm,quicksort,BUS,23,4,1600000,0,1..3,6387971,4619453,362
imx8mm,quicksort,BUS,24,4,1600000,0,1..3,6451073,4619430,459
imx8mm,quicksort,BUS,25,4,1600000,0,1..3,6388679,4619448,362
imx8mm,quicksort,BUS,26,4,1600000,0,1..3,6459725,4619441,462
imx8mm,quicksort,BUS,27,4,1600000,0,1..3,6509604,4619422,502
imx8mm,quicksort,BUS,28,4,1600000,0,1..3,6422925,4619496,299
imx8mm,quicksort,BUS,29,4,1600000,0,1..3,7005818,4619415,560
imx8mm,quicksort,BUS,30,4,1600000,0,1..3,6578454,4619444,484
imx8mm,quicksort,BUS,31,4,1600000,0,1..3,6445101,4619488,429
imx8mm,quicksort,BUS,32,4,1600000,0,1..3,6454465,4619429,397
imx8mm,quicksort,BUS,33,4,1600000,0,1..3,6427700,4619463,427
imx8mm,quicksort,BUS,34,4,1600000,0,1..3,6467700,4619487,367
imx8mm,quicksort,BUS,35,4,1600000,0,1..3,6392753,4619431,323
imx8mm,quicksort,BUS,36,4,1600000,0,1..3,6395047,4619440,411
imx8mm,quicksort,BUS,37,4,1600000,0,1..3,6401410,4619501,405
imx8mm,quicksort,BUS,38,4,1600000,0,1..3,6409564,4619462,398
imx8mm,quicksort,BUS,39,4,1600000,0,1..3,6598395,4619429,414
imx8mm,quicksort,BUS,40,4,1600000,0,1..3,6396113,4619541,380
imx8mm,quicksort,BUS,41,4,1600000,0,1..3,6559740,4619521,443
imx8mm,quicksort,BUS,42,4,1600000,0,1..3,6834731,4619450,452
imx8mm,quicksort,BUS,43,4,1600000,0,1..3,6523392,4619454,468
imx8mm,quicksort,BUS,44,4,1600000,0,1..3,6444517,4619436,362
imx8mm,quicksort,BUS,45,4,1600000,0,1..3,6518881,4619423,466
imx8mm,quicksort,BUS,46,4,1600000,0,1..3,6389362,4619493,404
imx8mm,quicksort,BUS,47,4,1600000,0,1..3,6401920,4619470,345
imx8mm,quicksort,BUS,48,4,1600000,0,1..3,6599359,4619449,531
imx8mm,quicksort,BUS,49,4,1600000,0,1..3,6465347,4619468,456
imx8mm,quicksort,BUS,50,4,1600000,0,1..3,6381704,4619446,327
imx8mm,quicksort,BUS,51,4,1600000,0,1..3,6405271,4619484,385
imx8mm,quicksort,BUS,52,4,1600000,0,1..3,6753694,4619486,381
imx8mm,quicksort,BUS,53,4,1600000,0,1..3,6525332,4619461,516
imx8mm,quicksort,BUS,54,4,1600000,0,1..3,6321253,4619510,352
imx8mm,quicksort,BUS,55,4,1600000,0,1..3,7028874,4619431,443
imx8mm,quicksort,BUS,56,4,1600000,0,1..3,6524121,4619425,439
imx8mm,quicksort,BUS,57,4,1600000,0,1..3,6437190,4619428,417
imx8mm,quicksort,BUS,58,4,1600000,0,1..3,6717852,4619486,401
imx8mm,quicksort,BUS,59,4,1600000,0,1..3,6420298,4619494,487
imx8mm,quicksort,BUS,60,4,1600000,0,1..3,6407050,4619417,377
imx8mm,quicksort,BUS,61,4,1600000,0,1..3,6345583,4619432,361
imx8mm,quicksort,BUS,62,4,1600000,0,1..3,6826168,4619416,452
imx8mm,quicksort,BUS,63,4,1600000,0,1..3,6343125,4619454,387
imx8mm,quicksort,BUS,64,4,1600000,0,1..3,6517372,4619480,481
imx8mm,quicksort,BUS,65,4,1600000,0,1..3,7020141,4619471,408
imx8mm,quicksort,BUS,66,4,1600000,0,1..3,6421706,4619460,373
imx8mm,quicksort,BUS,67,4,1600000,0,1..3,6460401,4619458,491
imx8mm,quicksort,BUS,68,4,1600000,0,1..3,6411875,4619461,343
imx8mm,quicksort,BUS,69,4,1600000,0,1..3,6330860,4619420,417
imx8mm,quicksort,BUS,70,4,1600000,0,1..3,6498098,4619428,472
imx8mm,quicksort,BUS,71,4,1600000,0,1..3,6477420,4619440,389
imx8mm,quicksort,BUS,72,4,1600000,0,1..3,7198631,4619438,461
imx8mm,quicksort,BUS,73,4,1600000,0,1..3,6492658,4619493,412
imx8mm,quicksort,BUS,74,4,1600000,0,1..3,6492262,4619483,417
imx8mm,quicksort,BUS,75,4,1600000,0,1..3,6481715,4619413,410
imx8mm,quicksort,BUS,76,4,1600000,0,1..3,6455843,4619515,411
imx8mm,quicksort,BUS,77,4,1600000,0,1..3,6594666,4619485,495
imx8mm,quicksort,BUS,78,4,1600000,0,1..3,7070002,4619465,437
imx8mm,quicksort,BUS,79,4,1600000,0,1..3,6453245,4619484,475
imx8mm,quicksort,BUS,80,4,1600000,0,1..3,6411079,4619464,318
imx8mm,quicksort,BUS,81,4,1600000,0,1..3,6612826,4619434,428
imx8mm,quicksort,BUS,82,4,1600000,0,1..3,6596513,4619453,552
imx8mm,quicksort,BUS,83,4,1600000,0,1..3,6401323,4619419,379
imx8mm,quicksort,BUS,84,4,1600000,0,1..3,6483264,4619512,370
imx8mm,quicksort,BUS,85,4,1600000,0,1..3,6930474,4619416,483
