board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,sha,BUS,0,4,1600000,0,1..3,5695957,4188178,211
imx8mm,sha,BUS,1,4,1600000,0,1..3,5653739,4188163,223
imx8mm,sha,BUS,2,4,1600000,0,1..3,5640593,4188163,158
imx8mm,sha,BUS,3,4,1600000,0,1..3,5585309,4188161,128
imx8mm,sha,BUS,4,4,1600000,0,1..3,5675407,4188160,278
imx8mm,sha,BUS,5,4,1600000,0,1..3,5770378,4188162,331
imx8mm,sha,BUS,6,4,1600000,0,1..3,5918061,4188163,325
imx8mm,sha,BUS,7,4,1600000,0,1..3,5627333,4188160,299
imx8mm,sha,BUS,8,4,1600000,0,1..3,5649505,4188160,250
imx8mm,sha,BUS,9,4,1600000,0,1..3,5633772,4188160,199
imx8mm,sha,BUS,10,4,1600000,0,1..3,5617917,4188160,181
imx8mm,sha,BUS,11,4,1600000,0,1..3,5640917,4188159,186
imx8mm,sha,BUS,12,4,1600000,0,1..3,5675409,4188162,266
imx8mm,sha,BUS,13,4,1600000,0,1..3,5763320,4188162,201
imx8mm,sha,BUS,14,4,1600000,0,1..3,5612702,4188162,200
imx8mm,sha,BUS,15,4,1600000,0,1..3,5639781,4188171,241
imx8mm,sha,BUS,16,4,1600000,0,1..3,5566104,4188162,191
imx8mm,sha,BUS,17,4,1600000,0,1..3,5603367,4188162,133
imx8mm,sha,BUS,18,4,1600000,0,1..3,5815688,4188162,346
imx8mm,sha,BUS,19,4,1600000,0,1..3,5731127,4188161,365
imx8mm,sha,BUS,20,4,1600000,0,1..3,5585291,4188162,258
imx8mm,sha,BUS,21,4,1600000,0,1..3,5780803,4188161,378
imx8mm,sha,BUS,22,4,1600000,0,1..3,5652844,4188161,223
imx8mm,sha,BUS,23,4,1600000,0,1..3,5554363,4188160,168
imx8mm,sha,BUS,24,4,1600000,0,1..3,5602235,4188160,153
imx8mm,sha,BUS,25,4,1600000,0,1..3,5646671,4188159,244
imx8mm,sha,BUS,26,4,1600000,0,1..3,5759903,4188160,362
imx8mm,sha,BUS,27,4,1600000,0,1..3,5603547,4188163,178
imx8mm,sha,BUS,28,4,1600000,0,1..3,6080508,4188160,204
imx8mm,sha,BUS,29,4,1600000,0,1..3,5618894,4188158,241
imx8mm,sha,BUS,30,4,1600000,0,1..3,5697311,4188160,301
imx8mm,sha,BUS,31,4,1600000,0,1..3,5561319,4188159,172
imx8mm,sha,BUS,32,4,1600000,0,1..3,5621758,4188160,226
imx8mm,sha,BUS,33,4,1600000,0,1..3,5650240,4188158,279
