board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
imx8mm,st,LLC+BUS,0,4,1600000,0,1..3,362082,215284,111
imx8mm,st,LLC+BUS,1,4,1600000,0,1..3,354196,215270,71
imx8mm,st,LLC+BUS,2,4,1600000,0,1..3,367007,215271,79
imx8mm,st,LLC+BUS,3,4,1600000,0,1..3,926962,215270,64
imx8mm,st,LLC+BUS,4,4,1600000,0,1..3,342702,215267,63
imx8mm,st,LLC+BUS,5,4,1600000,0,1..3,356007,215267,75
imx8mm,st,LLC+BUS,6,4,1600000,0,1..3,340649,215270,54
imx8mm,st,LLC+BUS,7,4,1600000,0,1..3,334672,215268,36
imx8mm,st,LLC+BUS,8,4,1600000,0,1..3,350839,215267,44
imx8mm,st,LLC+BUS,9,4,1600000,0,1..3,345740,215270,57
imx8mm,st,LLC+BUS,10,4,1600000,0,1..3,358488,215266,83
imx8mm,st,LLC+BUS,11,4,1600000,0,1..3,361937,215265,57
imx8mm,st,LLC+BUS,12,4,1600000,0,1..3,360879,215269,57
imx8mm,st,LLC+BUS,13,4,1600000,0,1..3,355596,215267,63
imx8mm,st,LLC+BUS,14,4,1600000,0,1..3,349673,215266,31
imx8mm,st,LLC+BUS,15,4,1600000,0,1..3,365290,215266,83
imx8mm,st,LLC+BUS,16,4,1600000,0,1..3,349213,215265,26
imx8mm,st,LLC+BUS,17,4,1600000,0,1..3,343202,215268,36
imx8mm,st,LLC+BUS,18,4,1600000,0,1..3,347243,215266,59
imx8mm,st,LLC+BUS,19,4,1600000,0,1..3,333452,215265,41
imx8mm,st,LLC+BUS,20,4,1600000,0,1..3,368274,215269,72
imx8mm,st,LLC+BUS,21,4,1600000,0,1..3,352682,215268,50
imx8mm,st,LLC+BUS,22,4,1600000,0,1..3,351485,215264,68
imx8mm,st,LLC+BUS,23,4,1600000,0,1..3,350094,215266,63
imx8mm,st,LLC+BUS,24,4,1600000,0,1..3,354134,215269,72
imx8mm,st,LLC+BUS,25,4,1600000,0,1..3,588654,215269,35
imx8mm,st,LLC+BUS,26,4,1600000,0,1..3,362332,215268,59
imx8mm,st,LLC+BUS,27,4,1600000,0,1..3,350986,215264,46
imx8mm,st,LLC+BUS,28,4,1600000,0,1..3,338966,215265,28
imx8mm,st,LLC+BUS,29,4,1600000,0,1..3,333705,215265,38
imx8mm,st,LLC+BUS,30,4,1600000,0,1..3,351504,215266,65
imx8mm,st,LLC+BUS,31,4,1600000,0,1..3,340767,215267,52
imx8mm,st,LLC+BUS,32,4,1600000,0,1..3,349589,215265,55
imx8mm,st,LLC+BUS,33,4,1600000,0,1..3,338244,215265,51
imx8mm,st,LLC+BUS,34,4,1600000,0,1..3,351316,215270,77
imx8mm,st,LLC+BUS,35,4,1600000,0,1..3,362730,215266,62
imx8mm,st,LLC+BUS,36,4,1600000,0,1..3,339677,215265,44
imx8mm,st,LLC+BUS,37,4,1600000,0,1..3,336000,215265,36
imx8mm,st,LLC+BUS,38,4,1600000,0,1..3,352939,215265,39
imx8mm,st,LLC+BUS,39,4,1600000,0,1..3,357701,215264,69
imx8mm,st,LLC+BUS,40,4,1600000,0,1..3,351987,215269,65
imx8mm,st,LLC+BUS,41,4,1600000,0,1..3,342928,215264,41
imx8mm,st,LLC+BUS,42,4,1600000,0,1..3,346638,215269,65
imx8mm,st,LLC+BUS,43,4,1600000,0,1..3,354932,215270,72
imx8mm,st,LLC+BUS,44,4,1600000,0,1..3,370956,215268,63
imx8mm,st,LLC+BUS,45,4,1600000,0,1..3,346574,215270,72
imx8mm,st,LLC+BUS,46,4,1600000,0,1..3,355205,215267,82
imx8mm,st,LLC+BUS,47,4,1600000,0,1..3,358389,215266,88
imx8mm,st,LLC+BUS,48,4,1600000,0,1..3,354121,215272,62
imx8mm,st,LLC+BUS,49,4,1600000,0,1..3,365442,215266,83
imx8mm,st,LLC+BUS,50,4,1600000,0,1..3,370812,215267,60
imx8mm,st,LLC+BUS,51,4,1600000,0,1..3,352063,215267,43
imx8mm,st,LLC+BUS,52,4,1600000,0,1..3,367570,215266,97
imx8mm,st,LLC+BUS,53,4,1600000,0,1..3,357010,215264,60
imx8mm,st,LLC+BUS,54,4,1600000,0,1..3,357654,215267,41
imx8mm,st,LLC+BUS,55,4,1600000,0,1..3,358176,215266,70
imx8mm,st,LLC+BUS,56,4,1600000,0,1..3,358152,215267,55
imx8mm,st,LLC+BUS,57,4,1600000,0,1..3,354593,215267,41
imx8mm,st,LLC+BUS,58,4,1600000,0,1..3,360225,215267,66
imx8mm,st,LLC+BUS,59,4,1600000,0,1..3,358377,215265,96
imx8mm,st,LLC+BUS,60,4,1600000,0,1..3,358277,215266,80
imx8mm,st,LLC+BUS,61,4,1600000,0,1..3,355766,215265,71
imx8mm,st,LLC+BUS,62,4,1600000,0,1..3,352875,215267,61
imx8mm,st,LLC+BUS,63,4,1600000,0,1..3,353174,215266,76
imx8mm,st,LLC+BUS,64,4,1600000,0,1..3,355453,215265,81
imx8mm,st,LLC+BUS,65,4,1600000,0,1..3,350095,215265,51
imx8mm,st,LLC+BUS,66,4,1600000,0,1..3,344594,215269,53
imx8mm,st,LLC+BUS,67,4,1600000,0,1..3,348846,215267,53
imx8mm,st,LLC+BUS,68,4,1600000,0,1..3,343854,215265,52
imx8mm,st,LLC+BUS,69,4,1600000,0,1..3,361503,215264,83
imx8mm,st,LLC+BUS,70,4,1600000,0,1..3,355784,215266,61
imx8mm,st,LLC+BUS,71,4,1600000,0,1..3,362239,215271,67
imx8mm,st,LLC+BUS,72,4,1600000,0,1..3,355385,215270,80
imx8mm,st,LLC+BUS,73,4,1600000,0,1..3,356270,215268,62
imx8mm,st,LLC+BUS,74,4,1600000,0,1..3,364732,215266,54
imx8mm,st,LLC+BUS,75,4,1600000,0,1..3,366272,215267,55
imx8mm,st,LLC+BUS,76,4,1600000,0,1..3,351654,215267,61
imx8mm,st,LLC+BUS,77,4,1600000,0,1..3,344773,215266,55
imx8mm,st,LLC+BUS,78,4,1600000,0,1..3,346709,215264,60
imx8mm,st,LLC+BUS,79,4,1600000,0,1..3,356853,215270,85
imx8mm,st,LLC+BUS,80,4,1600000,0,1..3,342619,215264,72
imx8mm,st,LLC+BUS,81,4,1600000,0,1..3,349945,215267,53
imx8mm,st,LLC+BUS,82,4,1600000,0,1..3,347226,215269,79
imx8mm,st,LLC+BUS,83,4,1600000,0,1..3,359020,215268,61
imx8mm,st,LLC+BUS,84,4,1600000,0,1..3,358748,215268,42
imx8mm,st,LLC+BUS,85,4,1600000,0,1..3,351775,215265,54
imx8mm,st,LLC+BUS,86,4,1600000,0,1..3,360342,215266,54
imx8mm,st,LLC+BUS,87,4,1600000,0,1..3,355377,215270,99
imx8mm,st,LLC+BUS,88,4,1600000,0,1..3,352802,215265,50
imx8mm,st,LLC+BUS,89,4,1600000,0,1..3,349365,215267,48
imx8mm,st,LLC+BUS,90,4,1600000,0,1..3,341396,215265,52
imx8mm,st,LLC+BUS,91,4,1600000,0,1..3,342033,215267,50
imx8mm,st,LLC+BUS,92,4,1600000,0,1..3,341305,215265,39
imx8mm,st,LLC+BUS,93,4,1600000,0,1..3,350224,215265,28
imx8mm,st,LLC+BUS,94,4,1600000,0,1..3,368500,215265,47
imx8mm,st,LLC+BUS,95,4,1600000,0,1..3,351439,215265,49
