# board=pi5
# config=solo
# repeats=1000
# expected_active_cores=1
# runner=crisp_run_paper_matrix.sh
[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 2400000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=1, lock_freq_khz=2400000
# cpu0=fmref (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=fmref cycles=242164 instructions=457846 cache-misses=118
[sample=1] cpu=0 bench=fmref cycles=215631 instructions=420358 cache-misses=72
[sample=2] cpu=0 bench=fmref cycles=215999 instructions=420358 cache-misses=28
[sample=3] cpu=0 bench=fmref cycles=215563 instructions=420358 cache-misses=20
[sample=4] cpu=0 bench=fmref cycles=213806 instructions=420358 cache-misses=8
[sample=5] cpu=0 bench=fmref cycles=214928 instructions=420358 cache-misses=6
[sample=6] cpu=0 bench=fmref cycles=213535 instructions=420358 cache-misses=6
[sample=7] cpu=0 bench=fmref cycles=214104 instructions=420358 cache-misses=5
[sample=8] cpu=0 bench=fmref cycles=216408 instructions=420358 cache-misses=6
[sample=9] cpu=0 bench=fmref cycles=215949 instructions=420358 cache-misses=5
[sample=10] cpu=0 bench=fmref cycles=213146 instructions=420358 cache-misses=6
[sample=11] cpu=0 bench=fmref cycles=213754 instructions=420358 cache-misses=15
[sample=12] cpu=0 bench=fmref cycles=211948 instructions=420358 cache-misses=28
[sample=13] cpu=0 bench=fmref cycles=214355 instructions=420358 cache-misses=5
[sample=14] cpu=0 bench=fmref cycles=213668 instructions=420358 cache-misses=7
[sample=15] cpu=0 bench=fmref cycles=213850 instructions=420358 cache-misses=6
[sample=16] cpu=0 bench=fmref cycles=212457 instructions=420358 cache-misses=6
[sample=17] cpu=0 bench=fmref cycles=215614 instructions=420358 cache-misses=5
[sample=18] cpu=0 bench=fmref cycles=213226 instructions=420358 cache-misses=6
[sample=19] cpu=0 bench=fmref cycles=214998 instructions=420358 cache-misses=5
[sample=20] cpu=0 bench=fmref cycles=212301 instructions=420358 cache-misses=6
[sample=21] cpu=0 bench=fmref cycles=213475 instructions=420358 cache-misses=22
[sample=22] cpu=0 bench=fmref cycles=212505 instructions=420358 cache-misses=25
[sample=23] cpu=0 bench=fmref cycles=213921 instructions=420358 cache-misses=4
[sample=24] cpu=0 bench=fmref cycles=211348 instructions=420358 cache-misses=6
[sample=25] cpu=0 bench=fmref cycles=213261 instructions=420358 cache-misses=6
[sample=26] cpu=0 bench=fmref cycles=212434 instructions=420358 cache-misses=5
[sample=27] cpu=0 bench=fmref cycles=214762 instructions=420358 cache-misses=6
[sample=28] cpu=0 bench=fmref cycles=212633 instructions=420358 cache-misses=5
[sample=29] cpu=0 bench=fmref cycles=213948 instructions=420358 cache-misses=6
[sample=30] cpu=0 bench=fmref cycles=213642 instructions=420358 cache-misses=15
[sample=31] cpu=0 bench=fmref cycles=212475 instructions=420358 cache-misses=28
[sample=32] cpu=0 bench=fmref cycles=213652 instructions=420358 cache-misses=6
[sample=33] cpu=0 bench=fmref cycles=213678 instructions=420358 cache-misses=6
[sample=34] cpu=0 bench=fmref cycles=212355 instructions=420358 cache-misses=5
[sample=35] cpu=0 bench=fmref cycles=212926 instructions=420358 cache-misses=6
[sample=36] cpu=0 bench=fmref cycles=211942 instructions=420358 cache-misses=5
[sample=37] cpu=0 bench=fmref cycles=213224 instructions=420358 cache-misses=6
[sample=38] cpu=0 bench=fmref cycles=213770 instructions=420358 cache-misses=5
[sample=39] cpu=0 bench=fmref cycles=211199 instructions=420358 cache-misses=6
[sample=40] cpu=0 bench=fmref cycles=212871 instructions=420358 cache-misses=26
[sample=41] cpu=0 bench=fmref cycles=214227 instructions=420358 cache-misses=17
[sample=42] cpu=0 bench=fmref cycles=213937 instructions=420358 cache-misses=4
[sample=43] cpu=0 bench=fmref cycles=213489 instructions=420358 cache-misses=6
[sample=44] cpu=0 bench=fmref cycles=213199 instructions=420358 cache-misses=6
[sample=45] cpu=0 bench=fmref cycles=213802 instructions=420358 cache-misses=6
[sample=46] cpu=0 bench=fmref cycles=213720 instructions=420358 cache-misses=5
[sample=47] cpu=0 bench=fmref cycles=212820 instructions=420358 cache-misses=6
[sample=48] cpu=0 bench=fmref cycles=213134 instructions=420358 cache-misses=5
