# board=pi5
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[info] cpu0..cpu3 locked to 2400000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=2400000
# cpu0=minver (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=0] cpu=0 bench=minver cycles=31831 instructions=4322 cache-misses=19
[sample=1] cpu=0 bench=minver cycles=9761 instructions=4436 cache-misses=10
[sample=2] cpu=0 bench=minver cycles=7543 instructions=4437 cache-misses=1
[sample=3] cpu=0 bench=minver cycles=3855 instructions=4120 cache-misses=1
[sample=4] cpu=0 bench=minver cycles=3316 instructions=4436 cache-misses=0
[sample=5] cpu=0 bench=minver cycles=1895 instructions=4438 cache-misses=0
[sample=6] cpu=0 bench=minver cycles=1753 instructions=4119 cache-misses=0
[sample=7] cpu=0 bench=minver cycles=1727 instructions=4118 cache-misses=1
[sample=8] cpu=0 bench=minver cycles=1500 instructions=4118 cache-misses=0
[sample=9] cpu=0 bench=minver cycles=1596 instructions=4119 cache-misses=0
[sample=10] cpu=0 bench=minver cycles=1836 instructions=4118 cache-misses=1
[sample=11] cpu=0 bench=minver cycles=2252 instructions=4118 cache-misses=1
[sample=12] cpu=0 bench=minver cycles=1529 instructions=4118 cache-misses=0
[sample=13] cpu=0 bench=minver cycles=1470 instructions=4118 cache-misses=0
[sample=14] cpu=0 bench=minver cycles=2217 instructions=4118 cache-misses=0
[sample=15] cpu=0 bench=minver cycles=1425 instructions=4118 cache-misses=0
[sample=16] cpu=0 bench=minver cycles=1403 instructions=4118 cache-misses=0
[sample=17] cpu=0 bench=minver cycles=1467 instructions=4118 cache-misses=0
[sample=18] cpu=0 bench=minver cycles=1372 instructions=4118 cache-misses=0
[sample=19] cpu=0 bench=minver cycles=1337 instructions=4118 cache-misses=0
[sample=20] cpu=0 bench=minver cycles=1389 instructions=4118 cache-misses=0
[sample=21] cpu=0 bench=minver cycles=1360 instructions=4118 cache-misses=0
[sample=22] cpu=0 bench=minver cycles=1392 instructions=4118 cache-misses=0
[sample=23] cpu=0 bench=minver cycles=3101 instructions=4118 cache-misses=1
[sample=24] cpu=0 bench=minver cycles=2770 instructions=4118 cache-misses=1
[sample=25] cpu=0 bench=minver cycles=1344 instructions=4118 cache-misses=0
[sample=26] cpu=0 bench=minver cycles=1343 instructions=4118 cache-misses=0
[sample=27] cpu=0 bench=minver cycles=1387 instructions=4118 cache-misses=0
[sample=28] cpu=0 bench=minver cycles=1350 instructions=4118 cache-misses=0
[sample=29] cpu=0 bench=minver cycles=1344 instructions=4118 cache-misses=0
[sample=30] cpu=0 bench=minver cycles=1371 instructions=4118 cache-misses=0
[sample=31] cpu=0 bench=minver cycles=1367 instructions=4118 cache-misses=0
[sample=32] cpu=0 bench=minver cycles=1328 instructions=4118 cache-misses=0
[sample=33] cpu=0 bench=minver cycles=1341 instructions=4118 cache-misses=0
[sample=34] cpu=0 bench=minver cycles=1345 instructions=4118 cache-misses=0
[sample=35] cpu=0 bench=minver cycles=1379 instructions=4118 cache-misses=0
[sample=36] cpu=0 bench=minver cycles=1375 instructions=4118 cache-misses=0
[sample=37] cpu=0 bench=minver cycles=1372 instructions=4118 cache-misses=0
[sample=38] cpu=0 bench=minver cycles=1346 instructions=4118 cache-misses=0
