board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,adpcm_dec,BUS,0,4,2400000,0,1..3,217850,228467,22
pi5,adpcm_dec,BUS,1,4,2400000,0,1..3,202601,228467,14
pi5,adpcm_dec,BUS,2,4,2400000,0,1..3,184120,228467,4
pi5,adpcm_dec,BUS,3,4,2400000,0,1..3,179762,228467,1
pi5,adpcm_dec,BUS,4,4,2400000,0,1..3,190651,228467,3
pi5,adpcm_dec,BUS,5,4,2400000,0,1..3,196052,228467,8
pi5,adpcm_dec,BUS,6,4,2400000,0,1..3,185833,228467,2
pi5,adpcm_dec,BUS,7,4,2400000,0,1..3,184440,228467,1
pi5,adpcm_dec,BUS,8,4,2400000,0,1..3,193275,228467,4
pi5,adpcm_dec,BUS,9,4,2400000,0,1..3,179571,228467,2
pi5,adpcm_dec,BUS,10,4,2400000,0,1..3,179582,228467,1
pi5,adpcm_dec,BUS,11,4,2400000,0,1..3,179006,228467,1
pi5,adpcm_dec,BUS,12,4,2400000,0,1..3,178842,228467,0
pi5,adpcm_dec,BUS,13,4,2400000,0,1..3,178297,228467,0
pi5,adpcm_dec,BUS,14,4,2400000,0,1..3,178314,228467,0
pi5,adpcm_dec,BUS,15,4,2400000,0,1..3,178798,228467,0
pi5,adpcm_dec,BUS,16,4,2400000,0,1..3,178742,228467,3
pi5,adpcm_dec,BUS,17,4,2400000,0,1..3,183313,228467,3
pi5,adpcm_dec,BUS,18,4,2400000,0,1..3,181355,228467,2
pi5,adpcm_dec,BUS,19,4,2400000,0,1..3,209160,228467,28
pi5,adpcm_dec,BUS,20,4,2400000,0,1..3,178481,228467,0
pi5,adpcm_dec,BUS,21,4,2400000,0,1..3,183870,228467,4
pi5,adpcm_dec,BUS,22,4,2400000,0,1..3,192871,228467,7
pi5,adpcm_dec,BUS,23,4,2400000,0,1..3,183742,228467,2
pi5,adpcm_dec,BUS,24,4,2400000,0,1..3,189855,228467,3
pi5,adpcm_dec,BUS,25,4,2400000,0,1..3,183294,228467,4
pi5,adpcm_dec,BUS,26,4,2400000,0,1..3,193936,228467,2
pi5,adpcm_dec,BUS,27,4,2400000,0,1..3,186193,228467,0
pi5,adpcm_dec,BUS,28,4,2400000,0,1..3,181967,228467,0
pi5,adpcm_dec,BUS,29,4,2400000,0,1..3,180393,228467,0
pi5,adpcm_dec,BUS,30,4,2400000,0,1..3,179407,228467,0
pi5,adpcm_dec,BUS,31,4,2400000,0,1..3,179149,228467,0
pi5,adpcm_dec,BUS,32,4,2400000,0,1..3,178728,228467,0
pi5,adpcm_dec,BUS,33,4,2400000,0,1..3,179297,228467,0
