board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,adpcm_enc,LLC+MEM,0,4,2400000,0,1..3,237919,223671,27
pi5,adpcm_enc,LLC+MEM,1,4,2400000,0,1..3,229769,223671,23
pi5,adpcm_enc,LLC+MEM,2,4,2400000,0,1..3,187546,223671,3
pi5,adpcm_enc,LLC+MEM,3,4,2400000,0,1..3,180777,223671,3
pi5,adpcm_enc,LLC+MEM,4,4,2400000,0,1..3,180506,223671,1
pi5,adpcm_enc,LLC+MEM,5,4,2400000,0,1..3,179851,223671,1
pi5,adpcm_enc,LLC+MEM,6,4,2400000,0,1..3,189848,223671,4
pi5,adpcm_enc,LLC+MEM,7,4,2400000,0,1..3,179605,223671,3
pi5,adpcm_enc,LLC+MEM,8,4,2400000,0,1..3,175800,223671,2
pi5,adpcm_enc,LLC+MEM,9,4,2400000,0,1..3,180218,223671,1
pi5,adpcm_enc,LLC+MEM,10,4,2400000,0,1..3,172638,223671,0
pi5,adpcm_enc,LLC+MEM,11,4,2400000,0,1..3,179059,223671,1
pi5,adpcm_enc,LLC+MEM,12,4,2400000,0,1..3,184138,223671,6
pi5,adpcm_enc,LLC+MEM,13,4,2400000,0,1..3,175407,223671,1
pi5,adpcm_enc,LLC+MEM,14,4,2400000,0,1..3,179443,223671,1
pi5,adpcm_enc,LLC+MEM,15,4,2400000,0,1..3,232275,223671,19
pi5,adpcm_enc,LLC+MEM,16,4,2400000,0,1..3,182330,223671,1
pi5,adpcm_enc,LLC+MEM,17,4,2400000,0,1..3,188300,223671,3
pi5,adpcm_enc,LLC+MEM,18,4,2400000,0,1..3,186978,223671,4
pi5,adpcm_enc,LLC+MEM,19,4,2400000,0,1..3,182735,223671,3
pi5,adpcm_enc,LLC+MEM,20,4,2400000,0,1..3,185939,223671,2
pi5,adpcm_enc,LLC+MEM,21,4,2400000,0,1..3,190672,223671,2
pi5,adpcm_enc,LLC+MEM,22,4,2400000,0,1..3,187704,223671,5
pi5,adpcm_enc,LLC+MEM,23,4,2400000,0,1..3,182196,223671,2
pi5,adpcm_enc,LLC+MEM,24,4,2400000,0,1..3,179414,223671,2
pi5,adpcm_enc,LLC+MEM,25,4,2400000,0,1..3,174120,223671,1
pi5,adpcm_enc,LLC+MEM,26,4,2400000,0,1..3,181536,223671,3
