board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,ammunition,LLC+MEM,0,4,2400000,0,1..3,81863885,184350224,466
pi5,ammunition,LLC+MEM,1,4,2400000,0,1..3,82116549,184350224,472
pi5,ammunition,LLC+MEM,2,4,2400000,0,1..3,82194156,184350224,409
pi5,ammunition,LLC+MEM,3,4,2400000,0,1..3,82359095,184350224,352
pi5,ammunition,LLC+MEM,4,4,2400000,0,1..3,82345654,184350224,379
pi5,ammunition,LLC+MEM,5,4,2400000,0,1..3,81871305,184350224,350
pi5,ammunition,LLC+MEM,6,4,2400000,0,1..3,82252525,184350224,503
pi5,ammunition,LLC+MEM,7,4,2400000,0,1..3,82256046,184350224,469
pi5,ammunition,LLC+MEM,8,4,2400000,0,1..3,82355895,184350224,395
pi5,ammunition,LLC+MEM,9,4,2400000,0,1..3,82234204,184350224,439
pi5,ammunition,LLC+MEM,10,4,2400000,0,1..3,82245854,184350224,574
pi5,ammunition,LLC+MEM,11,4,2400000,0,1..3,82075021,184350224,510
pi5,ammunition,LLC+MEM,12,4,2400000,0,1..3,82455983,184350224,388
pi5,ammunition,LLC+MEM,13,4,2400000,0,1..3,82297999,184350224,403
pi5,ammunition,LLC+MEM,14,4,2400000,0,1..3,82019840,184350224,508
pi5,ammunition,LLC+MEM,15,4,2400000,0,1..3,82513341,184350224,468
pi5,ammunition,LLC+MEM,16,4,2400000,0,1..3,82248995,184350224,410
pi5,ammunition,LLC+MEM,17,4,2400000,0,1..3,82134502,184350224,429
pi5,ammunition,LLC+MEM,18,4,2400000,0,1..3,81952120,184350224,545
pi5,ammunition,LLC+MEM,19,4,2400000,0,1..3,82327553,184350224,573
pi5,ammunition,LLC+MEM,20,4,2400000,0,1..3,81858443,184350224,483
pi5,ammunition,LLC+MEM,21,4,2400000,0,1..3,81805508,184350224,501
pi5,ammunition,LLC+MEM,22,4,2400000,0,1..3,81801567,184350224,407
pi5,ammunition,LLC+MEM,23,4,2400000,0,1..3,82313564,184350224,381
pi5,ammunition,LLC+MEM,24,4,2400000,0,1..3,82184248,184350224,377
pi5,ammunition,LLC+MEM,25,4,2400000,0,1..3,82424655,184350224,383
pi5,ammunition,LLC+MEM,26,4,2400000,0,1..3,82463204,184350224,434
pi5,ammunition,LLC+MEM,27,4,2400000,0,1..3,82235631,184350224,547
pi5,ammunition,LLC+MEM,28,4,2400000,0,1..3,82117067,184350224,525
pi5,ammunition,LLC+MEM,29,4,2400000,0,1..3,81937485,184350224,514
pi5,ammunition,LLC+MEM,30,4,2400000,0,1..3,82104230,184350224,466
pi5,ammunition,LLC+MEM,31,4,2400000,0,1..3,82041474,184350224,367
pi5,ammunition,LLC+MEM,32,4,2400000,0,1..3,82693206,184350224,383
pi5,ammunition,LLC+MEM,33,4,2400000,0,1..3,82000992,184350224,490
pi5,ammunition,LLC+MEM,34,4,2400000,0,1..3,82115431,184350224,475
pi5,ammunition,LLC+MEM,35,4,2400000,0,1..3,82094686,184350224,392
pi5,ammunition,LLC+MEM,36,4,2400000,0,1..3,81900490,184350224,385
pi5,ammunition,LLC+MEM,37,4,2400000,0,1..3,81801887,184350224,524
pi5,ammunition,LLC+MEM,38,4,2400000,0,1..3,82328978,184350224,437
pi5,ammunition,LLC+MEM,39,4,2400000,0,1..3,82281057,184350224,436
pi5,ammunition,LLC+MEM,40,4,2400000,0,1..3,82114756,184350224,468
pi5,ammunition,LLC+MEM,41,4,2400000,0,1..3,82227239,184350224,483
pi5,ammunition,LLC+MEM,42,4,2400000,0,1..3,82042697,184350224,534
pi5,ammunition,LLC+MEM,43,4,2400000,0,1..3,81920844,184350224,531
pi5,ammunition,LLC+MEM,44,4,2400000,0,1..3,82123195,184350224,567
pi5,ammunition,LLC+MEM,45,4,2400000,0,1..3,81984775,184350224,465
pi5,ammunition,LLC+MEM,46,4,2400000,0,1..3,82081886,184350224,383
pi5,ammunition,LLC+MEM,47,4,2400000,0,1..3,82203424,184350224,412
pi5,ammunition,LLC+MEM,48,4,2400000,0,1..3,81973034,184350224,531
pi5,ammunition,LLC+MEM,49,4,2400000,0,1..3,81911493,184350224,461
pi5,ammunition,LLC+MEM,50,4,2400000,0,1..3,82652165,184350224,366
pi5,ammunition,LLC+MEM,51,4,2400000,0,1..3,82411012,184350224,439
pi5,ammunition,LLC+MEM,52,4,2400000,0,1..3,82200022,184350224,539
pi5,ammunition,LLC+MEM,53,4,2400000,0,1..3,82186206,184350224,452
pi5,ammunition,LLC+MEM,54,4,2400000,0,1..3,81984890,184350224,375
pi5,ammunition,LLC+MEM,55,4,2400000,0,1..3,82281671,184350224,421
pi5,ammunition,LLC+MEM,56,4,2400000,0,1..3,81993708,184350224,515
pi5,ammunition,LLC+MEM,57,4,2400000,0,1..3,81871831,184350224,487
pi5,ammunition,LLC+MEM,58,4,2400000,0,1..3,81753207,184350224,458
pi5,ammunition,LLC+MEM,59,4,2400000,0,1..3,81815241,184350224,524
pi5,ammunition,LLC+MEM,60,4,2400000,0,1..3,82093444,184350224,478
pi5,ammunition,LLC+MEM,61,4,2400000,0,1..3,82191933,184350224,376
pi5,ammunition,LLC+MEM,62,4,2400000,0,1..3,82275771,184350224,425
pi5,ammunition,LLC+MEM,63,4,2400000,0,1..3,82136764,184350224,549
pi5,ammunition,LLC+MEM,64,4,2400000,0,1..3,82124754,184350224,435
pi5,ammunition,LLC+MEM,65,4,2400000,0,1..3,82722733,184350224,411
pi5,ammunition,LLC+MEM,66,4,2400000,0,1..3,82438827,184350224,420
pi5,ammunition,LLC+MEM,67,4,2400000,0,1..3,82237902,184350224,537
pi5,ammunition,LLC+MEM,68,4,2400000,0,1..3,82191499,184350224,507
pi5,ammunition,LLC+MEM,69,4,2400000,0,1..3,82121556,184350224,525
pi5,ammunition,LLC+MEM,70,4,2400000,0,1..3,82007883,184350224,495
pi5,ammunition,LLC+MEM,71,4,2400000,0,1..3,82060901,184350224,504
pi5,ammunition,LLC+MEM,72,4,2400000,0,1..3,81869277,184350224,513
pi5,ammunition,LLC+MEM,73,4,2400000,0,1..3,81938510,184350224,431
pi5,ammunition,LLC+MEM,74,4,2400000,0,1..3,82280786,184350224,413
pi5,ammunition,LLC+MEM,75,4,2400000,0,1..3,82208536,184350224,436
pi5,ammunition,LLC+MEM,76,4,2400000,0,1..3,81893148,184350224,529
pi5,ammunition,LLC+MEM,77,4,2400000,0,1..3,82394816,184350224,455
pi5,ammunition,LLC+MEM,78,4,2400000,0,1..3,81968055,184350224,402
pi5,ammunition,LLC+MEM,79,4,2400000,0,1..3,81921041,184350224,434
pi5,ammunition,LLC+MEM,80,4,2400000,0,1..3,82070144,184350224,514
pi5,ammunition,LLC+MEM,81,4,2400000,0,1..3,82189300,184350224,443
pi5,ammunition,LLC+MEM,82,4,2400000,0,1..3,82042960,184350224,373
pi5,ammunition,LLC+MEM,83,4,2400000,0,1..3,82064256,184350224,458
pi5,ammunition,LLC+MEM,84,4,2400000,0,1..3,81953947,184350224,495
pi5,ammunition,LLC+MEM,85,4,2400000,0,1..3,82160373,184350224,423
pi5,ammunition,LLC+MEM,86,4,2400000,0,1..3,82416168,184350224,429
pi5,ammunition,LLC+MEM,87,4,2400000,0,1..3,82226111,184350224,464
pi5,ammunition,LLC+MEM,88,4,2400000,0,1..3,81862322,184350224,511
pi5,ammunition,LLC+MEM,89,4,2400000,0,1..3,82090443,184350224,381
pi5,ammunition,LLC+MEM,90,4,2400000,0,1..3,82089526,184350224,382
pi5,ammunition,LLC+MEM,91,4,2400000,0,1..3,82276203,184350224,495
pi5,ammunition,LLC+MEM,92,4,2400000,0,1..3,81804799,184350224,495
pi5,ammunition,LLC+MEM,93,4,2400000,0,1..3,82171708,184350224,413
pi5,ammunition,LLC+MEM,94,4,2400000,0,1..3,82116908,184350224,396
pi5,ammunition,LLC+MEM,95,4,2400000,0,1..3,81937838,184350224,426
pi5,ammunition,LLC+MEM,96,4,2400000,0,1..3,81762360,184350224,509
pi5,ammunition,LLC+MEM,97,4,2400000,0,1..3,81742035,184350224,398
pi5,ammunition,LLC+MEM,98,4,2400000,0,1..3,82514424,184350224,419
pi5,ammunition,LLC+MEM,99,4,2400000,0,1..3,82390224,184350224,427
pi5,ammunition,LLC+MEM,100,4,2400000,0,1..3,82047334,184350224,372
pi5,ammunition,LLC+MEM,101,4,2400000,0,1..3,82278882,184350224,423
