board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,binarysearch,BUS,0,4,2400000,0,1..3,8872,1257,5
pi5,binarysearch,BUS,1,4,2400000,0,1..3,1807,1257,6
pi5,binarysearch,BUS,2,4,2400000,0,1..3,698,1257,0
pi5,binarysearch,BUS,3,4,2400000,0,1..3,651,1257,0
pi5,binarysearch,BUS,4,4,2400000,0,1..3,668,1257,0
pi5,binarysearch,BUS,5,4,2400000,0,1..3,646,1257,0
pi5,binarysearch,BUS,6,4,2400000,0,1..3,665,1257,0
pi5,binarysearch,BUS,7,4,2400000,0,1..3,725,1257,0
pi5,binarysearch,BUS,8,4,2400000,0,1..3,677,1257,0
pi5,binarysearch,BUS,9,4,2400000,0,1..3,668,1257,0
pi5,binarysearch,BUS,10,4,2400000,0,1..3,668,1257,0
pi5,binarysearch,BUS,11,4,2400000,0,1..3,687,1257,0
pi5,binarysearch,BUS,12,4,2400000,0,1..3,669,1257,0
pi5,binarysearch,BUS,13,4,2400000,0,1..3,705,1257,0
pi5,binarysearch,BUS,14,4,2400000,0,1..3,658,1257,0
pi5,binarysearch,BUS,15,4,2400000,0,1..3,664,1257,0
pi5,binarysearch,BUS,16,4,2400000,0,1..3,712,1257,0
pi5,binarysearch,BUS,17,4,2400000,0,1..3,662,1257,0
pi5,binarysearch,BUS,18,4,2400000,0,1..3,734,1257,0
pi5,binarysearch,BUS,19,4,2400000,0,1..3,668,1257,0
pi5,binarysearch,BUS,20,4,2400000,0,1..3,688,1257,0
pi5,binarysearch,BUS,21,4,2400000,0,1..3,668,1257,0
pi5,binarysearch,BUS,22,4,2400000,0,1..3,709,1257,0
pi5,binarysearch,BUS,23,4,2400000,0,1..3,745,1257,0
pi5,binarysearch,BUS,24,4,2400000,0,1..3,655,1257,0
pi5,binarysearch,BUS,25,4,2400000,0,1..3,674,1257,0
pi5,binarysearch,BUS,26,4,2400000,0,1..3,659,1257,0
pi5,binarysearch,BUS,27,4,2400000,0,1..3,660,1257,0
pi5,binarysearch,BUS,28,4,2400000,0,1..3,665,1257,0
pi5,binarysearch,BUS,29,4,2400000,0,1..3,732,1257,0
pi5,binarysearch,BUS,30,4,2400000,0,1..3,668,1257,0
pi5,binarysearch,BUS,31,4,2400000,0,1..3,647,1257,0
pi5,binarysearch,BUS,32,4,2400000,0,1..3,688,1257,0
pi5,binarysearch,BUS,33,4,2400000,0,1..3,668,1257,0
pi5,binarysearch,BUS,34,4,2400000,0,1..3,662,1257,0
pi5,binarysearch,BUS,35,4,2400000,0,1..3,717,1257,0
pi5,binarysearch,BUS,36,4,2400000,0,1..3,662,1257,0
pi5,binarysearch,BUS,37,4,2400000,0,1..3,732,1257,0
pi5,binarysearch,BUS,38,4,2400000,0,1..3,709,1257,0
pi5,binarysearch,BUS,39,4,2400000,0,1..3,651,1257,0
pi5,binarysearch,BUS,40,4,2400000,0,1..3,709,1257,0
pi5,binarysearch,BUS,41,4,2400000,0,1..3,664,1257,0
pi5,binarysearch,BUS,42,4,2400000,0,1..3,698,1257,1
pi5,binarysearch,BUS,43,4,2400000,0,1..3,708,1257,0
pi5,binarysearch,BUS,44,4,2400000,0,1..3,3159,1257,1
pi5,binarysearch,BUS,45,4,2400000,0,1..3,731,1257,0
pi5,binarysearch,BUS,46,4,2400000,0,1..3,686,1257,1
pi5,binarysearch,BUS,47,4,2400000,0,1..3,664,1257,0
pi5,binarysearch,BUS,48,4,2400000,0,1..3,693,1257,0
pi5,binarysearch,BUS,49,4,2400000,0,1..3,655,1257,0
pi5,binarysearch,BUS,50,4,2400000,0,1..3,651,1257,0
pi5,binarysearch,BUS,51,4,2400000,0,1..3,2921,1257,0
pi5,binarysearch,BUS,52,4,2400000,0,1..3,661,1257,0
pi5,binarysearch,BUS,53,4,2400000,0,1..3,717,1257,0
pi5,binarysearch,BUS,54,4,2400000,0,1..3,662,1257,0
pi5,binarysearch,BUS,55,4,2400000,0,1..3,748,1257,0
pi5,binarysearch,BUS,56,4,2400000,0,1..3,660,1257,0
pi5,binarysearch,BUS,57,4,2400000,0,1..3,727,1257,0
pi5,binarysearch,BUS,58,4,2400000,0,1..3,2105,1257,1
pi5,binarysearch,BUS,59,4,2400000,0,1..3,685,1257,0
pi5,binarysearch,BUS,60,4,2400000,0,1..3,708,1257,0
pi5,binarysearch,BUS,61,4,2400000,0,1..3,716,1257,0
pi5,binarysearch,BUS,62,4,2400000,0,1..3,653,1257,0
pi5,binarysearch,BUS,63,4,2400000,0,1..3,670,1257,0
pi5,binarysearch,BUS,64,4,2400000,0,1..3,662,1257,0
pi5,binarysearch,BUS,65,4,2400000,0,1..3,674,1257,0
pi5,binarysearch,BUS,66,4,2400000,0,1..3,2186,1257,2
pi5,binarysearch,BUS,67,4,2400000,0,1..3,685,1257,0
pi5,binarysearch,BUS,68,4,2400000,0,1..3,673,1257,0
pi5,binarysearch,BUS,69,4,2400000,0,1..3,691,1257,0
pi5,binarysearch,BUS,70,4,2400000,0,1..3,673,1257,0
pi5,binarysearch,BUS,71,4,2400000,0,1..3,701,1257,0
pi5,binarysearch,BUS,72,4,2400000,0,1..3,723,1257,0
pi5,binarysearch,BUS,73,4,2400000,0,1..3,2385,1257,0
pi5,binarysearch,BUS,74,4,2400000,0,1..3,657,1257,0
pi5,binarysearch,BUS,75,4,2400000,0,1..3,1495,1257,1
pi5,binarysearch,BUS,76,4,2400000,0,1..3,722,1257,0
pi5,binarysearch,BUS,77,4,2400000,0,1..3,655,1257,0
pi5,binarysearch,BUS,78,4,2400000,0,1..3,696,1257,0
pi5,binarysearch,BUS,79,4,2400000,0,1..3,2079,1257,0
pi5,binarysearch,BUS,80,4,2400000,0,1..3,658,1257,0
pi5,binarysearch,BUS,81,4,2400000,0,1..3,677,1257,0
pi5,binarysearch,BUS,82,4,2400000,0,1..3,699,1257,0
pi5,binarysearch,BUS,83,4,2400000,0,1..3,705,1257,0
pi5,binarysearch,BUS,84,4,2400000,0,1..3,2100,1257,1
pi5,binarysearch,BUS,85,4,2400000,0,1..3,2237,1257,1
pi5,binarysearch,BUS,86,4,2400000,0,1..3,664,1257,0
pi5,binarysearch,BUS,87,4,2400000,0,1..3,730,1257,0
pi5,binarysearch,BUS,88,4,2400000,0,1..3,644,1257,0
pi5,binarysearch,BUS,89,4,2400000,0,1..3,661,1257,0
pi5,binarysearch,BUS,90,4,2400000,0,1..3,1613,1257,1
pi5,binarysearch,BUS,91,4,2400000,0,1..3,1560,1257,1
pi5,binarysearch,BUS,92,4,2400000,0,1..3,702,1257,0
pi5,binarysearch,BUS,93,4,2400000,0,1..3,657,1257,0
pi5,binarysearch,BUS,94,4,2400000,0,1..3,713,1257,0
pi5,binarysearch,BUS,95,4,2400000,0,1..3,717,1257,0
pi5,binarysearch,BUS,96,4,2400000,0,1..3,663,1257,0
pi5,binarysearch,BUS,97,4,2400000,0,1..3,702,1257,0
pi5,binarysearch,BUS,98,4,2400000,0,1..3,651,1257,0
pi5,binarysearch,BUS,99,4,2400000,0,1..3,659,1257,0
pi5,binarysearch,BUS,100,4,2400000,0,1..3,734,1257,0
pi5,binarysearch,BUS,101,4,2400000,0,1..3,675,1257,0
pi5,binarysearch,BUS,102,4,2400000,0,1..3,651,1257,0
pi5,binarysearch,BUS,103,4,2400000,0,1..3,648,1257,0
pi5,binarysearch,BUS,104,4,2400000,0,1..3,671,1257,0
pi5,binarysearch,BUS,105,4,2400000,0,1..3,705,1257,0
pi5,binarysearch,BUS,106,4,2400000,0,1..3,680,1257,0
pi5,binarysearch,BUS,107,4,2400000,0,1..3,681,1257,0
pi5,binarysearch,BUS,108,4,2400000,0,1..3,681,1257,0
pi5,binarysearch,BUS,109,4,2400000,0,1..3,674,1257,0
pi5,binarysearch,BUS,110,4,2400000,0,1..3,686,1257,0
pi5,binarysearch,BUS,111,4,2400000,0,1..3,685,1257,0
pi5,binarysearch,BUS,112,4,2400000,0,1..3,688,1257,0
pi5,binarysearch,BUS,113,4,2400000,0,1..3,709,1257,1
pi5,binarysearch,BUS,114,4,2400000,0,1..3,655,1257,0
pi5,binarysearch,BUS,115,4,2400000,0,1..3,717,1257,0
pi5,binarysearch,BUS,116,4,2400000,0,1..3,665,1257,0
pi5,binarysearch,BUS,117,4,2400000,0,1..3,713,1257,0
pi5,binarysearch,BUS,118,4,2400000,0,1..3,661,1257,0
pi5,binarysearch,BUS,119,4,2400000,0,1..3,674,1257,0
pi5,binarysearch,BUS,120,4,2400000,0,1..3,659,1257,0
pi5,binarysearch,BUS,121,4,2400000,0,1..3,762,1257,0
pi5,binarysearch,BUS,122,4,2400000,0,1..3,661,1257,0
pi5,binarysearch,BUS,123,4,2400000,0,1..3,696,1257,0
pi5,binarysearch,BUS,124,4,2400000,0,1..3,681,1257,0
pi5,binarysearch,BUS,125,4,2400000,0,1..3,681,1257,0
pi5,binarysearch,BUS,126,4,2400000,0,1..3,661,1257,0
pi5,binarysearch,BUS,127,4,2400000,0,1..3,674,1257,0
pi5,binarysearch,BUS,128,4,2400000,0,1..3,659,1257,0
pi5,binarysearch,BUS,129,4,2400000,0,1..3,726,1257,0
pi5,binarysearch,BUS,130,4,2400000,0,1..3,655,1257,0
pi5,binarysearch,BUS,131,4,2400000,0,1..3,717,1257,0
pi5,binarysearch,BUS,132,4,2400000,0,1..3,665,1257,0
pi5,binarysearch,BUS,133,4,2400000,0,1..3,696,1257,0
pi5,binarysearch,BUS,134,4,2400000,0,1..3,686,1257,0
pi5,binarysearch,BUS,135,4,2400000,0,1..3,657,1257,0
pi5,binarysearch,BUS,136,4,2400000,0,1..3,711,1257,0
pi5,binarysearch,BUS,137,4,2400000,0,1..3,803,1257,0
pi5,binarysearch,BUS,138,4,2400000,0,1..3,658,1257,0
pi5,binarysearch,BUS,139,4,2400000,0,1..3,680,1257,0
pi5,binarysearch,BUS,140,4,2400000,0,1..3,686,1257,0
pi5,binarysearch,BUS,141,4,2400000,0,1..3,703,1257,0
pi5,binarysearch,BUS,142,4,2400000,0,1..3,658,1257,0
pi5,binarysearch,BUS,143,4,2400000,0,1..3,687,1257,0
pi5,binarysearch,BUS,144,4,2400000,0,1..3,738,1257,0
pi5,binarysearch,BUS,145,4,2400000,0,1..3,663,1257,0
pi5,binarysearch,BUS,146,4,2400000,0,1..3,658,1257,0
pi5,binarysearch,BUS,147,4,2400000,0,1..3,742,1257,0
pi5,binarysearch,BUS,148,4,2400000,0,1..3,651,1257,0
pi5,binarysearch,BUS,149,4,2400000,0,1..3,671,1257,0
pi5,binarysearch,BUS,150,4,2400000,0,1..3,7337,1257,1
