board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,binarysearch,solo,0,1,2400000,0,,2565,1257,5
pi5,binarysearch,solo,1,1,2400000,0,,779,1257,4
pi5,binarysearch,solo,2,1,2400000,0,,693,1257,0
pi5,binarysearch,solo,3,1,2400000,0,,695,1257,0
pi5,binarysearch,solo,4,1,2400000,0,,700,1257,0
pi5,binarysearch,solo,5,1,2400000,0,,676,1257,0
pi5,binarysearch,solo,6,1,2400000,0,,656,1257,0
pi5,binarysearch,solo,7,1,2400000,0,,656,1257,0
pi5,binarysearch,solo,8,1,2400000,0,,716,1257,0
pi5,binarysearch,solo,9,1,2400000,0,,685,1257,0
pi5,binarysearch,solo,10,1,2400000,0,,671,1257,1
pi5,binarysearch,solo,11,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,12,1,2400000,0,,685,1257,0
pi5,binarysearch,solo,13,1,2400000,0,,652,1257,0
pi5,binarysearch,solo,14,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,15,1,2400000,0,,664,1257,0
pi5,binarysearch,solo,16,1,2400000,0,,696,1257,0
pi5,binarysearch,solo,17,1,2400000,0,,654,1257,0
pi5,binarysearch,solo,18,1,2400000,0,,685,1257,0
pi5,binarysearch,solo,19,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,20,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,21,1,2400000,0,,654,1257,0
pi5,binarysearch,solo,22,1,2400000,0,,652,1257,0
pi5,binarysearch,solo,23,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,24,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,25,1,2400000,0,,654,1257,0
pi5,binarysearch,solo,26,1,2400000,0,,652,1257,0
pi5,binarysearch,solo,27,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,28,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,29,1,2400000,0,,652,1257,0
pi5,binarysearch,solo,30,1,2400000,0,,685,1257,0
pi5,binarysearch,solo,31,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,32,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,33,1,2400000,0,,685,1257,0
pi5,binarysearch,solo,34,1,2400000,0,,652,1257,0
pi5,binarysearch,solo,35,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,36,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,37,1,2400000,0,,654,1257,0
pi5,binarysearch,solo,38,1,2400000,0,,652,1257,0
pi5,binarysearch,solo,39,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,40,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,41,1,2400000,0,,664,1257,1
pi5,binarysearch,solo,42,1,2400000,0,,685,1257,0
pi5,binarysearch,solo,43,1,2400000,0,,701,1257,0
pi5,binarysearch,solo,44,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,45,1,2400000,0,,664,1257,0
pi5,binarysearch,solo,46,1,2400000,0,,696,1257,0
pi5,binarysearch,solo,47,1,2400000,0,,652,1257,0
pi5,binarysearch,solo,48,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,49,1,2400000,0,,678,1257,0
pi5,binarysearch,solo,50,1,2400000,0,,678,1257,0
