board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,bitonic,MEM,0,4,2400000,0,1..3,29707,18391,12
pi5,bitonic,MEM,1,4,2400000,0,1..3,20897,18391,9
pi5,bitonic,MEM,2,4,2400000,0,1..3,15477,18391,2
pi5,bitonic,MEM,3,4,2400000,0,1..3,7124,18391,0
pi5,bitonic,MEM,4,4,2400000,0,1..3,6958,18391,0
pi5,bitonic,MEM,5,4,2400000,0,1..3,6723,18391,0
pi5,bitonic,MEM,6,4,2400000,0,1..3,6779,18391,0
pi5,bitonic,MEM,7,4,2400000,0,1..3,6853,18391,0
pi5,bitonic,MEM,8,4,2400000,0,1..3,6676,18391,0
pi5,bitonic,MEM,9,4,2400000,0,1..3,6661,18391,0
pi5,bitonic,MEM,10,4,2400000,0,1..3,6677,18391,0
pi5,bitonic,MEM,11,4,2400000,0,1..3,6798,18391,0
pi5,bitonic,MEM,12,4,2400000,0,1..3,7821,18391,1
pi5,bitonic,MEM,13,4,2400000,0,1..3,6755,18391,0
pi5,bitonic,MEM,14,4,2400000,0,1..3,7041,18391,0
pi5,bitonic,MEM,15,4,2400000,0,1..3,6848,18391,0
pi5,bitonic,MEM,16,4,2400000,0,1..3,8946,18391,0
pi5,bitonic,MEM,17,4,2400000,0,1..3,9476,18391,1
pi5,bitonic,MEM,18,4,2400000,0,1..3,6833,18391,0
pi5,bitonic,MEM,19,4,2400000,0,1..3,6870,18391,0
pi5,bitonic,MEM,20,4,2400000,0,1..3,7690,18391,1
pi5,bitonic,MEM,21,4,2400000,0,1..3,7647,18391,1
pi5,bitonic,MEM,22,4,2400000,0,1..3,8015,18391,1
pi5,bitonic,MEM,23,4,2400000,0,1..3,7011,18391,0
pi5,bitonic,MEM,24,4,2400000,0,1..3,7239,18391,0
pi5,bitonic,MEM,25,4,2400000,0,1..3,9129,18391,1
pi5,bitonic,MEM,26,4,2400000,0,1..3,7013,18391,0
pi5,bitonic,MEM,27,4,2400000,0,1..3,7900,18391,1
pi5,bitonic,MEM,28,4,2400000,0,1..3,7108,18391,0
pi5,bitonic,MEM,29,4,2400000,0,1..3,7154,18391,0
pi5,bitonic,MEM,30,4,2400000,0,1..3,8225,18391,1
pi5,bitonic,MEM,31,4,2400000,0,1..3,7106,18391,0
pi5,bitonic,MEM,32,4,2400000,0,1..3,7027,18391,0
pi5,bitonic,MEM,33,4,2400000,0,1..3,7056,18391,0
pi5,bitonic,MEM,34,4,2400000,0,1..3,7251,18391,0
pi5,bitonic,MEM,35,4,2400000,0,1..3,12406,18391,2
pi5,bitonic,MEM,36,4,2400000,0,1..3,8722,18391,0
pi5,bitonic,MEM,37,4,2400000,0,1..3,7142,18391,0
pi5,bitonic,MEM,38,4,2400000,0,1..3,7111,18391,0
pi5,bitonic,MEM,39,4,2400000,0,1..3,7046,18391,0
pi5,bitonic,MEM,40,4,2400000,0,1..3,9605,18391,2
pi5,bitonic,MEM,41,4,2400000,0,1..3,8163,18391,0
pi5,bitonic,MEM,42,4,2400000,0,1..3,7139,18391,0
pi5,bitonic,MEM,43,4,2400000,0,1..3,7034,18391,0
pi5,bitonic,MEM,44,4,2400000,0,1..3,7115,18391,0
pi5,bitonic,MEM,45,4,2400000,0,1..3,7116,18391,0
pi5,bitonic,MEM,46,4,2400000,0,1..3,7252,18391,0
pi5,bitonic,MEM,47,4,2400000,0,1..3,7149,18391,0
pi5,bitonic,MEM,48,4,2400000,0,1..3,7070,18391,0
pi5,bitonic,MEM,49,4,2400000,0,1..3,7335,18391,0
pi5,bitonic,MEM,50,4,2400000,0,1..3,7187,18391,0
pi5,bitonic,MEM,51,4,2400000,0,1..3,7153,18391,0
pi5,bitonic,MEM,52,4,2400000,0,1..3,7387,18391,2
pi5,bitonic,MEM,53,4,2400000,0,1..3,9793,18391,1
pi5,bitonic,MEM,54,4,2400000,0,1..3,9035,18391,0
pi5,bitonic,MEM,55,4,2400000,0,1..3,7316,18391,0
pi5,bitonic,MEM,56,4,2400000,0,1..3,7287,18391,0
pi5,bitonic,MEM,57,4,2400000,0,1..3,7221,18391,0
pi5,bitonic,MEM,58,4,2400000,0,1..3,7939,18391,1
pi5,bitonic,MEM,59,4,2400000,0,1..3,7248,18391,0
pi5,bitonic,MEM,60,4,2400000,0,1..3,7321,18391,0
pi5,bitonic,MEM,61,4,2400000,0,1..3,7341,18391,0
pi5,bitonic,MEM,62,4,2400000,0,1..3,7337,18391,0
pi5,bitonic,MEM,63,4,2400000,0,1..3,7137,18391,0
pi5,bitonic,MEM,64,4,2400000,0,1..3,6961,18391,0
pi5,bitonic,MEM,65,4,2400000,0,1..3,7100,18391,0
pi5,bitonic,MEM,66,4,2400000,0,1..3,7063,18391,0
pi5,bitonic,MEM,67,4,2400000,0,1..3,6997,18391,0
pi5,bitonic,MEM,68,4,2400000,0,1..3,6982,18391,0
pi5,bitonic,MEM,69,4,2400000,0,1..3,8834,18391,1
pi5,bitonic,MEM,70,4,2400000,0,1..3,7047,18391,0
pi5,bitonic,MEM,71,4,2400000,0,1..3,7026,18391,0
pi5,bitonic,MEM,72,4,2400000,0,1..3,6948,18391,0
pi5,bitonic,MEM,73,4,2400000,0,1..3,6945,18391,0
pi5,bitonic,MEM,74,4,2400000,0,1..3,8836,18391,1
pi5,bitonic,MEM,75,4,2400000,0,1..3,7019,18391,0
pi5,bitonic,MEM,76,4,2400000,0,1..3,7020,18391,0
pi5,bitonic,MEM,77,4,2400000,0,1..3,6969,18391,0
pi5,bitonic,MEM,78,4,2400000,0,1..3,7148,18391,0
pi5,bitonic,MEM,79,4,2400000,0,1..3,7096,18391,0
pi5,bitonic,MEM,80,4,2400000,0,1..3,8738,18391,1
pi5,bitonic,MEM,81,4,2400000,0,1..3,6949,18391,0
pi5,bitonic,MEM,82,4,2400000,0,1..3,7015,18391,0
pi5,bitonic,MEM,83,4,2400000,0,1..3,9254,18391,2
pi5,bitonic,MEM,84,4,2400000,0,1..3,7012,18391,0
pi5,bitonic,MEM,85,4,2400000,0,1..3,7121,18391,0
pi5,bitonic,MEM,86,4,2400000,0,1..3,7046,18391,0
pi5,bitonic,MEM,87,4,2400000,0,1..3,7191,18391,0
pi5,bitonic,MEM,88,4,2400000,0,1..3,7918,18391,1
pi5,bitonic,MEM,89,4,2400000,0,1..3,7220,18391,0
pi5,bitonic,MEM,90,4,2400000,0,1..3,7266,18391,0
