board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,bsort,BUS,0,4,2400000,0,1..3,88037,258397,9
pi5,bsort,BUS,1,4,2400000,0,1..3,78337,258397,3
pi5,bsort,BUS,2,4,2400000,0,1..3,77154,258397,1
pi5,bsort,BUS,3,4,2400000,0,1..3,74922,258397,0
pi5,bsort,BUS,4,4,2400000,0,1..3,74668,258397,0
pi5,bsort,BUS,5,4,2400000,0,1..3,78713,258397,1
pi5,bsort,BUS,6,4,2400000,0,1..3,76813,258397,0
pi5,bsort,BUS,7,4,2400000,0,1..3,74409,258397,0
pi5,bsort,BUS,8,4,2400000,0,1..3,74314,258397,0
pi5,bsort,BUS,9,4,2400000,0,1..3,74398,258397,0
pi5,bsort,BUS,10,4,2400000,0,1..3,75766,258397,1
pi5,bsort,BUS,11,4,2400000,0,1..3,75703,258397,1
pi5,bsort,BUS,12,4,2400000,0,1..3,75006,258397,0
pi5,bsort,BUS,13,4,2400000,0,1..3,75144,258397,0
pi5,bsort,BUS,14,4,2400000,0,1..3,75010,258397,0
pi5,bsort,BUS,15,4,2400000,0,1..3,75882,258397,1
pi5,bsort,BUS,16,4,2400000,0,1..3,75839,258397,1
pi5,bsort,BUS,17,4,2400000,0,1..3,74988,258397,0
pi5,bsort,BUS,18,4,2400000,0,1..3,75054,258397,0
pi5,bsort,BUS,19,4,2400000,0,1..3,75088,258397,0
pi5,bsort,BUS,20,4,2400000,0,1..3,75057,258397,0
pi5,bsort,BUS,21,4,2400000,0,1..3,75058,258397,0
pi5,bsort,BUS,22,4,2400000,0,1..3,75046,258397,0
pi5,bsort,BUS,23,4,2400000,0,1..3,75170,258397,0
pi5,bsort,BUS,24,4,2400000,0,1..3,75142,258397,0
pi5,bsort,BUS,25,4,2400000,0,1..3,75084,258397,0
pi5,bsort,BUS,26,4,2400000,0,1..3,75280,258397,1
pi5,bsort,BUS,27,4,2400000,0,1..3,75079,258397,0
pi5,bsort,BUS,28,4,2400000,0,1..3,75734,258397,3
