board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,cjpeg_wrbmp,LLC+BUS,0,4,2400000,0,1..3,97118,212377,145
pi5,cjpeg_wrbmp,LLC+BUS,1,4,2400000,0,1..3,83620,212377,120
pi5,cjpeg_wrbmp,LLC+BUS,2,4,2400000,0,1..3,74867,212377,11
pi5,cjpeg_wrbmp,LLC+BUS,3,4,2400000,0,1..3,77807,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,4,4,2400000,0,1..3,73039,212377,3
pi5,cjpeg_wrbmp,LLC+BUS,5,4,2400000,0,1..3,74865,212377,7
pi5,cjpeg_wrbmp,LLC+BUS,6,4,2400000,0,1..3,74745,212377,8
pi5,cjpeg_wrbmp,LLC+BUS,7,4,2400000,0,1..3,75835,212377,7
pi5,cjpeg_wrbmp,LLC+BUS,8,4,2400000,0,1..3,78421,212377,9
pi5,cjpeg_wrbmp,LLC+BUS,9,4,2400000,0,1..3,73533,212377,1
pi5,cjpeg_wrbmp,LLC+BUS,10,4,2400000,0,1..3,74060,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,11,4,2400000,0,1..3,75579,212377,8
pi5,cjpeg_wrbmp,LLC+BUS,12,4,2400000,0,1..3,72256,212377,3
pi5,cjpeg_wrbmp,LLC+BUS,13,4,2400000,0,1..3,72372,212377,10
pi5,cjpeg_wrbmp,LLC+BUS,14,4,2400000,0,1..3,75782,212377,11
pi5,cjpeg_wrbmp,LLC+BUS,15,4,2400000,0,1..3,74615,212377,10
pi5,cjpeg_wrbmp,LLC+BUS,16,4,2400000,0,1..3,73855,212377,25
pi5,cjpeg_wrbmp,LLC+BUS,17,4,2400000,0,1..3,80942,212377,13
pi5,cjpeg_wrbmp,LLC+BUS,18,4,2400000,0,1..3,76796,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,19,4,2400000,0,1..3,73375,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,20,4,2400000,0,1..3,76619,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,21,4,2400000,0,1..3,78351,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,22,4,2400000,0,1..3,76851,212377,5
pi5,cjpeg_wrbmp,LLC+BUS,23,4,2400000,0,1..3,78728,212377,9
pi5,cjpeg_wrbmp,LLC+BUS,24,4,2400000,0,1..3,73308,212377,5
pi5,cjpeg_wrbmp,LLC+BUS,25,4,2400000,0,1..3,78099,212377,7
pi5,cjpeg_wrbmp,LLC+BUS,26,4,2400000,0,1..3,79770,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,27,4,2400000,0,1..3,81431,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,28,4,2400000,0,1..3,76389,212377,7
pi5,cjpeg_wrbmp,LLC+BUS,29,4,2400000,0,1..3,81095,212377,8
pi5,cjpeg_wrbmp,LLC+BUS,30,4,2400000,0,1..3,73473,212377,3
pi5,cjpeg_wrbmp,LLC+BUS,31,4,2400000,0,1..3,76917,212377,9
pi5,cjpeg_wrbmp,LLC+BUS,32,4,2400000,0,1..3,72565,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,33,4,2400000,0,1..3,74410,212377,14
pi5,cjpeg_wrbmp,LLC+BUS,34,4,2400000,0,1..3,75160,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,35,4,2400000,0,1..3,73987,212377,2
pi5,cjpeg_wrbmp,LLC+BUS,36,4,2400000,0,1..3,71139,212377,2
pi5,cjpeg_wrbmp,LLC+BUS,37,4,2400000,0,1..3,74608,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,38,4,2400000,0,1..3,79528,212377,9
pi5,cjpeg_wrbmp,LLC+BUS,39,4,2400000,0,1..3,76957,212377,11
pi5,cjpeg_wrbmp,LLC+BUS,40,4,2400000,0,1..3,74017,212377,7
pi5,cjpeg_wrbmp,LLC+BUS,41,4,2400000,0,1..3,79230,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,42,4,2400000,0,1..3,75725,212377,5
pi5,cjpeg_wrbmp,LLC+BUS,43,4,2400000,0,1..3,76150,212377,8
pi5,cjpeg_wrbmp,LLC+BUS,44,4,2400000,0,1..3,74715,212377,5
pi5,cjpeg_wrbmp,LLC+BUS,45,4,2400000,0,1..3,73380,212377,8
pi5,cjpeg_wrbmp,LLC+BUS,46,4,2400000,0,1..3,75079,212377,1
pi5,cjpeg_wrbmp,LLC+BUS,47,4,2400000,0,1..3,72784,212377,5
pi5,cjpeg_wrbmp,LLC+BUS,48,4,2400000,0,1..3,81512,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,49,4,2400000,0,1..3,80768,212377,16
pi5,cjpeg_wrbmp,LLC+BUS,50,4,2400000,0,1..3,97388,212377,23
pi5,cjpeg_wrbmp,LLC+BUS,51,4,2400000,0,1..3,90269,212377,128
pi5,cjpeg_wrbmp,LLC+BUS,52,4,2400000,0,1..3,78277,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,53,4,2400000,0,1..3,72442,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,54,4,2400000,0,1..3,71535,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,55,4,2400000,0,1..3,74177,212377,3
pi5,cjpeg_wrbmp,LLC+BUS,56,4,2400000,0,1..3,73983,212377,1
pi5,cjpeg_wrbmp,LLC+BUS,57,4,2400000,0,1..3,73674,212377,1
pi5,cjpeg_wrbmp,LLC+BUS,58,4,2400000,0,1..3,71023,212377,2
pi5,cjpeg_wrbmp,LLC+BUS,59,4,2400000,0,1..3,80398,212377,9
pi5,cjpeg_wrbmp,LLC+BUS,60,4,2400000,0,1..3,80965,212377,12
pi5,cjpeg_wrbmp,LLC+BUS,61,4,2400000,0,1..3,75902,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,62,4,2400000,0,1..3,78013,212377,8
pi5,cjpeg_wrbmp,LLC+BUS,63,4,2400000,0,1..3,74916,212377,5
pi5,cjpeg_wrbmp,LLC+BUS,64,4,2400000,0,1..3,74070,212377,2
pi5,cjpeg_wrbmp,LLC+BUS,65,4,2400000,0,1..3,73834,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,66,4,2400000,0,1..3,81035,212377,22
pi5,cjpeg_wrbmp,LLC+BUS,67,4,2400000,0,1..3,83376,212377,37
pi5,cjpeg_wrbmp,LLC+BUS,68,4,2400000,0,1..3,77486,212377,15
pi5,cjpeg_wrbmp,LLC+BUS,69,4,2400000,0,1..3,80521,212377,10
pi5,cjpeg_wrbmp,LLC+BUS,70,4,2400000,0,1..3,72871,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,71,4,2400000,0,1..3,76358,212377,7
pi5,cjpeg_wrbmp,LLC+BUS,72,4,2400000,0,1..3,73613,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,73,4,2400000,0,1..3,71263,212377,2
pi5,cjpeg_wrbmp,LLC+BUS,74,4,2400000,0,1..3,74556,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,75,4,2400000,0,1..3,71862,212377,2
pi5,cjpeg_wrbmp,LLC+BUS,76,4,2400000,0,1..3,73367,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,77,4,2400000,0,1..3,74473,212377,3
pi5,cjpeg_wrbmp,LLC+BUS,78,4,2400000,0,1..3,73097,212377,1
pi5,cjpeg_wrbmp,LLC+BUS,79,4,2400000,0,1..3,75541,212377,5
pi5,cjpeg_wrbmp,LLC+BUS,80,4,2400000,0,1..3,76374,212377,7
pi5,cjpeg_wrbmp,LLC+BUS,81,4,2400000,0,1..3,74237,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,82,4,2400000,0,1..3,79917,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,83,4,2400000,0,1..3,77667,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,84,4,2400000,0,1..3,78779,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,85,4,2400000,0,1..3,83917,212377,18
pi5,cjpeg_wrbmp,LLC+BUS,86,4,2400000,0,1..3,84777,212377,10
pi5,cjpeg_wrbmp,LLC+BUS,87,4,2400000,0,1..3,81353,212377,17
pi5,cjpeg_wrbmp,LLC+BUS,88,4,2400000,0,1..3,79804,212377,13
pi5,cjpeg_wrbmp,LLC+BUS,89,4,2400000,0,1..3,76549,212377,2
pi5,cjpeg_wrbmp,LLC+BUS,90,4,2400000,0,1..3,78593,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,91,4,2400000,0,1..3,76622,212377,1
pi5,cjpeg_wrbmp,LLC+BUS,92,4,2400000,0,1..3,74927,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,93,4,2400000,0,1..3,75565,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,94,4,2400000,0,1..3,77271,212377,1
pi5,cjpeg_wrbmp,LLC+BUS,95,4,2400000,0,1..3,78364,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,96,4,2400000,0,1..3,80842,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,97,4,2400000,0,1..3,77533,212377,5
pi5,cjpeg_wrbmp,LLC+BUS,98,4,2400000,0,1..3,84565,212377,10
pi5,cjpeg_wrbmp,LLC+BUS,99,4,2400000,0,1..3,80403,212377,19
pi5,cjpeg_wrbmp,LLC+BUS,100,4,2400000,0,1..3,78830,212377,10
pi5,cjpeg_wrbmp,LLC+BUS,101,4,2400000,0,1..3,105691,212377,85
pi5,cjpeg_wrbmp,LLC+BUS,102,4,2400000,0,1..3,83678,212377,66
pi5,cjpeg_wrbmp,LLC+BUS,103,4,2400000,0,1..3,80267,212377,5
pi5,cjpeg_wrbmp,LLC+BUS,104,4,2400000,0,1..3,81959,212377,7
pi5,cjpeg_wrbmp,LLC+BUS,105,4,2400000,0,1..3,79347,212377,12
pi5,cjpeg_wrbmp,LLC+BUS,106,4,2400000,0,1..3,77369,212377,7
pi5,cjpeg_wrbmp,LLC+BUS,107,4,2400000,0,1..3,76666,212377,5
pi5,cjpeg_wrbmp,LLC+BUS,108,4,2400000,0,1..3,73973,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,109,4,2400000,0,1..3,76869,212377,7
pi5,cjpeg_wrbmp,LLC+BUS,110,4,2400000,0,1..3,75120,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,111,4,2400000,0,1..3,76896,212377,1
pi5,cjpeg_wrbmp,LLC+BUS,112,4,2400000,0,1..3,77380,212377,1
pi5,cjpeg_wrbmp,LLC+BUS,113,4,2400000,0,1..3,76011,212377,2
pi5,cjpeg_wrbmp,LLC+BUS,114,4,2400000,0,1..3,74986,212377,3
pi5,cjpeg_wrbmp,LLC+BUS,115,4,2400000,0,1..3,76204,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,116,4,2400000,0,1..3,79900,212377,8
pi5,cjpeg_wrbmp,LLC+BUS,117,4,2400000,0,1..3,82742,212377,18
pi5,cjpeg_wrbmp,LLC+BUS,118,4,2400000,0,1..3,76934,212377,9
pi5,cjpeg_wrbmp,LLC+BUS,119,4,2400000,0,1..3,78572,212377,4
pi5,cjpeg_wrbmp,LLC+BUS,120,4,2400000,0,1..3,83536,212377,9
pi5,cjpeg_wrbmp,LLC+BUS,121,4,2400000,0,1..3,78840,212377,3
pi5,cjpeg_wrbmp,LLC+BUS,122,4,2400000,0,1..3,86385,212377,17
pi5,cjpeg_wrbmp,LLC+BUS,123,4,2400000,0,1..3,78951,212377,18
pi5,cjpeg_wrbmp,LLC+BUS,124,4,2400000,0,1..3,75245,212377,9
pi5,cjpeg_wrbmp,LLC+BUS,125,4,2400000,0,1..3,102349,212377,22
pi5,cjpeg_wrbmp,LLC+BUS,126,4,2400000,0,1..3,79782,212377,13
pi5,cjpeg_wrbmp,LLC+BUS,127,4,2400000,0,1..3,77872,212377,10
pi5,cjpeg_wrbmp,LLC+BUS,128,4,2400000,0,1..3,78094,212377,5
pi5,cjpeg_wrbmp,LLC+BUS,129,4,2400000,0,1..3,76555,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,130,4,2400000,0,1..3,78098,212377,9
pi5,cjpeg_wrbmp,LLC+BUS,131,4,2400000,0,1..3,76163,212377,6
pi5,cjpeg_wrbmp,LLC+BUS,132,4,2400000,0,1..3,76908,212377,3
pi5,cjpeg_wrbmp,LLC+BUS,133,4,2400000,0,1..3,74527,212377,3
pi5,cjpeg_wrbmp,LLC+BUS,134,4,2400000,0,1..3,76366,212377,18
pi5,cjpeg_wrbmp,LLC+BUS,135,4,2400000,0,1..3,76448,212377,3
pi5,cjpeg_wrbmp,LLC+BUS,136,4,2400000,0,1..3,76492,212377,3
