board,bench,config,run_id,active_cores,freq_khz,victim_core,attacker_cores,cycles,instructions,cache_misses
pi5,complex_updates,MEM,0,4,2400000,0,1..3,25880,2553,16
pi5,complex_updates,MEM,1,4,2400000,0,1..3,12541,2553,8
pi5,complex_updates,MEM,2,4,2400000,0,1..3,1385,2553,0
pi5,complex_updates,MEM,3,4,2400000,0,1..3,1004,2553,0
pi5,complex_updates,MEM,4,4,2400000,0,1..3,1007,2553,0
pi5,complex_updates,MEM,5,4,2400000,0,1..3,965,2553,0
pi5,complex_updates,MEM,6,4,2400000,0,1..3,963,2553,0
pi5,complex_updates,MEM,7,4,2400000,0,1..3,1019,2553,0
pi5,complex_updates,MEM,8,4,2400000,0,1..3,1710,2553,1
pi5,complex_updates,MEM,9,4,2400000,0,1..3,998,2553,0
pi5,complex_updates,MEM,10,4,2400000,0,1..3,2487,2553,1
pi5,complex_updates,MEM,11,4,2400000,0,1..3,1008,2553,0
pi5,complex_updates,MEM,12,4,2400000,0,1..3,986,2553,0
pi5,complex_updates,MEM,13,4,2400000,0,1..3,995,2553,1
pi5,complex_updates,MEM,14,4,2400000,0,1..3,1000,2553,0
pi5,complex_updates,MEM,15,4,2400000,0,1..3,987,2553,0
pi5,complex_updates,MEM,16,4,2400000,0,1..3,988,2553,0
pi5,complex_updates,MEM,17,4,2400000,0,1..3,9875,2553,2
pi5,complex_updates,MEM,18,4,2400000,0,1..3,1003,2553,0
pi5,complex_updates,MEM,19,4,2400000,0,1..3,991,2553,0
pi5,complex_updates,MEM,20,4,2400000,0,1..3,1019,2553,0
pi5,complex_updates,MEM,21,4,2400000,0,1..3,982,2553,0
pi5,complex_updates,MEM,22,4,2400000,0,1..3,971,2553,0
pi5,complex_updates,MEM,23,4,2400000,0,1..3,989,2553,0
pi5,complex_updates,MEM,24,4,2400000,0,1..3,996,2553,0
pi5,complex_updates,MEM,25,4,2400000,0,1..3,994,2553,0
pi5,complex_updates,MEM,26,4,2400000,0,1..3,2219,2553,1
pi5,complex_updates,MEM,27,4,2400000,0,1..3,8595,2553,3
pi5,complex_updates,MEM,28,4,2400000,0,1..3,1028,2553,0
pi5,complex_updates,MEM,29,4,2400000,0,1..3,1006,2553,0
pi5,complex_updates,MEM,30,4,2400000,0,1..3,1023,2553,0
pi5,complex_updates,MEM,31,4,2400000,0,1..3,1006,2553,0
pi5,complex_updates,MEM,32,4,2400000,0,1..3,1003,2553,0
pi5,complex_updates,MEM,33,4,2400000,0,1..3,1037,2553,0
pi5,complex_updates,MEM,34,4,2400000,0,1..3,1025,2553,0
pi5,complex_updates,MEM,35,4,2400000,0,1..3,2749,2553,1
pi5,complex_updates,MEM,36,4,2400000,0,1..3,2935,2553,1
pi5,complex_updates,MEM,37,4,2400000,0,1..3,3057,2553,0
pi5,complex_updates,MEM,38,4,2400000,0,1..3,3872,2553,0
pi5,complex_updates,MEM,39,4,2400000,0,1..3,1017,2553,0
pi5,complex_updates,MEM,40,4,2400000,0,1..3,1031,2553,0
pi5,complex_updates,MEM,41,4,2400000,0,1..3,1013,2553,0
pi5,complex_updates,MEM,42,4,2400000,0,1..3,1033,2553,0
pi5,complex_updates,MEM,43,4,2400000,0,1..3,1020,2553,0
pi5,complex_updates,MEM,44,4,2400000,0,1..3,1031,2553,0
pi5,complex_updates,MEM,45,4,2400000,0,1..3,1023,2553,0
pi5,complex_updates,MEM,46,4,2400000,0,1..3,1026,2553,0
pi5,complex_updates,MEM,47,4,2400000,0,1..3,1007,2553,0
pi5,complex_updates,MEM,48,4,2400000,0,1..3,1044,2553,0
pi5,complex_updates,MEM,49,4,2400000,0,1..3,3496,2553,2
pi5,complex_updates,MEM,50,4,2400000,0,1..3,2039,2553,1
pi5,complex_updates,MEM,51,4,2400000,0,1..3,1017,2553,0
pi5,complex_updates,MEM,52,4,2400000,0,1..3,3167,2553,1
pi5,complex_updates,MEM,53,4,2400000,0,1..3,1077,2553,0
pi5,complex_updates,MEM,54,4,2400000,0,1..3,997,2553,0
pi5,complex_updates,MEM,55,4,2400000,0,1..3,1065,2553,0
pi5,complex_updates,MEM,56,4,2400000,0,1..3,1027,2553,0
pi5,complex_updates,MEM,57,4,2400000,0,1..3,1027,2553,0
pi5,complex_updates,MEM,58,4,2400000,0,1..3,1031,2553,0
pi5,complex_updates,MEM,59,4,2400000,0,1..3,1013,2553,0
pi5,complex_updates,MEM,60,4,2400000,0,1..3,1037,2553,0
pi5,complex_updates,MEM,61,4,2400000,0,1..3,1022,2553,0
pi5,complex_updates,MEM,62,4,2400000,0,1..3,1018,2553,0
pi5,complex_updates,MEM,63,4,2400000,0,1..3,1040,2553,0
pi5,complex_updates,MEM,64,4,2400000,0,1..3,1011,2553,0
pi5,complex_updates,MEM,65,4,2400000,0,1..3,1213,2553,1
pi5,complex_updates,MEM,66,4,2400000,0,1..3,1025,2553,0
pi5,complex_updates,MEM,67,4,2400000,0,1..3,1033,2553,0
pi5,complex_updates,MEM,68,4,2400000,0,1..3,1032,2553,1
pi5,complex_updates,MEM,69,4,2400000,0,1..3,1040,2553,0
pi5,complex_updates,MEM,70,4,2400000,0,1..3,1020,2553,0
pi5,complex_updates,MEM,71,4,2400000,0,1..3,1012,2553,0
pi5,complex_updates,MEM,72,4,2400000,0,1..3,1023,2553,0
pi5,complex_updates,MEM,73,4,2400000,0,1..3,2770,2553,0
pi5,complex_updates,MEM,74,4,2400000,0,1..3,1008,2553,0
pi5,complex_updates,MEM,75,4,2400000,0,1..3,1041,2553,0
pi5,complex_updates,MEM,76,4,2400000,0,1..3,1029,2553,0
pi5,complex_updates,MEM,77,4,2400000,0,1..3,1014,2553,0
